"id","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc","DR1","DR2","DR3","DR4","DR5","DR6","DR7","DR8"
242,"Z","low",133,"X","low",423,"Z","medium",181,"","medium",367,"X","high",166,"X","",275,"Y","medium",485,"","","","","22-07-2024","15:49:00","16:46:00","22-07-2024 16:42","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Denied because we are not in executive session. I will proceed with myÑÑ",-1.55015132092624,-0.159955055590677,0.400389395305634,-1.47672920112006,-0.719140608077534,0.608887263358112,-0.189253585869311,0.752255737444531
243,"Y","medium",319,"Y","medium",140,"Y","medium",7,"Z","medium",,"X","",250,"","high",170,"X","high",88,"","","","","05-02-2024","07:17:00","09:27:00","05-02-2024 09:19","Climate Action Opinion","Warming Caused Humans","Senator","D","Senator Mazie Hirono (HI)","Senator HIRONO. Mr. Chairman, before you proceed, I would just like to make one correction. There is a misconception as to what White House staff secretaries do. And, in fact, two past staff secretaries, Todd Stern and John Podesta, wrote an op-ed in the July 30, 2018, Washington Post titled, ÔÔStaff Secretaries ArenÕt Traffic Cops. Stop Treating Kavanaugh Like He Was One.ÕÕ And, in fact, Judge Kavanaugh himself has acknowledged the importance of the time that he was White House staff secretary. So why, Mr. Chairman, you and the others on your side, keep saying that this is kind of a nothing kind of a job? Nothing could be further from the truth. And this is why we are so adamant about requesting these documents that the Judge himself, the nominee himself, has said were among the most formative times of his adult life. Thank you, Mr. Chairman.",1.47707663803225,0.386774828834485,-1.28953221049918,1.15224956405034,1.0798890356794,-0.377670794299781,-1.26122959511936,-0.195972296020861
244,"X","low",284,"X","medium",51,"X","medium",471,"X","medium",64,"Z","high",104,"","high",377,"Y","high",134,"","","","","24-01-2024","21:21:00","22:49:00","24-01-2024 22:41","Voice Cnn Masai","Actor Bob Odenkirk","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Of course, that is why we have this hearing. Judge KavanaughÑÑ",-0.242379851210261,0.563576854094011,-2.39040685336064,-1.22397779479701,0.312236829484178,-0.381087378633172,1.43730289871392,0.534416804913905
245,"Y","high",250,"X","medium",279,"X","medium",418,"Y","high",434,"Y","high",259,"Z","low",303,"X","low",470,"","","","","29-09-2024","18:05:00","19:47:00","29-09-2024 19:38","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Mazie Hirono (HI)","Senator HIRONO. We do not have the documents.",-0.685512903196256,0.667884637310573,0.383318747649583,0.0874588388582361,1.23468820401773,-1.43119798493669,0.259162760645621,1.15435123919067
246,"Z","medium",4,"Y","high",310,"Z","high",127,"Z","high",68,"Y","medium",442,"X","medium",88,"Y","medium",119,"","","","","30-03-2024","13:11:00","14:00:00","30-03-2024 13:57","Reunion Netflix Cnn","Turned Movie Different","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Judge Kavanaugh will have an opportunity to answer every question about his role in almost anything he has done in his lifetime, I assume.",1.1116608423633,-0.414947024421858,0.0138334365789258,0.0902761843754589,-1.31300176189602,0.0456428570811735,-2.52872242176698,0.999453591339771
247,"Z","low",153,"X","low",385,"Y","medium",68,"Z","medium",214,"Y","high",317,"Y","medium",183,"X","high",309,"","","","","13-10-2024","21:35:00","23:53:00","13-10-2024 23:50","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Cory Booker (NJ)","Senator BOOKER. Mr. Chairman? OneÑMr. Chairman, may I be recognized, sir?",-1.57009685079312,-0.245842506318258,0.23772346949084,-1.50854476459339,-0.589279637948533,0.592788607117473,-0.196380108147367,0.61373725662346
248,"Y","high",187,"X","medium",260,"Z","medium",417,"Y","high",447,"X","low",70,"Y","low",,"X","medium",145,"","","","","03-09-2024","18:17:00","20:58:00","03-09-2024 20:56","Amid Inflation","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Yes. Will you be the last one, or do you want to go on all afternoon?",-0.732819468166319,0.618196096564243,0.306009563389657,0.0909669761338644,0.886142164757587,-1.69265295003647,0.165002198213662,1.19258348586335
249,"Z","high",416,"Z","low",420,"X","low",418,"Y","low",208,"Y","high",370,"X","high",58,"Y","medium",142,"","","","","03-08-2024","09:48:00","12:56:00","03-08-2024 12:49","Amid Inflation","Coronavirus Pandemic Late","Senator","D","Senator Cory Booker (NJ)","Senator BOOKER. I cannot speak for my colleagues. But a lot of people I have a lot of respect for on this Committee, especially some of the new folksÑI just want to answer in the most plainspoken way I can possibly doÑwho are expected to evaluate a nominee who has a vast record, and if you lookÑand a lot of numbers have been citedÑ10,000 here, 40,000 here, 100,000 here. But an entire body of his record, sir, we only have 10 percent of his record that we have been able to evaluate. Ninety percent of it has been withheld from Senators, 90 percent of his records. So we are asking to evaluate a candidate, to have intelligent questions and insights into his record, but we only have 10 percent of that record. We can go on and on about the numbers of documentsÑ100,000, 10,000Ñbut the fact is we are about to proceed with a historic hearing. We are about to proceed toward having a hearing on someone having a lifetime appointment on the most important court in the land that will effectuate so many of the areas of American life, from civil rights to womenÕs rights, to access to healthcare. All of this stuff is being decided, and we are going into this only having 10 percent, access to 10 percent of the body of work of this manÕs career. That seems to me just common senseÑ90 percent is missing right now. Just common sense says we should have access to thoroughly evaluate this person. We are not asking for anything out of the ordinary. Other candidates have come before. People can talk about tens of thousands here, hundreds of thousands here. But we have gotten far more for every Supreme Court Justice that has been mentioned here, far more than just 10 percent just to scan a bit. My colleagues talk about what our duty to the American public is. Our duty to the American public is to evaluate a candidate on their body of work, but we are not even getting released that, and why? Because some political person, not a person who holds public office, not becauseÑI mean, it is unprecedented to think that this Committee has ceded its role to a partisan outside lawyer. And so here we are about to go forward with just 10 percent of this personÕs record to evaluate, to base our questions on, to investigate. Ninety percent is being withheld. Just common sense would say that that is not fair, that is not right. It undermines our ability to do our job. It is just plain wrong. [Disturbance in the hearing room.]",-1.01040324044613,0.777600977116109,2.17546084736453,-0.55078782165152,0.598711776673412,1.13255222713489,-0.276646892467891,-1.2515357381597
250,"X","high",413,"X","medium",421,"X","high",448,"X","low",415,"X","low",211,"X","medium",176,"X","high",335,"","","","","18-12-2024","12:52:00","16:40:00","18-12-2024 16:36","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. One of the SenateÕs most solemn constitutional duties is to provide advice and consent to the President on the nomination of Supreme Court Justices. We are here this week to hear from Brett Kavanaugh, to hear about his exceptional qualifications, his record of dedication to the rule of law, and his dem- onstrated independence and his appreciation of the importance of the separation of powers. Indeed, to protect individual liberty, the Framers designed a Government of three co-equal branches, strictly separating legislative, executive, and judicial powers. The Framers intended for the judiciary to be immune from the political pressures the other two face. That is so that judges would decide cases according to the law and not according to popular opinion. Now, 230 years after ratification, our legal system is the envy of the world. It provides our people stability, predictability, protection of our rights, and equal access to justice. But this is only possible when judges are committed to the rule of law. Our legal systemÕs success is built on judges accepting that their role is limited to deciding cases and controversies. A good judge exercises humility and makes decisions according to the specific facts of the case and, of course, according to the law. A good judge neverÑÑ [Disturbance in the hearing room.] Chairman GRASSLEY. A good judge never bases decisions on his preferred policy preferences. A good judge also has courage, recognizing that we have an independent judiciary to restrain judges when that Government exceeds lawful authority. President Andrew Jackson said, ÔÔAll the rights secured to the citizens under the Constitution are worth nothing, and a mere bubble, except guaranteed to them by an independent and virtuous judiciary.ÕÕ Confirmation hearings for Supreme Court nominees are an independentÑare a very important opportunity to discuss the appropriate role of judges. As I see it, and I expect many of my colleagues will agree, the role of the judge is to apply the law as written, even if the legal result is not one the judge personally likes. Justice Scalia has often been quoted because he was fond of saying if a judge always likes the outcome of the cases he decides, he is probably doing something wrong. I do not want judges who always reach a liberal result or a conservative result. I want a judge who rules the way the law requires. Judges must leave the lawmaking to Congress, the elected representatives of the people. Judges and Justices have lifetime appointments. They cannot be voted out of office if they legislate. Whereas if Congress legislates something that people do not like, then you can vote them out of office. That is why they are to interpret law and not make law. Now some have a very different view of what a judgeÕs role should be. According to this view, judges should decide cases based upon particular outcomes in order to advance their politics. But the American people do not want their judges to pick sides before they hear a case. They want a judge who rules based upon what the law commands. This is the reason why all Supreme Court nominees since Ginsburg have declined to offer their personal opinions on the correctness of precedent. Seeking assurances from a nominee on how he will vote in certain cases or how he views certain precedent undermines judicial independence and essentially asks for a promise in exchange for a confirmation vote. It is unfair and unethical. Indeed, what litigant could expect a fair shake if the judge has already pre-judged the case before the litigant even enters the courtroom? I expect Judge KavanaughÑin fact, it is my advice to him to follow the example set by Justice Ginsburg, and all the nominees that followed her, that a nominee should offer ÔÔno hints, no forecasts, no previewsÕÕ on how they will vote. Justice Kagan, when asked about Roe v. Wade, said the following, ÔÔI do not believe it would be appropriate for me to comment on the merits of Roe v. Wade other than to say that it is settled law entitled to precedential weight. The application of Roe to future cases, and even its continued validity, are issues likely to come before the Court in the future.ÕÕ Senators were satisfied with these answers on precedent. So Senators should be satisfied if Judge Kavanaugh answers similarly. This is my fifteenth Supreme Court confirmation hearing since I joined the Committee in 1981. Thirty-one years ago, during my fourth Supreme Court confirmation hearing, liberal outside groups and their Senate allies engaged in an unprecedented smear campaign against Judge Robert Bork. As Mark Pulliam said, in an op-ed over the weekend, ÔÔThe borking of Robert Bork taught special interest groups that they could demonize judicial nominees based solely on their worldview. Worse, character assassination proved an effective tactic, nearly sinking Justice Clarence ThomasÕ appointment 4 years later.ÕÕ But he also said, continuing to quote, ÔÔBy confirming Judge Kavanaugh, the Senate can go some way toward atoning for its shameful treatment of Justice Robert Bork 31 years ago.ÕÕ Judge Kavanaugh is one of the most qualified nominees, if not the most qualified nominee that I have seen. A graduate of Yale Law School, clerking three Federal judges, including the man he is nominated to replace. He spent all but 3 years of his career in public service and has served as a judge for 12 years on the D.C. Circuit, the most influential Federal circuit court. He has one of the most impressive records for a lower court judge in the Supreme Court. In at least a dozen separate cases, the Supreme Court adopted positions advanced by Judge Kavanaugh. The American Bar Association, whose assessment Democratic leaders have called the ÔÔgold standardÕÕ of judicial evaluations, rated Judge Kavanaugh unanimously ÔÔwell qualified.ÕÕ A review of Judge KavanaughÕs extensive record demonstrates a deep commitment to the rule of law. He has written eloquently that both judges and Federal agencies are bound by the law Congress enacts. And he has criticized those who substitute their own judgment about what a statute should say for what the statute actually says. After the President nominated Judge Kavanaugh, I said this would be the most thorough and transparent confirmation process in history. I say that statement even regarding all the discussion we have had this morning. It has proven to be, from Judge KavanaughÕs authoring 307 opinions, joined hundreds more, amounting to more than 10,000 pages. He submitted 17,000 pages of speeches, articles, and other materials to the Committee, along with his 120-page written response to the questionnaire that the Committee set out. These add up to 27,000 pages of Judge KavanaughÕs record already available to the American people. And we received just shy of half a million pages of emails and other documents from Judge KavanaughÕs service as an executive branch lawyer, which is more than we received for the last five Supreme Court nominees. Every one of these more than 483,000 pages of executive branch records are available to any Senator, 24/7. I pushed for Federal officials to significantly expedite the public disclosure process under Federal law, so that all Americans have online access to more than 290,000 pages of these records right now on our Committee website. In short, the American people have unprecedented access and more materials to review Judge Kavanaugh than ever have had for a Supreme Court nominee. And to support the review of Judge KavanaughÕs historic volume of material, I have worked to ensure that more Senators have access to more material than ever. Since so much of the rest of my statement has been discussed this morning by what the Democrats have said, and I have answered a lot of it, I am going to put the last seven pages of my statement in the record. [The prepared statement of Chairman Grassley appears as a submission for the record.] Chairman GRASSLEY. And I am going to ask Senator Feinstein if she has more to say on her opening statement. And if she does not, I will go to Senator Hatch.",-0.589230218202102,2.29753142387181,0.103852364924552,-0.275060229859643,1.45626926985985,0.0445957731766684,1.29021972210214,1.38315062457503
251,"X","medium",436,"Z","low",292,"Y","high",273,"Z","low",244,"Z","low",9,"Z","high",436,"Z","medium",397,"","","","","19-07-2024","10:51:00","13:33:00","19-07-2024 13:24","New Covid Lockdowns","Warming Caused Humans","Senator","D","Senator Dianne Feinstein (CA)","Senator FEINSTEIN. Thank you. I do, Mr. Chairman. I will probably truncate it even so. But I think it is really important that people, as well as the Judge, the nominee, understand how strongly we feel and why we feel that way. I want to talk a little bit about one of the big decisions that we have the belief that although you told Senator Collins that you believed it was settled law, the question is, really, do you believe that it is correct law? And that is Roe v. Wade. I was, in the Õ50s and Õ60s, active, but first, as a student at Stanford. I saw what happened to young women who became pregnant. And then subsequently, I sat, as an appointee of Governor BrownÕs, on the term-setting and paroling authority for women in California who had committed felonies. And so I sentenced women who had committed abortions to State prison and granted them paroles. And so, came to see both sides: the terrible side, and the human and vulnerable side. And when you look at the statistics during those days, those statistics that the Guttmacher Institute has put out, are really horrendous. For you, the President that nominated you, has said, ÔÔI will nominate someone who is anti-choice and progun.ÕÕ And we believe what he said. We cannot find the documents that absolve from that conclusion. So what women have won through Roe and a host of privacy casesÑto be able to control their own reproductive system, to have basic privacy rightsÑreally extraordinarily important to this side of the aisle and I hope the other side of the aisle as well. Last year, you drafted a dissent in Garza v. Hargan, and that is a case where a young women in Texas, I believe, was seeking an abortion. In that dissent, you argued that even though the young woman had complied with the Texas parental notification law and secured an approval from a judge, she should nonetheless be barred. In making your argument, you ignored and I believe mischaracterized a Supreme Court precedent. You reasoned that Jane Doe should not be unable to exercise her right to choose because she did not have family and friends to make her decision. The argument rewrites Supreme Court precedent and, if adopted, we believe would require courts to determine whether a young woman had a sufficient support network when making her decision, even in cases where she has gone to court. This reason, we believeÑI believeÑdemonstrates that you are willing to disregard precedent. And if that is the case because just saying something is settled law, it really is, is it correct law? The impact of overturning Roe is much broader than a womanÕs right to choose. It is about protecting the most personal decisions we all make from Government intrusion. Roe is one in a series of cases that upheld an individualÕs right to decide who to marry. It is not the GovernmentÕs right. Where to send your children to school. The Government cannot get involved. What kind of medical care you can receive at the end of life, as well as whether and when to have a family. And I deeply believe that all these cases serve as a bulwark of privacy rights that protect all Americans from over-involvement of the Government in their lives. And to me, that is extraordinarily important. Next, I would like to address the PresidentÕs promise to appoint a nominee blessed by the NRA. In reviewing your judicial opinions and documents, it is pretty clear that your views go well beyond simply being pro-gun, and I would like to straighten that out. It is my understanding that during a lecture at Notre Dame Law School, you said you would be the ÔÔfirst to acknowledgeÕÕ that most other lower court judges have disagreed with your views on the Second Amendment. For example, in District of Columbia v. Heller, you wrote that unless guns were regulated either at the time of the Constitution was written or traditionally throughout history, they cannot be regulated now. In your own words, gun laws are unconstitutional unless they are ÔÔtraditional or common in the United States.ÕÕ You concluded that banning assault weapons is unconstitutional because they have not historically been banned. And this logic means that even as weapons become more advanced and more dangerous, they cannot be regulated. Judge Easterbrook, as you know, a conservative judge from the Seventh Circuit, concluded that that reasoning was absurd, and he pointed out that a lawÕs existence cannot be the source of its own constitutional validity. In fact, I am left with the fact that your reasoning is far outside the mainstream of legal thought and that it surpasses the views of Justice Scalia, who was clearly a pro-gun Justice. Even Scalia understood that weapons that are like MÐ16 rifles or weapons that are most useful in military service can, in fact, be regulated. And there is no question that assault weapons like the ARÐ15 were specifically designed to be like the MÐ16. The United States makes up 4 percent of the worldwide population, but we own 42 percent of the worldÕs guns. Since 2012, when 20 first graders and 6 school employees were killed at Sandy Hook Elementary, there have been 273 school shootings. This is an average of 5 shootings every month and a total of 462 children, teenagers, teachers, and staff shot, and 152 killed. I care a lot about this. I authored assault weapons legislation that became law for 10 years, and I have seen the destruction. If the Supreme Court were to adopt your reasoning, I fear the number of victims would continue to grow, and citizens would be rendered powerless in enacting sensible gun laws. So this is a big part of my very honest concern. You are being nominated for a pivotal seat. It would likely be the deciding vote on fundamental issues. So during your time in the White House when you were staff secretary, some people regard it as kind of a monitor, monitoring things going in and going out. But I think it is much more. And you yourself have said that that is the period of ÔÔmy greatest growth.ÕÕ And so we try to look at it, and the only way we can look at it is to understand the documents. And it is very, very difficult. I do not want to take too much time, but we have heard a lot of noise. Behind the noise is really a very sincere belief that it is so important to keep in this country, which is multi-ethnic, multireligious, multi-economic, a Court that really serves the people and serves this great democracy. And that is my worry. That is my worry. So I look forward to your statement and answering the questions. Thank you, Mr. Chairman. [The prepared statement of Senator Feinstein appears as a submission for the record.]",0.745349463183046,1.24186337807348,-0.153341805106783,0.242854069038121,0.763047218500337,0.454750599342376,0.85193641649773,-1.87138867264185
252,"Z","high",231,"X","high",275,"Y","low",367,"X","",372,"Z","medium",311,"X","medium",220,"X","high",,"","","","","15-05-2024","07:39:00","10:35:00","15-05-2024 10:30","Amid Inflation","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Senator Hatch for 10 minutes.",-1.03771282348115,-0.508223904211868,0.930577941146922,-1.17456650409198,0.594277465394128,-0.371990369428896,-0.787263465256644,1.41450112977709
253,"Y","medium",163,"Y","high",9,"Z","low",364,"Z","",295,"Z","medium",149,"X","medium",,"Y","medium",491,"","","","","14-01-2024","06:14:00","09:13:00","14-01-2024 09:09","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator Orrin Hatch (UT)","Senator HATCH. Well, thank you, Mr. Chairman. I would first like to thank you for your tremendous work in organizing this hearing. This has been the most thorough Supreme Court confirmation process that I have ever participated in. We have received more than twice as many documents for Judge Kavanaugh as for any Supreme Court nominee in history. This is a big deal. We have tens of thousands of pages of Judge KavanaughÕs opinions, speeches, and other writings. This has been an exhaustive process, and I want to thank you for your leadership on it. Now to our witness, Judge Kavanaugh, it is good to see you. I have known you for a long time. This is my fifteenth and final Supreme Court confirmation hearing. I participated in the confirmation of every current Justice on the Court. I have participated in the confirmation of over half of all Federal judges now serving in the Federal system or who have ever served in the Federal system. I know a good nominee when I see one, and you are a great nominee. I do not think there is any question about it. I have known you for a long time. I remember when you first came before this Committee back in 2004 for your first confirmation hearing. I was the Chairman of this Committee at the time. I got to know you well. I was impressed by your intellect, your legal ability, and your integrity, all of which were very much notable. At only 39 years of age, you knew more about the law than most lawyers who have practiced for a lifetime. And you have been an outstanding judge. You have earned the respect of your colleagues, and you have earned the respect of the Supreme Court as well. As you know, the Supreme Court has adopted the positions in your opinions no less than 13 times. That is something nobody can really argue against. You have authored landmark opinions on the separation of powers, administrative law, and national security. You served as a mentor to dozens of clerks and hundreds of law students, male and female. And some of whom did not share your philosophy. Your student reviews are off the charts favorable, even by those who may not have completely agreed with your philosophical approaches on some matters. You volunteer in your community. [Disturbance in the hearing room.] Senator HATCH. Mr. Chairman, I ask for order.",1.34908721826912,-1.62544100836189,-1.29984317031771,1.41707609588501,0.17004043109915,-0.980258824600759,-1.50222653843642,-0.00656158044004946
254,"Y","medium",249,"X","high",390,"Z","medium",229,"Z","high",140,"X","",485,"Y","low",340,"X","medium",44,"","","","","19-07-2024","14:53:00","18:16:00","19-07-2024 18:12","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Just go ahead.",1.00980606531058,-0.76983516016376,0.509260875320628,0.207220714330002,1.2809669703055,-1.10020297760394,-0.166245979358758,1.43381727961507
255,"Z","medium",395,"X","low",340,"X","high",261,"X","high",447,"X","high",497,"X","medium",160,"Z","medium",50,"","","","","14-11-2024","10:50:00","14:04:00","14-11-2024 14:03","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator Orrin Hatch (UT)","Senator HATCH. You volunteer in the community. You coach youth basketball. You are the sort of person many of us would like to have as a friend and a colleague. You also apparently like to eat pasta with ketchup, but nobody is perfect. Now this being politics and this beingÑthis being a Supreme Court confirmation hearing, my Democratic colleagues actuallyÑÑ [Disturbance in the hearing room.] Senator HATCH. I have got to admit this isÑÑ My Democratic colleagues can admit that you are actually a good judge and a good person as well. They have to turn the volume up to 11 and try to paint you as one of the four horsemen of the apocalypse. Anyone who actually knows you knows that is ridiculous, and the American people will see soon enough that you are a smart, decent, normal person that just so happens to have been nominated to the highest court in our land. So here are the facts. Judge Kavanaugh is one of the most distinguished judgesÑÑ [Disturbance in the hearing room.] Senator HATCH. Mr. Chairman, I think we ought to have this loudmouth removed. I mean, we should not have to put up with this kind of stuff. I hope she is not a law student.",-0.636810579798035,0.541829579813666,0.0772025864212585,-1.15162525803022,1.55964438595165,0.327579988166458,-1.13235848693691,-0.271370608605436
256,"Z","low",96,"Z","low",448,"X","medium",130,"Y","high",233,"","medium",335,"X","high",413,"Z","high",488,"","","","","12-07-2024","06:46:00","08:41:00","12-07-2024 08:34","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. IÑnow that we have quiet, I would like to explain that I advised 2 years ago that at my hearings I expected the police to do their job, and I expected the Committee to go on. But if you do not want to continue, we willÑÑ",-0.445201845199753,-0.0550886850057176,1.3838948936837,-1.17139269516582,-1.80080736379313,0.939609203506407,-0.0319958413880893,-0.676672976046149
257,"Z","medium",300,"X","high",46,"X","high",376,"Z","high",228,"Z","medium",315,"X","medium",8,"X","medium",,"","","","","07-07-2024","07:10:00","08:45:00","07-07-2024 08:35","Amid Inflation","Coronavirus Pandemic Late","Senator","R","Senator Orrin Hatch (UT)","Senator HATCH. I am going to continue.",0.367614884083104,-1.02913032877969,-0.93096595182889,-1.62517021542085,1.26879690378717,-0.796998110280119,-1.47438967228683,0.279311704094726
258,"Y","high",217,"Z","medium",73,"Y","low",485,"Y","medium",329,"Z","high",152,"","medium",236,"X","low",157,"","","","","09-05-2024","11:40:00","14:49:00","09-05-2024 14:39","Abortion Travel","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Okay. Go ahead.",0.238056295418174,0.239782040069874,0.384467625977905,0.230662857175896,0.276465005837404,-1.60649191580862,0.227176349628759,-0.943490660240131
259,"Z","low",348,"Y","low",335,"Z","medium",38,"X","high",465,"Z","medium",35,"Y","low",298,"","medium",60,"","","","","11-12-2024","21:30:00","23:01:00","11-12-2024 22:57","Amid Inflation","Turned Movie Different","Senator","R","Senator Orrin Hatch (UT)","Senator HATCH. Okay. So here are the facts. Judge Kavanaugh is one of the distinguished judges in the entire country. He has served for over 12 years now on the U.S. Court of Appeals for the D.C. Circuit. The D.C. Circuit is often referred to as the secondÑÑ [Disturbance in the hearing room.] Senator HATCH [continuing]. Second-highest court in the land because it hears many critically important cases involving agency action and the separation of powers. During his time on the bench, Judge Kavanaugh has heard over 1,000 cases. He has written more than 300 opinions. His opinions span nearly 5,000 pages in length. What is remarkable about Judge KavanaughÕs judicial record is not just its length, but its depth and its quality. Judge Kavanaugh has been a true thought leader. He has written powerful opinions on the separation of powers and administrative law. He has shown that he brings a fair-minded approach to questions of criminal law and employment law. On almost every issue of consequence, Judge Kavanaugh has made a significant contribution to our NationÕs jurisprudence, and he has won respect from both sides of the political spectrum. The Committee has received letters from former clerks, former colleagues, former students, and former classmates, all attesting to Judge KavanaughÕs sterling character and qualifications, some of whom are Democrats. Eminent members of the Supreme Court bar and legal academia have all written in strong support of Judge KavanaughÕs nomination. The authors of these letters emphasize that they have different political views and that they do not agree on every subject. But to a person, they speak of Judge KavanaughÕs integrity and judgment, and they enthusiastically endorse his nomination. I would like to highlight one letter in particular from 18 of Judge KavanaughÕs former women law clerks. That is all of his former women clerks, all of them, who were not precluded by their current or pending employment from signing the letter. They write that ÔÔJudge Kavanaugh has been one of the strongest advocates in the Federal judiciary for women lawyers.ÕÕ They detail the mentoring and encouragement Judge Kavanaugh has given them in their careers, and they say that is it ÔÔnot an exaggeration to say that we would not be the professors, prosecutors, public officials, and appellate advocates we are today without his enthusiastic encouragement and unwavering support.ÕÕ It bears emphasis that these former clerks span the political divide. A number went on to clerk for liberal Justices. That itself shows you the high regard Judge Kavanaugh has across the ideological spectrum. Republicanand Democratic-appointed judges alike have hired his former clerks. Judge Kavanaugh is no ideologue. He is no extremist. He is a highly respected, thoughtful, fair-minded judge who is well within the judicial mainstream. Look no further than the letter the Committee received from over 40 members of the Supreme Court bar supporting Judge KavanaughÕs nomination. Among the signers are people like Lisa Blatt, Deanne Maynard, and Kathleen Sullivan. These are nationally renowned attorneys who practice frequently before the Supreme Court and the Federal courts of appeals, and they are not conservatives. To the contrary, they are among the most prominent liberal attorneys at the bar today and in the country. But they know Judge Kavanaugh. They know his work. They know his character. And they know that he is an outstanding judge, and they know that he will make an outstanding Justice. If we could just get the politics out of this, I think we could all agree that Judge Kavanaugh is an indisputably qualified nominee with strong backing in the legal community who is well within the judicial mainstream. Go ask anyone who practices regularly before the Supreme Court who does not have a partisan agenda, and they will tell you Judge Kavanaugh is exactly the kind of person we should have on the Court or we should want on the Court. Indeed, no less than Bob Bennett, Bill ClintonÕs personal lawyer during ClintonÕs Presidency, wrote to the Committee urging support for Judge KavanaughÕs nomination. Here is what he intended to say: ÔÔAs a Washington attorney, I can attest to the high esteem in which the bar holds Judge Kavanaugh. Lawyers love arguing before him for good reason because they know he will approach every case with an open mind.ÕÕ Bennett continues, ÔÔBrett is the most qualified person any Republican President could possibly have nominated.ÕÕ [Disturbance in the hearing room.] Senator HATCH. ÔÔWere the Senate to fail to confirm Brett, it would not only mean passing up the opportunity to confirm a great jurist but would also undermine civility in politics twice over, just in playing politics with such an obviously qualified candidate and then again in losing the opportunity to put such a strong advocate for decency and civility on our NationÕs highest court.ÕÕ Again, this is President ClintonÕs personal lawyer during ClintonÕs Presidency who litigated against Judge Kavanaugh. Those who know Judge Kavanaugh hold him in highest regard. This is true of both Republicans and Democrats. Unfortunately, we have all these interest groups streaming from the sidelines and putting pressure on my Democratic colleagues to make this hearing about politics, to make it about pretty much anything except Judge Kavanaugh and his qualifications. We have folks who want to run for President, who want their moment in the spotlight, who want that coveted TV clip. Frankly, I wish we could drop all of the nonsense. Judge Kavanaugh is unquestionably qualified. He is one of the most widely respected judges in the country. He is well within the judicial mainstream. Anyone who wants to argue otherwise wants to banish half the country from the mainstream. So, Judge, I am glad you are here today. I am sorry you are going to have to go through some of this nonsense that is about to come your way, but I hope you do it well. You are smart. You are smart, and you are a fundamentally decent, good person. [Disturbance in the hearing room.] Senator HATCH. Anyone who actually knows you knows that to be true. Now, Mr. Chairman, I do not know that the Committee should have to put up with this type of insolence that is going on in this room today. And frankly, these people are so out of line they should not even be allowed in the doggone room. Now, Judge Kavanaugh, I am proud of you. I know how good you are. I know you deserve this position. I am proud of the President for nominating you, and frankly, I wish you the best because we are going to confirm you.",-0.82427499444347,-0.311264400508562,-0.179566069147159,-0.142632103611041,-0.253022941199381,2.43313742458109,-0.905341822390933,-0.29036391470995
260,"X","medium",433,"Y","medium",244,"Z","high",37,"X","high",435,"Y","high",,"","low",119,"X","low",111,"","","","","13-08-2024","21:01:00","22:02:00","13-08-2024 21:57","Scammers Cnn Epik","Actor Bob Odenkirk","Chairman","R","Senator Chuck Grassley (IA)","Chairman GRASSLEY. Out of courtesy to Ranking Member Feinstein, she wants to introduce people who are in the audience, and so she can take what time she wants right now.",1.51812568079614,1.92415892821067,-1.72786122141332,0.77626696489815,1.04051079523408,0.842503910975916,-0.322932221546544,-0.00408984887205963
