"id","ExtraCol22","ExtraCol23","ExtraCol24","ExtraCol25","ExtraCol26","ExtraCol27","ExtraCol28","ExtraCol29","ExtraCol30","ExtraCol31","ExtraCol32","ExtraCol33","ExtraCol34","ExtraCol35","ExtraCol36","ExtraCol37","storage_class","region","access_tier","other_details","event_date","login_time","logout_time","last_activity_ts","Headline_cnn","Description_cnn","Title_sc","Speaker (Party)(or nominated by)_sc","Speaker and title_sc","Statements_sc"
160,27,"X","high",236,"X","low",387,"Y","medium",244,"Z","medium",134,"X","medium",224,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","30-09-2024","20:07:00","22:43:00","30-09-2024 22:33","Companies Pulling Russia","Help Russia","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
161,384,"Y","low",399,"Y","high",240,"Z","low",245,"Y","low",237,"X","medium",219,"COLDLINE","north_america","RARE_ACCESS","Europe West12 Sku_Id","15-03-2024","07:49:00","10:18:00","15-03-2024 10:15","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
162,304,"Z","low",35,"Z","medium",298,"Y","low",245,"Y","low",39,"Y","high",366,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","09-08-2024","09:56:00","11:32:00","09-08-2024 11:30","Winter Olympics Don","Qualifying Winter Olympics","Senator","D","Senator Mazie Hirono (HI)","Executive Privilege Limit"
163,93,"Z","medium",339,"Y","low",59,"Z","low",3,"Z","medium",37,"X","medium",170,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","23-10-2024","08:51:00","12:02:00","23-10-2024 11:58","New Covid Lockdowns","Coronavirus Pandemic Late","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
164,256,"Z","medium",180,"Y","low",42,"X","low",440,"X","high",264,"X","medium",364,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","21-07-2024","09:47:00","11:30:00","21-07-2024 11:25","Cnnpolitics Polls Underestimating","Actor Bob Odenkirk","Senator","D","Senator Mazie Hirono (HI)","Analyze Senator"
165,242,"X","high",189,"X","medium",334,"X","low",103,"X","medium",344,"X","medium",493,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","24-11-2024","19:54:00","21:44:00","24-11-2024 21:35","Assassination Question","2020 Presidential Election","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
166,55,"X","high",79,"X","high",196,"X","medium",355,"Z","high",443,"X","low",386,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","29-08-2024","17:57:00","21:54:00","29-08-2024 21:52","Assassination Question","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Analyze Senator"
167,485,"X","high",48,"X","high",9,"Z","low",355,"Z","medium",241,"Z","medium",464,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","20-01-2024","21:38:00","00:46:00","21-01-2024 00:44","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
168,468,"X","low",346,"Y","low",340,"Z","low",228,"Z","medium",322,"Z","medium",394,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","25-12-2024","06:50:00","10:42:00","25-12-2024 10:40","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
169,379,"Z","medium",425,"Z","medium",484,"X","high",268,"X","low",430,"Z","low",421,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","22-09-2024","14:18:00","14:46:00","22-09-2024 14:36","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Dick Durbin (IL)","Senator Durbin White"
170,404,"Z","low",455,"X","high",280,"Y","medium",36,"X","low",215,"Y","high",19,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","10-03-2024","10:01:00","12:23:00","10-03-2024 12:15","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
171,273,"X","medium",121,"Z","medium",190,"Y","high",450,"Y","high",104,"Z","high",176,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","18-10-2024","06:00:00","07:46:00","18-10-2024 07:36","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","R","Senator Thom Tillis (NC)","Analyze Senator"
172,401,"Y","low",381,"Z","low",421,"Z","low",59,"X","medium",412,"X","low",136,"COLDLINE","africa","RARE_ACCESS","Europe West12 Sku_Id","11-12-2024","09:18:00","13:17:00","11-12-2024 13:08","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Kamala Harris (CA)","Analyze Senator"
173,264,"X","high",55,"Y","high",168,"X","medium",329,"Z","low",1,"Z","low",431,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","18-10-2024","09:04:00","12:22:00","18-10-2024 12:12","Cnnpolitics Polls Underestimating","Actor Bob Odenkirk","Senator","D","Senator Dick Durbin (IL)","Senator Durbin White"
174,83,"X","medium",389,"Z","medium",306,"Y","medium",0,"Z","medium",137,"X","medium",114,"NEARLINE","north_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","04-05-2024","10:07:00","12:53:00","04-05-2024 12:47","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
175,83,"Y","high",283,"Y","medium",237,"X","high",372,"Z","medium",65,"X","low",483,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","27-11-2024","12:43:00","13:53:00","27-11-2024 13:48","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Dick Durbin (IL)","Executive Privilege Limit"
176,427,"X","low",430,"Y","high",363,"Z","medium",179,"Z","high",321,"X","low",349,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","10-10-2024","20:23:00","22:44:00","10-10-2024 22:43","Cnnpolitics Polls Underestimating","Hold Fastest Marathon","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
177,223,"Z","high",33,"Z","medium",258,"Z","high",245,"X","medium",134,"X","medium",61,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","03-08-2024","06:57:00","08:32:00","03-08-2024 08:28","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
178,364,"Z","medium",388,"Y","low",240,"Z","high",11,"Y","medium",172,"X","high",251,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","12-04-2024","12:33:00","14:02:00","12-04-2024 13:58","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Kamala Harris (CA)","Analyze Senator"
179,72,"Y","low",233,"Z","high",210,"Z","low",109,"X","low",326,"X","low",171,"COLDLINE","oceania","RARE_ACCESS","Europe West12 Sku_Id","07-03-2024","12:58:00","13:39:00","07-03-2024 13:29","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
180,223,"X","high",284,"Z","low",147,"Z","low",217,"X","medium",148,"X","medium",148,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","31-03-2024","17:11:00","18:28:00","31-03-2024 18:25","Cnnpolitics Polls Underestimating","Actor Bob Odenkirk","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
181,41,"Y","low",269,"X","low",243,"Z","low",358,"X","low",181,"X","medium",497,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","22-02-2024","06:08:00","08:36:00","22-02-2024 08:35","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
182,110,"Z","low",357,"X","medium",30,"Y","high",298,"Z","medium",249,"Z","low",251,"NEARLINE","oceania","OCCASIONAL_ACCESS","Europe West12 Sku_Id","23-01-2024","14:37:00","17:13:00","23-01-2024 17:05","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Sheldon Whitehouse (RI)","Chairman Ask Question"
183,256,"X","low",299,"Z","medium",169,"X","high",130,"Z","high",59,"X","low",381,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","15-08-2024","20:32:00","21:07:00","15-08-2024 20:58","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Executive Privilege Limit"
184,104,"Z","high",207,"Y","medium",38,"Z","medium",297,"Y","high",467,"X","medium",155,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","05-09-2024","15:01:00","16:25:00","05-09-2024 16:21","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Patrick Leahy (VT)","Judge Senator Leahy"
185,303,"X","high",217,"Y","medium",161,"Z","high",111,"X","low",490,"X","low",331,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","19-05-2024","15:50:00","18:25:00","19-05-2024 18:18","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
186,2,"X","medium",35,"Y","high",175,"Z","high",277,"Y","medium",254,"Y","high",171,"NEARLINE","north_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","13-05-2024","19:24:00","21:46:00","13-05-2024 21:43","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Patrick Leahy (VT)","Judge Senator Leahy"
187,96,"Y","high",362,"Z","low",13,"Z","low",270,"Y","high",54,"Z","low",301,"ARCHIVE","south_america","ARCHIVE","Storage Johannesburg Original_Region","31-01-2024","15:17:00","16:34:00","31-01-2024 16:26","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
188,345,"Y","low",352,"Z","medium",148,"Z","high",113,"Y","low",236,"Y","medium",199,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","06-06-2024","09:24:00","12:43:00","06-06-2024 12:35","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Patrick Leahy (VT)","Kavanaugh Dissents President"
189,74,"X","low",283,"Z","medium",335,"Z","medium",100,"Y","medium",177,"X","low",304,"NEARLINE","africa","OCCASIONAL_ACCESS","Europe West12 Sku_Id","29-06-2024","09:20:00","13:17:00","29-06-2024 13:14","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Mazie Hirono (HI)","Chairman Ask Question"
190,277,"Z","low",360,"X","low",484,"Y","medium",259,"X","medium",83,"X","medium",372,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","28-12-2024","15:40:00","19:38:00","28-12-2024 19:30","Cnn Montana Nonprofit","2020 Presidential Election","Senator","D","Senator Patrick Leahy (VT)","Judge Senator Leahy"
191,433,"Z","high",134,"Z","medium",308,"Z","low",293,"Y","low",438,"Z","medium",157,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","05-01-2024","15:25:00","18:17:00","05-01-2024 18:16","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
192,390,"Y","high",111,"Z","high",355,"X","high",489,"Z","medium",207,"Y","low",5,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","25-04-2024","16:05:00","18:16:00","25-04-2024 18:07","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Kavanaugh Dissents President"
193,61,"Y","high",462,"Z","high",334,"X","medium",247,"Y","low",326,"Y","low",48,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","02-12-2024","08:46:00","11:34:00","02-12-2024 11:29","Cnnpolitics Polls Underestimating","Actor Bob Odenkirk","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
194,73,"X","high",265,"Y","low",472,"Y","low",222,"X","low",345,"Z","high",453,"NEARLINE","north_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","28-10-2024","13:43:00","14:05:00","28-10-2024 14:00","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Patrick Leahy (VT)","Kavanaugh Dissents President"
195,352,"Y","low",426,"Y","high",470,"X","medium",237,"Y","low",159,"Z","high",479,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","25-07-2024","19:29:00","23:00:00","25-07-2024 22:50","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
196,173,"X","high",26,"Y","medium",57,"Y","low",437,"Y","high",174,"X","low",251,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","21-07-2024","13:44:00","15:07:00","21-07-2024 15:06","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Klobuchar Mr Chairman"
197,256,"X","medium",274,"Y","low",236,"Y","low",153,"Y","high",485,"Z","low",53,"ARCHIVE","africa","ARCHIVE","Storage Johannesburg Original_Region","29-06-2024","21:35:00","23:23:00","29-06-2024 23:18","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Amy Klobuchar (MN)","Executive Privilege Limit"
198,238,"Z","high",367,"X","high",453,"X","medium",190,"Y","low",412,"Z","high",293,"COLDLINE","north_america","RARE_ACCESS","Europe West12 Sku_Id","15-02-2024","07:34:00","08:04:00","15-02-2024 07:54","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
199,289,"Y","high",18,"Y","medium",440,"Z","high",184,"Y","low",250,"Z","medium",216,"COLDLINE","south_america","RARE_ACCESS","Europe West12 Sku_Id","31-05-2024","11:48:00","13:44:00","31-05-2024 13:43","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Amy Klobuchar (MN)","Klobuchar Mr Chairman"
200,224,"Z","medium",484,"X","high",267,"Y","low",311,"X","medium",266,"X","low",118,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","31-03-2024","11:16:00","14:16:00","31-03-2024 14:09","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
201,11,"X","low",393,"Z","low",221,"Z","medium",349,"Y","low",254,"Z","low",189,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","09-01-2024","20:28:00","21:38:00","09-01-2024 21:34","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","R","Senator John Cornyn (TX)","Chairman Ask Question"
202,47,"Y","high",265,"Z","low",29,"X","low",240,"X","medium",102,"X","high",251,"ARCHIVE","south_america","ARCHIVE","Storage Johannesburg Original_Region","07-02-2024","15:09:00","15:48:00","07-02-2024 15:38","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
203,256,"X","high",253,"X","high",238,"Z","high",131,"Y","medium",3,"Y","low",498,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","18-02-2024","20:12:00","21:53:00","18-02-2024 21:49","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","R","Senator John Cornyn (TX)","Analyze Senator"
204,132,"X","high",456,"X","low",253,"Z","high",344,"Y","medium",402,"X","high",436,"ARCHIVE","north_america","ARCHIVE","Storage Johannesburg Original_Region","28-03-2024","11:05:00","11:31:00","28-03-2024 11:23","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
205,408,"X","low",426,"Y","medium",316,"X","medium",137,"Y","medium",470,"Y","low",251,"ARCHIVE","asia","ARCHIVE","Storage Johannesburg Original_Region","21-11-2024","15:25:00","18:27:00","21-11-2024 18:18","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","R","Senator John Cornyn (TX)","Analyze Senator"
206,485,"X","low",413,"Z","medium",240,"Y","high",448,"Y","medium",81,"Z","high",250,"NEARLINE","europe","OCCASIONAL_ACCESS","Europe West12 Sku_Id","16-11-2024","20:25:00","20:51:00","16-11-2024 20:49","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Dick Durbin (IL)","Senator Durbin White"
207,237,"Y","high",491,"X","medium",240,"Z","medium",312,"Z","low",140,"Y","low",264,"NEARLINE","asia","OCCASIONAL_ACCESS","Europe West12 Sku_Id","30-08-2024","17:09:00","17:51:00","30-08-2024 17:43","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Richard Blumenthal (D-CT)","Analyze Senator"
208,13,"Z","high",372,"Y","medium",484,"X","medium",220,"Y","high",176,"Y","low",146,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","23-10-2024","06:43:00","10:18:00","23-10-2024 10:14","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Dick Durbin (IL)","Senator Durbin White"
209,35,"Z","high",467,"X","high",108,"Z","low",116,"Y","high",406,"X","high",217,"ARCHIVE","oceania","ARCHIVE","Storage Johannesburg Original_Region","30-06-2024","10:51:00","12:55:00","30-06-2024 12:45","Cnnpolitics Polls Underestimating","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
210,407,"X","medium",476,"Z","high",191,"Z","high",378,"Y","low",203,"Z","high",190,"COLDLINE","asia","RARE_ACCESS","Europe West12 Sku_Id","30-07-2024","06:58:00","08:18:00","30-07-2024 08:17","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","D","Senator Dick Durbin (IL)","Executive Privilege Limit"
211,171,"Y","high",9,"Z","high",254,"Z","low",304,"Y","medium",21,"Z","low",34,"ARCHIVE","europe","ARCHIVE","Storage Johannesburg Original_Region","25-01-2024","16:13:00","18:51:00","25-01-2024 18:42","Cnnpolitics Polls Underestimating","2020 Presidential Election","Senator","R","Senator John Neely Kennedy (LA)","Chairman Ask Question"
212,440,"Z","low",327,"X","medium",146,"Y","high",441,"Y","low",292,"X","medium",208,"COLDLINE","europe","RARE_ACCESS","Europe West12 Sku_Id","08-04-2024","19:08:00","21:02:00","08-04-2024 20:56","New Covid Lockdowns","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
213,253,"X","high",166,"X","low",240,"Z","high",353,"X","medium",73,"X","low",251,"NEARLINE","north_america","OCCASIONAL_ACCESS","Europe West12 Sku_Id","30-04-2024","11:42:00","15:21:00","30-04-2024 15:17","Scammers Cnn Epik","Turned Movie Different","Senator","R","Senator John Neely Kennedy (LA)","Chairman Ask Question"
214,439,"Z","medium",247,"X","low",305,"Z","high",394,"X","high",322,"Y","low",152,"COLDLINE","south_america","RARE_ACCESS","Europe West12 Sku_Id","27-08-2024","07:23:00","09:11:00","27-08-2024 09:09","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
215,256,"Y","low",83,"Z","medium",118,"Z","medium",46,"X","medium",428,"Y","high",306,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","14-05-2024","17:22:00","19:10:00","14-05-2024 19:03","Scammers Cnn Epik","Point Tally Nba","Senator","R","Senator John Neely Kennedy (LA)","Executive Privilege Limit"
216,429,"X","high",337,"Z","medium",439,"Y","medium",12,"X","high",33,"X","high",356,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","24-08-2024","18:50:00","19:09:00","24-08-2024 19:06","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Executive Privilege Limit"
217,273,"Z","medium",417,"Y","low",396,"Z","low",329,"Z","medium",497,"X","low",23,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","13-11-2024","19:28:00","20:25:00","13-11-2024 20:24","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator John Neely Kennedy (LA)","Chairman Ask Question"
218,218,"Z","low",205,"X","high",214,"X","low",245,"X","low",331,"X","high",171,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","08-08-2024","12:01:00","12:53:00","08-08-2024 12:47","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
219,264,"X","high",349,"Y","medium",231,"Y","high",445,"Z","high",25,"Z","medium",15,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","31-08-2024","13:32:00","15:48:00","31-08-2024 15:44","Amid Inflation","Beating Forecasts Covid","Senator","R","Senator John Neely Kennedy (LA)","Chairman Ask Question"
220,163,"Z","high",162,"Z","high",474,"X","low",441,"Z","low",110,"Y","medium",410,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","04-01-2024","06:55:00","10:34:00","04-01-2024 10:31","Amid Inflation","Help Russia","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
221,301,"Z","low",374,"Z","medium",13,"Y","high",292,"X","medium",83,"X","medium",463,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","24-03-2024","10:26:00","10:54:00","24-03-2024 10:48","Companies Pulling Russia","Help Russia","Senator","R","Senator John Neely Kennedy (LA)","Analyze Senator"
222,385,"Y","high",41,"Y","medium",189,"Z","high",364,"Y","high",254,"X","high",231,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","18-04-2024","06:29:00","08:32:00","18-04-2024 08:31","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
223,405,"Y","high",440,"Z","low",30,"X","low",210,"Y","high",361,"Z","low",472,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","18-03-2024","18:37:00","20:51:00","18-03-2024 20:46","Abortion Travel","Niger State Television","Senator","R","Senator John Neely Kennedy (LA)","Chairman Ask Question"
224,489,"X","low",189,"Z","low",69,"Z","high",479,"Y","low",186,"Y","high",314,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","13-06-2024","16:16:00","20:09:00","13-06-2024 20:07","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
225,256,"Y","medium",252,"Z","medium",240,"X","low",17,"Y","high",264,"Y","low",434,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","17-07-2024","08:11:00","10:06:00","17-07-2024 09:58","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Chris Coons (DE)","Chairman Ask Question"
226,384,"Z","high",401,"Z","medium",50,"Z","low",146,"Y","high",174,"Y","high",473,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","24-09-2024","08:51:00","10:26:00","24-09-2024 10:25","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Analyze Senator"
227,444,"Z","low",14,"X","high",478,"Z","medium",348,"Z","high",202,"X","medium",293,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","01-05-2024","10:52:00","14:01:00","01-05-2024 13:58","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Chris Coons (DE)","Chairman Ask Question"
228,8,"Y","high",472,"Y","medium",391,"X","low",393,"Y","low",319,"Z","medium",223,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","24-07-2024","20:26:00","21:23:00","24-07-2024 21:20","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
229,237,"X","medium",307,"Y","medium",320,"X","low",121,"X","low",97,"X","medium",370,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","21-08-2024","15:19:00","15:49:00","21-08-2024 15:40","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Chris Coons (DE)","Chairman Ask Question"
230,350,"Z","high",487,"Z","high",370,"Z","medium",400,"Y","low",379,"Z","medium",85,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","11-05-2024","07:13:00","07:59:00","11-05-2024 07:56","Amid Inflation","2020 Presidential Election","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
231,228,"Z","high",265,"Z","medium",92,"Y","high",230,"Z","medium",472,"Y","low",148,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","18-08-2024","14:45:00","18:31:00","18-08-2024 18:26","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Chris Coons (DE)","Executive Privilege Limit"
232,50,"X","medium",103,"Z","high",58,"Y","low",428,"Z","low",487,"X","high",274,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","22-10-2024","06:29:00","07:00:00","22-10-2024 06:54","Companies Pulling Russia","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Executive Privilege Limit"
233,327,"Z","medium",291,"Z","high",240,"X","medium",133,"X","low",86,"Y","medium",100,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","18-04-2024","12:05:00","12:56:00","18-04-2024 12:51","Amid Inflation","International Women","Senator","D","Senator Kamala Harris (CA)","Chairman Ask Question"
234,203,"X","medium",285,"Y","high",382,"Z","medium",346,"Y","high",205,"X","low",248,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","17-06-2024","18:30:00","22:19:00","17-06-2024 22:09","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
235,308,"Z","medium",460,"Z","low",152,"X","low",103,"Z","high",132,"Z","high",427,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","05-09-2024","07:09:00","10:38:00","05-09-2024 10:37","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Kamala Harris (CA)","Executive Privilege Limit"
236,0,"Z","high",287,"Y","medium",87,"X","low",69,"X","low",317,"Y","medium",251,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","07-07-2024","08:52:00","10:13:00","07-07-2024 10:04","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
237,5,"Y","medium",203,"Z","low",392,"Y","medium",352,"X","medium",162,"Z","low",445,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","07-03-2024","21:48:00","01:42:00","08-03-2024 01:35","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
238,301,"X","medium",265,"Z","high",240,"Z","high",340,"X","medium",197,"X","medium",430,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","02-09-2024","20:24:00","00:24:00","03-09-2024 00:23","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
239,491,"X","high",162,"X","high",268,"Y","low",146,"X","low",69,"Y","medium",166,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","26-04-2024","10:50:00","11:31:00","26-04-2024 11:26","Amid Inflation","Beating Forecasts Covid","Senator","D","Senator Richard Blumenthal (D-CT)","Senator Blumenthal Chair"
240,319,"X","high",290,"Z","medium",240,"Z","medium",245,"Z","low",279,"X","low",356,"STANDARD","europe","FREQUENT_ACCESS","Europe West12 Sku_Id","05-04-2024","14:09:00","16:01:00","05-04-2024 16:00","Amid Inflation","Beating Forecasts Covid","Chairman","R","Senator Chuck Grassley (IA)","Chairman Grassley Appreciate"
