id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10
380,0,0,347069,7.775,,S,,,medium,89,D,medium,63,A,unknown,
381,0,0,PC 17757,227.525,,C,0,B,high,10,B,medium,28,B,,98
382,0,2,2653,15.7417,,C,,D,low,,B,low,96,,unknown,81
383,0,0,STON/O 2. 3101293,7.925,,S,94,B,medium,,A,medium,70,,high,
384,1,0,113789,52,,S,,,,,C,low,42,,,
385,0,0,349227,7.8958,,S,3,A,unknown,,B,,13,,medium,72
386,0,0,S.O.C. 14879,73.5,,S,12,B,low,84,B,medium,97,B,,33
387,5,2,CA 2144,46.9,,S,6,B,unknown,10,C,high,,C,unknown,51
388,0,0,27849,13,,S,83,A,medium,,A,unknown,,,low,14
389,0,0,367655,7.7292,,Q,89,B,high,61,,low,83,,,
390,0,0,SC 1748,12,,C,15,,high,2,D,unknown,60,D,high,
391,1,2,113760,120,B96 B98,S,74,A,,74,C,medium,,,unknown,72
392,0,0,350034,7.7958,,S,17,,unknown,,C,,23,A,unknown,60
393,2,0,3101277,7.925,,S,36,C,low,75,,,7,A,low,
394,1,0,35273,113.275,D36,C,59,D,low,,C,unknown,,,,50
395,0,2,PP 9549,16.7,G6,S,,C,unknown,19,B,low,,C,,
396,0,0,350052,7.7958,,S,87,A,high,,,,,,low,
397,0,0,350407,7.8542,,S,4,,unknown,6,A,,16,A,,1
398,0,0,28403,26,,S,19,B,medium,53,C,,57,C,,
399,0,0,244278,10.5,,S,,B,,,C,high,12,A,low,
400,0,0,240929,12.65,,S,31,A,low,,,medium,,A,,36
401,0,0,STON/O 2. 3101289,7.925,,S,99,D,medium,20,,medium,79,A,high,87
402,0,0,341826,8.05,,S,77,,low,76,D,,,C,unknown,64
403,1,0,4137,9.825,,S,,C,unknown,69,,,94,B,low,60
404,1,0,STON/O2. 3101279,15.85,,S,97,,,,C,,31,B,,
405,0,0,315096,8.6625,,S,,D,unknown,,D,unknown,94,C,low,50
406,1,0,28664,21,,S,,A,low,6,,,78,A,high,70
407,0,0,347064,7.75,,S,43,,low,44,A,unknown,33,,unknown,
408,1,1,29106,18.75,,S,14,B,,,B,unknown,,,unknown,60
409,0,0,312992,7.775,,S,,,,11,D,medium,10,C,medium,17
410,3,1,4133,25.4667,,S,1,B,medium,55,B,high,,,medium,67
411,0,0,349222,7.8958,,S,17,A,medium,,D,,20,C,,7
412,0,0,394140,6.8583,,Q,22,,,,,,26,,unknown,31
413,1,0,19928,90,C78,Q,27,B,,,,high,41,A,,91
414,0,0,239853,0,,S,13,A,low,8,B,medium,,C,low,
415,0,0,STON/O 2. 3101269,7.925,,S,1,,,67,C,high,80,A,unknown,90
416,0,0,343095,8.05,,S,67,A,low,33,,medium,69,B,,35
417,1,1,28220,32.5,,S,96,,low,,,high,15,,unknown,68
418,0,2,250652,13,,S,12,B,,19,C,medium,16,,low,70
419,0,0,28228,13,,S,,,medium,97,,medium,,C,,
420,0,2,345773,24.15,,S,50,C,,25,D,,94,D,medium,
421,0,0,349254,7.8958,,C,92,A,medium,68,D,,,C,high,96
422,0,0,A/5. 13032,7.7333,,Q,69,,medium,,B,,,B,medium,11
423,0,0,315082,7.875,,S,,D,medium,18,,low,14,A,medium,
424,1,1,347080,14.4,,S,,A,high,30,,low,23,C,medium,44
425,1,1,370129,20.2125,,S,41,B,,1,B,,,D,unknown,67
426,0,0,A/4. 34244,7.25,,S,,A,low,,C,,20,B,,55
427,1,0,2003,26,,S,86,,medium,33,,low,61,,,
428,0,0,250655,26,,S,80,,low,49,A,unknown,92,,low,9
429,0,0,364851,7.75,,Q,2,A,medium,15,B,,,C,high,51
430,0,0,SOTON/O.Q. 392078,8.05,E10,S,71,A,,82,,high,60,C,high,83
431,0,0,110564,26.55,C52,S,8,B,medium,21,B,low,,A,high,
432,1,0,376564,16.1,,S,73,C,low,,,unknown,,A,low,27
433,1,0,SC/AH 3085,26,,S,82,B,high,87,C,high,0,,unknown,86
434,0,0,STON/O 2. 3101274,7.125,,S,13,,low,71,,,11,B,unknown,35
435,1,0,13507,55.9,E44,S,43,,low,60,B,,,,unknown,56
436,1,2,113760,120,B96 B98,S,12,D,,,A,medium,,B,unknown,
437,2,2,W./C. 6608,34.375,,S,56,A,unknown,,D,,32,,medium,52
438,2,3,29106,18.75,,S,92,C,unknown,96,D,unknown,52,C,,
439,1,4,19950,263,C23 C25 C27,S,,D,high,,D,,57,A,medium,
440,0,0,C.A. 18723,10.5,,S,39,A,high,40,A,high,66,,,47
441,1,1,F.C.C. 13529,26.25,,S,97,D,high,25,C,high,,,medium,
442,0,0,345769,9.5,,S,,,high,,,unknown,37,,high,65
443,1,0,347076,7.775,,S,,B,high,97,D,medium,88,A,unknown,41
444,0,0,230434,13,,S,48,,unknown,69,,low,5,A,high,52
445,0,0,65306,8.1125,,S,50,C,,3,C,,,C,unknown,
446,0,2,33638,81.8583,A34,S,66,,low,46,A,high,95,,unknown,86
447,0,1,250644,19.5,,S,,,medium,,C,,17,A,low,12
448,0,0,113794,26.55,,S,,C,unknown,,D,medium,99,,unknown,87
449,2,1,2666,19.2583,,C,52,D,medium,77,A,high,28,A,unknown,
450,0,0,113786,30.5,C104,S,28,B,low,70,,,36,A,,
451,1,2,C.A. 34651,27.75,,S,,,unknown,6,,,,C,,2
452,1,0,65303,19.9667,,S,,B,high,55,A,unknown,94,A,,
453,0,0,113051,27.75,C111,C,,D,,,,,,A,unknown,5
454,1,0,17453,89.1042,C92,C,2,D,medium,48,,high,16,D,,
455,0,0,A/5 2817,8.05,,S,59,,low,,B,,48,A,low,
456,0,0,349240,7.8958,,C,,C,medium,,D,medium,15,C,low,76
457,0,0,13509,26.55,E38,S,,D,medium,86,D,high,78,D,low,70
458,1,0,17464,51.8625,D21,S,63,B,unknown,46,B,low,,D,,84
459,0,0,F.C.C. 13531,10.5,,S,84,,,53,A,,49,D,unknown,0
460,0,0,371060,7.75,,Q,10,,low,62,,high,39,B,high,78
461,0,0,19952,26.55,E12,S,72,A,,65,A,high,3,D,low,31
462,0,0,364506,8.05,,S,,,unknown,63,D,medium,5,,,
463,0,0,111320,38.5,E63,S,,A,medium,78,C,high,51,,medium,76
464,0,0,234360,13,,S,,,medium,98,C,low,39,A,,68
465,0,0,A/S 2816,8.05,,S,0,,high,82,A,high,12,C,,41
466,0,0,SOTON/O.Q. 3101306,7.05,,S,96,B,high,13,,unknown,13,D,medium,61
467,0,0,239853,0,,S,16,B,medium,,C,unknown,,,,46
468,0,0,113792,26.55,,S,59,B,unknown,,,unknown,,D,,62
469,0,0,36209,7.725,,Q,18,B,high,50,B,,60,,medium,45
470,2,1,2666,19.2583,,C,93,B,low,52,,low,83,D,high,39
471,0,0,323592,7.25,,S,,C,,71,,high,6,C,,20
472,0,0,315089,8.6625,,S,,D,unknown,,B,low,,B,,38
473,1,2,C.A. 34651,27.75,,S,43,C,medium,26,C,medium,,A,,
474,0,0,SC/AH Basle 541,13.7917,D,C,46,C,high,45,B,high,20,,unknown,87
475,0,0,7553,9.8375,,S,,D,,,,high,53,,,
476,0,0,110465,52,A14,S,78,D,,31,C,high,,B,medium,18
477,1,0,31027,21,,S,84,,unknown,2,,unknown,,C,low,50
478,1,0,3460,7.0458,,S,1,C,low,97,,low,,,,
479,0,0,350060,7.5208,,S,,A,high,,B,unknown,66,B,high,
480,0,1,3101298,12.2875,,S,,A,high,60,,,75,A,,32
481,5,2,CA 2144,46.9,,S,,D,low,,A,medium,0,B,,4
482,0,0,239854,0,,S,82,,,27,,medium,,A,,5
483,0,0,A/5 3594,8.05,,S,25,D,,34,,high,50,A,low,
484,0,0,4134,9.5875,,S,79,,medium,28,B,high,36,,high,72
485,1,0,11967,91.0792,B49,C,,D,,,,medium,,,unknown,86
486,3,1,4133,25.4667,,S,23,C,low,15,B,low,,C,medium,49
487,1,0,19943,90,C93,S,33,D,,,D,low,75,C,unknown,
488,0,0,11771,29.7,B37,C,53,A,,45,,medium,82,C,low,92
489,0,0,A.5. 18509,8.05,,S,76,D,,53,B,,41,,,27
490,1,1,C.A. 37671,15.9,,S,,A,,1,,high,93,A,unknown,15
491,1,0,65304,19.9667,,S,93,B,,84,C,unknown,92,C,high,13
492,0,0,SOTON/OQ 3101317,7.25,,S,,A,low,67,,low,66,D,high,35
493,0,0,113787,30.5,C30,S,75,B,medium,7,B,medium,58,A,unknown,73
494,0,0,PC 17609,49.5042,,C,,,high,84,C,low,,,medium,
495,0,0,A/4 45380,8.05,,S,,B,unknown,3,C,,60,C,,
496,0,0,2627,14.4583,,C,41,,unknown,,A,,,D,,34
497,1,0,36947,78.2667,D20,C,,C,high,46,D,low,97,B,low,
498,0,0,C.A. 6212,15.1,,S,37,C,low,,C,,19,D,high,68
499,1,2,113781,151.55,C22 C26,S,92,D,,95,A,high,66,A,medium,66
500,0,0,350035,7.7958,,S,,,low,,C,unknown,73,,unknown,43
501,0,0,315086,8.6625,,S,11,B,low,,C,,,D,unknown,
502,0,0,364846,7.75,,Q,65,D,high,57,D,medium,34,B,medium,
503,0,0,330909,7.6292,,Q,96,,,,,high,86,C,high,65
504,0,0,4135,9.5875,,S,86,,low,72,B,high,48,A,,81
505,0,0,110152,86.5,B79,S,27,B,low,88,A,high,38,C,medium,
506,1,0,PC 17758,108.9,C65,C,,A,high,,C,low,15,C,unknown,85
507,0,2,26360,26,,S,,,medium,,,,32,,medium,
508,0,0,111427,26.55,,S,,,high,51,B,,97,A,,
509,0,0,C 4001,22.525,,S,26,A,medium,,,unknown,,,high,95
510,0,0,1601,56.4958,,S,23,C,high,,C,unknown,,,unknown,56
511,0,0,382651,7.75,,Q,99,A,,,B,high,,D,high,27
512,0,0,SOTON/OQ 3101316,8.05,,S,74,C,,70,,high,,A,unknown,60
513,0,0,PC 17473,26.2875,E25,S,84,,medium,51,B,,66,C,medium,62
514,1,0,PC 17603,59.4,,C,81,,high,,,unknown,37,D,medium,
515,0,0,349209,7.4958,,S,95,B,high,42,B,medium,84,C,medium,20
516,0,0,36967,34.0208,D46,S,10,,high,49,D,medium,42,B,low,
517,0,0,C.A. 34260,10.5,F33,S,,,,,C,high,85,A,,54
518,0,0,371110,24.15,,Q,,A,low,55,C,,74,B,medium,14
519,1,0,226875,26,,S,47,C,,79,,,77,A,unknown,77
520,0,0,349242,7.8958,,S,59,C,high,2,C,high,92,A,unknown,
521,0,0,12749,93.5,B73,S,35,A,high,75,A,high,79,B,,93
522,0,0,349252,7.8958,,S,,C,,50,,medium,,,medium,67
523,0,0,2624,7.225,,C,19,A,,,B,high,52,A,high,33
524,0,1,111361,57.9792,B18,C,,A,high,47,C,,,,unknown,37
525,0,0,2700,7.2292,,C,,D,,47,C,medium,6,,low,69
526,0,0,367232,7.75,,Q,,D,,12,B,,59,,unknown,8
527,0,0,W./C. 14258,10.5,,S,,B,high,,B,,,,unknown,71
528,0,0,PC 17483,221.7792,C95,S,14,D,medium,70,C,unknown,,D,unknown,55
529,0,0,3101296,7.925,,S,91,D,high,,,high,10,C,low,22
530,2,1,29104,11.5,,S,92,,,9,A,unknown,50,A,unknown,89
531,1,1,26360,26,,S,59,A,unknown,21,B,,57,A,high,62
532,0,0,2641,7.2292,,C,16,,,87,,unknown,10,C,high,16
533,1,1,2690,7.2292,,C,15,C,,,D,high,63,,low,65
534,0,2,2668,22.3583,,C,,,low,50,,unknown,16,,medium,41
535,0,0,315084,8.6625,,S,57,,,,D,unknown,14,D,medium,76
536,0,2,F.C.C. 13529,26.25,,S,15,B,unknown,,C,unknown,40,D,unknown,49
537,0,0,113050,26.55,B38,S,45,A,,85,B,,,C,,99
538,0,0,PC 17761,106.425,,C,11,D,,89,,high,91,C,,92
539,0,0,364498,14.5,,S,,,low,28,D,unknown,,D,,4
540,0,2,13568,49.5,B39,C,2,,unknown,58,A,medium,,A,low,
541,0,2,WE/P 5735,71,B22,S,70,D,,,A,low,73,C,unknown,
542,4,2,347082,31.275,,S,,,,,B,unknown,,,unknown,
543,4,2,347082,31.275,,S,19,,high,0,A,high,98,A,medium,14
544,1,0,2908,26,,S,17,A,medium,97,D,,74,A,high,53
545,1,0,PC 17761,106.425,C86,C,83,,high,35,D,high,,B,unknown,15
546,0,0,693,26,,S,5,,,,C,low,94,B,high,
547,1,0,2908,26,,S,42,B,low,61,,medium,10,D,high,45
548,0,0,SC/PARIS 2146,13.8625,,C,,C,,78,A,medium,45,B,low,99
549,1,1,363291,20.525,,S,51,B,,,C,,,C,,87
550,1,1,C.A. 33112,36.75,,S,68,D,unknown,,B,unknown,0,,,
551,0,2,17421,110.8833,C70,C,80,D,low,89,B,high,45,D,high,
552,0,0,244358,26,,S,,,unknown,93,B,low,68,C,unknown,
553,0,0,330979,7.8292,,Q,82,D,high,15,,medium,79,D,,66
554,0,0,2620,7.225,,C,,C,,90,C,low,41,C,high,13
555,0,0,347085,7.775,,S,,B,unknown,90,A,unknown,86,A,,
556,0,0,113807,26.55,,S,50,C,low,,C,medium,67,C,,99
557,1,0,11755,39.6,A16,C,,D,low,21,D,,4,B,low,
558,0,0,PC 17757,227.525,,C,,,unknown,,A,medium,27,B,high,1
559,1,1,110413,79.65,E67,S,79,,low,99,D,low,93,C,medium,
560,1,0,345572,17.4,,S,85,,,,C,unknown,0,B,unknown,
561,0,0,372622,7.75,,Q,53,A,,,B,high,10,A,unknown,
562,0,0,349251,7.8958,,S,4,,unknown,19,C,medium,34,,unknown,63
563,0,0,218629,13.5,,S,49,C,,8,,,99,C,unknown,35
564,0,0,SOTON/OQ 392082,8.05,,S,18,,high,25,D,high,,,medium,35
565,0,0,SOTON/O.Q. 392087,8.05,,S,88,D,low,6,A,low,,,,
566,2,0,A/4 48871,24.15,,S,23,D,,19,A,,39,C,high,85
567,0,0,349205,7.8958,,S,22,,,7,C,,93,C,,49
568,0,4,349909,21.075,,S,24,,low,76,B,low,21,D,medium,31
569,0,0,2686,7.2292,,C,64,,high,58,A,high,57,B,high,
570,0,0,350417,7.8542,,S,,D,low,51,B,unknown,46,,,1
571,0,0,S.W./PP 752,10.5,,S,94,,medium,80,C,,,,unknown,48
572,2,0,11769,51.4792,C101,S,41,C,,41,,high,75,,low,55
573,0,0,PC 17474,26.3875,E25,S,,D,high,40,D,,83,,medium,67
574,0,0,14312,7.75,,Q,4,D,,20,B,unknown,11,D,,80
575,0,0,A/4. 20589,8.05,,S,0,A,low,,A,high,,D,,36
576,0,0,358585,14.5,,S,37,A,unknown,,,high,,D,high,
577,0,0,243880,13,,S,92,B,high,58,D,unknown,,,low,
578,1,0,13507,55.9,E44,S,52,,,,A,unknown,66,D,medium,76
579,1,0,2689,14.4583,,C,89,C,,53,B,,63,,unknown,
580,0,0,STON/O 2. 3101286,7.925,,S,10,,,29,,high,37,D,medium,3
581,1,1,237789,30,,S,9,B,high,,C,low,,B,medium,
582,1,1,17421,110.8833,C68,C,83,A,high,82,B,unknown,,,low,
583,0,0,28403,26,,S,10,A,,,,unknown,82,B,,
584,0,0,13049,40.125,A10,C,5,A,medium,25,,medium,89,A,low,50
585,0,0,3411,8.7125,,C,40,,unknown,71,,high,29,C,medium,46
586,0,2,110413,79.65,E68,S,92,C,,,A,,,A,high,37
587,0,0,237565,15,,S,68,B,,,,,32,A,,41
588,1,1,13567,79.2,B41,C,9,B,medium,31,C,,3,,,1
589,0,0,14973,8.05,,S,83,B,unknown,35,A,unknown,16,,medium,10
590,0,0,A./5. 3235,8.05,,S,84,C,medium,,B,unknown,30,A,low,75
591,0,0,STON/O 2. 3101273,7.125,,S,80,D,low,1,A,low,98,D,medium,36
592,1,0,36947,78.2667,D20,C,90,,high,,D,unknown,20,D,,
593,0,0,A/5 3902,7.25,,S,23,C,unknown,12,,,50,D,medium,39
594,0,2,364848,7.75,,Q,,,low,,D,low,,B,medium,99
595,1,0,SC/AH 29037,26,,S,,C,medium,55,,,35,A,medium,
596,1,1,345773,24.15,,S,80,A,medium,,,high,91,,,18
597,0,0,248727,33,,S,57,,low,34,B,unknown,9,C,high,58
598,0,0,LINE,0,,S,77,A,high,77,,low,87,A,high,
599,0,0,2664,7.225,,C,,B,medium,,,,74,D,unknown,14
600,1,0,PC 17485,56.9292,A20,C,64,,low,1,A,,,B,high,
601,2,1,243847,27,,S,,,medium,,D,medium,76,,high,
602,0,0,349214,7.8958,,S,77,,unknown,2,,,42,A,high,73
603,0,0,113796,42.4,,S,73,,unknown,52,D,unknown,97,B,high,56
604,0,0,364511,8.05,,S,,A,high,87,A,unknown,3,,low,65
605,0,0,111426,26.55,,C,82,A,medium,,D,medium,2,,medium,26
606,1,0,349910,15.55,,S,,,unknown,,,,,C,,28
607,0,0,349246,7.8958,,S,,C,low,,B,high,93,D,low,63
608,0,0,113804,30.5,,S,,,high,78,A,low,6,C,unknown,35
609,1,2,SC/Paris 2123,41.5792,,C,,D,,,,high,77,,,
610,0,0,PC 17582,153.4625,C125,S,85,D,high,28,,unknown,93,C,,15
611,1,5,347082,31.275,,S,83,A,low,0,,,,,low,30
612,0,0,SOTON/O.Q. 3101305,7.05,,S,,,high,44,B,low,86,,unknown,10
613,1,0,367230,15.5,,Q,78,B,high,61,,low,75,D,low,8
614,0,0,370377,7.75,,Q,38,A,unknown,,C,high,,C,,
615,0,0,364512,8.05,,S,68,,low,93,A,low,85,B,low,48
616,1,2,220845,65,,S,63,,,,,unknown,69,B,unknown,14
617,1,1,347080,14.4,,S,,,unknown,78,B,low,1,,low,9
618,1,0,A/5. 3336,16.1,,S,26,B,,2,,low,,,unknown,87
619,2,1,230136,39,F4,S,6,B,high,85,,medium,,A,high,51
620,0,0,31028,10.5,,S,13,A,low,75,A,unknown,,,low,71
621,1,0,2659,14.4542,,C,43,B,high,,C,,,,,72
622,1,0,11753,52.5542,D19,S,47,A,,58,D,medium,,B,unknown,10
623,1,1,2653,15.7417,,C,,D,,,D,high,29,,low,
624,0,0,350029,7.8542,,S,41,,low,90,,,19,D,unknown,
625,0,0,54636,16.1,,S,60,D,high,55,A,unknown,8,D,,44
626,0,0,36963,32.3208,D50,S,23,,,,,low,63,,,86
627,0,0,219533,12.35,,Q,33,D,medium,61,D,unknown,95,D,medium,
628,0,0,13502,77.9583,D9,S,36,C,,68,C,unknown,,D,,
629,0,0,349224,7.8958,,S,50,B,unknown,,C,,,D,medium,10
630,0,0,334912,7.7333,,Q,36,C,high,81,B,,,,unknown,61
631,0,0,27042,30,A23,S,73,B,,20,C,medium,17,B,,88
632,0,0,347743,7.0542,,S,32,A,,89,A,unknown,21,,,57
633,0,0,13214,30.5,B50,C,43,B,low,55,,unknown,28,D,unknown,80
634,0,0,112052,0,,S,37,,high,32,,high,68,,medium,53
635,3,2,347088,27.9,,S,,,high,,,,29,D,low,41
636,0,0,237668,13,,S,68,A,unknown,1,A,,82,,unknown,
637,0,0,STON/O 2. 3101292,7.925,,S,23,,unknown,74,A,high,36,C,,15
638,1,1,C.A. 31921,26.25,,S,29,C,,37,,,10,A,,
639,0,5,3101295,39.6875,,S,79,,,84,D,unknown,9,B,,
640,1,0,376564,16.1,,S,94,,medium,23,C,high,40,C,unknown,
641,0,0,350050,7.8542,,S,67,A,,92,,high,40,A,unknown,
642,0,0,PC 17477,69.3,B35,C,91,,high,94,B,low,,A,high,99
643,3,2,347088,27.9,,S,85,D,unknown,10,C,,47,C,,23
644,0,0,1601,56.4958,,S,48,C,,64,D,,16,A,medium,72
645,2,1,2666,19.2583,,C,,,,93,B,,21,,high,87
646,1,0,PC 17572,76.7292,D33,C,32,B,,32,C,high,56,B,unknown,83
647,0,0,349231,7.8958,,S,,A,unknown,,C,medium,33,,low,
648,0,0,13213,35.5,A26,C,,A,high,,D,unknown,67,,,17
649,0,0,S.O./P.P. 751,7.55,,S,96,A,low,47,D,,92,,high,46
650,0,0,CA. 2314,7.55,,S,84,D,low,2,C,low,35,C,high,77
651,0,0,349221,7.8958,,S,,C,unknown,84,C,,55,C,unknown,61
652,0,1,231919,23,,S,65,B,unknown,,D,medium,,B,,
653,0,0,8475,8.4333,,S,20,D,unknown,,,low,21,,low,21
654,0,0,330919,7.8292,,Q,,A,low,25,,,51,D,low,65
655,0,0,365226,6.75,,Q,,A,high,1,C,high,30,D,unknown,42
656,2,0,S.O.C. 14879,73.5,,S,53,B,unknown,,C,,62,D,,
657,0,0,349223,7.8958,,S,76,D,high,2,A,low,74,,high,93
658,1,1,364849,15.5,,Q,63,C,high,79,C,unknown,14,C,medium,0
659,0,0,29751,13,,S,,D,,51,,unknown,18,A,medium,23
660,0,2,35273,113.275,D48,C,28,,low,,,high,2,D,unknown,91
661,2,0,PC 17611,133.65,,S,,,medium,81,C,low,1,A,,
662,0,0,2623,7.225,,C,73,A,,89,,,,,,30
663,0,0,5727,25.5875,E58,S,3,A,low,12,D,high,70,D,unknown,
664,0,0,349210,7.4958,,S,,C,low,,C,high,,,unknown,
665,1,0,STON/O 2. 3101285,7.925,,S,,,,12,B,,40,D,high,
666,2,0,S.O.C. 14879,73.5,,S,69,D,unknown,68,D,unknown,,B,low,30
667,0,0,234686,13,,S,50,D,high,56,B,unknown,72,,high,53
668,0,0,312993,7.775,,S,86,C,high,8,B,high,80,A,high,
669,0,0,A/5 3536,8.05,,S,91,B,,23,,,73,,high,
670,1,0,19996,52,C126,S,,A,low,53,D,high,,,low,79
671,1,1,29750,39,,S,,C,medium,,C,low,52,B,,62
672,1,0,F.C. 12750,52,B71,S,61,C,,34,,,52,A,unknown,
673,0,0,C.A. 24580,10.5,,S,,D,unknown,,D,,64,A,medium,98
674,0,0,244270,13,,S,9,C,,99,A,low,79,B,medium,
675,0,0,239856,0,,S,62,A,,76,,high,,,low,89
676,0,0,349912,7.775,,S,,,medium,,C,high,67,C,unknown,
677,0,0,342826,8.05,,S,58,,medium,,D,,83,A,low,92
678,0,0,4138,9.8417,,S,,A,unknown,,B,high,,,medium,78
679,1,6,CA 2144,46.9,,S,52,D,medium,51,D,unknown,41,C,medium,21
680,0,1,PC 17755,512.3292,B51 B53 B55,C,93,A,unknown,44,A,unknown,,B,,20
681,0,0,330935,8.1375,,Q,72,,,83,D,medium,2,,,54
682,0,0,PC 17572,76.7292,D49,C,13,D,,,A,,,D,unknown,50
683,0,0,6563,9.225,,S,95,,,,,,80,B,unknown,23
684,5,2,CA 2144,46.9,,S,95,A,medium,,,high,17,,high,26
685,1,1,29750,39,,S,16,D,,6,D,low,,B,low,89
686,1,2,SC/Paris 2123,41.5792,,C,80,A,,69,D,,90,,unknown,
687,4,1,3101295,39.6875,,S,,C,,65,,high,49,,medium,
688,0,0,349228,10.1708,,S,59,D,unknown,58,D,medium,48,B,,
689,0,0,350036,7.7958,,S,44,C,low,5,B,high,42,A,medium,15
690,0,1,24160,211.3375,B5,S,78,A,low,49,C,low,37,,,
691,1,0,17474,57,B20,S,99,D,high,89,A,medium,38,A,,
692,0,1,349256,13.4167,,C,79,A,medium,23,A,high,55,C,,64
693,0,0,1601,56.4958,,S,,C,,69,A,high,,A,,
694,0,0,2672,7.225,,C,94,,low,85,C,unknown,,A,,23
695,0,0,113800,26.55,,S,9,,,,,unknown,86,D,medium,18
696,0,0,248731,13.5,,S,25,,medium,51,D,,11,A,unknown,
697,0,0,363592,8.05,,S,72,A,medium,,,low,30,B,,7
698,0,0,35852,7.7333,,Q,59,D,high,69,C,,75,C,unknown,
699,1,1,17421,110.8833,C68,C,5,A,,,,low,54,B,medium,86
700,0,0,348121,7.65,F G63,S,9,,medium,,B,,33,B,medium,30
701,1,0,PC 17757,227.525,C62 C64,C,52,,low,,A,low,31,,low,
702,0,0,PC 17475,26.2875,E24,S,61,C,high,71,,,11,,,
703,0,1,2691,14.4542,,C,16,C,low,24,C,low,,D,low,25
704,0,0,36864,7.7417,,Q,17,C,medium,75,,high,,C,medium,6
705,1,0,350025,7.8542,,S,,C,,54,C,,41,D,unknown,
706,0,0,250655,26,,S,56,D,low,93,D,high,,C,high,2
707,0,0,223596,13.5,,S,,,medium,65,C,high,27,,high,42
708,0,0,PC 17476,26.2875,E24,S,,D,,,A,low,,,unknown,3
709,0,0,113781,151.55,,S,47,D,unknown,97,B,,,C,unknown,
710,1,1,2661,15.2458,,C,,D,unknown,99,D,unknown,40,C,unknown,
711,0,0,PC 17482,49.5042,C90,C,,,low,74,A,high,25,D,,32
712,0,0,113028,26.55,C124,S,,D,high,59,A,medium,63,,,
713,1,0,19996,52,C126,S,72,A,high,11,D,unknown,54,B,,
714,0,0,7545,9.4833,,S,76,D,medium,,,,57,A,,
715,0,0,250647,13,,S,,C,medium,47,D,,,,high,
716,0,0,348124,7.65,F G73,S,79,,,78,,low,72,,medium,36
717,0,0,PC 17757,227.525,C45,C,51,C,medium,58,C,,,D,,
718,0,0,34218,10.5,E101,S,,B,low,43,C,,83,C,low,25
719,0,0,36568,15.5,,Q,,,,,A,low,42,A,,
720,0,0,347062,7.775,,S,59,D,medium,,,,40,C,medium,73
721,0,1,248727,33,,S,13,A,,,,,38,B,low,75
722,1,0,350048,7.0542,,S,93,B,low,,D,medium,42,,unknown,51
723,0,0,12233,13,,S,84,,low,,,low,66,B,medium,75
724,0,0,250643,13,,S,,,unknown,87,D,low,49,C,medium,59
725,1,0,113806,53.1,E8,S,78,D,low,11,D,unknown,12,A,medium,
726,0,0,315094,8.6625,,S,11,A,high,40,A,unknown,56,C,medium,35
727,3,0,31027,21,,S,,C,high,51,,,,D,unknown,51
728,0,0,36866,7.7375,,Q,8,D,high,,C,low,10,,high,
729,1,0,236853,26,,S,48,D,unknown,16,C,,,A,low,76
730,1,0,STON/O2. 3101271,7.925,,S,65,A,,,D,,31,A,low,
731,0,0,24160,211.3375,B5,S,72,,,59,,medium,,,,5
732,0,0,2699,18.7875,,C,41,,low,,,medium,17,D,,49
733,0,0,239855,0,,S,,,,16,B,high,,D,,7
734,0,0,28425,13,,S,,B,high,42,D,,,,unknown,19
735,0,0,233639,13,,S,20,,unknown,72,D,,13,B,medium,37
736,0,0,54636,16.1,,S,,,medium,73,,unknown,,A,,0
737,1,3,W./C. 6608,34.375,,S,,B,,19,C,unknown,31,B,low,22
738,0,0,PC 17755,512.3292,B101,C,,,unknown,,,medium,58,B,medium,54
739,0,0,349201,7.8958,,S,,,high,89,,,56,C,medium,37
740,0,0,349218,7.8958,,S,89,A,unknown,22,A,,,D,,89
741,0,0,16988,30,D45,S,81,A,,2,C,medium,58,D,,9
742,1,0,19877,78.85,C46,S,76,C,medium,95,,unknown,56,,low,
743,2,2,PC 17608,262.375,B57 B59 B63 B66,C,,B,,52,A,,8,A,high,59
744,1,0,376566,16.1,,S,27,,high,77,,,,,medium,64
745,0,0,STON/O 2. 3101288,7.925,,S,79,D,low,32,,,11,B,medium,67
746,1,1,WE/P 5735,71,B22,S,36,A,unknown,,A,,43,B,low,5
747,1,1,C.A. 2673,20.25,,S,53,B,low,,D,medium,36,C,low,79
748,0,0,250648,13,,S,31,C,medium,,A,,,C,medium,33
749,1,0,113773,53.1,D30,S,31,D,,47,C,unknown,,D,medium,65
750,0,0,335097,7.75,,Q,,C,high,,,unknown,,C,,
751,1,1,29103,23,,S,,B,high,,B,low,41,,unknown,39
752,0,1,392096,12.475,E121,S,14,,unknown,,A,unknown,6,A,,70
753,0,0,345780,9.5,,S,,D,,91,,,0,,medium,93
754,0,0,349204,7.8958,,S,93,B,,,A,,54,D,,87
755,1,2,220845,65,,S,55,D,,,,medium,,D,high,
756,1,1,250649,14.5,,S,43,D,unknown,51,D,medium,54,B,medium,53
757,0,0,350042,7.7958,,S,73,,medium,,D,,72,,,52
758,0,0,29108,11.5,,S,38,A,,82,,unknown,75,A,,96
