id,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
323,Q,,C,,,B,,84,,low,11,Y,low,145,X,medium,55,Y,low,373
324,S,91,B,,,B,medium,25,,high,,Z,medium,306,X,medium,379,X,medium,440
325,S,,B,medium,70,D,high,96,B,high,65,Y,medium,190,,high,151,Z,medium,180
326,C,23,B,high,30,,unknown,75,,,28,X,low,21,Y,medium,54,Z,low,443
327,S,23,C,unknown,99,A,low,89,B,low,13,X,high,318,Y,low,130,Y,low,349
328,S,3,,high,25,,high,50,,medium,57,Y,high,44,X,low,274,Y,medium,1
329,S,,C,medium,29,,low,22,A,low,,Z,high,163,Y,low,,Z,high,101
330,C,55,D,medium,71,A,low,3,D,high,,Y,low,309,Z,medium,345,Y,medium,320
331,Q,54,,high,78,C,,53,,low,38,X,low,440,X,,116,Y,high,350
332,S,,C,medium,12,C,high,39,D,high,,Z,low,157,X,high,147,Z,,46
333,S,30,,high,55,,low,11,C,unknown,24,Y,high,149,X,low,152,,medium,342
334,S,82,C,,,B,medium,,D,high,28,X,high,150,Y,medium,368,Z,high,405
335,S,,,,61,,,97,,,14,Y,medium,287,Z,low,259,X,medium,45
336,S,80,,unknown,55,,medium,,D,,,X,low,96,X,high,11,,high,439
337,S,96,,medium,,B,unknown,,C,,14,Z,medium,,Z,medium,38,Y,high,266
338,C,31,,medium,,,,,D,,68,Z,high,400,Z,medium,37,X,high,308
339,S,20,,high,65,,,,,,,X,medium,,Y,medium,480,Z,low,25
340,S,95,,,67,D,,62,,unknown,,Y,low,482,Z,low,252,Y,low,306
341,S,63,,unknown,,C,high,41,C,unknown,,X,,265,,low,245,Z,high,227
342,S,29,,low,,,medium,,A,medium,63,Y,high,313,Z,high,380,,high,185
343,S,62,B,unknown,72,B,,18,,medium,75,X,high,308,Y,low,95,Y,medium,390
344,S,51,C,,77,,medium,66,A,low,56,Z,medium,472,X,high,15,Y,low,
345,S,,A,,12,B,low,98,A,,,X,high,332,Z,low,,Y,high,29
346,S,25,C,high,88,,low,85,,high,25,Z,low,441,Y,low,,,medium,249
347,S,99,,unknown,,,medium,4,,,,X,high,142,X,high,399,X,low,371
348,S,,,low,,C,unknown,11,A,medium,,X,low,108,Z,high,409,Y,medium,66
349,S,,,high,48,,low,62,B,low,,Z,medium,321,Y,high,317,,low,492
350,S,16,B,low,48,,,92,B,low,49,Z,medium,76,Z,high,454,,low,336
351,S,,A,low,91,,medium,84,C,,90,X,high,55,Z,medium,232,Y,low,467
352,S,,B,unknown,96,A,high,90,,low,27,X,low,105,X,low,120,Z,high,235
353,C,29,C,high,80,A,low,14,C,,51,Z,low,135,Z,medium,165,X,low,61
354,S,43,A,medium,65,B,low,51,B,,,Z,high,48,,medium,70,Z,medium,88
355,C,96,C,high,10,B,low,72,D,,63,Y,medium,364,Z,high,450,Y,low,250
356,S,99,A,medium,91,C,medium,62,B,,,X,high,291,X,,302,,,294
357,S,15,D,medium,13,A,,77,B,high,41,X,medium,100,Z,low,386,Z,high,367
358,S,89,C,medium,16,B,unknown,21,A,medium,0,X,medium,141,Z,medium,140,X,high,397
359,Q,,B,medium,6,D,,45,D,,,Z,high,464,Z,high,359,X,low,381
360,Q,,C,unknown,94,D,,44,,low,,X,high,,Y,high,165,Y,medium,294
361,S,84,A,medium,,D,,93,B,high,,Y,,61,Z,medium,223,Z,low,9
362,C,,A,medium,,,,20,B,unknown,,Z,high,306,,medium,325,X,medium,264
363,C,22,D,high,8,A,medium,32,D,high,14,X,low,161,X,medium,490,Y,low,409
364,S,89,D,unknown,41,,medium,,,medium,,,low,179,Z,medium,279,X,medium,423
365,Q,,,medium,72,A,high,15,A,high,79,Z,high,299,Y,medium,355,X,medium,417
366,S,,B,unknown,99,,,,A,unknown,45,X,medium,492,X,low,297,Z,high,5
367,C,46,A,medium,,,medium,84,C,low,5,X,low,291,Y,medium,211,X,medium,217
368,C,31,,high,60,D,medium,,A,high,6,X,low,476,X,medium,466,Y,high,
369,Q,,B,unknown,83,C,high,70,,low,67,X,medium,410,Y,,,,low,
370,C,77,,,90,B,high,59,A,,,X,medium,389,Y,high,155,X,high,204
371,C,33,C,low,27,B,low,,D,unknown,,Z,high,395,Z,high,447,Z,high,48
372,S,66,A,high,,D,,30,D,medium,40,X,high,395,Z,low,225,Y,high,96
373,S,41,D,,51,D,high,99,,,49,X,high,127,Y,medium,369,,high,2
374,C,,C,medium,93,C,high,,,medium,16,Z,medium,488,Z,medium,258,Z,low,489
375,S,,,unknown,11,D,,71,B,low,,X,high,459,X,,383,Y,,429
376,C,9,,,9,B,high,,,,76,X,high,300,Z,medium,435,Z,low,201
377,S,,C,high,,B,high,,C,,42,X,high,355,X,,211,X,high,2
378,C,74,,high,67,D,medium,,,low,49,Z,medium,440,Z,high,350,X,medium,167
379,C,37,A,low,17,B,high,84,C,low,,Z,low,76,Z,,253,X,medium,217
380,S,,,medium,89,D,medium,63,A,unknown,,,low,32,X,high,399,Y,medium,84
381,C,0,B,high,10,B,medium,28,B,,98,Z,high,497,X,high,95,Z,medium,330
382,C,,D,low,,B,low,96,,unknown,81,X,high,277,Z,high,364,Z,medium,498
383,S,94,B,medium,,A,medium,70,,high,,Y,high,361,Z,high,297,Y,high,421
384,S,,,,,C,low,42,,,,Y,,251,Z,medium,225,X,low,428
385,S,3,A,unknown,,B,,13,,medium,72,X,medium,258,X,medium,,Y,high,415
386,S,12,B,low,84,B,medium,97,B,,33,Z,low,18,Y,medium,350,Y,medium,34
387,S,6,B,unknown,10,C,high,,C,unknown,51,Y,low,144,Y,high,173,Y,medium,275
388,S,83,A,medium,,A,unknown,,,low,14,Z,high,43,Z,medium,16,Z,high,282
389,Q,89,B,high,61,,low,83,,,,X,low,216,Z,high,474,Y,,50
390,C,15,,high,2,D,unknown,60,D,high,,Z,medium,10,Z,high,223,Z,low,73
391,S,74,A,,74,C,medium,,,unknown,72,X,high,401,Y,,82,Y,low,282
392,S,17,,unknown,,C,,23,A,unknown,60,X,medium,147,X,medium,112,X,high,357
393,S,36,C,low,75,,,7,A,low,,Y,high,370,Z,medium,414,X,medium,104
394,C,59,D,low,,C,unknown,,,,50,X,medium,26,X,high,165,Z,medium,242
395,S,,C,unknown,19,B,low,,C,,,X,high,16,X,low,140,Y,high,37
396,S,87,A,high,,,,,,low,,Z,low,,X,low,243,X,low,55
397,S,4,,unknown,6,A,,16,A,,1,Y,medium,394,Y,low,14,X,low,290
398,S,19,B,medium,53,C,,57,C,,,Y,low,406,X,,280,X,medium,278
399,S,,B,,,C,high,12,A,low,,X,,272,,high,20,Z,high,375
400,S,31,A,low,,,medium,,A,,36,Z,high,306,X,high,417,X,low,455
401,S,99,D,medium,20,,medium,79,A,high,87,Z,medium,344,Z,medium,214,X,high,94
402,S,77,,low,76,D,,,C,unknown,64,Z,medium,336,Y,low,109,Y,high,170
403,S,,C,unknown,69,,,94,B,low,60,Y,medium,370,X,medium,227,Y,low,427
404,S,97,,,,C,,31,B,,,Y,low,15,Z,high,87,X,low,25
405,S,,D,unknown,,D,unknown,94,C,low,50,X,low,214,Y,low,160,X,high,414
406,S,,A,low,6,,,78,A,high,70,X,,419,X,medium,65,,low,472
407,S,43,,low,44,A,unknown,33,,unknown,,X,low,219,Y,medium,334,X,high,49
408,S,14,B,,,B,unknown,,,unknown,60,Y,medium,73,,,488,Z,high,
409,S,,,,11,D,medium,10,C,medium,17,Z,low,332,Z,medium,242,Y,low,342
410,S,1,B,medium,55,B,high,,,medium,67,Z,high,151,Y,medium,49,X,,237
411,S,17,A,medium,,D,,20,C,,7,X,low,255,,high,37,,medium,493
412,Q,22,,,,,,26,,unknown,31,X,medium,258,X,high,416,Z,medium,272
413,Q,27,B,,,,high,41,A,,91,X,high,348,Z,medium,174,Y,high,327
414,S,13,A,low,8,B,medium,,C,low,,X,medium,464,Z,high,148,Z,medium,118
415,S,1,,,67,C,high,80,A,unknown,90,Y,medium,346,Y,high,50,Z,,
416,S,67,A,low,33,,medium,69,B,,35,Z,,499,Y,medium,331,X,low,88
417,S,96,,low,,,high,15,,unknown,68,X,medium,9,Y,high,31,X,low,73
418,S,12,B,,19,C,medium,16,,low,70,Z,low,,X,medium,452,Z,low,56
419,S,,,medium,97,,medium,,C,,,Y,medium,208,Z,medium,104,X,medium,446
420,S,50,C,,25,D,,94,D,medium,,Y,medium,364,Z,low,34,Z,low,34
421,C,92,A,medium,68,D,,,C,high,96,Z,high,42,Z,high,,X,high,258
422,Q,69,,medium,,B,,,B,medium,11,Z,medium,263,X,low,177,Z,high,254
423,S,,D,medium,18,,low,14,A,medium,,,high,14,Z,high,348,Z,high,27
424,S,,A,high,30,,low,23,C,medium,44,Y,low,332,,high,19,,high,421
425,S,41,B,,1,B,,,D,unknown,67,X,medium,108,Z,high,430,Z,low,250
426,S,,A,low,,C,,20,B,,55,Z,medium,72,Z,low,154,,high,63
427,S,86,,medium,33,,low,61,,,,Z,high,39,Z,medium,378,Z,medium,64
428,S,80,,low,49,A,unknown,92,,low,9,Z,medium,134,Z,high,467,Z,high,350
429,Q,2,A,medium,15,B,,,C,high,51,Y,high,,X,medium,267,Y,high,309
430,S,71,A,,82,,high,60,C,high,83,X,low,492,X,medium,167,,medium,206
431,S,8,B,medium,21,B,low,,A,high,,,high,40,X,medium,156,,low,
432,S,73,C,low,,,unknown,,A,low,27,Y,high,489,Y,low,343,X,high,17
433,S,82,B,high,87,C,high,0,,unknown,86,Y,medium,293,Z,medium,2,Y,medium,15
434,S,13,,low,71,,,11,B,unknown,35,X,low,161,,high,73,Y,medium,267
435,S,43,,low,60,B,,,,unknown,56,Z,medium,471,Y,low,323,Y,medium,181
436,S,12,D,,,A,medium,,B,unknown,,Y,high,120,Z,low,12,Y,high,126
437,S,56,A,unknown,,D,,32,,medium,52,X,medium,90,X,,144,Y,medium,189
438,S,92,C,unknown,96,D,unknown,52,C,,,Y,low,114,,medium,,X,low,302
439,S,,D,high,,D,,57,A,medium,,Z,medium,72,Y,low,125,Z,high,146
440,S,39,A,high,40,A,high,66,,,47,Y,high,242,X,medium,465,X,medium,174
441,S,97,D,high,25,C,high,,,medium,,,low,70,Y,high,487,Y,low,141
442,S,,,high,,,unknown,37,,high,65,Z,medium,111,Z,low,16,Z,medium,333
443,S,,B,high,97,D,medium,88,A,unknown,41,Y,medium,185,Z,low,87,Y,high,27
444,S,48,,unknown,69,,low,5,A,high,52,Y,high,,,low,453,Z,,459
445,S,50,C,,3,C,,,C,unknown,,X,medium,429,Z,,16,Y,low,277
446,S,66,,low,46,A,high,95,,unknown,86,Z,medium,37,Y,high,243,X,medium,122
447,S,,,medium,,C,,17,A,low,12,Z,medium,315,X,,474,Z,high,379
448,S,,C,unknown,,D,medium,99,,unknown,87,Y,medium,51,Z,low,294,X,medium,469
449,C,52,D,medium,77,A,high,28,A,unknown,,X,medium,495,Y,low,153,Z,medium,29
450,S,28,B,low,70,,,36,A,,,Y,low,138,Y,high,3,X,low,102
451,S,,,unknown,6,,,,C,,2,Z,low,428,X,low,196,Z,low,71
452,S,,B,high,55,A,unknown,94,A,,,X,high,388,,medium,270,X,high,35
453,C,,D,,,,,,A,unknown,5,Y,medium,162,Z,medium,40,,high,
454,C,2,D,medium,48,,high,16,D,,,Y,medium,161,Z,low,264,Y,medium,96
455,S,59,,low,,B,,48,A,low,,Y,,158,X,medium,202,X,high,191
456,C,,C,medium,,D,medium,15,C,low,76,Y,high,235,Z,low,162,X,high,407
457,S,,D,medium,86,D,high,78,D,low,70,Z,high,221,Y,medium,486,,medium,
458,S,63,B,unknown,46,B,low,,D,,84,X,medium,328,X,low,446,Z,medium,338
459,S,84,,,53,A,,49,D,unknown,0,Y,low,232,Y,high,347,Y,low,48
460,Q,10,,low,62,,high,39,B,high,78,Z,high,,Y,high,295,X,low,485
461,S,72,A,,65,A,high,3,D,low,31,Z,low,233,Y,low,236,X,,41
462,S,,,unknown,63,D,medium,5,,,,Y,low,153,X,medium,35,X,,354
463,S,,A,medium,78,C,high,51,,medium,76,Z,,163,Y,medium,153,X,high,319
464,S,,,medium,98,C,low,39,A,,68,X,medium,365,Z,low,5,Z,low,206
465,S,0,,high,82,A,high,12,C,,41,Y,medium,70,Z,high,183,Y,low,419
466,S,96,B,high,13,,unknown,13,D,medium,61,Z,low,143,Z,medium,236,Y,low,446
467,S,16,B,medium,,C,unknown,,,,46,Y,low,155,Y,low,305,X,high,35
468,S,59,B,unknown,,,unknown,,D,,62,Y,low,322,Z,medium,177,Y,high,479
469,Q,18,B,high,50,B,,60,,medium,45,Y,medium,64,X,high,127,Y,low,120
470,C,93,B,low,52,,low,83,D,high,39,Y,low,,Z,medium,,X,high,395
471,S,,C,,71,,high,6,C,,20,Z,medium,337,Y,high,75,Y,high,410
472,S,,D,unknown,,B,low,,B,,38,Y,medium,463,Y,low,62,Y,medium,278
473,S,43,C,medium,26,C,medium,,A,,,X,high,218,Y,high,348,Z,,431
474,C,46,C,high,45,B,high,20,,unknown,87,X,high,491,,low,292,Y,,412
475,S,,D,,,,high,53,,,,Z,medium,303,X,medium,434,X,low,
476,S,78,D,,31,C,high,,B,medium,18,Y,medium,387,Y,medium,369,,low,89
477,S,84,,unknown,2,,unknown,,C,low,50,X,low,121,Z,low,450,Y,,217
478,S,1,C,low,97,,low,,,,,X,medium,457,Y,high,332,,low,450
479,S,,A,high,,B,unknown,66,B,high,,X,medium,129,X,medium,420,Z,low,101
480,S,,A,high,60,,,75,A,,32,X,low,68,Y,medium,84,Z,high,499
481,S,,D,low,,A,medium,0,B,,4,Z,high,39,Z,medium,265,X,high,
482,S,82,,,27,,medium,,A,,5,Y,low,327,Z,low,472,Y,high,332
483,S,25,D,,34,,high,50,A,low,,Y,low,314,X,medium,394,X,low,320
484,S,79,,medium,28,B,high,36,,high,72,X,high,99,Y,low,201,Z,high,97
485,C,,D,,,,medium,,,unknown,86,Z,high,439,Z,high,463,X,low,236
486,S,23,C,low,15,B,low,,C,medium,49,Z,medium,138,X,high,156,Z,low,72
487,S,33,D,,,D,low,75,C,unknown,,Z,medium,304,X,high,11,X,high,182
488,C,53,A,,45,,medium,82,C,low,92,Y,high,261,X,low,398,Y,low,479
489,S,76,D,,53,B,,41,,,27,Y,low,296,Y,medium,206,X,medium,27
490,S,,A,,1,,high,93,A,unknown,15,X,medium,370,Y,medium,17,Z,low,435
491,S,93,B,,84,C,unknown,92,C,high,13,Z,,463,X,high,102,Y,low,338
492,S,,A,low,67,,low,66,D,high,35,Z,medium,360,X,medium,35,Y,high,374
493,S,75,B,medium,7,B,medium,58,A,unknown,73,X,high,453,Y,high,,Y,,141
494,C,,,high,84,C,low,,,medium,,Y,medium,434,Z,low,423,X,high,474
495,S,,B,unknown,3,C,,60,C,,,X,high,179,X,high,464,Y,low,126
496,C,41,,unknown,,A,,,D,,34,Y,medium,279,Y,medium,,Z,high,251
497,C,,C,high,46,D,low,97,B,low,,X,high,99,Z,high,401,Y,high,18
498,S,37,C,low,,C,,19,D,high,68,Z,low,,,low,281,X,high,443
499,S,92,D,,95,A,high,66,A,medium,66,Z,low,483,Y,low,147,Z,low,352
500,S,,,low,,C,unknown,73,,unknown,43,Z,low,443,X,medium,334,Y,low,81
501,S,11,B,low,,C,,,D,unknown,,X,high,371,Z,medium,476,X,medium,331
502,Q,65,D,high,57,D,medium,34,B,medium,,X,medium,424,Z,low,230,X,low,91
503,Q,96,,,,,high,86,C,high,65,Z,low,397,Z,medium,14,X,low,222
504,S,86,,low,72,B,high,48,A,,81,X,low,114,Z,medium,421,X,high,256
505,S,27,B,low,88,A,high,38,C,medium,,Y,medium,131,Y,low,94,,high,465
506,C,,A,high,,C,low,15,C,unknown,85,Z,low,265,Y,medium,91,X,high,166
507,S,,,medium,,,,32,,medium,,Y,,,Z,high,308,X,high,6
508,S,,,high,51,B,,97,A,,,X,high,368,,low,399,X,low,216
509,S,26,A,medium,,,unknown,,,high,95,Z,high,368,X,high,396,X,high,463
510,S,23,C,high,,C,unknown,,,unknown,56,Z,low,488,X,medium,433,X,,399
511,Q,99,A,,,B,high,,D,high,27,X,medium,394,Y,low,441,Y,medium,29
512,S,74,C,,70,,high,,A,unknown,60,Y,medium,,X,high,64,X,low,26
513,S,84,,medium,51,B,,66,C,medium,62,Y,medium,170,Y,high,150,Z,low,378
514,C,81,,high,,,unknown,37,D,medium,,Y,medium,163,Y,high,360,Y,high,360
515,S,95,B,high,42,B,medium,84,C,medium,20,Z,low,316,,high,,X,low,278
516,S,10,,high,49,D,medium,42,B,low,,Z,low,171,Y,low,357,Y,high,44
517,S,,,,,C,high,85,A,,54,X,medium,489,X,low,227,X,high,140
518,Q,,A,low,55,C,,74,B,medium,14,Z,low,144,Z,,225,Z,medium,423
519,S,47,C,,79,,,77,A,unknown,77,Z,low,,Y,high,13,Y,low,69
520,S,59,C,high,2,C,high,92,A,unknown,,X,medium,408,X,low,304,Z,medium,100
521,S,35,A,high,75,A,high,79,B,,93,X,high,183,Y,low,431,Y,medium,226
522,S,,C,,50,,medium,,,medium,67,Y,medium,22,X,high,,X,medium,367
523,C,19,A,,,B,high,52,A,high,33,Z,low,166,Y,,168,X,,414
524,C,,A,high,47,C,,,,unknown,37,Z,high,179,Z,medium,338,Y,medium,295
525,C,,D,,47,C,medium,6,,low,69,Y,high,306,X,low,99,Z,high,246
526,Q,,D,,12,B,,59,,unknown,8,X,,355,Z,low,316,Y,low,192
527,S,,B,high,,B,,,,unknown,71,X,low,274,Y,medium,204,Z,medium,21
528,S,14,D,medium,70,C,unknown,,D,unknown,55,Z,high,203,Z,high,463,Y,low,133
529,S,91,D,high,,,high,10,C,low,22,Y,medium,251,Z,low,355,X,medium,107
530,S,92,,,9,A,unknown,50,A,unknown,89,Y,low,72,Z,low,36,Y,low,28
531,S,59,A,unknown,21,B,,57,A,high,62,Z,low,90,X,medium,435,X,high,372
532,C,16,,,87,,unknown,10,C,high,16,X,low,305,Z,,362,Z,medium,176
533,C,15,C,,,D,high,63,,low,65,X,medium,432,Y,,107,X,,254
534,C,,,low,50,,unknown,16,,medium,41,Z,medium,261,Z,medium,141,Y,low,100
535,S,57,,,,D,unknown,14,D,medium,76,X,,30,Z,high,86,Y,medium,295
536,S,15,B,unknown,,C,unknown,40,D,unknown,49,Z,low,490,Y,medium,155,Y,high,67
537,S,45,A,,85,B,,,C,,99,Z,medium,162,,high,471,Y,high,338
538,C,11,D,,89,,high,91,C,,92,X,medium,374,,high,451,Z,low,369
539,S,,,low,28,D,unknown,,D,,4,Y,high,,X,medium,275,Z,medium,155
540,C,2,,unknown,58,A,medium,,A,low,,Z,high,493,Z,low,181,X,low,106
541,S,70,D,,,A,low,73,C,unknown,,Y,low,58,Y,medium,,Z,medium,390
542,S,,,,,B,unknown,,,unknown,,X,,93,X,medium,478,Z,low,111
543,S,19,,high,0,A,high,98,A,medium,14,X,medium,322,X,,99,,low,89
544,S,17,A,medium,97,D,,74,A,high,53,X,medium,380,Z,medium,378,,high,170
545,C,83,,high,35,D,high,,B,unknown,15,X,,,Z,medium,497,Z,,483
546,S,5,,,,C,low,94,B,high,,X,medium,275,Z,low,427,X,high,231
547,S,42,B,low,61,,medium,10,D,high,45,X,low,79,,medium,359,Z,high,131
548,C,,C,,78,A,medium,45,B,low,99,Z,medium,356,X,,449,Z,medium,256
549,S,51,B,,,C,,,C,,87,Y,high,334,Y,high,108,X,low,174
550,S,68,D,unknown,,B,unknown,0,,,,X,low,233,X,high,,Z,high,332
551,C,80,D,low,89,B,high,45,D,high,,X,high,318,X,high,,Z,low,219
552,S,,,unknown,93,B,low,68,C,unknown,,X,low,106,X,,6,,,294
553,Q,82,D,high,15,,medium,79,D,,66,X,high,405,Y,low,99,Z,high,218
554,C,,C,,90,C,low,41,C,high,13,Z,medium,22,X,high,,X,medium,
555,S,,B,unknown,90,A,unknown,86,A,,,X,medium,419,X,low,123,Z,low,223
556,S,50,C,low,,C,medium,67,C,,99,Y,low,419,X,low,316,Z,medium,196
557,C,,D,low,21,D,,4,B,low,,Y,high,343,Z,low,55,X,high,481
558,C,,,unknown,,A,medium,27,B,high,1,X,medium,407,Y,medium,348,Y,medium,132
559,S,79,,low,99,D,low,93,C,medium,,X,medium,456,Y,low,114,Y,,402
560,S,85,,,,C,unknown,0,B,unknown,,X,medium,81,Y,medium,261,X,medium,354
561,Q,53,A,,,B,high,10,A,unknown,,X,medium,272,Y,low,58,Z,medium,263
562,S,4,,unknown,19,C,medium,34,,unknown,63,Z,medium,322,Y,low,485,Y,low,158
563,S,49,C,,8,,,99,C,unknown,35,Z,,471,Z,medium,188,X,low,241
564,S,18,,high,25,D,high,,,medium,35,Y,low,368,Z,medium,302,Y,high,
565,S,88,D,low,6,A,low,,,,,Z,low,297,X,medium,243,X,medium,90
566,S,23,D,,19,A,,39,C,high,85,Z,high,278,,medium,297,X,high,293
567,S,22,,,7,C,,93,C,,49,Z,high,71,X,medium,227,,medium,
568,S,24,,low,76,B,low,21,D,medium,31,X,medium,158,X,low,36,Z,,316
569,C,64,,high,58,A,high,57,B,high,,Z,medium,216,Y,medium,414,X,medium,72
570,S,,D,low,51,B,unknown,46,,,1,,low,440,Y,high,321,X,medium,254
571,S,94,,medium,80,C,,,,unknown,48,Y,low,430,Z,low,126,Z,high,91
572,S,41,C,,41,,high,75,,low,55,Z,high,321,Z,low,42,Y,high,464
573,S,,D,high,40,D,,83,,medium,67,Y,medium,52,,high,443,X,high,175
574,Q,4,D,,20,B,unknown,11,D,,80,X,low,,Y,medium,166,Z,high,210
575,S,0,A,low,,A,high,,D,,36,X,high,229,Z,low,454,X,low,428
576,S,37,A,unknown,,,high,,D,high,,X,medium,326,Z,high,382,X,high,213
577,S,92,B,high,58,D,unknown,,,low,,X,,216,Y,low,479,Y,high,96
578,S,52,,,,A,unknown,66,D,medium,76,Y,high,360,Y,medium,329,,medium,446
579,C,89,C,,53,B,,63,,unknown,,,high,108,,medium,90,Y,low,323
580,S,10,,,29,,high,37,D,medium,3,Y,low,72,X,low,17,Y,low,302
581,S,9,B,high,,C,low,,B,medium,,Y,medium,109,Y,high,122,X,high,37
582,C,83,A,high,82,B,unknown,,,low,,X,low,461,Z,medium,219,,high,224
583,S,10,A,,,,unknown,82,B,,,Y,high,,X,low,311,Z,low,229
584,C,5,A,medium,25,,medium,89,A,low,50,Z,high,142,Z,high,447,Y,medium,131
585,C,40,,unknown,71,,high,29,C,medium,46,X,medium,171,X,medium,70,X,medium,282
586,S,92,C,,,A,,,A,high,37,,low,418,X,high,317,Z,low,122
587,S,68,B,,,,,32,A,,41,Z,high,179,Z,high,42,X,medium,235
588,C,9,B,medium,31,C,,3,,,1,Y,medium,446,Y,low,240,Z,high,400
589,S,83,B,unknown,35,A,unknown,16,,medium,10,,low,494,Y,high,36,Z,low,367
590,S,84,C,medium,,B,unknown,30,A,low,75,X,medium,325,,low,186,,high,139
591,S,80,D,low,1,A,low,98,D,medium,36,Z,medium,171,Y,,303,X,high,
592,C,90,,high,,D,unknown,20,D,,,Y,low,299,Y,medium,369,Y,medium,2
593,S,23,C,unknown,12,,,50,D,medium,39,,high,334,Z,medium,402,Z,low,172
594,Q,,,low,,D,low,,B,medium,99,Y,high,54,Y,low,,Y,low,9
595,S,,C,medium,55,,,35,A,medium,,Z,low,416,X,low,129,X,low,64
596,S,80,A,medium,,,high,91,,,18,,high,218,X,high,456,Z,medium,489
597,S,57,,low,34,B,unknown,9,C,high,58,,medium,422,Y,high,466,X,medium,427
598,S,77,A,high,77,,low,87,A,high,,Y,,305,Y,high,483,Z,low,279
599,C,,B,medium,,,,74,D,unknown,14,Z,high,430,,medium,395,Z,medium,387
600,C,64,,low,1,A,,,B,high,,Z,medium,40,X,high,388,Y,high,244
601,S,,,medium,,D,medium,76,,high,,Y,high,21,X,low,38,X,low,300
602,S,77,,unknown,2,,,42,A,high,73,X,high,55,X,high,,Z,high,458
603,S,73,,unknown,52,D,unknown,97,B,high,56,Z,high,437,Z,low,203,Z,low,39
604,S,,A,high,87,A,unknown,3,,low,65,Y,medium,496,Y,medium,129,Y,medium,
605,C,82,A,medium,,D,medium,2,,medium,26,Y,,499,Z,medium,34,X,low,59
606,S,,,unknown,,,,,C,,28,Z,high,166,Y,high,106,X,low,397
607,S,,C,low,,B,high,93,D,low,63,Y,high,132,X,low,457,X,high,411
608,S,,,high,78,A,low,6,C,unknown,35,Y,low,174,Y,medium,454,Y,medium,360
609,C,,D,,,,high,77,,,,X,medium,408,Z,low,371,Y,medium,304
610,S,85,D,high,28,,unknown,93,C,,15,Z,medium,125,Y,low,50,Y,medium,238
611,S,83,A,low,0,,,,,low,30,Y,medium,273,X,medium,343,Y,low,11
612,S,,,high,44,B,low,86,,unknown,10,Z,medium,323,X,high,63,Y,high,387
613,Q,78,B,high,61,,low,75,D,low,8,X,high,180,Z,low,341,X,medium,446
614,Q,38,A,unknown,,C,high,,C,,,Z,medium,236,X,,16,Y,low,482
615,S,68,,low,93,A,low,85,B,low,48,Y,high,332,Z,medium,142,Z,high,170
616,S,63,,,,,unknown,69,B,unknown,14,X,high,395,Z,high,61,Z,low,100
617,S,,,unknown,78,B,low,1,,low,9,X,low,94,X,low,466,Z,high,326
618,S,26,B,,2,,low,,,unknown,87,X,medium,256,Y,low,284,Z,low,8
619,S,6,B,high,85,,medium,,A,high,51,X,medium,77,Y,high,461,X,low,30
620,S,13,A,low,75,A,unknown,,,low,71,Y,high,7,Z,low,10,X,low,410
621,C,43,B,high,,C,,,,,72,Z,medium,322,Z,,369,Y,medium,478
622,S,47,A,,58,D,medium,,B,unknown,10,Z,medium,241,X,high,239,Y,medium,201
623,C,,D,,,D,high,29,,low,,Z,high,129,X,high,234,Z,low,253
624,S,41,,low,90,,,19,D,unknown,,Y,low,27,Z,low,436,Z,low,
625,S,60,D,high,55,A,unknown,8,D,,44,Y,medium,472,Y,high,23,Z,low,69
626,S,23,,,,,low,63,,,86,X,,413,X,,472,X,medium,111
627,Q,33,D,medium,61,D,unknown,95,D,medium,,X,high,,Y,low,14,Z,high,149
628,S,36,C,,68,C,unknown,,D,,,Y,low,56,X,medium,181,Z,low,
629,S,50,B,unknown,,C,,,D,medium,10,Z,high,7,X,low,69,Z,high,
630,Q,36,C,high,81,B,,,,unknown,61,X,low,108,Z,low,261,Y,medium,360
631,S,73,B,,20,C,medium,17,B,,88,X,low,50,X,low,297,X,low,97
632,S,32,A,,89,A,unknown,21,,,57,X,high,229,Z,low,321,X,low,476
633,C,43,B,low,55,,unknown,28,D,unknown,80,X,medium,322,X,medium,399,Z,high,441
634,S,37,,high,32,,high,68,,medium,53,X,medium,97,X,high,375,Z,high,237
635,S,,,high,,,,29,D,low,41,X,medium,198,Z,medium,474,,high,112
636,S,68,A,unknown,1,A,,82,,unknown,,X,high,269,X,low,224,Y,medium,488
637,S,23,,unknown,74,A,high,36,C,,15,Y,low,158,Y,medium,87,Y,high,404
638,S,29,C,,37,,,10,A,,,Z,low,230,Y,high,77,X,high,
639,S,79,,,84,D,unknown,9,B,,,X,medium,295,,high,137,Y,high,133
640,S,94,,medium,23,C,high,40,C,unknown,,X,high,476,Y,high,301,X,medium,
641,S,67,A,,92,,high,40,A,unknown,,Z,medium,155,,medium,27,Z,medium,185
642,C,91,,high,94,B,low,,A,high,99,X,high,44,X,medium,477,Z,high,337
643,S,85,D,unknown,10,C,,47,C,,23,Z,high,434,X,low,494,X,high,416
644,S,48,C,,64,D,,16,A,medium,72,Y,high,288,X,medium,82,Z,medium,244
