"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15"
558,227.525,"","C",NA,"","unknown",NA,"A","medium",27,"B","high",1,"X","medium",407,"Y","medium"
562,7.8958,"","S",4,"","unknown",19,"C","medium",34,"","unknown",63,"Z","medium",322,"Y","low"
564,8.05,"","S",18,"","high",25,"D","high",NA,"","medium",35,"Y","low",368,"Z","medium"
567,7.8958,"","S",22,"","",7,"C","",93,"C","",49,"Z","high",71,"X","medium"
568,21.075,"","S",24,"","low",76,"B","low",21,"D","medium",31,"X","medium",158,"X","low"
571,10.5,"","S",94,"","medium",80,"C","",NA,"","unknown",48,"Y","low",430,"Z","low"
572,51.4792,"C101","S",41,"C","",41,"","high",75,"","low",55,"Z","high",321,"Z","low"
575,8.05,"","S",0,"A","low",NA,"A","high",NA,"D","",36,"X","high",229,"Z","low"
578,55.9,"E44","S",52,"","",NA,"A","unknown",66,"D","medium",76,"Y","high",360,"Y","medium"
580,7.925,"","S",10,"","",29,"","high",37,"D","medium",3,"Y","low",72,"X","low"
584,40.125,"A10","C",5,"A","medium",25,"","medium",89,"A","low",50,"Z","high",142,"Z","high"
585,8.7125,"","C",40,"","unknown",71,"","high",29,"C","medium",46,"X","medium",171,"X","medium"
587,15,"","S",68,"B","",NA,"","",32,"A","",41,"Z","high",179,"Z","high"
588,79.2,"B41","C",9,"B","medium",31,"C","",3,"","",1,"Y","medium",446,"Y","low"
594,7.75,"","Q",NA,"","low",NA,"D","low",NA,"B","medium",99,"Y","high",54,"Y","low"
602,7.8958,"","S",77,"","unknown",2,"","",42,"A","high",73,"X","high",55,"X","high"
603,42.4,"","S",73,"","unknown",52,"D","unknown",97,"B","high",56,"Z","high",437,"Z","low"
604,8.05,"","S",NA,"A","high",87,"A","unknown",3,"","low",65,"Y","medium",496,"Y","medium"
606,15.55,"","S",NA,"","unknown",NA,"","",NA,"C","",28,"Z","high",166,"Y","high"
607,7.8958,"","S",NA,"C","low",NA,"B","high",93,"D","low",63,"Y","high",132,"X","low"
608,30.5,"","S",NA,"","high",78,"A","low",6,"C","unknown",35,"Y","low",174,"Y","medium"
610,153.4625,"C125","S",85,"D","high",28,"","unknown",93,"C","",15,"Z","medium",125,"Y","low"
611,31.275,"","S",83,"A","low",0,"","",NA,"","low",30,"Y","medium",273,"X","medium"
612,7.05,"","S",NA,"","high",44,"B","low",86,"","unknown",10,"Z","medium",323,"X","high"
613,15.5,"","Q",78,"B","high",61,"","low",75,"D","low",8,"X","high",180,"Z","low"
615,8.05,"","S",68,"","low",93,"A","low",85,"B","low",48,"Y","high",332,"Z","medium"
616,65,"","S",63,"","",NA,"","unknown",69,"B","unknown",14,"X","high",395,"Z","high"
617,14.4,"","S",NA,"","unknown",78,"B","low",1,"","low",9,"X","low",94,"X","low"
618,16.1,"","S",26,"B","",2,"","low",NA,"","unknown",87,"X","medium",256,"Y","low"
619,39,"F4","S",6,"B","high",85,"","medium",NA,"A","high",51,"X","medium",77,"Y","high"
620,10.5,"","S",13,"A","low",75,"A","unknown",NA,"","low",71,"Y","high",7,"Z","low"
622,52.5542,"D19","S",47,"A","",58,"D","medium",NA,"B","unknown",10,"Z","medium",241,"X","high"
625,16.1,"","S",60,"D","high",55,"A","unknown",8,"D","",44,"Y","medium",472,"Y","high"
629,7.8958,"","S",50,"B","unknown",NA,"C","",NA,"D","medium",10,"Z","high",7,"X","low"
630,7.7333,"","Q",36,"C","high",81,"B","",NA,"","unknown",61,"X","low",108,"Z","low"
631,30,"A23","S",73,"B","",20,"C","medium",17,"B","",88,"X","low",50,"X","low"
632,7.0542,"","S",32,"A","",89,"A","unknown",21,"","",57,"X","high",229,"Z","low"
633,30.5,"B50","C",43,"B","low",55,"","unknown",28,"D","unknown",80,"X","medium",322,"X","medium"
634,0,"","S",37,"","high",32,"","high",68,"","medium",53,"X","medium",97,"X","high"
635,27.9,"","S",NA,"","high",NA,"","",29,"D","low",41,"X","medium",198,"Z","medium"
637,7.925,"","S",23,"","unknown",74,"A","high",36,"C","",15,"Y","low",158,"Y","medium"
642,69.3,"B35","C",91,"","high",94,"B","low",NA,"A","high",99,"X","high",44,"X","medium"
643,27.9,"","S",85,"D","unknown",10,"C","",47,"C","",23,"Z","high",434,"X","low"
644,56.4958,"","S",48,"C","",64,"D","",16,"A","medium",72,"Y","high",288,"X","medium"
645,19.2583,"","C",NA,"","",93,"B","",21,"","high",87,"Z","medium",236,"Y","medium"
646,76.7292,"D33","C",32,"B","",32,"C","high",56,"B","unknown",83,"X","medium",360,"Y","low"
648,35.5,"A26","C",NA,"A","high",NA,"D","unknown",67,"","",17,"Y","low",63,"X","high"
651,7.8958,"","S",NA,"C","unknown",84,"C","",55,"C","unknown",61,"Z","high",292,"Y","medium"
653,8.4333,"","S",20,"D","unknown",NA,"","low",21,"","low",21,"Y","medium",152,"Z","high"
654,7.8292,"","Q",NA,"A","low",25,"","",51,"D","low",65,"Z","high",393,"Z","high"
655,6.75,"","Q",NA,"A","high",1,"C","high",30,"D","unknown",42,"X","low",285,"Y","high"
658,15.5,"","Q",63,"C","high",79,"C","unknown",14,"C","medium",0,"X","medium",360,"Z","low"
659,13,"","S",NA,"D","",51,"","unknown",18,"A","medium",23,"Z","low",248,"X","low"
662,7.225,"","C",73,"A","",89,"","",NA,"","",30,"X","low",460,"Z","low"
666,73.5,"","S",69,"D","unknown",68,"D","unknown",NA,"B","low",30,"Y","high",291,"X","medium"
670,52,"C126","S",NA,"A","low",53,"D","high",NA,"","low",79,"X","low",436,"X","high"
673,10.5,"","S",NA,"D","unknown",NA,"D","",64,"A","medium",98,"X","high",241,"Z","high"
675,0,"","S",62,"A","",76,"","high",NA,"","low",89,"Y","high",383,"Z","medium"
677,8.05,"","S",58,"","medium",NA,"D","",83,"A","low",92,"Y","high",151,"Y","medium"
678,9.8417,"","S",NA,"A","unknown",NA,"B","high",NA,"","medium",78,"Y","low",102,"Y","medium"
680,512.3292,"B51 B53 B55","C",93,"A","unknown",44,"A","unknown",NA,"B","",20,"X","medium",389,"Y","low"
684,46.9,"","S",95,"A","medium",NA,"","high",17,"","high",26,"X","low",90,"Z","high"
689,7.7958,"","S",44,"C","low",5,"B","high",42,"A","medium",15,"Y","medium",71,"X","high"
692,13.4167,"","C",79,"A","medium",23,"A","high",55,"C","",64,"X","high",485,"X","low"
695,26.55,"","S",9,"","",NA,"","unknown",86,"D","medium",18,"Y","high",256,"X","low"
697,8.05,"","S",72,"A","medium",NA,"","low",30,"B","",7,"Y","high",46,"X","medium"
699,110.8833,"C68","C",5,"A","",NA,"","low",54,"B","medium",86,"X","low",303,"Y","low"
703,14.4542,"","C",16,"C","low",24,"C","low",NA,"D","low",25,"X","high",400,"Z","low"
704,7.7417,"","Q",17,"C","medium",75,"","high",NA,"C","medium",6,"Y","low",166,"X","medium"
706,26,"","S",56,"D","low",93,"D","high",NA,"C","high",2,"X","high",172,"Y","medium"
708,26.2875,"E24","S",NA,"D","",NA,"A","low",NA,"","unknown",3,"Y","low",265,"Y","high"
711,49.5042,"C90","C",NA,"","low",74,"A","high",25,"D","",32,"Y","medium",495,"X","high"
716,7.65,"F G73","S",79,"","",78,"","low",72,"","medium",36,"Z","medium",458,"Y","high"
720,7.775,"","S",59,"D","medium",NA,"","",40,"C","medium",73,"Z","medium",329,"Z","high"
722,7.0542,"","S",93,"B","low",NA,"D","medium",42,"","unknown",51,"Z","low",22,"X","high"
723,13,"","S",84,"","low",NA,"","low",66,"B","medium",75,"Z","medium",314,"Y","medium"
724,13,"","S",NA,"","unknown",87,"D","low",49,"C","medium",59,"Y","high",265,"Y","low"
726,8.6625,"","S",11,"A","high",40,"A","unknown",56,"C","medium",35,"Z","high",370,"Y","high"
727,21,"","S",NA,"C","high",51,"","",NA,"D","unknown",51,"Z","low",454,"X","high"
729,26,"","S",48,"D","unknown",16,"C","",NA,"A","low",76,"X","medium",382,"Z","medium"
731,211.3375,"B5","S",72,"","",59,"","medium",NA,"","",5,"Z","low",276,"Z","low"
732,18.7875,"","C",41,"","low",NA,"","medium",17,"D","",49,"Y","low",438,"X","low"
733,0,"","S",NA,"","",16,"B","high",NA,"D","",7,"X","high",434,"X","high"
734,13,"","S",NA,"B","high",42,"D","",NA,"","unknown",19,"Y","low",112,"Z","low"
735,13,"","S",20,"","unknown",72,"D","",13,"B","medium",37,"Y","high",120,"Y","medium"
736,16.1,"","S",NA,"","medium",73,"","unknown",NA,"A","",0,"Y","low",361,"X","medium"
739,7.8958,"","S",NA,"","high",89,"","",56,"C","medium",37,"Y","high",27,"X","low"
740,7.8958,"","S",89,"A","unknown",22,"A","",NA,"D","",89,"Z","high",81,"Y","high"
741,30,"D45","S",81,"A","",2,"C","medium",58,"D","",9,"X","low",374,"Y","low"
743,262.375,"B57 B59 B63 B66","C",NA,"B","",52,"A","",8,"A","high",59,"Z","low",448,"Y","low"
744,16.1,"","S",27,"","high",77,"","",NA,"","medium",64,"Y","high",266,"X","medium"
745,7.925,"","S",79,"D","low",32,"","",11,"B","medium",67,"Y","high",213,"Z","low"
746,71,"B22","S",36,"A","unknown",NA,"A","",43,"B","low",5,"Y","low",56,"Y","low"
752,12.475,"E121","S",14,"","unknown",NA,"A","unknown",6,"A","",70,"Y","medium",372,"Y","high"
753,9.5,"","S",NA,"D","",91,"","",0,"","medium",93,"Y","high",381,"Y","high"
754,7.8958,"","S",93,"B","",NA,"A","",54,"D","",87,"Y","medium",108,"Z","medium"
756,14.5,"","S",43,"D","unknown",51,"D","medium",54,"B","medium",53,"Y","low",68,"Z","high"
757,7.7958,"","S",73,"","medium",NA,"D","",72,"","",52,"Z","low",390,"Y","medium"
760,86.5,"B77","S",NA,"A","",14,"","",NA,"C","",95,"Y","medium",336,"X","medium"
761,14.5,"","S",17,"B","low",58,"D","medium",88,"C","low",64,"Z","high",135,"X","medium"
768,7.75,"","Q",47,"","high",NA,"","unknown",58,"B","medium",72,"X","medium",174,"Y","medium"
769,24.15,"","Q",NA,"A","low",NA,"A","high",52,"C","unknown",91,"Z","low",282,"Z","medium"
772,7.8542,"","S",98,"D","",NA,"D","medium",93,"B","high",4,"Y","medium",308,"Z","low"
773,10.5,"E77","S",0,"","high",NA,"A","medium",97,"B","low",63,"Y","high",72,"Z","medium"
777,7.75,"F38","Q",42,"B","unknown",75,"D","high",29,"C","low",91,"Z","low",150,"Y","low"
779,7.7375,"","Q",NA,"A","low",15,"B","low",NA,"","unknown",0,"Y","medium",309,"X","medium"
781,7.2292,"","C",87,"B","",77,"D","medium",68,"D","high",63,"X","medium",414,"Z","medium"
783,30,"D6","S",12,"D","medium",NA,"D","high",95,"C","high",17,"Z","medium",376,"Z","low"
784,23.45,"","S",NA,"D","medium",77,"C","",68,"D","high",91,"Z","low",179,"X","high"
786,7.25,"","S",58,"","medium",NA,"D","medium",NA,"B","medium",41,"Y","low",232,"Y","medium"
787,7.4958,"","S",NA,"B","unknown",NA,"A","medium",35,"D","",29,"Z","medium",213,"Z","low"
792,26,"","S",45,"B","high",90,"","medium",8,"D","high",98,"Y","high",95,"Z","low"
793,69.55,"","S",NA,"C","low",NA,"D","low",29,"D","high",23,"X","high",71,"Z","medium"
795,7.8958,"","S",43,"B","medium",91,"","unknown",65,"B","",2,"Z","low",325,"X","medium"
796,13,"","S",29,"C","low",47,"D","unknown",94,"","high",89,"X","low",182,"Y","low"
797,25.9292,"D17","S",96,"","high",NA,"B","unknown",NA,"A","high",65,"Y","high",327,"Z","low"
798,8.6833,"","S",NA,"A","unknown",NA,"C","",85,"","high",22,"X","high",439,"Y","high"
801,13,"","S",1,"","high",16,"A","",5,"B","unknown",99,"Y","low",255,"Z","low"
802,26.25,"","S",NA,"","",49,"A","unknown",9,"D","high",59,"Y","high",401,"X","low"
804,8.5167,"","C",91,"C","unknown",64,"D","unknown",28,"A","medium",5,"Y","high",137,"Z","high"
805,6.975,"","S",NA,"C","low",NA,"","",1,"","",26,"X","medium",465,"X","medium"
806,7.775,"","S",NA,"","",71,"","",NA,"D","",5,"Y","high",443,"X","medium"
809,13,"","S",NA,"A","low",15,"","",65,"A","",11,"Z","medium",29,"X","medium"
811,7.8875,"","S",4,"A","low",NA,"","",NA,"","high",97,"Z","medium",449,"Z","high"
812,24.15,"","S",87,"","high",94,"","low",34,"B","high",97,"Z","medium",188,"Z","low"
813,10.5,"","S",68,"","unknown",77,"B","",NA,"","high",71,"Z","low",442,"X","medium"
814,31.275,"","S",28,"B","medium",95,"","unknown",55,"A","low",7,"Y","high",267,"Z","low"
815,8.05,"","S",NA,"","",53,"B","medium",52,"C","",50,"X","low",67,"Z","medium"
818,37.0042,"","C",10,"A","low",28,"","",23,"D","unknown",79,"Y","high",112,"Z","medium"
828,37.0042,"","C",89,"A","",23,"","high",88,"B","",46,"X","high",95,"Z","low"
829,7.75,"","Q",NA,"C","",22,"C","medium",NA,"A","low",43,"X","high",384,"X","medium"
831,14.4542,"","C",NA,"A","",NA,"","",85,"","low",22,"X","high",353,"X","low"
833,7.2292,"","C",45,"","unknown",37,"","",65,"C","unknown",48,"X","high",466,"Z","low"
836,83.1583,"E49","C",77,"A","",56,"D","unknown",42,"B","medium",34,"Z","low",228,"Y","high"
837,8.6625,"","S",80,"B","low",13,"","",39,"C","",66,"Y","medium",0,"X","low"
838,8.05,"","S",19,"D","unknown",14,"B","unknown",NA,"B","",47,"X","high",149,"Y","medium"
840,29.7,"C47","C",91,"A","",28,"","unknown",NA,"A","high",52,"Z","high",415,"Y","medium"
843,31,"","C",90,"D","",NA,"D","low",71,"A","unknown",44,"Z","low",125,"Y","low"
844,6.4375,"","C",3,"A","medium",NA,"","",76,"A","",43,"Y","high",383,"Y","medium"
849,33,"","S",81,"","",37,"","high",46,"","",69,"X","medium",428,"X","low"
850,89.1042,"C92","C",60,"D","medium",NA,"D","unknown",NA,"B","",41,"Y","low",2,"Z","medium"
851,31.275,"","S",NA,"A","",57,"","high",92,"A","unknown",70,"Z","low",420,"X","high"
852,7.775,"","S",NA,"B","medium",0,"D","low",86,"D","medium",71,"Y","high",278,"Y","low"
853,15.2458,"","C",96,"A","",NA,"D","medium",77,"","low",52,"Y","high",422,"Z","medium"
858,26.55,"E17","S",NA,"","",30,"A","",NA,"A","unknown",95,"Y","high",407,"Z","medium"
859,19.2583,"","C",66,"A","",29,"B","high",29,"C","",40,"X","low",254,"Y","medium"
860,7.2292,"","C",80,"A","unknown",34,"A","high",11,"","high",31,"X","medium",56,"Z","high"
862,11.5,"","S",92,"A","",NA,"C","low",79,"B","high",60,"Y","medium",207,"X","high"
865,13,"","S",84,"A","",31,"B","",59,"B","",80,"Z","medium",16,"Z","high"
872,52.5542,"D35","S",NA,"A","low",90,"D","unknown",19,"","low",63,"X","medium",381,"Z","high"
873,5,"B51 B53 B55","S",11,"C","low",45,"","low",50,"A","low",84,"Z","medium",67,"X","medium"
875,24,"","C",69,"D","medium",38,"A","",31,"A","unknown",77,"Y","high",283,"Z","low"
876,7.225,"","C",50,"B","",49,"D","",NA,"D","",34,"X","medium",444,"X","high"
877,9.8458,"","S",NA,"","",48,"","medium",NA,"A","unknown",28,"X","medium",489,"Z","low"
878,7.8958,"","S",74,"","",NA,"A","high",89,"","",26,"Y","low",421,"Y","low"
880,83.1583,"C50","C",63,"D","high",73,"C","medium",65,"A","medium",27,"Y","medium",207,"Z","high"
882,7.8958,"","S",85,"","high",13,"D","high",55,"D","",75,"X","low",324,"Y","high"
885,7.05,"","S",81,"B","",NA,"D","medium",NA,"B","medium",73,"Y","low",231,"X","low"
889,23.45,"","S",1,"A","",66,"D","medium",35,"B","high",21,"Y","high",494,"Y","high"
890,30,"C148","C",27,"B","",NA,"D","unknown",84,"B","unknown",78,"Z","high",300,"Z","high"
891,7.75,"","Q",NA,"D","unknown",NA,"A","medium",22,"A","high",3,"Y","medium",172,"Z","high"
