id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol4_quantile_bin,ExtraCol7_quantile_bin,ExtraCol10_quantile_bin,ExtraCol13_quantile_bin,ExtraCol3_freq,ExtraCol5_freq,ExtraCol6_freq,ExtraCol2_freq
158,A,high,15,D,medium,NA,D,low,3,Z,medium,438,X,high,99,Z,medium,ExtraCol4_1,NA,ExtraCol10_1,ExtraCol13_5,452,448,165,441
159,A,high,7,A,high,34,D,medium,10,X,NA,202,X,high,284,Z,high,ExtraCol4_1,ExtraCol7_2,ExtraCol10_1,ExtraCol13_2,452,144,162,441
160,B,unknown,67,C,NA,45,A,medium,28,Y,medium,22,X,medium,28,Z,low,ExtraCol4_3,ExtraCol7_3,ExtraCol10_2,ExtraCol13_1,145,152,0,142
161,C,high,51,D,unknown,NA,C,low,NA,X,high,NA,Z,high,88,X,NA,ExtraCol4_2,NA,NA,NA,452,448,159,153
162,A,low,51,D,NA,93,NA,medium,0,X,medium,386,Y,low,342,Z,medium,ExtraCol4_2,ExtraCol7_5,ExtraCol10_1,ExtraCol13_4,157,448,0,441
163,C,high,10,B,high,78,B,unknown,NA,X,NA,408,Y,high,284,Z,low,ExtraCol4_1,ExtraCol7_4,NA,ExtraCol13_4,452,147,162,153
164,D,high,74,D,NA,19,NA,high,78,Z,medium,73,NA,high,305,Y,low,ExtraCol4_4,ExtraCol7_1,ExtraCol10_5,ExtraCol13_1,452,448,0,155
165,A,high,76,C,medium,73,NA,high,45,Z,high,375,Z,low,112,Y,high,ExtraCol4_4,ExtraCol7_4,ExtraCol10_3,ExtraCol13_4,452,152,165,441
166,A,high,51,D,NA,17,B,low,19,X,high,349,Y,NA,103,X,medium,ExtraCol4_2,ExtraCol7_1,ExtraCol10_2,ExtraCol13_4,452,448,0,441
167,A,unknown,83,A,high,45,C,low,42,X,high,451,Y,medium,NA,Y,low,ExtraCol4_4,ExtraCol7_3,ExtraCol10_3,ExtraCol13_5,145,144,162,441
168,B,unknown,43,C,low,NA,NA,medium,69,Z,high,185,Y,low,64,Z,high,ExtraCol4_2,NA,ExtraCol10_4,ExtraCol13_2,145,152,140,142
169,C,high,18,D,unknown,3,A,NA,73,Y,high,463,Y,medium,NA,Z,low,ExtraCol4_1,ExtraCol7_1,ExtraCol10_4,ExtraCol13_5,452,448,159,153
170,A,high,51,D,NA,NA,A,unknown,NA,X,medium,353,NA,high,133,X,medium,ExtraCol4_2,NA,NA,ExtraCol13_4,452,448,0,441
171,B,high,21,A,medium,22,NA,NA,16,X,medium,NA,X,high,359,X,high,ExtraCol4_1,ExtraCol7_2,ExtraCol10_1,NA,452,144,165,142
172,B,high,20,B,medium,NA,A,NA,95,Y,medium,106,X,NA,78,X,low,ExtraCol4_1,NA,ExtraCol10_5,ExtraCol13_1,452,147,165,142
173,B,high,32,D,unknown,49,D,medium,NA,Y,high,451,X,medium,325,Y,high,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_5,452,448,159,142
174,D,high,51,D,medium,2,C,high,98,Y,medium,322,Y,medium,101,X,NA,ExtraCol4_2,ExtraCol7_1,ExtraCol10_5,ExtraCol13_3,452,448,165,155
175,B,medium,51,B,medium,NA,NA,low,NA,X,low,59,Z,high,140,Z,high,ExtraCol4_2,NA,NA,ExtraCol13_1,137,147,165,142
176,A,high,51,D,low,NA,B,NA,11,Y,low,62,Y,medium,206,Z,high,ExtraCol4_2,NA,ExtraCol10_1,ExtraCol13_1,452,448,140,441
177,B,unknown,62,B,medium,95,B,NA,NA,X,NA,413,X,medium,NA,X,high,ExtraCol4_3,ExtraCol7_5,NA,ExtraCol13_5,145,147,165,142
178,A,unknown,33,C,low,NA,NA,NA,32,Y,medium,84,Y,high,62,Z,low,ExtraCol4_2,NA,ExtraCol10_2,ExtraCol13_1,145,152,140,441
179,B,high,51,B,NA,19,NA,unknown,NA,X,high,109,Z,medium,376,Z,low,ExtraCol4_2,ExtraCol7_1,NA,ExtraCol13_1,452,147,0,142
180,A,low,51,D,unknown,60,NA,NA,71,X,high,307,Y,low,172,Z,low,ExtraCol4_2,ExtraCol7_3,ExtraCol10_4,ExtraCol13_3,157,448,159,441
181,A,high,51,C,NA,36,NA,high,NA,Z,high,431,X,low,283,Z,low,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_5,452,152,0,441
182,A,medium,43,D,unknown,60,A,NA,58,Y,high,168,X,NA,323,Y,NA,ExtraCol4_2,ExtraCol7_3,ExtraCol10_3,ExtraCol13_2,137,448,159,441
183,A,low,29,B,unknown,NA,C,unknown,NA,Y,low,332,Y,medium,311,Z,low,ExtraCol4_1,NA,NA,ExtraCol13_4,157,147,159,441
184,A,high,51,D,NA,29,C,low,61,X,high,351,Z,medium,313,X,medium,ExtraCol4_2,ExtraCol7_2,ExtraCol10_4,ExtraCol13_4,452,448,0,441
185,D,high,51,A,high,65,C,unknown,39,X,high,300,X,low,487,Z,medium,ExtraCol4_2,ExtraCol7_4,ExtraCol10_2,ExtraCol13_3,452,144,162,155
186,C,unknown,51,D,high,26,B,unknown,NA,Z,high,342,Z,high,315,Y,medium,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_4,145,448,162,153
187,B,high,51,D,medium,90,A,NA,71,Z,NA,NA,Z,low,174,Z,medium,ExtraCol4_2,ExtraCol7_5,ExtraCol10_4,NA,452,448,165,142
188,A,high,47,A,NA,94,B,unknown,29,Y,low,310,X,low,NA,Z,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_2,ExtraCol13_3,452,144,0,441
189,D,high,51,A,medium,NA,B,high,19,X,high,1,NA,high,400,Y,low,ExtraCol4_2,NA,ExtraCol10_2,ExtraCol13_1,452,144,165,155
190,D,high,51,A,low,72,NA,NA,70,Y,low,365,X,low,210,X,high,ExtraCol4_2,ExtraCol7_4,ExtraCol10_4,ExtraCol13_4,452,144,140,155
191,C,high,90,B,high,NA,D,low,NA,X,high,396,Y,high,NA,X,medium,ExtraCol4_4,NA,NA,ExtraCol13_4,452,147,162,153
192,A,unknown,67,D,low,NA,B,low,44,X,high,396,X,high,407,Z,medium,ExtraCol4_3,NA,ExtraCol10_3,ExtraCol13_4,145,448,140,441
193,A,unknown,51,A,NA,73,NA,low,NA,X,high,14,Z,high,117,Z,medium,ExtraCol4_2,ExtraCol7_4,NA,ExtraCol13_1,145,144,0,441
194,A,unknown,96,D,NA,93,C,low,18,Y,medium,455,X,high,111,Y,NA,ExtraCol4_4,ExtraCol7_5,ExtraCol10_2,ExtraCol13_5,145,448,0,441
195,A,medium,71,D,high,22,D,unknown,81,Y,high,217,Y,medium,26,Z,high,ExtraCol4_4,ExtraCol7_2,ExtraCol10_5,ExtraCol13_2,137,448,162,441
196,D,high,5,C,medium,NA,B,low,98,Y,high,40,Z,medium,NA,Z,medium,ExtraCol4_1,NA,ExtraCol10_5,ExtraCol13_1,452,152,165,155
197,A,high,72,B,medium,NA,NA,NA,NA,Z,high,267,X,medium,308,Y,NA,ExtraCol4_4,NA,NA,ExtraCol13_3,452,147,165,441
198,A,unknown,51,D,low,33,A,NA,14,X,medium,285,X,medium,251,Z,high,ExtraCol4_2,ExtraCol7_2,ExtraCol10_1,ExtraCol13_3,145,448,140,441
199,D,high,51,D,medium,23,C,NA,NA,X,medium,201,Z,high,148,Z,low,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_2,452,448,165,155
200,D,high,48,B,high,NA,A,unknown,86,Z,high,374,X,medium,105,Y,high,ExtraCol4_2,NA,ExtraCol10_5,ExtraCol13_4,452,147,162,155
201,A,low,51,A,NA,33,A,unknown,8,X,low,271,NA,medium,347,X,medium,ExtraCol4_2,ExtraCol7_2,ExtraCol10_1,ExtraCol13_3,157,144,0,441
202,A,high,31,D,medium,72,NA,NA,NA,X,low,108,X,high,42,Z,low,ExtraCol4_2,ExtraCol7_4,NA,ExtraCol13_1,452,448,165,441
203,C,low,51,B,NA,37,NA,unknown,NA,Z,medium,310,X,low,350,Y,high,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_3,157,147,0,153
204,C,unknown,61,B,high,37,A,NA,3,NA,medium,131,Y,medium,452,Y,high,ExtraCol4_3,ExtraCol7_2,ExtraCol10_1,ExtraCol13_2,145,147,162,153
205,A,high,51,C,high,94,NA,low,NA,NA,high,59,Y,high,227,Z,low,ExtraCol4_2,ExtraCol7_5,NA,ExtraCol13_1,452,152,162,441
206,D,medium,89,C,low,NA,D,NA,7,Z,high,133,Y,high,247,Z,high,ExtraCol4_4,NA,ExtraCol10_1,ExtraCol13_2,137,152,140,155
207,D,high,77,C,high,92,C,medium,17,Y,low,452,Z,low,NA,X,low,ExtraCol4_4,ExtraCol7_5,ExtraCol10_1,ExtraCol13_5,452,152,162,155
208,A,high,60,B,low,71,NA,high,48,X,NA,286,X,low,47,Z,NA,ExtraCol4_3,ExtraCol7_4,ExtraCol10_3,ExtraCol13_3,452,147,140,441
209,A,high,51,A,medium,NA,D,unknown,NA,Z,high,158,Y,low,313,X,high,ExtraCol4_2,NA,NA,ExtraCol13_2,452,144,165,441
210,C,high,33,D,high,NA,B,NA,NA,X,medium,183,NA,high,182,Y,high,ExtraCol4_2,NA,NA,ExtraCol13_2,452,448,162,153
211,A,high,76,A,NA,93,D,low,NA,Z,low,429,Z,low,234,Z,high,ExtraCol4_4,ExtraCol7_5,NA,ExtraCol13_5,452,144,0,441
212,A,medium,31,D,high,94,NA,medium,20,Y,medium,333,Y,low,11,X,medium,ExtraCol4_2,ExtraCol7_5,ExtraCol10_2,ExtraCol13_4,137,448,162,441
213,A,high,26,D,unknown,4,NA,NA,87,Z,high,386,Z,medium,438,X,low,ExtraCol4_1,ExtraCol7_1,ExtraCol10_5,ExtraCol13_4,452,448,159,441
214,D,high,86,C,NA,35,A,unknown,NA,Z,medium,305,X,high,166,Z,medium,ExtraCol4_4,ExtraCol7_2,NA,ExtraCol13_3,452,152,0,155
215,A,high,51,D,unknown,41,NA,NA,NA,Z,medium,496,Y,low,37,Y,medium,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_5,452,448,159,441
216,A,low,51,A,NA,NA,A,NA,72,X,medium,328,X,low,NA,Z,low,ExtraCol4_2,NA,ExtraCol10_4,ExtraCol13_4,157,144,0,441
217,A,unknown,86,D,medium,77,A,low,48,Z,high,200,X,low,489,Y,medium,ExtraCol4_4,ExtraCol7_4,ExtraCol10_3,ExtraCol13_2,145,448,165,441
218,A,low,51,D,unknown,69,NA,NA,41,X,medium,126,Z,low,259,NA,low,ExtraCol4_2,ExtraCol7_4,ExtraCol10_3,ExtraCol13_2,157,448,159,441
219,C,low,51,C,medium,21,D,unknown,75,X,high,23,Z,low,16,Y,NA,ExtraCol4_2,ExtraCol7_2,ExtraCol10_4,ExtraCol13_1,157,152,165,153
220,B,high,52,C,low,NA,NA,low,NA,Y,high,383,X,low,495,Z,low,ExtraCol4_3,NA,NA,ExtraCol13_4,452,152,140,142
221,D,low,51,D,NA,NA,NA,NA,82,X,medium,466,Y,medium,104,Y,low,ExtraCol4_2,NA,ExtraCol10_5,ExtraCol13_5,157,448,0,155
222,B,medium,51,A,NA,44,D,NA,68,Y,medium,332,Z,low,NA,NA,low,ExtraCol4_2,ExtraCol7_3,ExtraCol10_4,ExtraCol13_4,137,144,0,142
223,A,medium,51,D,NA,NA,A,low,76,X,high,243,X,medium,354,Y,high,ExtraCol4_2,NA,ExtraCol10_4,ExtraCol13_3,137,448,0,441
224,C,high,51,D,NA,NA,NA,low,42,Y,low,65,Z,medium,165,Y,high,ExtraCol4_2,NA,ExtraCol10_3,ExtraCol13_1,452,448,0,153
225,C,high,79,D,high,92,NA,medium,38,Y,low,321,X,medium,42,Y,medium,ExtraCol4_4,ExtraCol7_5,ExtraCol10_2,ExtraCol13_3,452,448,162,153
226,A,high,59,A,low,90,D,high,57,Y,low,NA,Y,medium,341,Y,medium,ExtraCol4_3,ExtraCol7_5,ExtraCol10_3,NA,452,144,140,441
227,A,low,51,A,high,1,NA,high,64,NA,NA,311,Z,medium,131,Z,low,ExtraCol4_2,ExtraCol7_1,ExtraCol10_4,ExtraCol13_3,157,144,162,441
228,C,high,40,A,high,NA,C,high,92,Z,high,150,Z,high,430,X,high,ExtraCol4_2,NA,ExtraCol10_5,ExtraCol13_2,452,144,162,153
229,A,high,38,C,unknown,NA,A,NA,85,X,high,432,X,low,76,Y,high,ExtraCol4_2,NA,ExtraCol10_5,ExtraCol13_5,452,152,159,441
230,A,high,42,C,NA,82,C,medium,5,Z,low,468,X,medium,453,NA,high,ExtraCol4_2,ExtraCol7_5,ExtraCol10_1,ExtraCol13_5,452,152,0,441
231,A,high,99,D,NA,80,C,medium,15,Y,low,117,X,medium,361,Z,medium,ExtraCol4_4,ExtraCol7_4,ExtraCol10_1,ExtraCol13_2,452,448,0,441
232,C,high,51,A,low,NA,D,medium,94,Y,low,163,Y,medium,119,Y,low,ExtraCol4_2,NA,ExtraCol10_5,ExtraCol13_2,452,144,140,153
233,D,high,15,A,high,6,NA,NA,NA,Y,low,NA,X,low,289,Y,NA,ExtraCol4_1,ExtraCol7_1,NA,NA,452,144,162,155
234,C,high,4,A,unknown,NA,A,low,NA,X,NA,9,Z,low,469,X,medium,ExtraCol4_1,NA,NA,ExtraCol13_1,452,144,159,153
235,A,high,51,D,low,NA,A,NA,5,Z,medium,258,X,high,32,Y,NA,ExtraCol4_2,NA,ExtraCol10_1,ExtraCol13_3,452,448,140,441
236,A,unknown,80,D,medium,NA,D,unknown,NA,X,high,70,Y,high,409,X,low,ExtraCol4_4,NA,NA,ExtraCol13_1,145,448,165,441
237,B,high,51,B,NA,8,A,NA,40,Z,low,216,Z,medium,230,X,low,ExtraCol4_2,ExtraCol7_1,ExtraCol10_3,ExtraCol13_2,452,147,0,142
238,A,low,56,D,NA,NA,D,NA,NA,X,high,16,Y,low,474,Z,high,ExtraCol4_3,NA,NA,ExtraCol13_1,157,448,0,441
239,A,medium,79,B,NA,43,B,medium,77,Z,high,70,Y,medium,104,Y,low,ExtraCol4_4,ExtraCol7_3,ExtraCol10_5,ExtraCol13_1,137,147,0,441
240,A,high,51,D,medium,76,NA,high,89,Y,low,201,X,low,359,Z,high,ExtraCol4_2,ExtraCol7_4,ExtraCol10_5,ExtraCol13_2,452,448,165,441
241,A,low,90,D,medium,31,D,high,NA,Y,low,NA,Z,low,483,X,high,ExtraCol4_4,ExtraCol7_2,NA,NA,157,448,165,441
242,A,unknown,63,D,unknown,NA,C,NA,NA,Z,medium,398,NA,low,171,Z,low,ExtraCol4_3,NA,NA,ExtraCol13_4,145,448,159,441
243,B,unknown,73,B,NA,NA,C,low,54,X,high,289,Z,low,53,Y,medium,ExtraCol4_4,NA,ExtraCol10_3,ExtraCol13_3,145,147,0,142
244,C,unknown,78,A,low,NA,D,NA,54,Y,high,225,X,low,196,X,low,ExtraCol4_4,NA,ExtraCol10_3,ExtraCol13_3,145,144,140,153
245,D,low,62,D,unknown,29,D,high,3,Z,high,236,Y,low,299,Y,high,ExtraCol4_3,ExtraCol7_2,ExtraCol10_1,ExtraCol13_3,157,448,159,155
246,D,high,5,D,medium,25,C,low,NA,X,low,419,Z,medium,315,Z,medium,ExtraCol4_1,ExtraCol7_2,NA,ExtraCol13_5,452,448,165,155
247,B,high,42,D,unknown,NA,B,high,NA,X,high,422,Z,high,240,Z,low,ExtraCol4_2,NA,NA,ExtraCol13_5,452,448,159,142
248,B,high,14,A,NA,28,D,NA,NA,Y,high,23,NA,low,466,NA,high,ExtraCol4_1,ExtraCol7_2,NA,ExtraCol13_1,452,144,0,142
249,A,unknown,51,B,NA,68,C,NA,NA,X,NA,342,Z,low,289,Z,high,ExtraCol4_2,ExtraCol7_4,NA,ExtraCol13_4,145,147,0,441
250,A,high,51,D,low,NA,NA,high,44,Z,low,234,X,low,320,X,high,ExtraCol4_2,NA,ExtraCol10_3,ExtraCol13_3,452,448,140,441
251,C,high,51,C,unknown,NA,NA,NA,NA,Z,low,391,Z,medium,478,X,medium,ExtraCol4_2,NA,NA,ExtraCol13_4,452,152,159,153
252,B,high,51,A,high,NA,C,NA,NA,X,low,393,Y,high,469,Z,high,ExtraCol4_2,NA,NA,ExtraCol13_4,452,144,162,142
253,A,high,2,C,medium,NA,B,low,70,X,high,354,NA,low,170,Y,medium,ExtraCol4_1,NA,ExtraCol10_4,ExtraCol13_4,452,152,165,441
254,C,unknown,51,D,unknown,58,D,medium,63,Z,low,337,Y,low,143,Y,medium,ExtraCol4_2,ExtraCol7_3,ExtraCol10_4,ExtraCol13_4,145,448,159,153
255,B,high,50,D,unknown,NA,NA,high,10,Y,high,105,Y,low,374,Z,medium,ExtraCol4_2,NA,ExtraCol10_1,ExtraCol13_1,452,448,159,142
256,A,unknown,7,D,NA,25,NA,medium,29,Z,low,426,Z,medium,262,Z,low,ExtraCol4_1,ExtraCol7_2,ExtraCol10_2,ExtraCol13_5,145,448,0,441
257,C,low,51,D,NA,98,C,unknown,84,Z,high,350,Z,medium,223,Z,medium,ExtraCol4_2,ExtraCol7_5,ExtraCol10_5,ExtraCol13_4,157,448,0,153
258,A,high,75,C,high,20,C,unknown,NA,Y,high,136,Z,medium,349,NA,high,ExtraCol4_4,ExtraCol7_1,NA,ExtraCol13_2,452,152,162,441
259,A,high,70,A,medium,13,C,unknown,NA,X,medium,116,X,low,330,Z,low,ExtraCol4_4,ExtraCol7_1,NA,ExtraCol13_2,452,144,165,441
260,A,low,17,A,NA,82,D,low,52,Y,medium,250,Y,high,456,X,medium,ExtraCol4_1,ExtraCol7_5,ExtraCol10_3,ExtraCol13_3,157,144,0,441
261,B,medium,51,D,NA,89,B,NA,11,Y,low,171,Z,medium,182,NA,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_1,ExtraCol13_2,137,448,0,142
262,D,high,63,D,NA,9,D,low,12,Y,low,338,NA,high,NA,Y,medium,ExtraCol4_3,ExtraCol7_1,ExtraCol10_1,ExtraCol13_4,452,448,0,155
263,A,high,39,D,NA,59,NA,high,98,X,high,203,Y,high,113,Y,high,ExtraCol4_2,ExtraCol7_3,ExtraCol10_5,ExtraCol13_2,452,448,0,441
264,A,low,0,D,NA,NA,A,medium,3,X,high,84,Z,low,468,X,high,ExtraCol4_1,NA,ExtraCol10_1,ExtraCol13_1,157,448,0,441
265,C,medium,51,D,NA,22,C,NA,2,NA,high,197,Y,low,41,Z,low,ExtraCol4_2,ExtraCol7_2,ExtraCol10_1,ExtraCol13_2,137,448,0,153
266,D,high,79,C,medium,NA,A,NA,1,Y,medium,407,X,high,375,X,high,ExtraCol4_4,NA,ExtraCol10_1,ExtraCol13_4,452,152,165,155
267,A,high,3,C,low,68,D,low,62,Y,low,415,Z,high,50,Y,low,ExtraCol4_1,ExtraCol7_4,ExtraCol10_4,ExtraCol13_5,452,152,140,441
268,C,medium,51,D,unknown,57,NA,high,NA,X,low,155,Y,medium,440,X,low,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_2,137,448,159,153
269,D,high,38,D,high,51,NA,high,NA,Z,high,397,Y,low,479,Z,high,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_4,452,448,162,155
270,A,high,51,A,high,88,C,high,79,Z,low,46,X,low,408,X,low,ExtraCol4_2,ExtraCol7_5,ExtraCol10_5,ExtraCol13_1,452,144,162,441
271,A,high,47,D,low,NA,B,medium,71,Z,low,492,X,high,394,Z,low,ExtraCol4_2,NA,ExtraCol10_4,ExtraCol13_5,452,448,140,441
272,D,high,42,A,low,62,B,NA,NA,Z,low,382,Y,high,239,Z,low,ExtraCol4_2,ExtraCol7_4,NA,ExtraCol13_4,452,144,140,155
273,A,unknown,51,B,low,31,D,NA,7,Y,medium,20,Z,NA,122,Y,medium,ExtraCol4_2,ExtraCol7_2,ExtraCol10_1,ExtraCol13_1,145,147,140,441
274,C,low,5,B,NA,97,NA,NA,48,X,high,352,X,NA,492,X,medium,ExtraCol4_1,ExtraCol7_5,ExtraCol10_3,ExtraCol13_4,157,147,0,153
275,B,high,3,D,unknown,25,D,unknown,8,Y,medium,247,Z,low,264,X,high,ExtraCol4_1,ExtraCol7_2,ExtraCol10_1,ExtraCol13_3,452,448,159,142
276,C,low,9,D,medium,NA,B,medium,11,Y,high,441,Z,low,408,Y,high,ExtraCol4_1,NA,ExtraCol10_1,ExtraCol13_5,157,448,165,153
277,A,low,69,D,high,63,NA,low,46,Z,medium,119,NA,medium,357,Y,high,ExtraCol4_3,ExtraCol7_4,ExtraCol10_3,ExtraCol13_2,157,448,162,441
278,A,high,78,D,NA,NA,C,unknown,NA,X,high,446,Z,medium,350,Y,medium,ExtraCol4_4,NA,NA,ExtraCol13_5,452,448,0,441
279,C,high,51,B,unknown,75,A,medium,99,X,NA,435,Z,NA,176,X,low,ExtraCol4_2,ExtraCol7_4,ExtraCol10_5,ExtraCol13_5,452,147,159,153
280,A,high,7,D,medium,24,A,low,NA,X,medium,139,Z,low,213,NA,high,ExtraCol4_1,ExtraCol7_2,NA,ExtraCol13_2,452,448,165,441
281,B,medium,41,D,medium,26,NA,low,27,X,low,216,NA,high,NA,X,medium,ExtraCol4_2,ExtraCol7_2,ExtraCol10_2,ExtraCol13_2,137,448,165,142
282,A,high,98,D,NA,34,NA,medium,32,Y,high,320,Z,medium,NA,Y,low,ExtraCol4_4,ExtraCol7_2,ExtraCol10_2,ExtraCol13_3,452,448,0,441
283,D,medium,51,D,low,68,A,low,NA,X,medium,120,Z,NA,359,X,medium,ExtraCol4_2,ExtraCol7_4,NA,ExtraCol13_2,137,448,140,155
284,A,low,51,A,unknown,39,C,NA,NA,X,low,499,X,high,99,Y,medium,ExtraCol4_2,ExtraCol7_2,NA,ExtraCol13_5,157,144,159,441
285,B,medium,53,C,NA,56,A,high,51,Y,low,NA,Y,medium,113,Y,medium,ExtraCol4_3,ExtraCol7_3,ExtraCol10_3,NA,137,152,0,142
286,C,high,51,B,medium,55,D,NA,76,Z,medium,121,NA,medium,24,Z,medium,ExtraCol4_2,ExtraCol7_3,ExtraCol10_4,ExtraCol13_2,452,147,165,153
287,A,high,51,D,high,19,D,NA,84,Y,medium,250,Y,low,NA,Y,high,ExtraCol4_2,ExtraCol7_1,ExtraCol10_5,ExtraCol13_3,452,448,162,441
288,D,medium,47,C,high,23,NA,low,5,X,low,236,X,high,334,X,low,ExtraCol4_2,ExtraCol7_2,ExtraCol10_1,ExtraCol13_3,137,152,162,155
289,B,high,51,D,NA,30,A,unknown,28,X,medium,25,Z,high,105,X,high,ExtraCol4_2,ExtraCol7_2,ExtraCol10_2,ExtraCol13_1,452,448,0,142
290,D,high,51,D,high,NA,B,NA,25,Z,NA,455,NA,low,355,Z,low,ExtraCol4_2,NA,ExtraCol10_2,ExtraCol13_5,452,448,162,155
291,A,high,51,D,unknown,NA,NA,NA,55,Y,high,120,Z,high,1,Z,low,ExtraCol4_2,NA,ExtraCol10_3,ExtraCol13_2,452,448,159,441
292,C,medium,5,D,NA,NA,NA,high,NA,Y,low,51,X,high,433,X,high,ExtraCol4_1,NA,NA,ExtraCol13_1,137,448,0,153
293,C,high,0,D,NA,NA,C,NA,NA,Z,NA,259,X,medium,345,Z,low,ExtraCol4_1,NA,NA,ExtraCol13_3,452,448,0,153
294,A,unknown,41,A,NA,67,C,NA,91,Y,high,464,Y,high,341,Y,high,ExtraCol4_2,ExtraCol7_4,ExtraCol10_5,ExtraCol13_5,145,144,0,441
295,A,high,51,D,NA,NA,C,unknown,33,Y,low,1,X,medium,353,NA,high,ExtraCol4_2,NA,ExtraCol10_2,ExtraCol13_1,452,448,0,441
296,A,high,51,D,unknown,68,NA,high,NA,Z,low,244,Y,NA,179,Y,NA,ExtraCol4_2,ExtraCol7_4,NA,ExtraCol13_3,452,448,159,441
297,C,high,7,B,medium,NA,A,medium,43,X,NA,455,Y,low,497,Z,medium,ExtraCol4_1,NA,ExtraCol10_3,ExtraCol13_5,452,147,165,153
298,A,high,67,D,NA,NA,NA,unknown,NA,Y,high,446,X,low,NA,X,high,ExtraCol4_3,NA,NA,ExtraCol13_5,452,448,0,441
299,A,high,45,D,high,89,NA,medium,88,Y,high,85,Z,medium,90,Z,high,ExtraCol4_2,ExtraCol7_5,ExtraCol10_5,ExtraCol13_1,452,448,162,441
300,A,high,23,D,NA,20,D,NA,NA,X,medium,NA,X,low,461,X,medium,ExtraCol4_1,ExtraCol7_1,NA,NA,452,448,0,441
301,D,unknown,20,D,medium,16,C,low,33,NA,high,417,Z,high,369,Z,low,ExtraCol4_1,ExtraCol7_1,ExtraCol10_2,ExtraCol13_5,145,448,165,155
302,A,unknown,66,D,unknown,39,B,low,NA,Z,medium,335,X,low,155,X,medium,ExtraCol4_3,ExtraCol7_2,NA,ExtraCol13_4,145,448,159,441
303,B,unknown,52,B,unknown,83,C,unknown,38,X,high,328,Y,high,473,X,low,ExtraCol4_3,ExtraCol7_5,ExtraCol10_2,ExtraCol13_4,145,147,159,142
304,A,unknown,51,B,medium,96,C,NA,NA,Y,high,386,Z,medium,124,X,low,ExtraCol4_2,ExtraCol7_5,NA,ExtraCol13_4,145,147,165,441
305,D,unknown,28,D,medium,NA,NA,NA,30,Y,high,226,X,high,322,Z,high,ExtraCol4_1,NA,ExtraCol10_2,ExtraCol13_3,145,448,165,155
306,B,high,52,A,NA,NA,B,NA,10,X,medium,33,Z,high,335,Y,medium,ExtraCol4_3,NA,ExtraCol10_1,ExtraCol13_1,452,144,0,142
307,B,low,86,C,NA,23,C,NA,NA,X,medium,319,X,high,481,Z,high,ExtraCol4_4,ExtraCol7_2,NA,ExtraCol13_3,157,152,0,142
308,C,high,31,D,medium,59,A,NA,65,NA,low,313,Z,medium,285,X,high,ExtraCol4_2,ExtraCol7_3,ExtraCol10_4,ExtraCol13_3,452,448,165,153
309,A,low,39,D,NA,18,A,high,93,Z,high,425,Z,high,497,Z,low,ExtraCol4_2,ExtraCol7_1,ExtraCol10_5,ExtraCol13_5,157,448,0,441
310,D,low,16,D,low,53,A,NA,0,Y,low,461,X,low,142,Z,high,ExtraCol4_1,ExtraCol7_3,ExtraCol10_1,ExtraCol13_5,157,448,140,155
311,D,unknown,51,C,NA,NA,NA,medium,63,Y,medium,168,Y,medium,400,Y,high,ExtraCol4_2,NA,ExtraCol10_4,ExtraCol13_2,145,152,0,155
312,A,unknown,3,C,medium,7,A,low,56,Y,medium,478,Z,low,122,Z,low,ExtraCol4_1,ExtraCol7_1,ExtraCol10_3,ExtraCol13_5,145,152,165,441
313,C,high,24,C,unknown,96,B,unknown,62,Z,NA,4,X,low,499,X,medium,ExtraCol4_1,ExtraCol7_5,ExtraCol10_4,ExtraCol13_1,452,152,159,153
314,C,high,51,A,unknown,89,NA,unknown,98,Z,high,484,X,medium,381,X,high,ExtraCol4_2,ExtraCol7_5,ExtraCol10_5,ExtraCol13_5,452,144,159,153
315,A,high,1,B,unknown,NA,B,medium,39,X,high,NA,X,low,312,X,low,ExtraCol4_1,NA,ExtraCol10_2,NA,452,147,159,441
316,D,high,98,D,NA,62,A,NA,NA,Y,high,322,NA,medium,33,X,NA,ExtraCol4_4,ExtraCol7_4,NA,ExtraCol13_3,452,448,0,155
317,A,unknown,40,B,NA,NA,D,low,1,Y,NA,341,Z,medium,NA,Z,medium,ExtraCol4_2,NA,ExtraCol10_1,ExtraCol13_4,145,147,0,441
318,A,medium,51,D,high,57,B,NA,NA,X,medium,316,Y,NA,72,Y,high,ExtraCol4_2,ExtraCol7_3,NA,ExtraCol13_3,137,448,162,441
