id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19
260,230433,26,,S,58,A,low,17,A,,82,D,low,52,Y,medium,250,Y,high,456,X,medium,433
261,384461,7.75,,Q,79,B,medium,,D,,89,B,,11,Y,low,171,Z,medium,182,,low,333
262,347077,31.3875,,S,17,D,,63,,,9,D,low,12,Y,low,338,,high,,Y,medium,201
263,110413,79.65,E67,S,29,A,high,39,,,59,,high,98,X,high,203,Y,high,113,Y,high,419
264,112059,0,B94,S,92,,low,0,,,,A,medium,3,X,high,84,Z,low,468,X,high,471
265,382649,7.75,,Q,98,C,medium,,,,22,C,,2,,high,197,Y,low,41,Z,low,398
266,C.A. 17248,10.5,,S,58,D,,79,C,medium,,A,,1,Y,medium,407,X,high,375,X,high,438
267,3101295,39.6875,,S,44,,high,3,C,low,68,D,low,62,Y,low,415,Z,high,50,Y,low,132
268,347083,7.775,,S,34,C,medium,,D,unknown,57,,high,,X,low,155,Y,medium,440,X,low,210
269,PC 17582,153.4625,C125,S,61,D,high,38,D,high,51,,high,,Z,high,397,Y,low,479,Z,high,124
270,PC 17760,135.6333,C99,S,,,high,,A,high,88,C,high,79,Z,low,46,X,low,408,X,low,182
271,113798,31,,S,29,A,,47,,low,,B,medium,71,Z,low,492,X,high,394,Z,low,366
272,LINE,0,,S,,D,,42,A,low,62,B,,,Z,low,382,Y,high,239,Z,low,338
273,250644,19.5,,S,15,A,unknown,,B,low,31,D,,7,Y,medium,20,Z,,122,Y,medium,1
274,PC 17596,29.7,C118,C,95,C,low,5,B,,97,,,48,X,high,352,X,,492,X,medium,377
275,370375,7.75,,Q,41,B,,3,D,unknown,25,D,unknown,8,Y,medium,247,Z,low,264,X,high,96
276,13502,77.9583,D7,S,48,C,low,9,,medium,,B,medium,11,Y,high,441,Z,low,408,Y,high,92
277,347073,7.75,,S,,,low,69,,high,63,,low,46,Z,medium,119,,medium,357,Y,high,271
278,239853,0,,S,78,,,78,,,,C,unknown,,X,high,446,Z,medium,350,Y,medium,120
279,382652,29.125,,Q,,C,,,B,unknown,75,A,medium,99,X,,435,Z,,176,X,low,481
280,C.A. 2673,20.25,,S,,,high,7,,medium,24,A,low,,X,medium,139,Z,low,213,,high,73
281,336439,7.75,,Q,,B,medium,41,,medium,26,,low,27,X,low,216,,high,,X,medium,75
282,347464,7.8542,,S,,,,98,,,34,,medium,32,Y,high,320,Z,medium,,Y,low,380
283,345778,9.5,,S,67,D,medium,,D,low,68,A,low,,X,medium,120,Z,,359,X,medium,143
284,A/5. 10482,8.05,,S,49,A,low,,A,unknown,39,C,,,X,low,499,X,high,99,Y,medium,357
285,113056,26,A19,S,44,B,medium,53,C,,56,A,high,51,Y,low,,Y,medium,113,Y,medium,340
286,349239,8.6625,,C,,C,high,,B,medium,55,D,,76,Z,medium,121,,medium,24,Z,medium,94
287,345774,9.5,,S,,,high,,,high,19,D,,84,Y,medium,250,Y,low,,Y,high,289
288,349206,7.8958,,S,57,D,medium,47,C,high,23,,low,5,X,low,236,X,high,334,X,low,268
289,237798,13,,S,,B,,,,,30,A,unknown,28,X,medium,25,Z,high,105,X,high,47
290,370373,7.75,,Q,47,D,high,,,high,,B,,25,Z,,455,,low,355,Z,low,382
291,19877,78.85,,S,,,,,D,unknown,,,,55,Y,high,120,Z,high,1,Z,low,428
292,11967,91.0792,B49,C,26,C,medium,5,,,,,high,,Y,low,51,X,high,433,X,high,473
293,SC/Paris 2163,12.875,D,C,95,C,,0,,,,C,,,Z,,259,X,medium,345,Z,low,43
294,349236,8.85,,S,33,A,unknown,41,A,,67,C,,91,Y,high,464,Y,high,341,Y,high,89
295,349233,7.8958,,S,,A,,,D,,,C,unknown,33,Y,low,1,X,medium,353,,high,412
296,PC 17612,27.7208,,C,,,,,,unknown,68,,high,,Z,low,244,Y,,179,Y,,152
297,2693,7.2292,,C,84,C,,7,B,medium,,A,medium,43,X,,455,Y,low,497,Z,medium,312
298,113781,151.55,C22 C26,S,,,high,67,D,,,,unknown,,Y,high,446,X,low,,X,high,174
299,19988,30.5,C106,S,28,A,high,45,,high,89,,medium,88,Y,high,85,Z,medium,90,Z,high,108
300,PC 17558,247.5208,B58 B60,C,2,,,23,,,20,D,,,X,medium,,X,low,461,X,medium,312
301,9234,7.75,,Q,36,D,unknown,20,D,medium,16,C,low,33,,high,417,Z,high,369,Z,low,102
302,367226,23.25,,Q,82,,unknown,66,D,unknown,39,B,low,,Z,medium,335,X,low,155,X,medium,68
303,LINE,0,,S,0,B,unknown,52,B,unknown,83,C,unknown,38,X,high,328,Y,high,473,X,low,265
304,226593,12.35,E101,Q,89,,unknown,,B,medium,96,C,,,Y,high,386,Z,medium,124,X,low,96
305,A/5 2466,8.05,,S,,D,unknown,28,,medium,,,,30,Y,high,226,X,high,322,Z,high,96
306,113781,151.55,C22 C26,S,14,B,,52,A,,,B,,10,X,medium,33,Z,high,335,Y,medium,390
307,17421,110.8833,,C,,B,low,86,C,,23,C,,,X,medium,319,X,high,481,Z,high,264
308,PC 17758,108.9,C65,C,55,C,,31,,medium,59,A,,65,,low,313,Z,medium,285,X,high,271
309,P/PP 3381,24,,C,31,A,low,39,D,,18,A,high,93,Z,high,425,Z,high,497,Z,low,71
310,PC 17485,56.9292,E36,C,,D,low,16,,low,53,A,,0,Y,low,461,X,low,142,Z,high,80
311,11767,83.1583,C54,C,66,D,unknown,,C,,,,medium,63,Y,medium,168,Y,medium,400,Y,high,195
312,PC 17608,262.375,B57 B59 B63 B66,C,67,,unknown,3,C,medium,7,A,low,56,Y,medium,478,Z,low,122,Z,low,
313,250651,26,,S,,C,high,24,C,unknown,96,B,unknown,62,Z,,4,X,low,499,X,medium,225
314,349243,7.8958,,S,28,C,high,,A,unknown,89,,unknown,98,Z,high,484,X,medium,381,X,high,67
315,F.C.C. 13529,26.25,,S,24,,,1,B,unknown,,B,medium,39,X,high,,X,low,312,X,low,449
316,347470,7.8542,,S,,D,,98,,,62,A,,,Y,high,322,,medium,33,X,,181
317,244367,26,,S,,,unknown,40,B,,,D,low,1,Y,,341,Z,medium,,Z,medium,408
318,29011,14,,S,,,medium,,D,high,57,B,,,X,medium,316,Y,,72,Y,high,200
319,36928,164.8667,C7,S,93,C,high,53,,unknown,,A,,17,,medium,495,Y,medium,458,Y,low,236
320,16966,134.5,E34,C,,,,,B,low,53,,,,X,high,276,Z,high,189,Z,high,56
321,A/5 21172,7.25,,S,,D,low,,,high,,,low,,Z,medium,65,X,medium,415,Z,high,338
322,349219,7.8958,,S,,D,,88,A,low,39,,,27,X,medium,303,Z,low,453,Y,low,29
323,234818,12.35,,Q,,C,,,B,,84,,low,11,Y,low,145,X,medium,55,Y,low,373
324,248738,29,,S,91,B,,,B,medium,25,,high,,Z,medium,306,X,medium,379,X,medium,440
325,CA. 2343,69.55,,S,,B,medium,70,D,high,96,B,high,65,Y,medium,190,,high,151,Z,medium,180
326,PC 17760,135.6333,C32,C,23,B,high,30,,unknown,75,,,28,X,low,21,Y,medium,54,Z,low,443
327,345364,6.2375,,S,23,C,unknown,99,A,low,89,B,low,13,X,high,318,Y,low,130,Y,low,349
328,28551,13,D,S,3,,high,25,,high,50,,medium,57,Y,high,44,X,low,274,Y,medium,1
329,363291,20.525,,S,,C,medium,29,,low,22,A,low,,Z,high,163,Y,low,,Z,high,101
330,111361,57.9792,B18,C,55,D,medium,71,A,low,3,D,high,,Y,low,309,Z,medium,345,Y,medium,320
331,367226,23.25,,Q,54,,high,78,C,,53,,low,38,X,low,440,X,,116,Y,high,350
332,113043,28.5,C124,S,,C,medium,12,C,high,39,D,high,,Z,low,157,X,high,147,Z,,46
333,PC 17582,153.4625,C91,S,30,,high,55,,low,11,C,unknown,24,Y,high,149,X,low,152,,medium,342
334,345764,18,,S,82,C,,,B,medium,,D,high,28,X,high,150,Y,medium,368,Z,high,405
335,PC 17611,133.65,,S,,,,61,,,97,,,14,Y,medium,287,Z,low,259,X,medium,45
336,349225,7.8958,,S,80,,unknown,55,,medium,,D,,,X,low,96,X,high,11,,high,439
337,113776,66.6,C2,S,96,,medium,,B,unknown,,C,,14,Z,medium,,Z,medium,38,Y,high,266
338,16966,134.5,E40,C,31,,medium,,,,,D,,68,Z,high,400,Z,medium,37,X,high,308
339,7598,8.05,,S,20,,high,65,,,,,,,X,medium,,Y,medium,480,Z,low,25
340,113784,35.5,T,S,95,,,67,D,,62,,unknown,,Y,low,482,Z,low,252,Y,low,306
341,230080,26,F2,S,63,,unknown,,C,high,41,C,unknown,,X,,265,,low,245,Z,high,227
342,19950,263,C23 C25 C27,S,29,,low,,,medium,,A,medium,63,Y,high,313,Z,high,380,,high,185
343,248740,13,,S,62,B,unknown,72,B,,18,,medium,75,X,high,308,Y,low,95,Y,medium,390
344,244361,13,,S,51,C,,77,,medium,66,A,low,56,Z,medium,472,X,high,15,Y,low,
345,229236,13,,S,,A,,12,B,low,98,A,,,X,high,332,Z,low,,Y,high,29
346,248733,13,F33,S,25,C,high,88,,low,85,,high,25,Z,low,441,Y,low,,,medium,249
347,31418,13,,S,99,,unknown,,,medium,4,,,,X,high,142,X,high,399,X,low,371
348,386525,16.1,,S,,,low,,C,unknown,11,A,medium,,X,low,108,Z,high,409,Y,medium,66
349,C.A. 37671,15.9,,S,,,high,48,,low,62,B,low,,Z,medium,321,Y,high,317,,low,492
350,315088,8.6625,,S,16,B,low,48,,,92,B,low,49,Z,medium,76,Z,high,454,,low,336
351,7267,9.225,,S,,A,low,91,,medium,84,C,,90,X,high,55,Z,medium,232,Y,low,467
352,113510,35,C128,S,,B,unknown,96,A,high,90,,low,27,X,low,105,X,low,120,Z,high,235
353,2695,7.2292,,C,29,C,high,80,A,low,14,C,,51,Z,low,135,Z,medium,165,X,low,61
354,349237,17.8,,S,43,A,medium,65,B,low,51,B,,,Z,high,48,,medium,70,Z,medium,88
355,2647,7.225,,C,96,C,high,10,B,low,72,D,,63,Y,medium,364,Z,high,450,Y,low,250
356,345783,9.5,,S,99,A,medium,91,C,medium,62,B,,,X,high,291,X,,302,,,294
357,113505,55,E33,S,15,D,medium,13,A,,77,B,high,41,X,medium,100,Z,low,386,Z,high,367
358,237671,13,,S,89,C,medium,16,B,unknown,21,A,medium,0,X,medium,141,Z,medium,140,X,high,397
359,330931,7.8792,,Q,,B,medium,6,D,,45,D,,,Z,high,464,Z,high,359,X,low,381
360,330980,7.8792,,Q,,C,unknown,94,D,,44,,low,,X,high,,Y,high,165,Y,medium,294
361,347088,27.9,,S,84,A,medium,,D,,93,B,high,,Y,,61,Z,medium,223,Z,low,9
362,SC/PARIS 2167,27.7208,,C,,A,medium,,,,20,B,unknown,,Z,high,306,,medium,325,X,medium,264
363,2691,14.4542,,C,22,D,high,8,A,medium,32,D,high,14,X,low,161,X,medium,490,Y,low,409
364,SOTON/O.Q. 3101310,7.05,,S,89,D,unknown,41,,medium,,,medium,,,low,179,Z,medium,279,X,medium,423
365,370365,15.5,,Q,,,medium,72,A,high,15,A,high,79,Z,high,299,Y,medium,355,X,medium,417
366,C 7076,7.25,,S,,B,unknown,99,,,,A,unknown,45,X,medium,492,X,low,297,Z,high,5
367,110813,75.25,D37,C,46,A,medium,,,medium,84,C,low,5,X,low,291,Y,medium,211,X,medium,217
368,2626,7.2292,,C,31,,high,60,D,medium,,A,high,6,X,low,476,X,medium,466,Y,high,
369,14313,7.75,,Q,,B,unknown,83,C,high,70,,low,67,X,medium,410,Y,,,,low,
370,PC 17477,69.3,B35,C,77,,,90,B,high,59,A,,,X,medium,389,Y,high,155,X,high,204
371,11765,55.4417,E50,C,33,C,low,27,B,low,,D,unknown,,Z,high,395,Z,high,447,Z,high,48
372,3101267,6.4958,,S,66,A,high,,D,,30,D,medium,40,X,high,395,Z,low,225,Y,high,96
373,323951,8.05,,S,41,D,,51,D,high,99,,,49,X,high,127,Y,medium,369,,high,2
374,PC 17760,135.6333,,C,,C,medium,93,C,high,,,medium,16,Z,medium,488,Z,medium,258,Z,low,489
375,349909,21.075,,S,,,unknown,11,D,,71,B,low,,X,high,459,X,,383,Y,,429
376,PC 17604,82.1708,,C,9,,,9,B,high,,,,76,X,high,300,Z,medium,435,Z,low,201
377,C 7077,7.25,,S,,C,high,,B,high,,C,,42,X,high,355,X,,211,X,high,2
378,113503,211.5,C82,C,74,,high,67,D,medium,,,low,49,Z,medium,440,Z,high,350,X,medium,167
379,2648,4.0125,,C,37,A,low,17,B,high,84,C,low,,Z,low,76,Z,,253,X,medium,217
380,347069,7.775,,S,,,medium,89,D,medium,63,A,unknown,,,low,32,X,high,399,Y,medium,84
381,PC 17757,227.525,,C,0,B,high,10,B,medium,28,B,,98,Z,high,497,X,high,95,Z,medium,330
382,2653,15.7417,,C,,D,low,,B,low,96,,unknown,81,X,high,277,Z,high,364,Z,medium,498
383,STON/O 2. 3101293,7.925,,S,94,B,medium,,A,medium,70,,high,,Y,high,361,Z,high,297,Y,high,421
384,113789,52,,S,,,,,C,low,42,,,,Y,,251,Z,medium,225,X,low,428
385,349227,7.8958,,S,3,A,unknown,,B,,13,,medium,72,X,medium,258,X,medium,,Y,high,415
386,S.O.C. 14879,73.5,,S,12,B,low,84,B,medium,97,B,,33,Z,low,18,Y,medium,350,Y,medium,34
387,CA 2144,46.9,,S,6,B,unknown,10,C,high,,C,unknown,51,Y,low,144,Y,high,173,Y,medium,275
388,27849,13,,S,83,A,medium,,A,unknown,,,low,14,Z,high,43,Z,medium,16,Z,high,282
389,367655,7.7292,,Q,89,B,high,61,,low,83,,,,X,low,216,Z,high,474,Y,,50
390,SC 1748,12,,C,15,,high,2,D,unknown,60,D,high,,Z,medium,10,Z,high,223,Z,low,73
391,113760,120,B96 B98,S,74,A,,74,C,medium,,,unknown,72,X,high,401,Y,,82,Y,low,282
392,350034,7.7958,,S,17,,unknown,,C,,23,A,unknown,60,X,medium,147,X,medium,112,X,high,357
393,3101277,7.925,,S,36,C,low,75,,,7,A,low,,Y,high,370,Z,medium,414,X,medium,104
394,35273,113.275,D36,C,59,D,low,,C,unknown,,,,50,X,medium,26,X,high,165,Z,medium,242
395,PP 9549,16.7,G6,S,,C,unknown,19,B,low,,C,,,X,high,16,X,low,140,Y,high,37
396,350052,7.7958,,S,87,A,high,,,,,,low,,Z,low,,X,low,243,X,low,55
397,350407,7.8542,,S,4,,unknown,6,A,,16,A,,1,Y,medium,394,Y,low,14,X,low,290
398,28403,26,,S,19,B,medium,53,C,,57,C,,,Y,low,406,X,,280,X,medium,278
399,244278,10.5,,S,,B,,,C,high,12,A,low,,X,,272,,high,20,Z,high,375
400,240929,12.65,,S,31,A,low,,,medium,,A,,36,Z,high,306,X,high,417,X,low,455
401,STON/O 2. 3101289,7.925,,S,99,D,medium,20,,medium,79,A,high,87,Z,medium,344,Z,medium,214,X,high,94
402,341826,8.05,,S,77,,low,76,D,,,C,unknown,64,Z,medium,336,Y,low,109,Y,high,170
403,4137,9.825,,S,,C,unknown,69,,,94,B,low,60,Y,medium,370,X,medium,227,Y,low,427
404,STON/O2. 3101279,15.85,,S,97,,,,C,,31,B,,,Y,low,15,Z,high,87,X,low,25
405,315096,8.6625,,S,,D,unknown,,D,unknown,94,C,low,50,X,low,214,Y,low,160,X,high,414
406,28664,21,,S,,A,low,6,,,78,A,high,70,X,,419,X,medium,65,,low,472
407,347064,7.75,,S,43,,low,44,A,unknown,33,,unknown,,X,low,219,Y,medium,334,X,high,49
408,29106,18.75,,S,14,B,,,B,unknown,,,unknown,60,Y,medium,73,,,488,Z,high,
409,312992,7.775,,S,,,,11,D,medium,10,C,medium,17,Z,low,332,Z,medium,242,Y,low,342
410,4133,25.4667,,S,1,B,medium,55,B,high,,,medium,67,Z,high,151,Y,medium,49,X,,237
411,349222,7.8958,,S,17,A,medium,,D,,20,C,,7,X,low,255,,high,37,,medium,493
412,394140,6.8583,,Q,22,,,,,,26,,unknown,31,X,medium,258,X,high,416,Z,medium,272
413,19928,90,C78,Q,27,B,,,,high,41,A,,91,X,high,348,Z,medium,174,Y,high,327
414,239853,0,,S,13,A,low,8,B,medium,,C,low,,X,medium,464,Z,high,148,Z,medium,118
415,STON/O 2. 3101269,7.925,,S,1,,,67,C,high,80,A,unknown,90,Y,medium,346,Y,high,50,Z,,
416,343095,8.05,,S,67,A,low,33,,medium,69,B,,35,Z,,499,Y,medium,331,X,low,88
417,28220,32.5,,S,96,,low,,,high,15,,unknown,68,X,medium,9,Y,high,31,X,low,73
418,250652,13,,S,12,B,,19,C,medium,16,,low,70,Z,low,,X,medium,452,Z,low,56
419,28228,13,,S,,,medium,97,,medium,,C,,,Y,medium,208,Z,medium,104,X,medium,446
420,345773,24.15,,S,50,C,,25,D,,94,D,medium,,Y,medium,364,Z,low,34,Z,low,34
421,349254,7.8958,,C,92,A,medium,68,D,,,C,high,96,Z,high,42,Z,high,,X,high,258
422,A/5. 13032,7.7333,,Q,69,,medium,,B,,,B,medium,11,Z,medium,263,X,low,177,Z,high,254
423,315082,7.875,,S,,D,medium,18,,low,14,A,medium,,,high,14,Z,high,348,Z,high,27
424,347080,14.4,,S,,A,high,30,,low,23,C,medium,44,Y,low,332,,high,19,,high,421
425,370129,20.2125,,S,41,B,,1,B,,,D,unknown,67,X,medium,108,Z,high,430,Z,low,250
426,A/4. 34244,7.25,,S,,A,low,,C,,20,B,,55,Z,medium,72,Z,low,154,,high,63
427,2003,26,,S,86,,medium,33,,low,61,,,,Z,high,39,Z,medium,378,Z,medium,64
428,250655,26,,S,80,,low,49,A,unknown,92,,low,9,Z,medium,134,Z,high,467,Z,high,350
429,364851,7.75,,Q,2,A,medium,15,B,,,C,high,51,Y,high,,X,medium,267,Y,high,309
430,SOTON/O.Q. 392078,8.05,E10,S,71,A,,82,,high,60,C,high,83,X,low,492,X,medium,167,,medium,206
431,110564,26.55,C52,S,8,B,medium,21,B,low,,A,high,,,high,40,X,medium,156,,low,
432,376564,16.1,,S,73,C,low,,,unknown,,A,low,27,Y,high,489,Y,low,343,X,high,17
433,SC/AH 3085,26,,S,82,B,high,87,C,high,0,,unknown,86,Y,medium,293,Z,medium,2,Y,medium,15
434,STON/O 2. 3101274,7.125,,S,13,,low,71,,,11,B,unknown,35,X,low,161,,high,73,Y,medium,267
435,13507,55.9,E44,S,43,,low,60,B,,,,unknown,56,Z,medium,471,Y,low,323,Y,medium,181
436,113760,120,B96 B98,S,12,D,,,A,medium,,B,unknown,,Y,high,120,Z,low,12,Y,high,126
437,W./C. 6608,34.375,,S,56,A,unknown,,D,,32,,medium,52,X,medium,90,X,,144,Y,medium,189
438,29106,18.75,,S,92,C,unknown,96,D,unknown,52,C,,,Y,low,114,,medium,,X,low,302
439,19950,263,C23 C25 C27,S,,D,high,,D,,57,A,medium,,Z,medium,72,Y,low,125,Z,high,146
440,C.A. 18723,10.5,,S,39,A,high,40,A,high,66,,,47,Y,high,242,X,medium,465,X,medium,174
441,F.C.C. 13529,26.25,,S,97,D,high,25,C,high,,,medium,,,low,70,Y,high,487,Y,low,141
442,345769,9.5,,S,,,high,,,unknown,37,,high,65,Z,medium,111,Z,low,16,Z,medium,333
443,347076,7.775,,S,,B,high,97,D,medium,88,A,unknown,41,Y,medium,185,Z,low,87,Y,high,27
444,230434,13,,S,48,,unknown,69,,low,5,A,high,52,Y,high,,,low,453,Z,,459
445,65306,8.1125,,S,50,C,,3,C,,,C,unknown,,X,medium,429,Z,,16,Y,low,277
446,33638,81.8583,A34,S,66,,low,46,A,high,95,,unknown,86,Z,medium,37,Y,high,243,X,medium,122
447,250644,19.5,,S,,,medium,,C,,17,A,low,12,Z,medium,315,X,,474,Z,high,379
448,113794,26.55,,S,,C,unknown,,D,medium,99,,unknown,87,Y,medium,51,Z,low,294,X,medium,469
449,2666,19.2583,,C,52,D,medium,77,A,high,28,A,unknown,,X,medium,495,Y,low,153,Z,medium,29
450,113786,30.5,C104,S,28,B,low,70,,,36,A,,,Y,low,138,Y,high,3,X,low,102
451,C.A. 34651,27.75,,S,,,unknown,6,,,,C,,2,Z,low,428,X,low,196,Z,low,71
452,65303,19.9667,,S,,B,high,55,A,unknown,94,A,,,X,high,388,,medium,270,X,high,35
453,113051,27.75,C111,C,,D,,,,,,A,unknown,5,Y,medium,162,Z,medium,40,,high,
454,17453,89.1042,C92,C,2,D,medium,48,,high,16,D,,,Y,medium,161,Z,low,264,Y,medium,96
455,A/5 2817,8.05,,S,59,,low,,B,,48,A,low,,Y,,158,X,medium,202,X,high,191
456,349240,7.8958,,C,,C,medium,,D,medium,15,C,low,76,Y,high,235,Z,low,162,X,high,407
457,13509,26.55,E38,S,,D,medium,86,D,high,78,D,low,70,Z,high,221,Y,medium,486,,medium,
458,17464,51.8625,D21,S,63,B,unknown,46,B,low,,D,,84,X,medium,328,X,low,446,Z,medium,338
459,F.C.C. 13531,10.5,,S,84,,,53,A,,49,D,unknown,0,Y,low,232,Y,high,347,Y,low,48
460,371060,7.75,,Q,10,,low,62,,high,39,B,high,78,Z,high,,Y,high,295,X,low,485
461,19952,26.55,E12,S,72,A,,65,A,high,3,D,low,31,Z,low,233,Y,low,236,X,,41
462,364506,8.05,,S,,,unknown,63,D,medium,5,,,,Y,low,153,X,medium,35,X,,354
463,111320,38.5,E63,S,,A,medium,78,C,high,51,,medium,76,Z,,163,Y,medium,153,X,high,319
464,234360,13,,S,,,medium,98,C,low,39,A,,68,X,medium,365,Z,low,5,Z,low,206
465,A/S 2816,8.05,,S,0,,high,82,A,high,12,C,,41,Y,medium,70,Z,high,183,Y,low,419
466,SOTON/O.Q. 3101306,7.05,,S,96,B,high,13,,unknown,13,D,medium,61,Z,low,143,Z,medium,236,Y,low,446
467,239853,0,,S,16,B,medium,,C,unknown,,,,46,Y,low,155,Y,low,305,X,high,35
468,113792,26.55,,S,59,B,unknown,,,unknown,,D,,62,Y,low,322,Z,medium,177,Y,high,479
469,36209,7.725,,Q,18,B,high,50,B,,60,,medium,45,Y,medium,64,X,high,127,Y,low,120
470,2666,19.2583,,C,93,B,low,52,,low,83,D,high,39,Y,low,,Z,medium,,X,high,395
471,323592,7.25,,S,,C,,71,,high,6,C,,20,Z,medium,337,Y,high,75,Y,high,410
472,315089,8.6625,,S,,D,unknown,,B,low,,B,,38,Y,medium,463,Y,low,62,Y,medium,278
473,C.A. 34651,27.75,,S,43,C,medium,26,C,medium,,A,,,X,high,218,Y,high,348,Z,,431
474,SC/AH Basle 541,13.7917,D,C,46,C,high,45,B,high,20,,unknown,87,X,high,491,,low,292,Y,,412
475,7553,9.8375,,S,,D,,,,high,53,,,,Z,medium,303,X,medium,434,X,low,
476,110465,52,A14,S,78,D,,31,C,high,,B,medium,18,Y,medium,387,Y,medium,369,,low,89
477,31027,21,,S,84,,unknown,2,,unknown,,C,low,50,X,low,121,Z,low,450,Y,,217
478,3460,7.0458,,S,1,C,low,97,,low,,,,,X,medium,457,Y,high,332,,low,450
479,350060,7.5208,,S,,A,high,,B,unknown,66,B,high,,X,medium,129,X,medium,420,Z,low,101
480,3101298,12.2875,,S,,A,high,60,,,75,A,,32,X,low,68,Y,medium,84,Z,high,499
481,CA 2144,46.9,,S,,D,low,,A,medium,0,B,,4,Z,high,39,Z,medium,265,X,high,
482,239854,0,,S,82,,,27,,medium,,A,,5,Y,low,327,Z,low,472,Y,high,332
483,A/5 3594,8.05,,S,25,D,,34,,high,50,A,low,,Y,low,314,X,medium,394,X,low,320
484,4134,9.5875,,S,79,,medium,28,B,high,36,,high,72,X,high,99,Y,low,201,Z,high,97
485,11967,91.0792,B49,C,,D,,,,medium,,,unknown,86,Z,high,439,Z,high,463,X,low,236
486,4133,25.4667,,S,23,C,low,15,B,low,,C,medium,49,Z,medium,138,X,high,156,Z,low,72
487,19943,90,C93,S,33,D,,,D,low,75,C,unknown,,Z,medium,304,X,high,11,X,high,182
488,11771,29.7,B37,C,53,A,,45,,medium,82,C,low,92,Y,high,261,X,low,398,Y,low,479
489,A.5. 18509,8.05,,S,76,D,,53,B,,41,,,27,Y,low,296,Y,medium,206,X,medium,27
490,C.A. 37671,15.9,,S,,A,,1,,high,93,A,unknown,15,X,medium,370,Y,medium,17,Z,low,435
491,65304,19.9667,,S,93,B,,84,C,unknown,92,C,high,13,Z,,463,X,high,102,Y,low,338
492,SOTON/OQ 3101317,7.25,,S,,A,low,67,,low,66,D,high,35,Z,medium,360,X,medium,35,Y,high,374
493,113787,30.5,C30,S,75,B,medium,7,B,medium,58,A,unknown,73,X,high,453,Y,high,,Y,,141
494,PC 17609,49.5042,,C,,,high,84,C,low,,,medium,,Y,medium,434,Z,low,423,X,high,474
495,A/4 45380,8.05,,S,,B,unknown,3,C,,60,C,,,X,high,179,X,high,464,Y,low,126
496,2627,14.4583,,C,41,,unknown,,A,,,D,,34,Y,medium,279,Y,medium,,Z,high,251
497,36947,78.2667,D20,C,,C,high,46,D,low,97,B,low,,X,high,99,Z,high,401,Y,high,18
498,C.A. 6212,15.1,,S,37,C,low,,C,,19,D,high,68,Z,low,,,low,281,X,high,443
499,113781,151.55,C22 C26,S,92,D,,95,A,high,66,A,medium,66,Z,low,483,Y,low,147,Z,low,352
500,350035,7.7958,,S,,,low,,C,unknown,73,,unknown,43,Z,low,443,X,medium,334,Y,low,81
501,315086,8.6625,,S,11,B,low,,C,,,D,unknown,,X,high,371,Z,medium,476,X,medium,331
502,364846,7.75,,Q,65,D,high,57,D,medium,34,B,medium,,X,medium,424,Z,low,230,X,low,91
503,330909,7.6292,,Q,96,,,,,high,86,C,high,65,Z,low,397,Z,medium,14,X,low,222
504,4135,9.5875,,S,86,,low,72,B,high,48,A,,81,X,low,114,Z,medium,421,X,high,256
505,110152,86.5,B79,S,27,B,low,88,A,high,38,C,medium,,Y,medium,131,Y,low,94,,high,465
506,PC 17758,108.9,C65,C,,A,high,,C,low,15,C,unknown,85,Z,low,265,Y,medium,91,X,high,166
507,26360,26,,S,,,medium,,,,32,,medium,,Y,,,Z,high,308,X,high,6
508,111427,26.55,,S,,,high,51,B,,97,A,,,X,high,368,,low,399,X,low,216
509,C 4001,22.525,,S,26,A,medium,,,unknown,,,high,95,Z,high,368,X,high,396,X,high,463
510,1601,56.4958,,S,23,C,high,,C,unknown,,,unknown,56,Z,low,488,X,medium,433,X,,399
511,382651,7.75,,Q,99,A,,,B,high,,D,high,27,X,medium,394,Y,low,441,Y,medium,29
512,SOTON/OQ 3101316,8.05,,S,74,C,,70,,high,,A,unknown,60,Y,medium,,X,high,64,X,low,26
513,PC 17473,26.2875,E25,S,84,,medium,51,B,,66,C,medium,62,Y,medium,170,Y,high,150,Z,low,378
514,PC 17603,59.4,,C,81,,high,,,unknown,37,D,medium,,Y,medium,163,Y,high,360,Y,high,360
515,349209,7.4958,,S,95,B,high,42,B,medium,84,C,medium,20,Z,low,316,,high,,X,low,278
516,36967,34.0208,D46,S,10,,high,49,D,medium,42,B,low,,Z,low,171,Y,low,357,Y,high,44
517,C.A. 34260,10.5,F33,S,,,,,C,high,85,A,,54,X,medium,489,X,low,227,X,high,140
518,371110,24.15,,Q,,A,low,55,C,,74,B,medium,14,Z,low,144,Z,,225,Z,medium,423
519,226875,26,,S,47,C,,79,,,77,A,unknown,77,Z,low,,Y,high,13,Y,low,69
520,349242,7.8958,,S,59,C,high,2,C,high,92,A,unknown,,X,medium,408,X,low,304,Z,medium,100
521,12749,93.5,B73,S,35,A,high,75,A,high,79,B,,93,X,high,183,Y,low,431,Y,medium,226
522,349252,7.8958,,S,,C,,50,,medium,,,medium,67,Y,medium,22,X,high,,X,medium,367
