"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16","ExtraCol17","ExtraCol18","ExtraCol19","ExtraCol20","ExtraCol21","ExtraCol22","ExtraCol4_ef_bin","ExtraCol4_ef_bin_num","ExtraCol7_ef_bin","ExtraCol7_ef_bin_num","ExtraCol10_ef_bin","ExtraCol10_ef_bin_num"
134,26,"Missing","S","55","","",43,"","low",81,"B","unknown",20,"Y","high",283,"X","high",441,"X","low",125,"X","low",202,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_2",2
135,13,"Missing","S","79","B","unknown",64,"C","high",89,"","medium",39,"Z","high",347,"Y","medium",366,"Y","low",483,"Y","high",393,"ExtraCol4_4",4,"ExtraCol7_5",5,"ExtraCol10_2",2
136,15.0458,"Missing","C","30","D","",NA,"A","",93,"","",62,"Y","high",202,"Y","high",135,"Y","medium",478,"Y","medium",4,NA,NA,"ExtraCol7_5",5,"ExtraCol10_4",4
137,26.2833,"D47","S","Missing","A","medium",57,"C","low",NA,"","",38,"Y","high",124,"Y","low",76,"Z","high",210,"Z","medium",445,"ExtraCol4_3",3,NA,NA,"ExtraCol10_2",2
138,53.1,"C123","S","3","C","",5,"","",NA,"B","low",NA,"Z","low",471,"Y","low",358,"","high",115,"X","high",85,"ExtraCol4_1",1,NA,NA,NA,NA
139,9.2167,"Missing","S","34","B","high",NA,"B","medium",57,"C","",NA,"Y","medium",494,"X","low",202,"X","high",398,"X","",197,NA,NA,"ExtraCol7_3",3,NA,NA
140,79.2,"B86","C","43","A","low",NA,"","low",46,"D","",13,"Z","high",107,"Z","high",483,"","high",312,"X","low",178,NA,NA,"ExtraCol7_3",3,"ExtraCol10_1",1
141,15.2458,"Missing","C","Missing","D","",45,"B","unknown",23,"","medium",NA,"X","medium",400,"X","low",322,"X","low",450,"Z","low",462,"ExtraCol4_3",3,"ExtraCol7_2",2,NA,NA
142,7.75,"Missing","S","21","A","",16,"","high",NA,"C","low",46,"Y","medium",221,"Z","high",5,"X","medium",272,"Z","medium",360,"ExtraCol4_1",1,NA,NA,"ExtraCol10_3",3
143,15.85,"Missing","S","Missing","","unknown",NA,"","unknown",14,"A","",60,"Y","low",353,"Z","high",125,"","high",275,"Z","high",17,NA,NA,"ExtraCol7_1",1,"ExtraCol10_4",4
144,6.75,"Missing","Q","Missing","","",33,"D","medium",NA,"A","unknown",73,"X","low",54,"X","medium",372,"X","high",NA,"Z","low",426,"ExtraCol4_2",2,NA,NA,"ExtraCol10_4",4
145,11.5,"Missing","S","99","D","medium",27,"","",NA,"","low",NA,"Z","high",239,"X","high",350,"X","medium",301,"Z","medium",338,"ExtraCol4_2",2,NA,NA,NA,NA
146,36.75,"Missing","S","85","A","unknown",29,"A","",NA,"A","",97,"X","low",62,"Y","high",370,"Z","low",181,"Y","medium",34,"ExtraCol4_2",2,NA,NA,"ExtraCol10_5",5
147,7.7958,"Missing","S","3","","",72,"A","low",10,"","low",42,"X","medium",407,"Z","high",116,"Y","high",102,"","low",390,"ExtraCol4_4",4,"ExtraCol7_1",1,"ExtraCol10_3",3
148,34.375,"Missing","S","23","C","",10,"B","medium",26,"B","",88,"X","medium",199,"Y","high",124,"Z","medium",390,"X","",16,"ExtraCol4_1",1,"ExtraCol7_2",2,"ExtraCol10_5",5
149,26,"F2","S","Missing","D","unknown",30,"D","unknown",NA,"D","high",41,"Z","high",131,"Y","medium",104,"Y","medium",172,"Y","low",212,"ExtraCol4_2",2,NA,NA,"ExtraCol10_3",3
150,13,"Missing","S","Missing","A","low",46,"B","medium",NA,"","low",40,"X","high",349,"Z","low",347,"X","high",106,"X","low",81,"ExtraCol4_3",3,NA,NA,"ExtraCol10_3",3
151,12.525,"Missing","S","85","D","",54,"","unknown",44,"B","high",60,"X","medium",477,"Y","low",5,"Z","medium",480,"Z","medium",5,"ExtraCol4_3",3,"ExtraCol7_3",3,"ExtraCol10_4",4
152,66.6,"C2","S","28","C","medium",88,"B","medium",4,"C","",19,"Z","low",169,"Z","medium",407,"Y","medium",481,"Y","high",279,"ExtraCol4_5",5,"ExtraCol7_1",1,"ExtraCol10_2",2
153,8.05,"Missing","S","91","D","unknown",NA,"","medium",1,"A","high",60,"X","",358,"Z","medium",140,"Z","low",247,"","medium",343,NA,NA,"ExtraCol7_1",1,"ExtraCol10_4",4
154,14.5,"Missing","S","29","","low",NA,"","",NA,"D","unknown",NA,"X","high",344,"X","medium",244,"X","low",147,"Y","medium",239,NA,NA,NA,NA,NA,NA
155,7.3125,"Missing","S","43","D","unknown",53,"","",44,"C","",NA,"X","medium",244,"Y","low",123,"Z","medium",80,"Z","high",171,"ExtraCol4_3",3,"ExtraCol7_3",3,NA,NA
156,61.3792,"Missing","C","66","C","low",2,"A","",7,"C","unknown",7,"Y","medium",402,"X","medium",212,"Z","high",313,"Z","high",256,"ExtraCol4_1",1,"ExtraCol7_1",1,"ExtraCol10_1",1
157,7.7333,"Missing","Q","12","","low",61,"D","low",83,"","low",69,"X","high",63,"","medium",382,"","high",305,"Y","high",75,"ExtraCol4_4",4,"ExtraCol7_5",5,"ExtraCol10_4",4
158,8.05,"Missing","S","55","","high",15,"D","medium",NA,"D","low",3,"Z","medium",438,"X","high",99,"Z","medium",309,"Z","high",24,"ExtraCol4_1",1,NA,NA,"ExtraCol10_1",1
159,8.6625,"Missing","S","50","","high",7,"A","high",34,"D","medium",10,"X","",202,"X","high",284,"Z","high",NA,"Z","high",78,"ExtraCol4_1",1,"ExtraCol7_2",2,"ExtraCol10_1",1
160,69.55,"Missing","S","78","B","unknown",67,"C","",45,"A","medium",28,"Y","medium",22,"X","medium",28,"Z","low",235,"Z","high",27,"ExtraCol4_4",4,"ExtraCol7_3",3,"ExtraCol10_2",2
161,16.1,"Missing","S","99","C","",NA,"D","unknown",NA,"C","low",NA,"X","high",NA,"Z","high",88,"X","",341,"","high",384,NA,NA,NA,NA,NA,NA
162,15.75,"Missing","S","Missing","","low",NA,"","",93,"","medium",0,"X","medium",386,"Y","low",342,"Z","medium",327,"X","high",304,NA,NA,"ExtraCol7_5",5,"ExtraCol10_1",1
163,7.775,"Missing","S","40","C","",10,"B","high",78,"B","unknown",NA,"X","",408,"Y","high",284,"Z","low",397,"Y","",93,"ExtraCol4_1",1,"ExtraCol7_4",4,NA,NA
164,8.6625,"Missing","S","40","D","",74,"D","",19,"","high",78,"Z","medium",73,"","high",305,"Y","low",371,"X","low",NA,"ExtraCol4_4",4,"ExtraCol7_1",1,"ExtraCol10_5",5
165,39.6875,"Missing","S","41","","",76,"C","medium",73,"","high",45,"Z","high",375,"Z","low",112,"Y","high",17,"X","medium",242,"ExtraCol4_4",4,"ExtraCol7_4",4,"ExtraCol10_3",3
166,20.525,"Missing","S","81","A","",NA,"","",17,"B","low",19,"X","high",349,"Y","",103,"X","medium",309,"Y","high",55,NA,NA,"ExtraCol7_1",1,"ExtraCol10_2",2
167,55,"E33","S","32","","unknown",83,"A","high",45,"C","low",42,"X","high",451,"Y","medium",NA,"Y","low",487,"","high",485,"ExtraCol4_5",5,"ExtraCol7_3",3,"ExtraCol10_3",3
168,27.9,"Missing","S","16","B","unknown",43,"C","low",NA,"","medium",69,"Z","high",185,"Y","low",64,"Z","high",279,"X","medium",468,"ExtraCol4_3",3,NA,NA,"ExtraCol10_4",4
169,25.925,"Missing","S","Missing","C","high",18,"","unknown",3,"A","",73,"Y","high",463,"Y","medium",NA,"Z","low",264,"Z","",379,"ExtraCol4_1",1,"ExtraCol7_1",1,"ExtraCol10_4",4
170,56.4958,"Missing","S","2","","",NA,"","",NA,"A","unknown",NA,"X","medium",353,"","high",133,"X","medium",303,"X","low",404,NA,NA,NA,NA,NA,NA
171,33.5,"B19","S","10","B","high",21,"A","medium",22,"","",16,"X","medium",NA,"X","high",359,"X","high",279,"Y","medium",273,"ExtraCol4_2",2,"ExtraCol7_2",2,"ExtraCol10_1",1
172,29.125,"Missing","Q","9","B","high",20,"B","medium",NA,"A","",95,"Y","medium",106,"X","",78,"X","low",200,"Z","medium",401,"ExtraCol4_2",2,NA,NA,"ExtraCol10_5",5
173,11.1333,"Missing","S","Missing","B","high",32,"D","unknown",49,"D","medium",NA,"Y","high",451,"X","medium",325,"Y","high",496,"X","medium",264,"ExtraCol4_2",2,"ExtraCol7_3",3,NA,NA
174,7.925,"Missing","S","Missing","D","high",NA,"","medium",2,"C","high",98,"Y","medium",322,"Y","medium",101,"X","",35,"Y","low",83,NA,NA,"ExtraCol7_1",1,"ExtraCol10_5",5
175,30.6958,"A7","C","69","B","medium",NA,"B","medium",NA,"","low",NA,"X","low",59,"Z","high",140,"Z","high",407,"Z","low",83,NA,NA,NA,NA,NA,NA
176,7.8542,"Missing","S","46","","high",NA,"","low",NA,"B","",11,"Y","low",62,"Y","medium",206,"Z","high",79,"Z","medium",427,NA,NA,NA,NA,"ExtraCol10_1",1
177,25.4667,"Missing","S","71","B","unknown",62,"B","medium",95,"B","",NA,"X","",413,"X","medium",NA,"X","high",103,"Z","medium",223,"ExtraCol4_4",4,"ExtraCol7_5",5,NA,NA
178,28.7125,"C49","C","16","A","unknown",33,"C","low",NA,"","",32,"Y","medium",84,"Y","high",62,"Z","low",303,"Y","high",364,"ExtraCol4_2",2,NA,NA,"ExtraCol10_2",2
179,13,"Missing","S","90","B","high",NA,"B","",19,"","unknown",NA,"X","high",109,"Z","medium",376,"Z","low",318,"Z","low",72,NA,NA,"ExtraCol7_1",1,NA,NA
180,0,"Missing","S","50","A","low",51,"","unknown",60,"","",71,"X","high",307,"Y","low",172,"Z","low",463,"Y","medium",223,"ExtraCol4_3",3,"ExtraCol7_3",3,"ExtraCol10_4",4
181,69.55,"Missing","S","93","A","",NA,"C","",36,"","high",NA,"Z","high",431,"X","low",283,"Z","low",147,"Y","high",41,NA,NA,"ExtraCol7_2",2,NA,NA
182,15.05,"Missing","C","Missing","","medium",43,"D","unknown",60,"A","",58,"Y","high",168,"X","",323,"Y","",12,"Z","low",110,"ExtraCol4_3",3,"ExtraCol7_3",3,"ExtraCol10_3",3
183,31.3875,"Missing","S","49","A","low",29,"B","unknown",NA,"C","unknown",NA,"Y","low",332,"Y","medium",311,"Z","low",127,"Z","low",NA,"ExtraCol4_2",2,NA,NA,NA,NA
184,39,"F4","S","69","","",NA,"","",29,"C","low",61,"X","high",351,"Z","medium",313,"X","medium",272,"Y","low",104,NA,NA,"ExtraCol7_2",2,"ExtraCol10_4",4
185,22.025,"Missing","S","49","D","high",NA,"A","high",65,"C","unknown",39,"X","high",300,"X","low",487,"Z","medium",178,"Z","medium",303,NA,NA,"ExtraCol7_4",4,"ExtraCol10_2",2
186,50,"A32","S","44","C","unknown",NA,"D","high",26,"B","unknown",NA,"Z","high",342,"Z","high",315,"Y","medium",126,"Y","high",2,NA,NA,"ExtraCol7_2",2,NA,NA
187,15.5,"Missing","Q","Missing","B","",NA,"","medium",90,"A","",71,"Z","",NA,"Z","low",174,"Z","medium",457,"X","medium",96,NA,NA,"ExtraCol7_5",5,"ExtraCol10_4",4
188,26.55,"Missing","S","38","A","",47,"A","",94,"B","unknown",29,"Y","low",310,"X","low",NA,"Z","low",280,"Y","medium",345,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_2",2
189,15.5,"Missing","Q","Missing","D","",NA,"A","medium",NA,"B","high",19,"X","high",1,"","high",400,"Y","low",336,"Z","high",74,NA,NA,NA,NA,"ExtraCol10_2",2
190,7.8958,"Missing","S","Missing","D","high",NA,"A","low",72,"","",70,"Y","low",365,"X","low",210,"X","high",374,"Y","medium",277,NA,NA,"ExtraCol7_4",4,"ExtraCol10_4",4
191,13,"Missing","S","68","C","",90,"B","high",NA,"D","low",NA,"X","high",396,"Y","high",NA,"X","medium",204,"Y","medium",433,"ExtraCol4_5",5,NA,NA,NA,NA
192,13,"Missing","S","63","A","unknown",67,"D","low",NA,"B","low",44,"X","high",396,"X","high",407,"Z","medium",367,"Z","high",390,"ExtraCol4_4",4,NA,NA,"ExtraCol10_3",3
193,7.8542,"Missing","S","60","","unknown",NA,"A","",73,"","low",NA,"X","high",14,"Z","high",117,"Z","medium",481,"Z","low",61,NA,NA,"ExtraCol7_4",4,NA,NA
194,26,"F2","S","36","","unknown",96,"D","",93,"C","low",18,"Y","medium",455,"X","high",111,"Y","",362,"Y","high",73,"ExtraCol4_5",5,"ExtraCol7_5",5,"ExtraCol10_2",2
195,27.7208,"B4","C","95","A","medium",71,"","high",22,"D","unknown",81,"Y","high",217,"Y","medium",26,"Z","high",148,"Z","low",352,"ExtraCol4_4",4,"ExtraCol7_2",2,"ExtraCol10_5",5
196,146.5208,"B80","C","8","D","",5,"C","medium",NA,"B","low",98,"Y","high",40,"Z","medium",NA,"Z","medium",389,"Y","medium",173,"ExtraCol4_1",1,NA,NA,"ExtraCol10_5",5
197,7.75,"Missing","Q","Missing","A","",72,"B","medium",NA,"","",NA,"Z","high",267,"X","medium",308,"Y","",NA,"Y","low",NA,"ExtraCol4_4",4,NA,NA,NA,NA
198,8.4042,"Missing","S","Missing","","unknown",NA,"D","low",33,"A","",14,"X","medium",285,"X","medium",251,"Z","high",36,"Z","medium",238,NA,NA,"ExtraCol7_2",2,"ExtraCol10_1",1
199,7.75,"Missing","Q","33","D","",NA,"","medium",23,"C","",NA,"X","medium",201,"Z","high",148,"Z","low",222,"X","medium",289,NA,NA,"ExtraCol7_2",2,NA,NA
200,13,"Missing","S","96","D","",48,"B","high",NA,"A","unknown",86,"Z","high",374,"X","medium",105,"Y","high",NA,"X","low",224,"ExtraCol4_3",3,NA,NA,"ExtraCol10_5",5
201,9.5,"Missing","S","Missing","A","low",51,"A","",33,"A","unknown",8,"X","low",271,"","medium",347,"X","medium",234,"X","high",11,"ExtraCol4_3",3,"ExtraCol7_2",2,"ExtraCol10_1",1
202,69.55,"Missing","S","90","","",31,"D","medium",72,"","",NA,"X","low",108,"X","high",42,"Z","low",130,"Z","high",47,"ExtraCol4_2",2,"ExtraCol7_4",4,NA,NA
203,6.4958,"Missing","S","49","C","low",NA,"B","",37,"","unknown",NA,"Z","medium",310,"X","low",350,"Y","high",136,"X","low",NA,NA,NA,"ExtraCol7_2",2,NA,NA
204,7.225,"Missing","C","Missing","C","unknown",61,"B","high",37,"A","",3,"","medium",131,"Y","medium",452,"Y","high",460,"Z","medium",132,"ExtraCol4_4",4,"ExtraCol7_2",2,"ExtraCol10_1",1
205,8.05,"Missing","S","45","","high",NA,"C","high",94,"","low",NA,"","high",59,"Y","high",227,"Z","low",145,"Z","high",408,NA,NA,"ExtraCol7_5",5,NA,NA
206,10.4625,"G6","S","26","D","medium",89,"C","low",NA,"D","",7,"Z","high",133,"Y","high",247,"Z","high",391,"Z","high",485,"ExtraCol4_5",5,NA,NA,"ExtraCol10_1",1
207,15.85,"Missing","S","76","D","high",77,"C","high",92,"C","medium",17,"Y","low",452,"Z","low",NA,"X","low",NA,"Z","low",237,"ExtraCol4_4",4,"ExtraCol7_5",5,"ExtraCol10_1",1
208,18.7875,"Missing","C","Missing","","high",60,"B","low",71,"","high",48,"X","",286,"X","low",47,"Z","",53,"Z","low",13,"ExtraCol4_3",3,"ExtraCol7_4",4,"ExtraCol10_3",3
209,7.75,"Missing","Q","26","","high",NA,"A","medium",NA,"D","unknown",NA,"Z","high",158,"Y","low",313,"X","high",31,"X","medium",35,NA,NA,NA,NA,NA,NA
210,31,"A31","C","77","C","high",33,"","high",NA,"B","",NA,"X","medium",183,"","high",182,"Y","high",121,"Z","medium",407,"ExtraCol4_2",2,NA,NA,NA,NA
211,7.05,"Missing","S","26","A","",76,"A","",93,"D","low",NA,"Z","low",429,"Z","low",234,"Z","high",420,"X","",171,"ExtraCol4_4",4,"ExtraCol7_5",5,NA,NA
212,21,"Missing","S","Missing","","medium",31,"","high",94,"","medium",20,"Y","medium",333,"Y","low",11,"X","medium",227,"Y","medium",440,"ExtraCol4_2",2,"ExtraCol7_5",5,"ExtraCol10_2",2
213,7.25,"Missing","S","78","A","",26,"","unknown",4,"","",87,"Z","high",386,"Z","medium",438,"X","low",347,"Z","medium",253,"ExtraCol4_2",2,"ExtraCol7_1",1,"ExtraCol10_5",5
214,13,"Missing","S","44","D","",86,"C","",35,"A","unknown",NA,"Z","medium",305,"X","high",166,"Z","medium",481,"X","medium",439,"ExtraCol4_5",5,"ExtraCol7_2",2,NA,NA
215,7.75,"Missing","Q","Missing","","",NA,"D","unknown",41,"","",NA,"Z","medium",496,"Y","low",37,"Y","medium",24,"X","medium",NA,NA,NA,"ExtraCol7_3",3,NA,NA
216,113.275,"D36","C","27","A","low",NA,"A","",NA,"A","",72,"X","medium",328,"X","low",NA,"Z","low",54,"Z","high",429,NA,NA,NA,NA,"ExtraCol10_4",4
217,7.925,"Missing","S","Missing","A","unknown",86,"D","medium",77,"A","low",48,"Z","high",200,"X","low",489,"Y","medium",460,"","high",273,"ExtraCol4_5",5,"ExtraCol7_4",4,"ExtraCol10_3",3
218,27,"Missing","S","Missing","A","low",NA,"D","unknown",69,"","",41,"X","medium",126,"Z","low",259,"","low",283,"X","high",218,NA,NA,"ExtraCol7_4",4,"ExtraCol10_3",3
219,76.2917,"D15","C","44","C","low",NA,"C","medium",21,"D","unknown",75,"X","high",23,"Z","low",16,"Y","",308,"X","low",264,NA,NA,"ExtraCol7_2",2,"ExtraCol10_4",4
220,10.5,"Missing","S","90","B","",52,"C","low",NA,"","low",NA,"Y","high",383,"X","low",495,"Z","low",170,"X","medium",163,"ExtraCol4_3",3,NA,NA,NA,NA
221,8.05,"Missing","S","12","D","low",NA,"","",NA,"","",82,"X","medium",466,"Y","medium",104,"Y","low",413,"Y","low",301,NA,NA,NA,NA,"ExtraCol10_5",5
222,13,"Missing","S","45","B","medium",NA,"A","",44,"D","",68,"Y","medium",332,"Z","low",NA,"","low",323,"","high",385,NA,NA,"ExtraCol7_3",3,"ExtraCol10_4",4
223,8.05,"Missing","S","Missing","","medium",NA,"","",NA,"A","low",76,"X","high",243,"X","medium",354,"Y","high",128,"Y","medium",405,NA,NA,NA,NA,"ExtraCol10_4",4
224,7.8958,"Missing","S","20","C","",NA,"","",NA,"","low",42,"Y","low",65,"Z","medium",165,"Y","high",324,"X","low",489,NA,NA,NA,NA,"ExtraCol10_3",3
225,90,"C93","S","Missing","C","",79,"","high",92,"","medium",38,"Y","low",321,"X","medium",42,"Y","medium",1,"Z","high",NA,"ExtraCol4_5",5,"ExtraCol7_5",5,"ExtraCol10_2",2
226,9.35,"Missing","S","30","","high",59,"A","low",90,"D","high",57,"Y","low",NA,"Y","medium",341,"Y","medium",120,"Y","medium",384,"ExtraCol4_3",3,"ExtraCol7_5",5,"ExtraCol10_3",3
227,10.5,"Missing","S","80","","low",NA,"A","high",1,"","high",64,"","",311,"Z","medium",131,"Z","low",101,"X","low",444,NA,NA,"ExtraCol7_1",1,"ExtraCol10_4",4
228,7.25,"Missing","S","57","C","high",40,"A","high",NA,"C","high",92,"Z","high",150,"Z","high",430,"X","high",392,"Y","low",8,"ExtraCol4_2",2,NA,NA,"ExtraCol10_5",5
229,13,"Missing","S","54","","high",38,"C","unknown",NA,"A","",85,"X","high",432,"X","low",76,"Y","high",367,"X","high",237,"ExtraCol4_2",2,NA,NA,"ExtraCol10_5",5
230,25.4667,"Missing","S","17","","high",42,"C","",82,"C","medium",5,"Z","low",468,"X","medium",453,"","high",45,"Y","low",350,"ExtraCol4_2",2,"ExtraCol7_5",5,"ExtraCol10_1",1
231,83.475,"C83","S","46","","high",99,"","",80,"C","medium",15,"Y","low",117,"X","medium",361,"Z","medium",453,"Z","medium",228,"ExtraCol4_5",5,"ExtraCol7_4",4,"ExtraCol10_1",1
232,7.775,"Missing","S","85","C","",NA,"A","low",NA,"D","medium",94,"Y","low",163,"Y","medium",119,"Y","low",NA,"Y","high",50,NA,NA,NA,NA,"ExtraCol10_5",5
233,13.5,"Missing","S","Missing","D","",15,"A","high",6,"","",NA,"Y","low",NA,"X","low",289,"Y","",217,"Z","low",327,"ExtraCol4_1",1,"ExtraCol7_1",1,NA,NA
234,31.3875,"Missing","S","75","C","",4,"A","unknown",NA,"A","low",NA,"X","",9,"Z","low",469,"X","medium",105,"Z","low",203,"ExtraCol4_1",1,NA,NA,NA,NA
235,10.5,"Missing","S","Missing","","high",51,"","low",NA,"A","",5,"Z","medium",258,"X","high",32,"Y","",210,"Y","low",308,"ExtraCol4_3",3,NA,NA,"ExtraCol10_1",1
236,7.55,"Missing","S","Missing","","unknown",80,"","medium",NA,"D","unknown",NA,"X","high",70,"Y","high",409,"X","low",294,"","high",0,"ExtraCol4_5",5,NA,NA,NA,NA
237,26,"Missing","S","Missing","B","high",NA,"B","",8,"A","",40,"Z","low",216,"Z","medium",230,"X","low",315,"Z","medium",5,NA,NA,"ExtraCol7_1",1,"ExtraCol10_3",3
238,26.25,"Missing","S","43","A","low",56,"","",NA,"D","",NA,"X","high",16,"Y","low",474,"Z","high",173,"Y","low",301,"ExtraCol4_3",3,NA,NA,NA,NA
239,10.5,"Missing","S","30","A","medium",79,"B","",43,"B","medium",77,"Z","high",70,"Y","medium",104,"Y","low",50,"Z","low",491,"ExtraCol4_5",5,"ExtraCol7_3",3,"ExtraCol10_5",5
240,12.275,"Missing","S","62","","high",51,"D","medium",76,"","high",89,"Y","low",201,"X","low",359,"Z","high",304,"Y","high",319,"ExtraCol4_3",3,"ExtraCol7_4",4,"ExtraCol10_5",5
241,14.4542,"Missing","C","14","","low",90,"","medium",31,"D","high",NA,"Y","low",NA,"Z","low",483,"X","high",352,"Z","low",471,"ExtraCol4_5",5,"ExtraCol7_2",2,NA,NA
242,15.5,"Missing","Q","58","","unknown",63,"","unknown",NA,"C","",NA,"Z","medium",398,"","low",171,"Z","low",133,"X","low",423,"ExtraCol4_4",4,NA,NA,NA,NA
243,10.5,"Missing","S","9","B","unknown",73,"B","",NA,"C","low",54,"X","high",289,"Z","low",53,"Y","medium",319,"Y","medium",140,"ExtraCol4_4",4,NA,NA,"ExtraCol10_3",3
244,7.125,"Missing","S","64","C","unknown",78,"A","low",NA,"D","",54,"Y","high",225,"X","low",196,"X","low",284,"X","medium",51,"ExtraCol4_4",4,NA,NA,"ExtraCol10_3",3
245,7.225,"Missing","C","Missing","D","low",62,"D","unknown",29,"D","high",3,"Z","high",236,"Y","low",299,"Y","high",250,"X","medium",279,"ExtraCol4_4",4,"ExtraCol7_2",2,"ExtraCol10_1",1
246,90,"C78","Q","8","D","high",5,"","medium",25,"C","low",NA,"X","low",419,"Z","medium",315,"Z","medium",4,"Y","high",310,"ExtraCol4_1",1,"ExtraCol7_2",2,NA,NA
247,7.775,"Missing","S","Missing","B","high",42,"","unknown",NA,"B","high",NA,"X","high",422,"Z","high",240,"Z","low",153,"X","low",385,"ExtraCol4_2",2,NA,NA,NA,NA
248,14.5,"Missing","S","41","B","high",14,"A","",28,"D","",NA,"Y","high",23,"","low",466,"","high",187,"X","medium",260,"ExtraCol4_1",1,"ExtraCol7_2",2,NA,NA
249,52.5542,"D35","S","78","","unknown",51,"B","",68,"C","",NA,"X","",342,"Z","low",289,"Z","high",416,"Z","low",NA,"ExtraCol4_3",3,"ExtraCol7_4",4,NA,NA
250,26,"Missing","S","4","A","",NA,"","low",NA,"","high",44,"Z","low",234,"X","low",320,"X","high",413,"X","medium",421,NA,NA,NA,NA,"ExtraCol10_3",3
251,7.25,"Missing","S","17","C","high",NA,"C","unknown",NA,"","",NA,"Z","low",391,"Z","medium",478,"X","medium",436,"Z","low",292,NA,NA,NA,NA,NA,NA
252,10.4625,"G6","S","49","B","high",NA,"A","high",NA,"C","",NA,"X","low",393,"Y","high",469,"Z","high",231,"X","high",275,NA,NA,NA,NA,NA,NA
253,26.55,"C87","S","18","","",2,"C","medium",NA,"B","low",70,"X","high",354,"","low",170,"Y","medium",163,"Y","high",9,"ExtraCol4_1",1,NA,NA,"ExtraCol10_4",4
254,16.1,"Missing","S","Missing","C","unknown",NA,"D","unknown",58,"D","medium",63,"Z","low",337,"Y","low",143,"Y","medium",249,"X","high",390,NA,NA,"ExtraCol7_3",3,"ExtraCol10_4",4
255,20.2125,"Missing","S","Missing","B","",50,"D","unknown",NA,"","high",10,"Y","high",105,"Y","low",374,"Z","medium",395,"X","low",340,"ExtraCol4_3",3,NA,NA,"ExtraCol10_1",1
256,15.2458,"Missing","C","14","","unknown",7,"","",25,"","medium",29,"Z","low",426,"Z","medium",262,"Z","low",NA,"Z","low",448,"ExtraCol4_1",1,"ExtraCol7_2",2,"ExtraCol10_2",2
257,79.2,"Missing","C","Missing","C","low",NA,"","",98,"C","unknown",84,"Z","high",350,"Z","medium",223,"Z","medium",300,"X","high",46,NA,NA,"ExtraCol7_5",5,"ExtraCol10_5",5
258,86.5,"B77","S","10","A","",75,"C","high",20,"C","unknown",NA,"Y","high",136,"Z","medium",349,"","high",217,"Z","medium",73,"ExtraCol4_4",4,"ExtraCol7_1",1,NA,NA
259,512.3292,"Missing","C","Missing","","high",70,"A","medium",13,"C","unknown",NA,"X","medium",116,"X","low",330,"Z","low",348,"Y","low",335,"ExtraCol4_4",4,"ExtraCol7_1",1,NA,NA
260,26,"Missing","S","58","A","low",17,"A","",82,"D","low",52,"Y","medium",250,"Y","high",456,"X","medium",433,"Y","medium",244,"ExtraCol4_1",1,"ExtraCol7_5",5,"ExtraCol10_3",3
261,7.75,"Missing","Q","79","B","medium",NA,"D","",89,"B","",11,"Y","low",171,"Z","medium",182,"","low",333,"Z","high",293,NA,NA,"ExtraCol7_5",5,"ExtraCol10_1",1
262,31.3875,"Missing","S","17","D","",63,"","",9,"D","low",12,"Y","low",338,"","high",NA,"Y","medium",201,"","high",217,"ExtraCol4_4",4,"ExtraCol7_1",1,"ExtraCol10_1",1
263,79.65,"E67","S","29","A","high",39,"","",59,"","high",98,"X","high",203,"Y","high",113,"Y","high",419,"Y","low",320,"ExtraCol4_2",2,"ExtraCol7_3",3,"ExtraCol10_5",5
264,0,"B94","S","92","","low",0,"","",NA,"A","medium",3,"X","high",84,"Z","low",468,"X","high",471,"Y","",329,"ExtraCol4_1",1,NA,NA,"ExtraCol10_1",1
265,7.75,"Missing","Q","98","C","medium",NA,"","",22,"C","",2,"","high",197,"Y","low",41,"Z","low",398,"Y","",94,NA,NA,"ExtraCol7_2",2,"ExtraCol10_1",1
266,10.5,"Missing","S","58","D","",79,"C","medium",NA,"A","",1,"Y","medium",407,"X","high",375,"X","high",438,"Z","medium",380,"ExtraCol4_5",5,NA,NA,"ExtraCol10_1",1
267,39.6875,"Missing","S","44","","high",3,"C","low",68,"D","low",62,"Y","low",415,"Z","high",50,"Y","low",132,"Y","high",246,"ExtraCol4_1",1,"ExtraCol7_4",4,"ExtraCol10_4",4
268,7.775,"Missing","S","34","C","medium",NA,"D","unknown",57,"","high",NA,"X","low",155,"Y","medium",440,"X","low",210,"X","high",287,NA,NA,"ExtraCol7_3",3,NA,NA
269,153.4625,"C125","S","61","D","high",38,"D","high",51,"","high",NA,"Z","high",397,"Y","low",479,"Z","high",124,"Z","medium",308,"ExtraCol4_2",2,"ExtraCol7_3",3,NA,NA
270,135.6333,"C99","S","Missing","","high",NA,"A","high",88,"C","high",79,"Z","low",46,"X","low",408,"X","low",182,"Y","medium",372,NA,NA,"ExtraCol7_5",5,"ExtraCol10_5",5
271,31,"Missing","S","29","A","",47,"","low",NA,"B","medium",71,"Z","low",492,"X","high",394,"Z","low",366,"Z","medium",150,"ExtraCol4_3",3,NA,NA,"ExtraCol10_4",4
