"id","Fare","Cabin","Embarked","ExtraCol1","ExtraCol2","ExtraCol3","ExtraCol4","ExtraCol5","ExtraCol6","ExtraCol7","ExtraCol8","ExtraCol9","ExtraCol10","ExtraCol11","ExtraCol12","ExtraCol13","ExtraCol14","ExtraCol15","ExtraCol16"
278,0,"","S",78,"","",78,"","",NA,"C","unknown",NA,"X","high",446,"Z","medium",350
279,29.125,"","Q",51,"C","",51,"B","unknown",75,"A","medium",99,"X","",435,"Z","",176
280,20.25,"","S",51,"","high",7,"","medium",24,"A","low",NA,"X","medium",139,"Z","low",213
281,7.75,"","Q",51,"B","medium",41,"","medium",26,"","low",27,"X","low",216,"","high",NA
282,7.8542,"","S",51,"","",98,"","",34,"","medium",32,"Y","high",320,"Z","medium",NA
283,9.5,"","S",67,"D","medium",51,"D","low",68,"A","low",NA,"X","medium",120,"Z","",359
284,8.05,"","S",49,"A","low",51,"A","unknown",39,"C","",NA,"X","low",499,"X","high",99
285,26,"A19","S",44,"B","medium",53,"C","",56,"A","high",51,"Y","low",NA,"Y","medium",113
286,8.6625,"","C",51,"C","high",51,"B","medium",55,"D","",76,"Z","medium",121,"","medium",24
287,9.5,"","S",51,"","high",51,"","high",19,"D","",84,"Y","medium",250,"Y","low",NA
288,7.8958,"","S",57,"D","medium",47,"C","high",23,"","low",5,"X","low",236,"X","high",334
289,13,"","S",51,"B","",51,"","",30,"A","unknown",28,"X","medium",25,"Z","high",105
290,7.75,"","Q",47,"D","high",51,"","high",NA,"B","",25,"Z","",455,"","low",355
291,78.85,"","S",51,"","",51,"D","unknown",NA,"","",55,"Y","high",120,"Z","high",1
292,91.0792,"B49","C",26,"C","medium",5,"","",NA,"","high",NA,"Y","low",51,"X","high",433
293,12.875,"D","C",95,"C","",0,"","",NA,"C","",NA,"Z","",259,"X","medium",345
294,8.85,"","S",33,"A","unknown",41,"A","",67,"C","",91,"Y","high",464,"Y","high",341
295,7.8958,"","S",51,"A","",51,"D","",NA,"C","unknown",33,"Y","low",1,"X","medium",353
296,27.7208,"","C",51,"","",51,"","unknown",68,"","high",NA,"Z","low",244,"Y","",179
297,7.2292,"","C",84,"C","",7,"B","medium",NA,"A","medium",43,"X","",455,"Y","low",497
298,151.55,"C22 C26","S",51,"","high",67,"D","",NA,"","unknown",NA,"Y","high",446,"X","low",NA
299,30.5,"C106","S",28,"A","high",45,"","high",89,"","medium",88,"Y","high",85,"Z","medium",90
300,247.5208,"B58 B60","C",2,"","",23,"","",20,"D","",NA,"X","medium",NA,"X","low",461
301,7.75,"","Q",36,"D","unknown",20,"D","medium",16,"C","low",33,"","high",417,"Z","high",369
302,23.25,"","Q",82,"","unknown",66,"D","unknown",39,"B","low",NA,"Z","medium",335,"X","low",155
303,0,"","S",0,"B","unknown",52,"B","unknown",83,"C","unknown",38,"X","high",328,"Y","high",473
304,12.35,"E101","Q",89,"","unknown",51,"B","medium",96,"C","",NA,"Y","high",386,"Z","medium",124
305,8.05,"","S",51,"D","unknown",28,"","medium",NA,"","",30,"Y","high",226,"X","high",322
306,151.55,"C22 C26","S",14,"B","",52,"A","",NA,"B","",10,"X","medium",33,"Z","high",335
307,110.8833,"","C",51,"B","low",86,"C","",23,"C","",NA,"X","medium",319,"X","high",481
308,108.9,"C65","C",55,"C","",31,"","medium",59,"A","",65,"","low",313,"Z","medium",285
309,24,"","C",31,"A","low",39,"D","",18,"A","high",93,"Z","high",425,"Z","high",497
310,56.9292,"E36","C",51,"D","low",16,"","low",53,"A","",0,"Y","low",461,"X","low",142
311,83.1583,"C54","C",66,"D","unknown",51,"C","",NA,"","medium",63,"Y","medium",168,"Y","medium",400
312,262.375,"B57 B59 B63 B66","C",67,"","unknown",3,"C","medium",7,"A","low",56,"Y","medium",478,"Z","low",122
313,26,"","S",51,"C","high",24,"C","unknown",96,"B","unknown",62,"Z","",4,"X","low",499
314,7.8958,"","S",28,"C","high",51,"A","unknown",89,"","unknown",98,"Z","high",484,"X","medium",381
315,26.25,"","S",24,"","",1,"B","unknown",NA,"B","medium",39,"X","high",NA,"X","low",312
316,7.8542,"","S",51,"D","",98,"","",62,"A","",NA,"Y","high",322,"","medium",33
317,26,"","S",51,"","unknown",40,"B","",NA,"D","low",1,"Y","",341,"Z","medium",NA
318,14,"","S",51,"","medium",51,"D","high",57,"B","",NA,"X","medium",316,"Y","",72
319,164.8667,"C7","S",93,"C","high",53,"","unknown",NA,"A","",17,"","medium",495,"Y","medium",458
320,134.5,"E34","C",51,"","",51,"B","low",53,"","",NA,"X","high",276,"Z","high",189
321,7.25,"","S",51,"D","low",51,"","high",NA,"","low",NA,"Z","medium",65,"X","medium",415
322,7.8958,"","S",51,"D","",88,"A","low",39,"","",27,"X","medium",303,"Z","low",453
323,12.35,"","Q",51,"C","",51,"B","",84,"","low",11,"Y","low",145,"X","medium",55
324,29,"","S",91,"B","",51,"B","medium",25,"","high",NA,"Z","medium",306,"X","medium",379
325,69.55,"","S",51,"B","medium",70,"D","high",96,"B","high",65,"Y","medium",190,"","high",151
326,135.6333,"C32","C",23,"B","high",30,"","unknown",75,"","",28,"X","low",21,"Y","medium",54
327,6.2375,"","S",23,"C","unknown",99,"A","low",89,"B","low",13,"X","high",318,"Y","low",130
328,13,"D","S",3,"","high",25,"","high",50,"","medium",57,"Y","high",44,"X","low",274
329,20.525,"","S",51,"C","medium",29,"","low",22,"A","low",NA,"Z","high",163,"Y","low",NA
330,57.9792,"B18","C",55,"D","medium",71,"A","low",3,"D","high",NA,"Y","low",309,"Z","medium",345
331,23.25,"","Q",54,"","high",78,"C","",53,"","low",38,"X","low",440,"X","",116
332,28.5,"C124","S",51,"C","medium",12,"C","high",39,"D","high",NA,"Z","low",157,"X","high",147
333,153.4625,"C91","S",30,"","high",55,"","low",11,"C","unknown",24,"Y","high",149,"X","low",152
334,18,"","S",82,"C","",51,"B","medium",NA,"D","high",28,"X","high",150,"Y","medium",368
335,133.65,"","S",51,"","",61,"","",97,"","",14,"Y","medium",287,"Z","low",259
336,7.8958,"","S",80,"","unknown",55,"","medium",NA,"D","",NA,"X","low",96,"X","high",11
337,66.6,"C2","S",96,"","medium",51,"B","unknown",NA,"C","",14,"Z","medium",NA,"Z","medium",38
338,134.5,"E40","C",31,"","medium",51,"","",NA,"D","",68,"Z","high",400,"Z","medium",37
339,8.05,"","S",20,"","high",65,"","",NA,"","",NA,"X","medium",NA,"Y","medium",480
340,35.5,"T","S",95,"","",67,"D","",62,"","unknown",NA,"Y","low",482,"Z","low",252
341,26,"F2","S",63,"","unknown",51,"C","high",41,"C","unknown",NA,"X","",265,"","low",245
342,263,"C23 C25 C27","S",29,"","low",51,"","medium",NA,"A","medium",63,"Y","high",313,"Z","high",380
343,13,"","S",62,"B","unknown",72,"B","",18,"","medium",75,"X","high",308,"Y","low",95
344,13,"","S",51,"C","",77,"","medium",66,"A","low",56,"Z","medium",472,"X","high",15
345,13,"","S",51,"A","",12,"B","low",98,"A","",NA,"X","high",332,"Z","low",NA
346,13,"F33","S",25,"C","high",88,"","low",85,"","high",25,"Z","low",441,"Y","low",NA
347,13,"","S",99,"","unknown",51,"","medium",4,"","",NA,"X","high",142,"X","high",399
348,16.1,"","S",51,"","low",51,"C","unknown",11,"A","medium",NA,"X","low",108,"Z","high",409
349,15.9,"","S",51,"","high",48,"","low",62,"B","low",NA,"Z","medium",321,"Y","high",317
350,8.6625,"","S",16,"B","low",48,"","",92,"B","low",49,"Z","medium",76,"Z","high",454
351,9.225,"","S",51,"A","low",91,"","medium",84,"C","",90,"X","high",55,"Z","medium",232
352,35,"C128","S",51,"B","unknown",96,"A","high",90,"","low",27,"X","low",105,"X","low",120
353,7.2292,"","C",29,"C","high",80,"A","low",14,"C","",51,"Z","low",135,"Z","medium",165
354,17.8,"","S",43,"A","medium",65,"B","low",51,"B","",NA,"Z","high",48,"","medium",70
355,7.225,"","C",96,"C","high",10,"B","low",72,"D","",63,"Y","medium",364,"Z","high",450
356,9.5,"","S",99,"A","medium",91,"C","medium",62,"B","",NA,"X","high",291,"X","",302
357,55,"E33","S",15,"D","medium",13,"A","",77,"B","high",41,"X","medium",100,"Z","low",386
358,13,"","S",89,"C","medium",16,"B","unknown",21,"A","medium",0,"X","medium",141,"Z","medium",140
359,7.8792,"","Q",51,"B","medium",6,"D","",45,"D","",NA,"Z","high",464,"Z","high",359
360,7.8792,"","Q",51,"C","unknown",94,"D","",44,"","low",NA,"X","high",NA,"Y","high",165
361,27.9,"","S",84,"A","medium",51,"D","",93,"B","high",NA,"Y","",61,"Z","medium",223
362,27.7208,"","C",51,"A","medium",51,"","",20,"B","unknown",NA,"Z","high",306,"","medium",325
363,14.4542,"","C",22,"D","high",8,"A","medium",32,"D","high",14,"X","low",161,"X","medium",490
364,7.05,"","S",89,"D","unknown",41,"","medium",NA,"","medium",NA,"","low",179,"Z","medium",279
365,15.5,"","Q",51,"","medium",72,"A","high",15,"A","high",79,"Z","high",299,"Y","medium",355
366,7.25,"","S",51,"B","unknown",99,"","",NA,"A","unknown",45,"X","medium",492,"X","low",297
367,75.25,"D37","C",46,"A","medium",51,"","medium",84,"C","low",5,"X","low",291,"Y","medium",211
368,7.2292,"","C",31,"","high",60,"D","medium",NA,"A","high",6,"X","low",476,"X","medium",466
369,7.75,"","Q",51,"B","unknown",83,"C","high",70,"","low",67,"X","medium",410,"Y","",NA
370,69.3,"B35","C",77,"","",90,"B","high",59,"A","",NA,"X","medium",389,"Y","high",155
371,55.4417,"E50","C",33,"C","low",27,"B","low",NA,"D","unknown",NA,"Z","high",395,"Z","high",447
372,6.4958,"","S",66,"A","high",51,"D","",30,"D","medium",40,"X","high",395,"Z","low",225
373,8.05,"","S",41,"D","",51,"D","high",99,"","",49,"X","high",127,"Y","medium",369
374,135.6333,"","C",51,"C","medium",93,"C","high",NA,"","medium",16,"Z","medium",488,"Z","medium",258
375,21.075,"","S",51,"","unknown",11,"D","",71,"B","low",NA,"X","high",459,"X","",383
376,82.1708,"","C",9,"","",9,"B","high",NA,"","",76,"X","high",300,"Z","medium",435
377,7.25,"","S",51,"C","high",51,"B","high",NA,"C","",42,"X","high",355,"X","",211
378,211.5,"C82","C",74,"","high",67,"D","medium",NA,"","low",49,"Z","medium",440,"Z","high",350
379,4.0125,"","C",37,"A","low",17,"B","high",84,"C","low",NA,"Z","low",76,"Z","",253
380,7.775,"","S",51,"","medium",89,"D","medium",63,"A","unknown",NA,"","low",32,"X","high",399
381,227.525,"","C",0,"B","high",10,"B","medium",28,"B","",98,"Z","high",497,"X","high",95
382,15.7417,"","C",51,"D","low",51,"B","low",96,"","unknown",81,"X","high",277,"Z","high",364
383,7.925,"","S",94,"B","medium",51,"A","medium",70,"","high",NA,"Y","high",361,"Z","high",297
384,52,"","S",51,"","",51,"C","low",42,"","",NA,"Y","",251,"Z","medium",225
385,7.8958,"","S",3,"A","unknown",51,"B","",13,"","medium",72,"X","medium",258,"X","medium",NA
386,73.5,"","S",12,"B","low",84,"B","medium",97,"B","",33,"Z","low",18,"Y","medium",350
387,46.9,"","S",6,"B","unknown",10,"C","high",NA,"C","unknown",51,"Y","low",144,"Y","high",173
388,13,"","S",83,"A","medium",51,"A","unknown",NA,"","low",14,"Z","high",43,"Z","medium",16
389,7.7292,"","Q",89,"B","high",61,"","low",83,"","",NA,"X","low",216,"Z","high",474
390,12,"","C",15,"","high",2,"D","unknown",60,"D","high",NA,"Z","medium",10,"Z","high",223
391,120,"B96 B98","S",74,"A","",74,"C","medium",NA,"","unknown",72,"X","high",401,"Y","",82
392,7.7958,"","S",17,"","unknown",51,"C","",23,"A","unknown",60,"X","medium",147,"X","medium",112
393,7.925,"","S",36,"C","low",75,"","",7,"A","low",NA,"Y","high",370,"Z","medium",414
394,113.275,"D36","C",59,"D","low",51,"C","unknown",NA,"","",50,"X","medium",26,"X","high",165
395,16.7,"G6","S",51,"C","unknown",19,"B","low",NA,"C","",NA,"X","high",16,"X","low",140
396,7.7958,"","S",87,"A","high",51,"","",NA,"","low",NA,"Z","low",NA,"X","low",243
397,7.8542,"","S",4,"","unknown",6,"A","",16,"A","",1,"Y","medium",394,"Y","low",14
398,26,"","S",19,"B","medium",53,"C","",57,"C","",NA,"Y","low",406,"X","",280
399,10.5,"","S",51,"B","",51,"C","high",12,"A","low",NA,"X","",272,"","high",20
400,12.65,"","S",31,"A","low",51,"","medium",NA,"A","",36,"Z","high",306,"X","high",417
401,7.925,"","S",99,"D","medium",20,"","medium",79,"A","high",87,"Z","medium",344,"Z","medium",214
402,8.05,"","S",77,"","low",76,"D","",NA,"C","unknown",64,"Z","medium",336,"Y","low",109
403,9.825,"","S",51,"C","unknown",69,"","",94,"B","low",60,"Y","medium",370,"X","medium",227
404,15.85,"","S",97,"","",51,"C","",31,"B","",NA,"Y","low",15,"Z","high",87
405,8.6625,"","S",51,"D","unknown",51,"D","unknown",94,"C","low",50,"X","low",214,"Y","low",160
406,21,"","S",51,"A","low",6,"","",78,"A","high",70,"X","",419,"X","medium",65
407,7.75,"","S",43,"","low",44,"A","unknown",33,"","unknown",NA,"X","low",219,"Y","medium",334
408,18.75,"","S",14,"B","",51,"B","unknown",NA,"","unknown",60,"Y","medium",73,"","",488
409,7.775,"","S",51,"","",11,"D","medium",10,"C","medium",17,"Z","low",332,"Z","medium",242
410,25.4667,"","S",1,"B","medium",55,"B","high",NA,"","medium",67,"Z","high",151,"Y","medium",49
411,7.8958,"","S",17,"A","medium",51,"D","",20,"C","",7,"X","low",255,"","high",37
412,6.8583,"","Q",22,"","",51,"","",26,"","unknown",31,"X","medium",258,"X","high",416
413,90,"C78","Q",27,"B","",51,"","high",41,"A","",91,"X","high",348,"Z","medium",174
414,0,"","S",13,"A","low",8,"B","medium",NA,"C","low",NA,"X","medium",464,"Z","high",148
415,7.925,"","S",1,"","",67,"C","high",80,"A","unknown",90,"Y","medium",346,"Y","high",50
416,8.05,"","S",67,"A","low",33,"","medium",69,"B","",35,"Z","",499,"Y","medium",331
417,32.5,"","S",96,"","low",51,"","high",15,"","unknown",68,"X","medium",9,"Y","high",31
418,13,"","S",12,"B","",19,"C","medium",16,"","low",70,"Z","low",NA,"X","medium",452
419,13,"","S",51,"","medium",97,"","medium",NA,"C","",NA,"Y","medium",208,"Z","medium",104
420,24.15,"","S",50,"C","",25,"D","",94,"D","medium",NA,"Y","medium",364,"Z","low",34
421,7.8958,"","C",92,"A","medium",68,"D","",NA,"C","high",96,"Z","high",42,"Z","high",NA
422,7.7333,"","Q",69,"","medium",51,"B","",NA,"B","medium",11,"Z","medium",263,"X","low",177
423,7.875,"","S",51,"D","medium",18,"","low",14,"A","medium",NA,"","high",14,"Z","high",348
424,14.4,"","S",51,"A","high",30,"","low",23,"C","medium",44,"Y","low",332,"","high",19
425,20.2125,"","S",41,"B","",1,"B","",NA,"D","unknown",67,"X","medium",108,"Z","high",430
426,7.25,"","S",51,"A","low",51,"C","",20,"B","",55,"Z","medium",72,"Z","low",154
427,26,"","S",86,"","medium",33,"","low",61,"","",NA,"Z","high",39,"Z","medium",378
428,26,"","S",80,"","low",49,"A","unknown",92,"","low",9,"Z","medium",134,"Z","high",467
429,7.75,"","Q",2,"A","medium",15,"B","",NA,"C","high",51,"Y","high",NA,"X","medium",267
430,8.05,"E10","S",71,"A","",82,"","high",60,"C","high",83,"X","low",492,"X","medium",167
431,26.55,"C52","S",8,"B","medium",21,"B","low",NA,"A","high",NA,"","high",40,"X","medium",156
432,16.1,"","S",73,"C","low",51,"","unknown",NA,"A","low",27,"Y","high",489,"Y","low",343
433,26,"","S",82,"B","high",87,"C","high",0,"","unknown",86,"Y","medium",293,"Z","medium",2
434,7.125,"","S",13,"","low",71,"","",11,"B","unknown",35,"X","low",161,"","high",73
435,55.9,"E44","S",43,"","low",60,"B","",NA,"","unknown",56,"Z","medium",471,"Y","low",323
436,120,"B96 B98","S",12,"D","",51,"A","medium",NA,"B","unknown",NA,"Y","high",120,"Z","low",12
437,34.375,"","S",56,"A","unknown",51,"D","",32,"","medium",52,"X","medium",90,"X","",144
438,18.75,"","S",92,"C","unknown",96,"D","unknown",52,"C","",NA,"Y","low",114,"","medium",NA
439,263,"C23 C25 C27","S",51,"D","high",51,"D","",57,"A","medium",NA,"Z","medium",72,"Y","low",125
440,10.5,"","S",39,"A","high",40,"A","high",66,"","",47,"Y","high",242,"X","medium",465
441,26.25,"","S",97,"D","high",25,"C","high",NA,"","medium",NA,"","low",70,"Y","high",487
442,9.5,"","S",51,"","high",51,"","unknown",37,"","high",65,"Z","medium",111,"Z","low",16
443,7.775,"","S",51,"B","high",97,"D","medium",88,"A","unknown",41,"Y","medium",185,"Z","low",87
444,13,"","S",48,"","unknown",69,"","low",5,"A","high",52,"Y","high",NA,"","low",453
445,8.1125,"","S",50,"C","",3,"C","",NA,"C","unknown",NA,"X","medium",429,"Z","",16
446,81.8583,"A34","S",66,"","low",46,"A","high",95,"","unknown",86,"Z","medium",37,"Y","high",243
447,19.5,"","S",51,"","medium",51,"C","",17,"A","low",12,"Z","medium",315,"X","",474
448,26.55,"","S",51,"C","unknown",51,"D","medium",99,"","unknown",87,"Y","medium",51,"Z","low",294
449,19.2583,"","C",52,"D","medium",77,"A","high",28,"A","unknown",NA,"X","medium",495,"Y","low",153
450,30.5,"C104","S",28,"B","low",70,"","",36,"A","",NA,"Y","low",138,"Y","high",3
451,27.75,"","S",51,"","unknown",6,"","",NA,"C","",2,"Z","low",428,"X","low",196
452,19.9667,"","S",51,"B","high",55,"A","unknown",94,"A","",NA,"X","high",388,"","medium",270
453,27.75,"C111","C",51,"D","",51,"","",NA,"A","unknown",5,"Y","medium",162,"Z","medium",40
454,89.1042,"C92","C",2,"D","medium",48,"","high",16,"D","",NA,"Y","medium",161,"Z","low",264
455,8.05,"","S",59,"","low",51,"B","",48,"A","low",NA,"Y","",158,"X","medium",202
456,7.8958,"","C",51,"C","medium",51,"D","medium",15,"C","low",76,"Y","high",235,"Z","low",162
457,26.55,"E38","S",51,"D","medium",86,"D","high",78,"D","low",70,"Z","high",221,"Y","medium",486
458,51.8625,"D21","S",63,"B","unknown",46,"B","low",NA,"D","",84,"X","medium",328,"X","low",446
459,10.5,"","S",84,"","",53,"A","",49,"D","unknown",0,"Y","low",232,"Y","high",347
460,7.75,"","Q",10,"","low",62,"","high",39,"B","high",78,"Z","high",NA,"Y","high",295
461,26.55,"E12","S",72,"A","",65,"A","high",3,"D","low",31,"Z","low",233,"Y","low",236
462,8.05,"","S",51,"","unknown",63,"D","medium",5,"","",NA,"Y","low",153,"X","medium",35
463,38.5,"E63","S",51,"A","medium",78,"C","high",51,"","medium",76,"Z","",163,"Y","medium",153
464,13,"","S",51,"","medium",98,"C","low",39,"A","",68,"X","medium",365,"Z","low",5
465,8.05,"","S",0,"","high",82,"A","high",12,"C","",41,"Y","medium",70,"Z","high",183
466,7.05,"","S",96,"B","high",13,"","unknown",13,"D","medium",61,"Z","low",143,"Z","medium",236
467,0,"","S",16,"B","medium",51,"C","unknown",NA,"","",46,"Y","low",155,"Y","low",305
468,26.55,"","S",59,"B","unknown",51,"","unknown",NA,"D","",62,"Y","low",322,"Z","medium",177
469,7.725,"","Q",18,"B","high",50,"B","",60,"","medium",45,"Y","medium",64,"X","high",127
470,19.2583,"","C",93,"B","low",52,"","low",83,"D","high",39,"Y","low",NA,"Z","medium",NA
471,7.25,"","S",51,"C","",71,"","high",6,"C","",20,"Z","medium",337,"Y","high",75
472,8.6625,"","S",51,"D","unknown",51,"B","low",NA,"B","",38,"Y","medium",463,"Y","low",62
473,27.75,"","S",43,"C","medium",26,"C","medium",NA,"A","",NA,"X","high",218,"Y","high",348
474,13.7917,"D","C",46,"C","high",45,"B","high",20,"","unknown",87,"X","high",491,"","low",292
475,9.8375,"","S",51,"D","",51,"","high",53,"","",NA,"Z","medium",303,"X","medium",434
476,52,"A14","S",78,"D","",31,"C","high",NA,"B","medium",18,"Y","medium",387,"Y","medium",369
477,21,"","S",84,"","unknown",2,"","unknown",NA,"C","low",50,"X","low",121,"Z","low",450
478,7.0458,"","S",1,"C","low",97,"","low",NA,"","",NA,"X","medium",457,"Y","high",332
479,7.5208,"","S",51,"A","high",51,"B","unknown",66,"B","high",NA,"X","medium",129,"X","medium",420
480,12.2875,"","S",51,"A","high",60,"","",75,"A","",32,"X","low",68,"Y","medium",84
481,46.9,"","S",51,"D","low",51,"A","medium",0,"B","",4,"Z","high",39,"Z","medium",265
482,0,"","S",82,"","",27,"","medium",NA,"A","",5,"Y","low",327,"Z","low",472
483,8.05,"","S",25,"D","",34,"","high",50,"A","low",NA,"Y","low",314,"X","medium",394
484,9.5875,"","S",79,"","medium",28,"B","high",36,"","high",72,"X","high",99,"Y","low",201
485,91.0792,"B49","C",51,"D","",51,"","medium",NA,"","unknown",86,"Z","high",439,"Z","high",463
486,25.4667,"","S",23,"C","low",15,"B","low",NA,"C","medium",49,"Z","medium",138,"X","high",156
487,90,"C93","S",33,"D","",51,"D","low",75,"C","unknown",NA,"Z","medium",304,"X","high",11
488,29.7,"B37","C",53,"A","",45,"","medium",82,"C","low",92,"Y","high",261,"X","low",398
489,8.05,"","S",76,"D","",53,"B","",41,"","",27,"Y","low",296,"Y","medium",206
490,15.9,"","S",51,"A","",1,"","high",93,"A","unknown",15,"X","medium",370,"Y","medium",17
491,19.9667,"","S",93,"B","",84,"C","unknown",92,"C","high",13,"Z","",463,"X","high",102
492,7.25,"","S",51,"A","low",67,"","low",66,"D","high",35,"Z","medium",360,"X","medium",35
493,30.5,"C30","S",75,"B","medium",7,"B","medium",58,"A","unknown",73,"X","high",453,"Y","high",NA
494,49.5042,"","C",51,"","high",84,"C","low",NA,"","medium",NA,"Y","medium",434,"Z","low",423
495,8.05,"","S",51,"B","unknown",3,"C","",60,"C","",NA,"X","high",179,"X","high",464
496,14.4583,"","C",41,"","unknown",51,"A","",NA,"D","",34,"Y","medium",279,"Y","medium",NA
497,78.2667,"D20","C",51,"C","high",46,"D","low",97,"B","low",NA,"X","high",99,"Z","high",401
498,15.1,"","S",37,"C","low",51,"C","",19,"D","high",68,"Z","low",NA,"","low",281
499,151.55,"C22 C26","S",92,"D","",95,"A","high",66,"A","medium",66,"Z","low",483,"Y","low",147
500,7.7958,"","S",51,"","low",51,"C","unknown",73,"","unknown",43,"Z","low",443,"X","medium",334
501,8.6625,"","S",11,"B","low",51,"C","",NA,"D","unknown",NA,"X","high",371,"Z","medium",476
502,7.75,"","Q",65,"D","high",57,"D","medium",34,"B","medium",NA,"X","medium",424,"Z","low",230
503,7.6292,"","Q",96,"","",51,"","high",86,"C","high",65,"Z","low",397,"Z","medium",14
504,9.5875,"","S",86,"","low",72,"B","high",48,"A","",81,"X","low",114,"Z","medium",421
505,86.5,"B79","S",27,"B","low",88,"A","high",38,"C","medium",NA,"Y","medium",131,"Y","low",94
506,108.9,"C65","C",51,"A","high",51,"C","low",15,"C","unknown",85,"Z","low",265,"Y","medium",91
507,26,"","S",51,"","medium",51,"","",32,"","medium",NA,"Y","",NA,"Z","high",308
508,26.55,"","S",51,"","high",51,"B","",97,"A","",NA,"X","high",368,"","low",399
509,22.525,"","S",26,"A","medium",51,"","unknown",NA,"","high",95,"Z","high",368,"X","high",396
510,56.4958,"","S",23,"C","high",51,"C","unknown",NA,"","unknown",56,"Z","low",488,"X","medium",433
511,7.75,"","Q",99,"A","",51,"B","high",NA,"D","high",27,"X","medium",394,"Y","low",441
512,8.05,"","S",74,"C","",70,"","high",NA,"A","unknown",60,"Y","medium",NA,"X","high",64
513,26.2875,"E25","S",84,"","medium",51,"B","",66,"C","medium",62,"Y","medium",170,"Y","high",150
514,59.4,"","C",81,"","high",51,"","unknown",37,"D","medium",NA,"Y","medium",163,"Y","high",360
515,7.4958,"","S",95,"B","high",42,"B","medium",84,"C","medium",20,"Z","low",316,"","high",NA
516,34.0208,"D46","S",10,"","high",49,"D","medium",42,"B","low",NA,"Z","low",171,"Y","low",357
517,10.5,"F33","S",51,"","",51,"C","high",85,"A","",54,"X","medium",489,"X","low",227
518,24.15,"","Q",51,"A","low",55,"C","",74,"B","medium",14,"Z","low",144,"Z","",225
519,26,"","S",47,"C","",79,"","",77,"A","unknown",77,"Z","low",NA,"Y","high",13
520,7.8958,"","S",59,"C","high",2,"C","high",92,"A","unknown",NA,"X","medium",408,"X","low",304
521,93.5,"B73","S",35,"A","high",75,"A","high",79,"B","",93,"X","high",183,"Y","low",431
522,7.8958,"","S",51,"C","",50,"","medium",NA,"","medium",67,"Y","medium",22,"X","high",NA
523,7.225,"","C",19,"A","",51,"B","high",52,"A","high",33,"Z","low",166,"Y","",168
524,57.9792,"B18","C",51,"A","high",47,"C","",NA,"","unknown",37,"Z","high",179,"Z","medium",338
525,7.2292,"","C",51,"D","",47,"C","medium",6,"","low",69,"Y","high",306,"X","low",99
526,7.75,"","Q",51,"D","",12,"B","",59,"","unknown",8,"X","",355,"Z","low",316
527,10.5,"","S",51,"B","high",51,"B","",NA,"","unknown",71,"X","low",274,"Y","medium",204
528,221.7792,"C95","S",14,"D","medium",70,"C","unknown",NA,"D","unknown",55,"Z","high",203,"Z","high",463
529,7.925,"","S",91,"D","high",51,"","high",10,"C","low",22,"Y","medium",251,"Z","low",355
530,11.5,"","S",92,"","",9,"A","unknown",50,"A","unknown",89,"Y","low",72,"Z","low",36
531,26,"","S",59,"A","unknown",21,"B","",57,"A","high",62,"Z","low",90,"X","medium",435
532,7.2292,"","C",16,"","",87,"","unknown",10,"C","high",16,"X","low",305,"Z","",362
533,7.2292,"","C",15,"C","",51,"D","high",63,"","low",65,"X","medium",432,"Y","",107
534,22.3583,"","C",51,"","low",50,"","unknown",16,"","medium",41,"Z","medium",261,"Z","medium",141
535,8.6625,"","S",57,"","",51,"D","unknown",14,"D","medium",76,"X","",30,"Z","high",86
536,26.25,"","S",15,"B","unknown",51,"C","unknown",40,"D","unknown",49,"Z","low",490,"Y","medium",155
537,26.55,"B38","S",45,"A","",85,"B","",NA,"C","",99,"Z","medium",162,"","high",471
538,106.425,"","C",11,"D","",89,"","high",91,"C","",92,"X","medium",374,"","high",451
539,14.5,"","S",51,"","low",28,"D","unknown",NA,"D","",4,"Y","high",NA,"X","medium",275
540,49.5,"B39","C",2,"","unknown",58,"A","medium",NA,"A","low",NA,"Z","high",493,"Z","low",181
541,71,"B22","S",70,"D","",51,"A","low",73,"C","unknown",NA,"Y","low",58,"Y","medium",NA
542,31.275,"","S",51,"","",51,"B","unknown",NA,"","unknown",NA,"X","",93,"X","medium",478
543,31.275,"","S",19,"","high",0,"A","high",98,"A","medium",14,"X","medium",322,"X","",99
544,26,"","S",17,"A","medium",97,"D","",74,"A","high",53,"X","medium",380,"Z","medium",378
545,106.425,"C86","C",83,"","high",35,"D","high",NA,"B","unknown",15,"X","",NA,"Z","medium",497
546,26,"","S",5,"","",51,"C","low",94,"B","high",NA,"X","medium",275,"Z","low",427
547,26,"","S",42,"B","low",61,"","medium",10,"D","high",45,"X","low",79,"","medium",359
548,13.8625,"","C",51,"C","",78,"A","medium",45,"B","low",99,"Z","medium",356,"X","",449
549,20.525,"","S",51,"B","",51,"C","",NA,"C","",87,"Y","high",334,"Y","high",108
550,36.75,"","S",68,"D","unknown",51,"B","unknown",0,"","",NA,"X","low",233,"X","high",NA
551,110.8833,"C70","C",80,"D","low",89,"B","high",45,"D","high",NA,"X","high",318,"X","high",NA
552,26,"","S",51,"","unknown",93,"B","low",68,"C","unknown",NA,"X","low",106,"X","",6
553,7.8292,"","Q",82,"D","high",15,"","medium",79,"D","",66,"X","high",405,"Y","low",99
554,7.225,"","C",51,"C","",90,"C","low",41,"C","high",13,"Z","medium",22,"X","high",NA
