id,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36
289,X,high,47,X,high,46,Y,high,98,Z,low,461,,medium,432,Z,low,210,Z,low
290,Z,low,382,Z,,416,Z,,75,Z,low,220,Y,low,335,Z,low,,Z,low
291,Z,low,428,Z,high,98,Y,medium,291,Z,medium,59,,medium,391,,high,155,X,low
292,X,high,473,Y,low,165,X,high,480,Y,,137,X,low,23,,low,330,Y,low
293,Z,low,43,X,low,6,Y,medium,282,X,low,475,X,low,369,Y,medium,413,Y,medium
294,Y,high,89,Z,high,285,Y,low,482,X,high,459,Y,medium,417,Y,low,266,X,low
295,,high,412,Z,high,415,Z,low,377,Z,low,406,Z,,115,Z,medium,253,X,medium
296,Y,,152,,low,190,Z,low,342,Z,low,431,X,low,235,Y,low,93,Z,high
297,Z,medium,312,Y,low,331,Y,low,362,Y,high,355,Z,medium,211,X,low,248,Y,low
298,X,high,174,Z,medium,196,Z,high,464,Z,low,311,Z,high,49,Z,medium,20,Y,
299,Z,high,108,X,low,379,X,medium,429,X,high,386,X,high,64,Y,low,56,Z,high
300,X,medium,312,X,medium,499,X,medium,80,Y,low,323,Y,low,150,Z,low,,Y,medium
301,Z,low,102,Y,low,357,Y,medium,292,Y,,169,X,high,54,Y,medium,109,Z,low
302,X,medium,68,Y,low,170,Z,low,230,X,low,320,Y,medium,250,Y,medium,173,Y,high
303,X,low,265,Y,low,412,Z,high,439,Z,high,147,Z,medium,27,,medium,,Z,
304,X,low,96,Y,low,18,Y,low,102,Y,low,,Y,high,,Z,high,236,X,
305,Z,high,96,Z,low,493,X,medium,409,X,low,190,Y,medium,314,Z,high,349,Z,low
306,Y,medium,390,Y,medium,419,Z,high,239,Z,high,243,X,high,126,Y,high,223,X,high
307,Z,high,264,Y,low,326,Y,high,466,Y,medium,90,Y,,189,Y,medium,422,Z,low
308,X,high,271,Z,low,310,X,medium,,Y,,478,Y,low,167,X,high,241,Y,medium
309,Z,low,71,X,low,126,Y,high,172,Y,low,,Z,high,,X,high,496,Y,medium
310,Z,high,80,Z,high,215,Z,low,422,Y,,53,Z,low,231,Z,medium,499,Z,medium
311,Y,high,195,Z,low,50,X,,93,Y,medium,237,X,high,66,Y,,213,Y,low
312,Z,low,,Y,high,169,Y,medium,2,Z,medium,227,Y,medium,0,Y,high,382,Z,low
313,X,medium,225,Y,low,294,X,low,253,Z,,442,Y,high,221,Y,high,226,Z,high
314,X,high,67,Y,low,181,Z,low,,Y,low,377,Y,medium,282,X,medium,437,Z,medium
315,X,low,449,X,medium,385,X,high,62,,high,439,,medium,384,X,low,383,X,high
316,X,,181,Y,high,426,Z,high,497,X,high,233,Z,medium,,X,medium,169,Z,medium
317,Z,medium,408,Z,low,280,Z,low,19,Z,low,77,X,low,41,Z,low,160,Y,low
318,Y,high,200,,low,170,Z,low,294,X,high,360,X,high,298,,low,440,X,medium
319,Y,low,236,X,high,151,Y,,130,Z,low,109,X,medium,451,X,,,Z,high
320,Z,high,56,Y,low,273,Z,low,148,Y,low,318,Z,medium,119,Y,low,347,Z,low
321,Z,high,338,X,low,359,X,low,105,Y,high,205,X,medium,42,X,,338,Z,medium
322,Y,low,29,Z,low,63,,high,194,X,low,174,X,high,201,Z,medium,82,Z,high
323,Y,low,373,Y,high,223,X,high,333,Y,low,59,Y,medium,280,X,low,118,Y,high
324,X,medium,440,,high,220,X,high,161,Z,medium,,Z,low,311,X,,450,Y,medium
325,Z,medium,180,Y,high,143,Y,low,360,X,low,344,Z,low,56,Z,,139,X,low
326,Z,low,443,Y,medium,118,Y,high,223,Z,low,170,Z,high,328,Z,low,434,Y,medium
327,Y,low,349,Y,low,420,Z,low,392,X,low,368,Z,low,171,Z,medium,178,X,medium
328,Y,medium,1,Y,low,216,X,high,222,Y,low,493,Z,high,15,Y,low,423,Z,high
329,Z,high,101,Z,high,288,Y,medium,182,Y,high,360,Z,medium,461,Y,medium,288,Z,low
330,Y,medium,320,Z,high,19,Z,low,253,Z,high,474,X,low,267,X,high,49,Z,medium
331,Y,high,350,X,low,141,X,high,343,X,high,235,Y,high,152,X,high,135,Y,low
332,Z,,46,X,high,111,Z,medium,,,medium,188,Y,high,408,,low,,Z,high
333,,medium,342,Z,high,164,Y,low,453,Z,medium,421,Y,high,398,Z,medium,104,X,high
334,Z,high,405,Y,high,420,Y,high,258,X,low,331,Z,medium,103,Z,medium,113,Y,high
335,X,medium,45,X,high,,X,high,148,Y,high,302,Z,high,480,Z,medium,74,Z,low
336,,high,439,Y,medium,451,X,medium,,,high,320,Y,low,265,Z,low,,Z,high
337,Y,high,266,X,low,211,Z,medium,196,X,medium,496,,low,131,Y,high,404,Z,medium
338,X,high,308,X,,385,Z,,27,Y,low,343,Y,medium,223,Z,low,468,Y,medium
339,Z,low,25,X,low,80,,medium,17,Y,high,407,X,high,93,Z,low,442,X,low
340,Y,low,306,X,,407,Y,,185,X,low,17,Y,medium,424,X,high,441,Z,medium
341,Z,high,227,X,high,305,Y,medium,145,Z,low,361,X,medium,134,Z,medium,452,Y,high
342,,high,185,Z,low,19,Y,high,442,Z,high,158,X,high,219,,low,283,Y,low
343,Y,medium,390,Y,high,344,Z,low,365,X,high,61,X,low,34,X,high,410,X,medium
344,Y,low,,Y,high,239,Y,low,395,Y,medium,138,Y,medium,471,Y,low,317,Z,low
345,Y,high,29,Z,medium,,X,low,272,Z,low,416,X,medium,,X,high,68,,low
346,,medium,249,Z,low,423,X,low,55,X,medium,408,X,medium,326,,high,12,Z,medium
347,X,low,371,Z,low,268,Z,high,425,X,high,152,X,low,176,Y,medium,48,Z,medium
348,Y,medium,66,X,high,303,Z,medium,247,Y,high,96,Y,high,280,Z,medium,172,X,low
349,,low,492,Z,low,,X,low,214,Z,low,,Y,high,280,Y,medium,249,Y,low
350,,low,336,Z,high,,X,medium,302,Z,medium,165,Y,high,145,X,medium,319,Z,high
351,Y,low,467,X,low,166,X,,81,Y,low,231,Y,high,216,Z,high,260,Y,low
352,Z,high,235,Z,medium,350,Y,high,240,Z,high,392,X,medium,298,X,medium,183,Z,medium
353,X,low,61,Z,medium,169,Y,low,302,Y,high,165,Z,low,108,Y,low,366,Y,high
354,Z,medium,88,Z,low,444,X,high,348,Z,medium,86,X,low,65,X,low,430,X,high
355,Y,low,250,Y,high,158,X,medium,250,Y,low,54,X,medium,89,X,medium,111,,high
356,,,294,X,high,,X,high,,Z,medium,342,Z,high,208,X,medium,130,X,low
357,Z,high,367,Z,low,222,Y,medium,495,Y,low,,Y,medium,106,Y,medium,465,Y,high
358,X,high,397,Y,high,9,X,high,48,,,,Y,high,142,Z,medium,,Z,high
359,X,low,381,Z,high,405,Y,high,41,,high,401,Y,low,342,Z,medium,154,X,low
360,Y,medium,294,,high,67,X,,257,Z,low,46,Y,low,335,Z,low,254,X,high
361,Z,low,9,X,medium,234,Z,low,413,,high,326,Z,medium,471,X,low,288,Y,low
362,X,medium,264,Z,medium,453,Z,high,256,Z,,5,Z,medium,381,X,low,317,X,medium
363,Y,low,409,Y,medium,496,Y,low,108,X,high,471,X,high,212,Y,high,432,Y,high
364,X,medium,423,,,115,Z,high,281,Z,low,356,Y,medium,464,Z,medium,52,Y,medium
365,X,medium,417,Z,,188,Y,medium,471,X,low,410,Z,high,460,X,high,261,X,low
366,Z,high,5,Y,low,282,X,low,83,Z,medium,333,Y,low,111,Z,low,108,X,low
367,X,medium,217,X,,349,X,low,222,Y,low,201,Y,low,85,Z,low,376,X,high
368,Y,high,,Z,high,125,X,high,319,Y,high,497,Y,,442,X,low,298,Y,low
369,,low,,Z,medium,274,Z,medium,196,Z,medium,393,Y,,445,X,medium,374,X,medium
370,X,high,204,Y,medium,417,,low,22,Y,,44,,,422,X,medium,452,Z,high
371,Z,high,48,Z,high,381,Y,high,334,X,low,288,Z,low,230,X,low,,X,high
372,Y,high,96,X,high,411,X,high,370,X,low,271,Y,medium,431,Z,medium,427,X,high
373,,high,2,,high,444,X,low,327,Z,high,143,Y,low,,Z,low,405,Y,
374,Z,low,489,X,low,430,Y,low,,Y,medium,,X,high,370,Z,medium,312,Y,low
375,Y,,429,Y,low,255,X,high,328,Z,low,,,low,301,X,medium,196,Z,high
376,Z,low,201,Y,low,487,X,medium,165,X,high,43,Z,high,133,Z,low,168,X,medium
377,X,high,2,Y,low,247,X,low,8,X,low,464,Z,,,Z,low,181,Z,
378,X,medium,167,X,medium,354,Y,medium,494,Z,high,350,Y,medium,438,Z,high,303,Z,high
379,X,medium,217,Z,high,471,X,high,102,X,medium,56,Y,medium,442,Y,high,401,Y,high
380,Y,medium,84,Y,medium,21,Z,medium,,Z,medium,152,X,low,299,X,high,,,medium
381,Z,medium,330,Y,high,466,Y,high,270,Y,low,419,X,medium,19,Z,,289,Y,low
382,Z,medium,498,Z,medium,,X,,269,Y,low,351,Y,,370,X,medium,206,Z,low
383,Y,high,421,Y,high,498,X,high,10,X,,38,X,high,126,X,high,303,X,medium
384,X,low,428,Z,low,386,Z,medium,495,X,medium,73,X,high,102,X,high,409,Z,low
385,Y,high,415,X,low,78,Y,high,264,Z,medium,464,,low,39,X,high,205,X,low
386,Y,medium,34,Z,high,150,Z,medium,415,Y,medium,78,Y,medium,78,Y,medium,198,Z,high
387,Y,medium,275,Z,medium,1,Z,high,388,Y,medium,312,Z,low,245,X,medium,100,X,low
388,Z,high,282,Z,medium,303,Z,low,68,,low,497,Z,medium,138,Z,low,249,Y,high
389,Y,,50,Z,high,218,,low,,Y,medium,83,X,,,Z,low,228,Y,medium
390,Z,low,73,Z,high,237,Z,,295,Z,high,22,Z,medium,255,X,medium,80,Y,high
391,Y,low,282,Y,,366,Z,low,92,Z,high,408,Y,high,263,Z,high,,,low
392,X,high,357,Z,medium,410,,high,290,Y,medium,474,Z,high,208,X,medium,,X,medium
393,X,medium,104,Z,medium,36,X,low,308,X,medium,257,X,low,226,X,medium,145,Z,high
394,Z,medium,242,Y,medium,458,Y,high,326,Y,medium,116,Y,,443,,high,472,Y,medium
395,Y,high,37,Z,high,186,Z,medium,160,Z,high,29,Y,medium,141,X,medium,136,Y,high
396,X,low,55,X,high,376,Z,medium,470,X,medium,455,Y,high,6,X,medium,209,Y,high
397,X,low,290,Z,low,290,X,medium,118,Y,high,399,Y,low,400,X,high,65,Y,high
398,X,medium,278,Z,medium,221,X,medium,246,X,low,448,,low,40,Y,low,306,Y,medium
399,Z,high,375,X,medium,106,X,medium,419,Y,,394,,high,387,X,medium,240,Y,
400,X,low,455,X,medium,94,Z,medium,38,Z,medium,216,Y,low,162,X,high,133,,low
401,X,high,94,,low,365,Y,high,201,Y,medium,241,Y,medium,420,X,medium,144,X,low
402,Y,high,170,X,medium,160,Y,high,,Z,medium,191,Y,high,83,Z,low,467,Y,low
403,Y,low,427,Z,high,114,X,medium,386,X,low,365,Y,,82,Z,high,343,X,low
404,X,low,25,Y,low,2,X,medium,393,Z,medium,50,X,low,203,,medium,76,Y,high
405,X,high,414,Y,medium,420,Z,low,,Z,medium,20,Z,high,209,X,high,67,Y,low
406,,low,472,,high,197,X,high,,Z,medium,480,X,low,358,X,low,35,Y,medium
407,X,high,49,Y,medium,174,X,low,245,Y,medium,159,Z,high,323,Z,high,123,X,medium
408,Z,high,,Z,medium,185,X,medium,13,Z,medium,17,X,medium,496,Y,high,369,Y,low
409,Y,low,342,,low,299,X,high,411,Z,medium,,Z,low,,X,,30,Z,high
410,X,,237,X,low,240,Y,high,151,Z,medium,199,X,medium,101,X,low,124,Y,high
411,,medium,493,Y,medium,272,Z,medium,233,Z,low,115,Z,,44,Z,medium,20,X,low
412,Z,medium,272,Y,,138,X,medium,341,X,high,217,X,high,132,Z,,324,Y,low
413,Y,high,327,Y,low,148,Y,low,388,Y,high,225,Y,medium,491,Y,low,407,Y,low
414,Z,medium,118,Z,low,431,X,medium,43,Z,medium,,Y,high,384,X,medium,264,,low
415,Z,,,Y,high,219,Y,low,383,Z,high,,X,low,370,X,low,452,Y,
416,X,low,88,X,high,,X,high,187,,medium,440,Y,high,136,X,high,344,,low
417,X,low,73,Y,low,422,Y,high,,Y,low,413,X,low,234,Z,high,381,Y,medium
418,Z,low,56,Y,medium,355,,low,66,X,high,246,Y,medium,351,Z,high,156,Z,medium
419,X,medium,446,X,medium,274,Y,low,358,,low,278,Y,high,473,X,low,432,X,low
420,Z,low,34,,low,418,X,medium,,X,medium,66,,high,291,Z,high,315,X,medium
421,X,high,258,X,low,27,X,medium,51,Z,medium,288,Z,high,10,Z,medium,43,Y,medium
422,Z,high,254,X,low,249,X,medium,70,X,medium,335,Y,high,427,Z,low,41,X,low
423,Z,high,27,Y,,356,Z,low,,,low,443,Z,high,466,Z,medium,449,Z,low
424,,high,421,X,low,54,X,high,54,X,high,23,Z,,16,Y,medium,137,Z,high
425,Z,low,250,Z,medium,91,Y,low,260,Z,medium,431,X,high,196,Z,medium,233,Y,
426,,high,63,X,low,32,Y,medium,348,Z,medium,259,X,medium,489,Z,high,380,Z,low
427,Z,medium,64,Y,low,243,Y,high,456,Y,medium,,Z,medium,476,Z,low,384,Z,high
428,Z,high,350,X,low,270,X,high,,Z,high,,X,low,482,Y,medium,13,X,medium
429,Y,high,309,Y,medium,234,Y,medium,147,,medium,232,X,medium,487,X,low,307,Y,high
430,,medium,206,Z,low,27,Z,low,77,Z,medium,205,Y,low,11,Y,high,456,Y,low
431,,low,,Y,low,243,Z,high,,Y,high,95,Z,high,,,medium,174,Z,low
432,X,high,17,Y,low,444,X,low,296,Y,medium,36,X,low,249,Y,high,271,X,medium
433,Y,medium,15,X,high,15,Y,low,491,X,low,41,Y,low,301,Z,low,132,X,low
434,Y,medium,267,X,medium,387,X,low,21,Z,low,133,Y,low,200,Y,low,360,Z,medium
435,Y,medium,181,Y,high,136,Z,high,352,X,low,146,Y,low,134,X,high,59,Z,low
436,Y,high,126,Y,low,37,Y,medium,16,Z,low,231,Y,high,127,X,low,259,X,high
437,Y,medium,189,X,,25,Z,medium,54,Z,low,305,X,low,301,Y,medium,206,Y,high
438,X,low,302,Z,low,6,Z,high,215,Z,,495,Y,medium,488,X,,320,Z,high
439,Z,high,146,Y,low,207,X,high,183,X,,397,X,high,413,X,medium,247,X,medium
440,X,medium,174,X,low,248,Y,high,182,Z,low,242,Z,medium,87,X,high,490,Y,medium
441,Y,low,141,X,low,310,Y,low,33,Z,medium,456,X,medium,74,Y,high,491,Z,medium
442,Z,medium,333,Y,low,40,,,272,Y,medium,278,Z,medium,131,Y,medium,142,Z,low
443,Y,high,27,Y,low,327,Z,medium,170,Y,low,211,X,medium,366,Y,medium,18,X,medium
444,Z,,459,Z,low,369,Y,high,496,X,low,108,Y,high,4,X,low,246,Z,low
445,Y,low,277,Y,high,32,X,medium,394,Y,high,211,X,medium,352,X,low,295,Y,high
446,X,medium,122,Y,low,,Y,low,217,Z,low,20,Y,high,290,Z,high,375,Y,low
447,Z,high,379,Z,,59,Z,,382,,low,76,Z,high,329,Z,,262,X,low
448,X,medium,469,Y,medium,219,Y,medium,288,Z,medium,472,Z,low,,X,,293,Z,high
449,Z,medium,29,Z,medium,330,Z,high,247,X,low,97,Z,low,295,Z,high,11,X,low
450,X,low,102,Y,,435,Z,medium,459,Z,medium,283,,medium,310,Y,medium,381,Z,medium
451,Z,low,71,Z,medium,265,Y,medium,293,Y,high,51,Y,medium,240,X,low,164,X,
452,X,high,35,Y,low,217,Z,low,241,X,medium,300,Z,low,,Y,medium,,Z,low
453,,high,,Z,low,,Y,low,283,Y,low,487,Z,high,190,X,medium,211,X,medium
454,Y,medium,96,Z,low,108,Y,low,390,X,high,228,Z,,33,Y,medium,35,Y,high
455,X,high,191,Y,high,102,Z,low,370,Y,,63,X,medium,12,Z,low,247,X,low
456,X,high,407,X,medium,233,X,,274,Y,low,11,X,,357,Z,low,190,X,medium
457,,medium,,X,low,60,Z,low,88,Y,low,378,X,medium,318,X,high,116,X,high
458,Z,medium,338,X,,11,Y,low,318,,low,51,,,204,Z,high,122,Z,
459,Y,low,48,X,medium,181,Y,high,215,X,high,158,Z,low,373,Y,medium,17,X,high
460,X,low,485,Y,low,76,Z,high,466,Z,high,421,X,high,236,X,high,443,X,high
461,X,,41,X,,318,Y,low,454,Y,medium,268,Z,high,127,Z,high,146,Y,high
462,X,,354,X,high,274,Z,high,0,,high,436,Z,high,292,,high,437,Z,medium
463,X,high,319,X,medium,242,Y,low,499,X,high,436,Y,medium,188,X,high,418,X,high
464,Z,low,206,X,high,248,X,low,450,Z,medium,330,X,low,487,X,high,228,X,high
465,Y,low,419,Y,low,49,Y,medium,453,X,high,468,X,high,360,X,high,403,,medium
466,Y,low,446,Z,high,201,X,low,248,,medium,18,Z,medium,374,Z,low,105,,low
467,X,high,35,Z,medium,35,Z,low,135,Z,high,120,Z,high,343,,high,90,X,high
468,Y,high,479,Z,high,177,X,high,303,X,high,138,,low,341,,,449,Z,low
469,Y,low,120,Z,high,338,Y,high,441,X,high,,,high,386,X,,323,Y,high
470,X,high,395,Z,medium,493,Z,low,225,X,medium,310,Z,high,215,X,,344,Z,medium
471,Y,high,410,X,low,148,,low,492,X,,126,Z,low,410,Y,low,461,,medium
472,Y,medium,278,X,high,132,Y,high,130,Z,low,104,,medium,17,Z,high,6,Y,high
473,Z,,431,Y,medium,334,Y,high,426,Y,medium,,X,medium,333,X,,,Z,medium
474,Y,,412,X,medium,458,Y,low,,Y,low,429,X,medium,269,Z,low,480,X,high
475,X,low,,X,high,147,Z,high,419,Y,medium,7,Y,low,4,Z,high,64,Z,high
476,,low,89,Z,high,419,X,low,472,Z,low,182,Y,low,330,Z,high,224,X,low
477,Y,,217,Y,low,157,Y,medium,351,Z,medium,267,Y,,1,Z,low,11,X,high
478,,low,450,Z,medium,319,X,high,311,X,high,117,Y,medium,352,,medium,162,X,low
479,Z,low,101,Y,high,104,Y,medium,205,Z,low,362,Z,low,262,X,low,86,Y,
480,Z,high,499,Y,,131,Z,medium,436,Y,medium,378,Z,medium,303,Z,high,127,,low
481,X,high,,X,medium,491,X,high,63,Z,low,419,Z,medium,304,Y,high,406,Y,low
482,Y,high,332,X,low,194,Y,medium,145,Z,,393,Z,high,150,Y,medium,137,Y,
483,X,low,320,X,low,8,X,high,65,Y,low,420,Y,medium,311,Y,,406,Y,high
484,Z,high,97,Z,medium,386,X,high,138,Y,low,182,Y,low,110,X,high,447,X,medium
485,X,low,236,Z,high,63,Z,low,261,Y,medium,149,Y,medium,379,Y,low,270,Z,medium
486,Z,low,72,X,medium,55,Z,high,167,X,low,158,Z,low,45,Z,medium,269,Y,medium
487,X,high,182,Y,low,418,Z,high,210,X,high,426,Z,low,70,Y,high,166,X,medium
488,Y,low,479,Y,high,174,Y,high,115,Y,high,324,Y,high,351,Y,medium,333,Z,high
489,X,medium,27,Y,low,69,Y,medium,176,Z,low,161,Z,low,28,X,low,,Y,high
490,Z,low,435,X,low,,Z,medium,248,Y,high,360,X,low,485,Y,high,431,Z,low
491,Y,low,338,X,medium,140,Y,medium,106,Y,medium,116,Y,medium,15,X,medium,97,Y,medium
492,Y,high,374,X,high,316,Z,high,,Y,medium,133,Z,medium,262,Y,low,343,Y,low
493,Y,,141,X,low,131,X,medium,448,X,high,0,Z,high,492,X,high,69,Z,low
494,X,high,474,X,,290,X,low,438,Y,,483,Y,high,336,Z,high,245,Z,low
495,Y,low,126,Y,high,348,Y,high,0,Y,low,117,X,low,316,X,medium,44,Z,high
496,Z,high,251,Z,medium,378,X,low,247,Z,low,376,Z,high,346,X,high,275,Y,high
497,Y,high,18,Z,,,,medium,397,Z,medium,59,Z,high,353,Y,,425,Y,low
498,X,high,443,Y,medium,307,X,low,174,Z,medium,18,Y,low,80,Y,high,408,Y,high
499,Z,low,352,X,low,420,X,medium,115,Y,high,,Z,medium,154,Z,high,357,Y,low
500,Y,low,81,Y,low,420,Z,medium,305,Z,medium,49,Y,high,95,Y,low,288,Y,low
501,X,medium,331,X,medium,373,Y,,1,X,medium,72,Y,medium,105,Y,high,312,X,low
502,X,low,91,X,medium,199,Z,high,,X,low,165,X,medium,104,Z,low,49,Z,low
503,X,low,222,Z,high,265,X,medium,225,Z,medium,292,Y,high,318,,medium,363,X,medium
504,X,high,256,,low,483,X,,341,Y,medium,9,Y,medium,466,Z,low,340,X,medium
505,,high,465,Y,low,124,Y,low,341,X,medium,63,Y,medium,279,Y,medium,71,X,low
506,X,high,166,Y,low,346,Z,high,267,Y,high,168,X,low,7,Z,medium,316,X,medium
507,X,high,6,X,medium,396,Z,high,291,Z,medium,352,Y,medium,346,X,high,192,Y,medium
508,X,low,216,Y,high,240,Z,medium,13,X,low,48,Z,low,270,Z,low,254,Z,medium
509,X,high,463,Y,high,432,Y,,490,Y,high,142,Z,high,388,Z,high,,X,high
510,X,,399,Z,low,214,Z,medium,38,Z,medium,,X,low,188,Y,high,161,Z,medium
511,Y,medium,29,Y,medium,418,X,high,488,Z,medium,154,Y,low,214,X,low,458,,medium
512,X,low,26,X,high,322,Y,low,486,Y,high,,X,,329,,high,208,Z,high
513,Z,low,378,Z,low,25,X,high,358,,medium,320,,medium,353,X,high,256,Y,high
514,Y,high,360,X,high,411,X,high,373,Z,high,33,Y,medium,110,X,low,14,Z,
515,X,low,278,X,low,348,Y,high,14,Y,high,469,Z,high,293,Z,low,61,Z,medium
516,Y,high,44,Y,low,111,Z,high,474,Z,medium,122,Y,low,480,Y,high,140,Z,low
517,X,high,140,Z,low,351,X,high,,Z,high,495,X,high,32,Y,medium,489,Y,low
518,Z,medium,423,X,high,255,Z,,169,X,low,364,Y,low,165,Z,low,129,X,low
519,Y,low,69,X,high,471,Y,low,334,X,high,178,Y,medium,266,Z,medium,197,Y,high
520,Z,medium,100,X,high,152,Z,low,267,Z,high,151,Z,low,462,Z,medium,427,Z,high
521,Y,medium,226,Z,high,131,X,medium,180,X,low,473,Z,low,484,X,high,159,Y,medium
522,X,medium,367,,high,29,Z,,160,Z,low,498,Z,low,294,X,low,406,X,high
523,X,,414,Z,medium,393,X,low,59,,low,306,Z,low,273,Z,,59,Y,high
524,Y,medium,295,X,high,492,Y,medium,454,Z,low,23,Y,medium,,X,,66,X,medium
525,Z,high,246,Z,low,344,Z,low,332,Y,high,,Y,high,222,X,high,6,Z,low
526,Y,low,192,X,medium,184,Z,medium,143,X,low,238,Y,high,,Y,high,62,Z,medium
527,Z,medium,21,Z,high,439,X,,361,X,low,,Y,high,272,Y,high,,Y,high
528,Y,low,133,Z,high,126,X,high,346,Y,medium,400,,medium,276,X,,45,X,medium
529,X,medium,107,Z,medium,346,Y,high,69,Y,medium,16,Z,low,421,Z,high,306,X,medium
530,Y,low,28,Z,low,298,Y,medium,87,X,medium,185,Y,low,,Y,low,299,X,medium
531,X,high,372,X,high,426,X,high,115,Z,medium,37,Y,low,478,Y,medium,117,Y,
532,Z,medium,176,Y,low,485,X,low,52,,high,218,Z,medium,352,Y,medium,18,X,medium
533,X,,254,X,high,179,X,low,411,Z,,402,,high,293,Z,high,80,Z,low
534,Y,low,100,Y,high,47,X,high,,X,medium,64,Y,medium,289,Y,medium,71,Z,
535,Y,medium,295,Y,high,78,Y,high,405,X,low,68,Y,medium,288,Z,low,264,Y,medium
536,Y,high,67,Z,low,369,X,,264,Y,high,478,Z,medium,,X,low,465,Z,high
537,Y,high,338,Y,low,181,Z,low,58,Y,low,88,X,high,,Z,medium,217,Y,low
538,Z,low,369,Z,medium,69,Z,low,422,Y,medium,,X,high,369,Z,high,316,X,high
539,Z,medium,155,X,medium,407,X,low,86,X,high,292,X,medium,126,X,high,151,Z,high
540,X,low,106,X,medium,324,Z,medium,499,X,medium,138,Z,high,326,Z,high,45,Y,high
541,Z,medium,390,Z,low,65,Y,low,7,X,medium,478,X,medium,263,X,low,109,Z,low
542,Z,low,111,,medium,356,X,high,311,,low,81,Z,low,183,Y,medium,239,Z,low
543,,low,89,Z,high,318,X,medium,156,Z,high,283,Z,,401,Z,medium,429,Z,medium
544,,high,170,Y,high,492,Y,high,,Y,low,460,Z,high,159,X,high,124,,low
545,Z,,483,Z,medium,493,Z,medium,419,Z,high,366,X,,,Y,low,491,,medium
546,X,high,231,Y,low,487,X,high,393,X,medium,14,Y,high,125,Z,high,319,X,high
547,Z,high,131,Y,low,447,X,low,140,X,medium,93,,low,,Y,low,177,X,medium
548,Z,medium,256,Z,low,,,medium,31,X,high,62,X,medium,287,X,medium,311,X,high
549,X,low,174,Z,,335,Z,low,141,X,high,457,X,low,487,X,high,349,X,high
550,Z,high,332,X,high,,X,high,404,X,low,100,Z,high,149,Y,high,342,Y,high
551,Z,low,219,Z,medium,396,Z,medium,257,Y,medium,27,Y,low,57,X,medium,432,Z,high
552,,,294,Y,high,482,Y,,379,Z,medium,191,Y,low,60,X,medium,330,X,low
553,Z,high,218,Z,low,58,X,high,247,Y,low,141,Z,,245,Z,high,13,Y,low
554,X,medium,,Y,high,68,Z,high,264,Z,medium,,Y,medium,391,Y,medium,188,Z,high
555,Z,low,223,Z,low,249,X,low,32,X,low,226,Z,high,356,Y,medium,454,Y,high
556,Z,medium,196,Y,low,146,Y,high,11,Z,medium,450,X,,104,X,low,103,X,high
557,X,high,481,X,high,265,Y,high,,X,low,,X,low,417,Z,high,249,Y,
558,Y,medium,132,Z,high,155,Z,medium,101,X,low,490,X,medium,82,Y,high,250,Z,low
559,Y,,402,X,medium,391,Z,medium,180,Y,high,331,Y,medium,279,,medium,278,Z,medium
560,X,medium,354,Y,medium,449,Z,high,184,Y,,191,Z,high,424,,low,434,Z,medium
561,Z,medium,263,Z,high,141,,medium,316,X,low,339,Y,high,403,,,269,Y,
562,Y,low,158,Z,high,386,X,medium,470,X,,174,X,low,351,,low,0,Y,medium
563,X,low,241,Z,low,53,X,low,378,Z,low,105,,low,165,Y,low,121,Z,medium
564,Y,high,,,low,398,Y,high,319,Z,high,117,Y,medium,383,,medium,315,Z,low
565,X,medium,90,Z,low,,Y,high,417,Z,high,,,medium,193,Z,medium,391,X,high
566,X,high,293,X,medium,355,X,low,255,X,high,324,X,high,175,Z,medium,323,X,medium
567,,medium,,Z,low,,X,medium,72,Y,,,X,high,266,X,high,366,Y,high
568,Z,,316,X,medium,53,Y,low,,Z,low,99,Y,low,308,X,low,120,X,low
569,X,medium,72,Z,low,421,Z,medium,488,Y,medium,0,Z,medium,,X,high,47,Y,high
570,X,medium,254,Y,medium,54,Z,low,389,X,low,32,Z,medium,,Y,low,474,Y,medium
571,Z,high,91,Z,high,240,Z,high,174,Z,low,452,,medium,433,Y,medium,281,Z,high
572,Y,high,464,Y,low,87,Y,,161,Z,medium,11,Z,low,141,Y,high,369,Z,low
573,X,high,175,Z,low,423,Z,high,459,X,,310,Y,high,120,X,high,478,X,low
574,Z,high,210,Z,,287,Y,high,47,Z,low,163,Y,low,34,Z,medium,91,Z,low
575,X,low,428,,low,253,Y,high,,Z,low,69,Z,high,203,Y,low,435,Z,medium
576,X,high,213,X,,158,X,low,338,Y,high,149,X,high,85,Y,medium,183,Y,medium
577,Y,high,96,Y,high,391,Y,high,403,X,low,46,Y,high,465,Y,medium,312,X,low
578,,medium,446,Y,medium,105,X,high,164,Z,medium,156,X,low,448,Z,high,193,Z,low
579,Y,low,323,X,low,360,Y,low,324,Z,low,408,Y,medium,414,X,medium,99,X,high
580,Y,low,302,X,medium,484,Z,low,162,,high,310,X,low,140,Z,,439,X,high
581,X,high,37,X,high,133,Y,high,8,X,medium,405,X,medium,345,,,173,Y,low
582,,high,224,Z,low,343,X,medium,227,X,low,,Y,high,245,Y,low,12,X,high
