id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17,ExtraCol18,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22
301,D,unknown,20,D,medium,16,C,low,33,,high,417,Z,high,369,Z,low,102,Y,low,357
302,,unknown,66,D,unknown,39,B,low,,Z,medium,335,X,low,155,X,medium,68,Y,low,170
303,B,unknown,52,B,unknown,83,C,unknown,38,X,high,328,Y,high,473,X,low,265,Y,low,412
304,,unknown,,B,medium,96,C,,,Y,high,386,Z,medium,124,X,low,96,Y,low,18
305,D,unknown,28,,medium,,,,30,Y,high,226,X,high,322,Z,high,96,Z,low,493
306,B,,52,A,,,B,,10,X,medium,33,Z,high,335,Y,medium,390,Y,medium,419
307,B,low,86,C,,23,C,,,X,medium,319,X,high,481,Z,high,264,Y,low,326
308,C,,31,,medium,59,A,,65,,low,313,Z,medium,285,X,high,271,Z,low,310
309,A,low,39,D,,18,A,high,93,Z,high,425,Z,high,497,Z,low,71,X,low,126
310,D,low,16,,low,53,A,,0,Y,low,461,X,low,142,Z,high,80,Z,high,215
311,D,unknown,,C,,,,medium,63,Y,medium,168,Y,medium,400,Y,high,195,Z,low,50
312,,unknown,3,C,medium,7,A,low,56,Y,medium,478,Z,low,122,Z,low,,Y,high,169
313,C,high,24,C,unknown,96,B,unknown,62,Z,,4,X,low,499,X,medium,225,Y,low,294
314,C,high,,A,unknown,89,,unknown,98,Z,high,484,X,medium,381,X,high,67,Y,low,181
315,,,1,B,unknown,,B,medium,39,X,high,,X,low,312,X,low,449,X,medium,385
316,D,,98,,,62,A,,,Y,high,322,,medium,33,X,,181,Y,high,426
317,,unknown,40,B,,,D,low,1,Y,,341,Z,medium,,Z,medium,408,Z,low,280
318,,medium,,D,high,57,B,,,X,medium,316,Y,,72,Y,high,200,,low,170
319,C,high,53,,unknown,,A,,17,,medium,495,Y,medium,458,Y,low,236,X,high,151
320,,,,B,low,53,,,,X,high,276,Z,high,189,Z,high,56,Y,low,273
321,D,low,,,high,,,low,,Z,medium,65,X,medium,415,Z,high,338,X,low,359
322,D,,88,A,low,39,,,27,X,medium,303,Z,low,453,Y,low,29,Z,low,63
323,C,,,B,,84,,low,11,Y,low,145,X,medium,55,Y,low,373,Y,high,223
324,B,,,B,medium,25,,high,,Z,medium,306,X,medium,379,X,medium,440,,high,220
325,B,medium,70,D,high,96,B,high,65,Y,medium,190,,high,151,Z,medium,180,Y,high,143
326,B,high,30,,unknown,75,,,28,X,low,21,Y,medium,54,Z,low,443,Y,medium,118
327,C,unknown,99,A,low,89,B,low,13,X,high,318,Y,low,130,Y,low,349,Y,low,420
328,,high,25,,high,50,,medium,57,Y,high,44,X,low,274,Y,medium,1,Y,low,216
329,C,medium,29,,low,22,A,low,,Z,high,163,Y,low,,Z,high,101,Z,high,288
330,D,medium,71,A,low,3,D,high,,Y,low,309,Z,medium,345,Y,medium,320,Z,high,19
331,,high,78,C,,53,,low,38,X,low,440,X,,116,Y,high,350,X,low,141
332,C,medium,12,C,high,39,D,high,,Z,low,157,X,high,147,Z,,46,X,high,111
333,,high,55,,low,11,C,unknown,24,Y,high,149,X,low,152,,medium,342,Z,high,164
334,C,,,B,medium,,D,high,28,X,high,150,Y,medium,368,Z,high,405,Y,high,420
335,,,61,,,97,,,14,Y,medium,287,Z,low,259,X,medium,45,X,high,
336,,unknown,55,,medium,,D,,,X,low,96,X,high,11,,high,439,Y,medium,451
337,,medium,,B,unknown,,C,,14,Z,medium,,Z,medium,38,Y,high,266,X,low,211
338,,medium,,,,,D,,68,Z,high,400,Z,medium,37,X,high,308,X,,385
339,,high,65,,,,,,,X,medium,,Y,medium,480,Z,low,25,X,low,80
340,,,67,D,,62,,unknown,,Y,low,482,Z,low,252,Y,low,306,X,,407
341,,unknown,,C,high,41,C,unknown,,X,,265,,low,245,Z,high,227,X,high,305
342,,low,,,medium,,A,medium,63,Y,high,313,Z,high,380,,high,185,Z,low,19
343,B,unknown,72,B,,18,,medium,75,X,high,308,Y,low,95,Y,medium,390,Y,high,344
344,C,,77,,medium,66,A,low,56,Z,medium,472,X,high,15,Y,low,,Y,high,239
345,A,,12,B,low,98,A,,,X,high,332,Z,low,,Y,high,29,Z,medium,
346,C,high,88,,low,85,,high,25,Z,low,441,Y,low,,,medium,249,Z,low,423
347,,unknown,,,medium,4,,,,X,high,142,X,high,399,X,low,371,Z,low,268
348,,low,,C,unknown,11,A,medium,,X,low,108,Z,high,409,Y,medium,66,X,high,303
349,,high,48,,low,62,B,low,,Z,medium,321,Y,high,317,,low,492,Z,low,
350,B,low,48,,,92,B,low,49,Z,medium,76,Z,high,454,,low,336,Z,high,
351,A,low,91,,medium,84,C,,90,X,high,55,Z,medium,232,Y,low,467,X,low,166
352,B,unknown,96,A,high,90,,low,27,X,low,105,X,low,120,Z,high,235,Z,medium,350
353,C,high,80,A,low,14,C,,51,Z,low,135,Z,medium,165,X,low,61,Z,medium,169
354,A,medium,65,B,low,51,B,,,Z,high,48,,medium,70,Z,medium,88,Z,low,444
355,C,high,10,B,low,72,D,,63,Y,medium,364,Z,high,450,Y,low,250,Y,high,158
356,A,medium,91,C,medium,62,B,,,X,high,291,X,,302,,,294,X,high,
357,D,medium,13,A,,77,B,high,41,X,medium,100,Z,low,386,Z,high,367,Z,low,222
358,C,medium,16,B,unknown,21,A,medium,0,X,medium,141,Z,medium,140,X,high,397,Y,high,9
359,B,medium,6,D,,45,D,,,Z,high,464,Z,high,359,X,low,381,Z,high,405
360,C,unknown,94,D,,44,,low,,X,high,,Y,high,165,Y,medium,294,,high,67
361,A,medium,,D,,93,B,high,,Y,,61,Z,medium,223,Z,low,9,X,medium,234
362,A,medium,,,,20,B,unknown,,Z,high,306,,medium,325,X,medium,264,Z,medium,453
363,D,high,8,A,medium,32,D,high,14,X,low,161,X,medium,490,Y,low,409,Y,medium,496
364,D,unknown,41,,medium,,,medium,,,low,179,Z,medium,279,X,medium,423,,,115
365,,medium,72,A,high,15,A,high,79,Z,high,299,Y,medium,355,X,medium,417,Z,,188
366,B,unknown,99,,,,A,unknown,45,X,medium,492,X,low,297,Z,high,5,Y,low,282
367,A,medium,,,medium,84,C,low,5,X,low,291,Y,medium,211,X,medium,217,X,,349
368,,high,60,D,medium,,A,high,6,X,low,476,X,medium,466,Y,high,,Z,high,125
369,B,unknown,83,C,high,70,,low,67,X,medium,410,Y,,,,low,,Z,medium,274
370,,,90,B,high,59,A,,,X,medium,389,Y,high,155,X,high,204,Y,medium,417
371,C,low,27,B,low,,D,unknown,,Z,high,395,Z,high,447,Z,high,48,Z,high,381
372,A,high,,D,,30,D,medium,40,X,high,395,Z,low,225,Y,high,96,X,high,411
373,D,,51,D,high,99,,,49,X,high,127,Y,medium,369,,high,2,,high,444
374,C,medium,93,C,high,,,medium,16,Z,medium,488,Z,medium,258,Z,low,489,X,low,430
375,,unknown,11,D,,71,B,low,,X,high,459,X,,383,Y,,429,Y,low,255
376,,,9,B,high,,,,76,X,high,300,Z,medium,435,Z,low,201,Y,low,487
377,C,high,,B,high,,C,,42,X,high,355,X,,211,X,high,2,Y,low,247
378,,high,67,D,medium,,,low,49,Z,medium,440,Z,high,350,X,medium,167,X,medium,354
379,A,low,17,B,high,84,C,low,,Z,low,76,Z,,253,X,medium,217,Z,high,471
380,,medium,89,D,medium,63,A,unknown,,,low,32,X,high,399,Y,medium,84,Y,medium,21
381,B,high,10,B,medium,28,B,,98,Z,high,497,X,high,95,Z,medium,330,Y,high,466
382,D,low,,B,low,96,,unknown,81,X,high,277,Z,high,364,Z,medium,498,Z,medium,
383,B,medium,,A,medium,70,,high,,Y,high,361,Z,high,297,Y,high,421,Y,high,498
384,,,,C,low,42,,,,Y,,251,Z,medium,225,X,low,428,Z,low,386
385,A,unknown,,B,,13,,medium,72,X,medium,258,X,medium,,Y,high,415,X,low,78
386,B,low,84,B,medium,97,B,,33,Z,low,18,Y,medium,350,Y,medium,34,Z,high,150
387,B,unknown,10,C,high,,C,unknown,51,Y,low,144,Y,high,173,Y,medium,275,Z,medium,1
388,A,medium,,A,unknown,,,low,14,Z,high,43,Z,medium,16,Z,high,282,Z,medium,303
389,B,high,61,,low,83,,,,X,low,216,Z,high,474,Y,,50,Z,high,218
390,,high,2,D,unknown,60,D,high,,Z,medium,10,Z,high,223,Z,low,73,Z,high,237
391,A,,74,C,medium,,,unknown,72,X,high,401,Y,,82,Y,low,282,Y,,366
392,,unknown,,C,,23,A,unknown,60,X,medium,147,X,medium,112,X,high,357,Z,medium,410
393,C,low,75,,,7,A,low,,Y,high,370,Z,medium,414,X,medium,104,Z,medium,36
394,D,low,,C,unknown,,,,50,X,medium,26,X,high,165,Z,medium,242,Y,medium,458
395,C,unknown,19,B,low,,C,,,X,high,16,X,low,140,Y,high,37,Z,high,186
396,A,high,,,,,,low,,Z,low,,X,low,243,X,low,55,X,high,376
397,,unknown,6,A,,16,A,,1,Y,medium,394,Y,low,14,X,low,290,Z,low,290
398,B,medium,53,C,,57,C,,,Y,low,406,X,,280,X,medium,278,Z,medium,221
399,B,,,C,high,12,A,low,,X,,272,,high,20,Z,high,375,X,medium,106
400,A,low,,,medium,,A,,36,Z,high,306,X,high,417,X,low,455,X,medium,94
401,D,medium,20,,medium,79,A,high,87,Z,medium,344,Z,medium,214,X,high,94,,low,365
402,,low,76,D,,,C,unknown,64,Z,medium,336,Y,low,109,Y,high,170,X,medium,160
403,C,unknown,69,,,94,B,low,60,Y,medium,370,X,medium,227,Y,low,427,Z,high,114
404,,,,C,,31,B,,,Y,low,15,Z,high,87,X,low,25,Y,low,2
405,D,unknown,,D,unknown,94,C,low,50,X,low,214,Y,low,160,X,high,414,Y,medium,420
406,A,low,6,,,78,A,high,70,X,,419,X,medium,65,,low,472,,high,197
407,,low,44,A,unknown,33,,unknown,,X,low,219,Y,medium,334,X,high,49,Y,medium,174
408,B,,,B,unknown,,,unknown,60,Y,medium,73,,,488,Z,high,,Z,medium,185
409,,,11,D,medium,10,C,medium,17,Z,low,332,Z,medium,242,Y,low,342,,low,299
410,B,medium,55,B,high,,,medium,67,Z,high,151,Y,medium,49,X,,237,X,low,240
411,A,medium,,D,,20,C,,7,X,low,255,,high,37,,medium,493,Y,medium,272
412,,,,,,26,,unknown,31,X,medium,258,X,high,416,Z,medium,272,Y,,138
413,B,,,,high,41,A,,91,X,high,348,Z,medium,174,Y,high,327,Y,low,148
414,A,low,8,B,medium,,C,low,,X,medium,464,Z,high,148,Z,medium,118,Z,low,431
415,,,67,C,high,80,A,unknown,90,Y,medium,346,Y,high,50,Z,,,Y,high,219
416,A,low,33,,medium,69,B,,35,Z,,499,Y,medium,331,X,low,88,X,high,
417,,low,,,high,15,,unknown,68,X,medium,9,Y,high,31,X,low,73,Y,low,422
418,B,,19,C,medium,16,,low,70,Z,low,,X,medium,452,Z,low,56,Y,medium,355
419,,medium,97,,medium,,C,,,Y,medium,208,Z,medium,104,X,medium,446,X,medium,274
420,C,,25,D,,94,D,medium,,Y,medium,364,Z,low,34,Z,low,34,,low,418
421,A,medium,68,D,,,C,high,96,Z,high,42,Z,high,,X,high,258,X,low,27
422,,medium,,B,,,B,medium,11,Z,medium,263,X,low,177,Z,high,254,X,low,249
423,D,medium,18,,low,14,A,medium,,,high,14,Z,high,348,Z,high,27,Y,,356
424,A,high,30,,low,23,C,medium,44,Y,low,332,,high,19,,high,421,X,low,54
425,B,,1,B,,,D,unknown,67,X,medium,108,Z,high,430,Z,low,250,Z,medium,91
426,A,low,,C,,20,B,,55,Z,medium,72,Z,low,154,,high,63,X,low,32
427,,medium,33,,low,61,,,,Z,high,39,Z,medium,378,Z,medium,64,Y,low,243
428,,low,49,A,unknown,92,,low,9,Z,medium,134,Z,high,467,Z,high,350,X,low,270
429,A,medium,15,B,,,C,high,51,Y,high,,X,medium,267,Y,high,309,Y,medium,234
430,A,,82,,high,60,C,high,83,X,low,492,X,medium,167,,medium,206,Z,low,27
431,B,medium,21,B,low,,A,high,,,high,40,X,medium,156,,low,,Y,low,243
432,C,low,,,unknown,,A,low,27,Y,high,489,Y,low,343,X,high,17,Y,low,444
433,B,high,87,C,high,0,,unknown,86,Y,medium,293,Z,medium,2,Y,medium,15,X,high,15
434,,low,71,,,11,B,unknown,35,X,low,161,,high,73,Y,medium,267,X,medium,387
435,,low,60,B,,,,unknown,56,Z,medium,471,Y,low,323,Y,medium,181,Y,high,136
436,D,,,A,medium,,B,unknown,,Y,high,120,Z,low,12,Y,high,126,Y,low,37
437,A,unknown,,D,,32,,medium,52,X,medium,90,X,,144,Y,medium,189,X,,25
438,C,unknown,96,D,unknown,52,C,,,Y,low,114,,medium,,X,low,302,Z,low,6
439,D,high,,D,,57,A,medium,,Z,medium,72,Y,low,125,Z,high,146,Y,low,207
440,A,high,40,A,high,66,,,47,Y,high,242,X,medium,465,X,medium,174,X,low,248
441,D,high,25,C,high,,,medium,,,low,70,Y,high,487,Y,low,141,X,low,310
442,,high,,,unknown,37,,high,65,Z,medium,111,Z,low,16,Z,medium,333,Y,low,40
443,B,high,97,D,medium,88,A,unknown,41,Y,medium,185,Z,low,87,Y,high,27,Y,low,327
444,,unknown,69,,low,5,A,high,52,Y,high,,,low,453,Z,,459,Z,low,369
445,C,,3,C,,,C,unknown,,X,medium,429,Z,,16,Y,low,277,Y,high,32
446,,low,46,A,high,95,,unknown,86,Z,medium,37,Y,high,243,X,medium,122,Y,low,
447,,medium,,C,,17,A,low,12,Z,medium,315,X,,474,Z,high,379,Z,,59
448,C,unknown,,D,medium,99,,unknown,87,Y,medium,51,Z,low,294,X,medium,469,Y,medium,219
449,D,medium,77,A,high,28,A,unknown,,X,medium,495,Y,low,153,Z,medium,29,Z,medium,330
450,B,low,70,,,36,A,,,Y,low,138,Y,high,3,X,low,102,Y,,435
451,,unknown,6,,,,C,,2,Z,low,428,X,low,196,Z,low,71,Z,medium,265
452,B,high,55,A,unknown,94,A,,,X,high,388,,medium,270,X,high,35,Y,low,217
453,D,,,,,,A,unknown,5,Y,medium,162,Z,medium,40,,high,,Z,low,
454,D,medium,48,,high,16,D,,,Y,medium,161,Z,low,264,Y,medium,96,Z,low,108
455,,low,,B,,48,A,low,,Y,,158,X,medium,202,X,high,191,Y,high,102
456,C,medium,,D,medium,15,C,low,76,Y,high,235,Z,low,162,X,high,407,X,medium,233
457,D,medium,86,D,high,78,D,low,70,Z,high,221,Y,medium,486,,medium,,X,low,60
458,B,unknown,46,B,low,,D,,84,X,medium,328,X,low,446,Z,medium,338,X,,11
459,,,53,A,,49,D,unknown,0,Y,low,232,Y,high,347,Y,low,48,X,medium,181
460,,low,62,,high,39,B,high,78,Z,high,,Y,high,295,X,low,485,Y,low,76
461,A,,65,A,high,3,D,low,31,Z,low,233,Y,low,236,X,,41,X,,318
462,,unknown,63,D,medium,5,,,,Y,low,153,X,medium,35,X,,354,X,high,274
463,A,medium,78,C,high,51,,medium,76,Z,,163,Y,medium,153,X,high,319,X,medium,242
464,,medium,98,C,low,39,A,,68,X,medium,365,Z,low,5,Z,low,206,X,high,248
465,,high,82,A,high,12,C,,41,Y,medium,70,Z,high,183,Y,low,419,Y,low,49
466,B,high,13,,unknown,13,D,medium,61,Z,low,143,Z,medium,236,Y,low,446,Z,high,201
467,B,medium,,C,unknown,,,,46,Y,low,155,Y,low,305,X,high,35,Z,medium,35
468,B,unknown,,,unknown,,D,,62,Y,low,322,Z,medium,177,Y,high,479,Z,high,177
469,B,high,50,B,,60,,medium,45,Y,medium,64,X,high,127,Y,low,120,Z,high,338
470,B,low,52,,low,83,D,high,39,Y,low,,Z,medium,,X,high,395,Z,medium,493
471,C,,71,,high,6,C,,20,Z,medium,337,Y,high,75,Y,high,410,X,low,148
472,D,unknown,,B,low,,B,,38,Y,medium,463,Y,low,62,Y,medium,278,X,high,132
473,C,medium,26,C,medium,,A,,,X,high,218,Y,high,348,Z,,431,Y,medium,334
474,C,high,45,B,high,20,,unknown,87,X,high,491,,low,292,Y,,412,X,medium,458
475,D,,,,high,53,,,,Z,medium,303,X,medium,434,X,low,,X,high,147
476,D,,31,C,high,,B,medium,18,Y,medium,387,Y,medium,369,,low,89,Z,high,419
477,,unknown,2,,unknown,,C,low,50,X,low,121,Z,low,450,Y,,217,Y,low,157
478,C,low,97,,low,,,,,X,medium,457,Y,high,332,,low,450,Z,medium,319
479,A,high,,B,unknown,66,B,high,,X,medium,129,X,medium,420,Z,low,101,Y,high,104
480,A,high,60,,,75,A,,32,X,low,68,Y,medium,84,Z,high,499,Y,,131
481,D,low,,A,medium,0,B,,4,Z,high,39,Z,medium,265,X,high,,X,medium,491
482,,,27,,medium,,A,,5,Y,low,327,Z,low,472,Y,high,332,X,low,194
483,D,,34,,high,50,A,low,,Y,low,314,X,medium,394,X,low,320,X,low,8
484,,medium,28,B,high,36,,high,72,X,high,99,Y,low,201,Z,high,97,Z,medium,386
485,D,,,,medium,,,unknown,86,Z,high,439,Z,high,463,X,low,236,Z,high,63
486,C,low,15,B,low,,C,medium,49,Z,medium,138,X,high,156,Z,low,72,X,medium,55
487,D,,,D,low,75,C,unknown,,Z,medium,304,X,high,11,X,high,182,Y,low,418
488,A,,45,,medium,82,C,low,92,Y,high,261,X,low,398,Y,low,479,Y,high,174
489,D,,53,B,,41,,,27,Y,low,296,Y,medium,206,X,medium,27,Y,low,69
490,A,,1,,high,93,A,unknown,15,X,medium,370,Y,medium,17,Z,low,435,X,low,
491,B,,84,C,unknown,92,C,high,13,Z,,463,X,high,102,Y,low,338,X,medium,140
492,A,low,67,,low,66,D,high,35,Z,medium,360,X,medium,35,Y,high,374,X,high,316
493,B,medium,7,B,medium,58,A,unknown,73,X,high,453,Y,high,,Y,,141,X,low,131
494,,high,84,C,low,,,medium,,Y,medium,434,Z,low,423,X,high,474,X,,290
495,B,unknown,3,C,,60,C,,,X,high,179,X,high,464,Y,low,126,Y,high,348
496,,unknown,,A,,,D,,34,Y,medium,279,Y,medium,,Z,high,251,Z,medium,378
497,C,high,46,D,low,97,B,low,,X,high,99,Z,high,401,Y,high,18,Z,,
498,C,low,,C,,19,D,high,68,Z,low,,,low,281,X,high,443,Y,medium,307
499,D,,95,A,high,66,A,medium,66,Z,low,483,Y,low,147,Z,low,352,X,low,420
500,,low,,C,unknown,73,,unknown,43,Z,low,443,X,medium,334,Y,low,81,Y,low,420
501,B,low,,C,,,D,unknown,,X,high,371,Z,medium,476,X,medium,331,X,medium,373
502,D,high,57,D,medium,34,B,medium,,X,medium,424,Z,low,230,X,low,91,X,medium,199
503,,,,,high,86,C,high,65,Z,low,397,Z,medium,14,X,low,222,Z,high,265
504,,low,72,B,high,48,A,,81,X,low,114,Z,medium,421,X,high,256,,low,483
505,B,low,88,A,high,38,C,medium,,Y,medium,131,Y,low,94,,high,465,Y,low,124
506,A,high,,C,low,15,C,unknown,85,Z,low,265,Y,medium,91,X,high,166,Y,low,346
507,,medium,,,,32,,medium,,Y,,,Z,high,308,X,high,6,X,medium,396
508,,high,51,B,,97,A,,,X,high,368,,low,399,X,low,216,Y,high,240
509,A,medium,,,unknown,,,high,95,Z,high,368,X,high,396,X,high,463,Y,high,432
510,C,high,,C,unknown,,,unknown,56,Z,low,488,X,medium,433,X,,399,Z,low,214
511,A,,,B,high,,D,high,27,X,medium,394,Y,low,441,Y,medium,29,Y,medium,418
512,C,,70,,high,,A,unknown,60,Y,medium,,X,high,64,X,low,26,X,high,322
513,,medium,51,B,,66,C,medium,62,Y,medium,170,Y,high,150,Z,low,378,Z,low,25
514,,high,,,unknown,37,D,medium,,Y,medium,163,Y,high,360,Y,high,360,X,high,411
515,B,high,42,B,medium,84,C,medium,20,Z,low,316,,high,,X,low,278,X,low,348
516,,high,49,D,medium,42,B,low,,Z,low,171,Y,low,357,Y,high,44,Y,low,111
517,,,,C,high,85,A,,54,X,medium,489,X,low,227,X,high,140,Z,low,351
518,A,low,55,C,,74,B,medium,14,Z,low,144,Z,,225,Z,medium,423,X,high,255
519,C,,79,,,77,A,unknown,77,Z,low,,Y,high,13,Y,low,69,X,high,471
520,C,high,2,C,high,92,A,unknown,,X,medium,408,X,low,304,Z,medium,100,X,high,152
521,A,high,75,A,high,79,B,,93,X,high,183,Y,low,431,Y,medium,226,Z,high,131
522,C,,50,,medium,,,medium,67,Y,medium,22,X,high,,X,medium,367,,high,29
523,A,,,B,high,52,A,high,33,Z,low,166,Y,,168,X,,414,Z,medium,393
524,A,high,47,C,,,,unknown,37,Z,high,179,Z,medium,338,Y,medium,295,X,high,492
525,D,,47,C,medium,6,,low,69,Y,high,306,X,low,99,Z,high,246,Z,low,344
526,D,,12,B,,59,,unknown,8,X,,355,Z,low,316,Y,low,192,X,medium,184
527,B,high,,B,,,,unknown,71,X,low,274,Y,medium,204,Z,medium,21,Z,high,439
528,D,medium,70,C,unknown,,D,unknown,55,Z,high,203,Z,high,463,Y,low,133,Z,high,126
529,D,high,,,high,10,C,low,22,Y,medium,251,Z,low,355,X,medium,107,Z,medium,346
530,,,9,A,unknown,50,A,unknown,89,Y,low,72,Z,low,36,Y,low,28,Z,low,298
531,A,unknown,21,B,,57,A,high,62,Z,low,90,X,medium,435,X,high,372,X,high,426
532,,,87,,unknown,10,C,high,16,X,low,305,Z,,362,Z,medium,176,Y,low,485
533,C,,,D,high,63,,low,65,X,medium,432,Y,,107,X,,254,X,high,179
534,,low,50,,unknown,16,,medium,41,Z,medium,261,Z,medium,141,Y,low,100,Y,high,47
535,,,,D,unknown,14,D,medium,76,X,,30,Z,high,86,Y,medium,295,Y,high,78
536,B,unknown,,C,unknown,40,D,unknown,49,Z,low,490,Y,medium,155,Y,high,67,Z,low,369
537,A,,85,B,,,C,,99,Z,medium,162,,high,471,Y,high,338,Y,low,181
538,D,,89,,high,91,C,,92,X,medium,374,,high,451,Z,low,369,Z,medium,69
539,,low,28,D,unknown,,D,,4,Y,high,,X,medium,275,Z,medium,155,X,medium,407
540,,unknown,58,A,medium,,A,low,,Z,high,493,Z,low,181,X,low,106,X,medium,324
541,D,,,A,low,73,C,unknown,,Y,low,58,Y,medium,,Z,medium,390,Z,low,65
542,,,,B,unknown,,,unknown,,X,,93,X,medium,478,Z,low,111,,medium,356
543,,high,0,A,high,98,A,medium,14,X,medium,322,X,,99,,low,89,Z,high,318
544,A,medium,97,D,,74,A,high,53,X,medium,380,Z,medium,378,,high,170,Y,high,492
545,,high,35,D,high,,B,unknown,15,X,,,Z,medium,497,Z,,483,Z,medium,493
546,,,,C,low,94,B,high,,X,medium,275,Z,low,427,X,high,231,Y,low,487
547,B,low,61,,medium,10,D,high,45,X,low,79,,medium,359,Z,high,131,Y,low,447
548,C,,78,A,medium,45,B,low,99,Z,medium,356,X,,449,Z,medium,256,Z,low,
549,B,,,C,,,C,,87,Y,high,334,Y,high,108,X,low,174,Z,,335
550,D,unknown,,B,unknown,0,,,,X,low,233,X,high,,Z,high,332,X,high,
551,D,low,89,B,high,45,D,high,,X,high,318,X,high,,Z,low,219,Z,medium,396
552,,unknown,93,B,low,68,C,unknown,,X,low,106,X,,6,,,294,Y,high,482
553,D,high,15,,medium,79,D,,66,X,high,405,Y,low,99,Z,high,218,Z,low,58
554,C,,90,C,low,41,C,high,13,Z,medium,22,X,high,,X,medium,,Y,high,68
555,B,unknown,90,A,unknown,86,A,,,X,medium,419,X,low,123,Z,low,223,Z,low,249
556,C,low,,C,medium,67,C,,99,Y,low,419,X,low,316,Z,medium,196,Y,low,146
557,D,low,21,D,,4,B,low,,Y,high,343,Z,low,55,X,high,481,X,high,265
558,,unknown,,A,medium,27,B,high,1,X,medium,407,Y,medium,348,Y,medium,132,Z,high,155
559,,low,99,D,low,93,C,medium,,X,medium,456,Y,low,114,Y,,402,X,medium,391
560,,,,C,unknown,0,B,unknown,,X,medium,81,Y,medium,261,X,medium,354,Y,medium,449
561,A,,,B,high,10,A,unknown,,X,medium,272,Y,low,58,Z,medium,263,Z,high,141
562,,unknown,19,C,medium,34,,unknown,63,Z,medium,322,Y,low,485,Y,low,158,Z,high,386
563,C,,8,,,99,C,unknown,35,Z,,471,Z,medium,188,X,low,241,Z,low,53
564,,high,25,D,high,,,medium,35,Y,low,368,Z,medium,302,Y,high,,,low,398
565,D,low,6,A,low,,,,,Z,low,297,X,medium,243,X,medium,90,Z,low,
566,D,,19,A,,39,C,high,85,Z,high,278,,medium,297,X,high,293,X,medium,355
567,,,7,C,,93,C,,49,Z,high,71,X,medium,227,,medium,,Z,low,
568,,low,76,B,low,21,D,medium,31,X,medium,158,X,low,36,Z,,316,X,medium,53
569,,high,58,A,high,57,B,high,,Z,medium,216,Y,medium,414,X,medium,72,Z,low,421
570,D,low,51,B,unknown,46,,,1,,low,440,Y,high,321,X,medium,254,Y,medium,54
571,,medium,80,C,,,,unknown,48,Y,low,430,Z,low,126,Z,high,91,Z,high,240
572,C,,41,,high,75,,low,55,Z,high,321,Z,low,42,Y,high,464,Y,low,87
573,D,high,40,D,,83,,medium,67,Y,medium,52,,high,443,X,high,175,Z,low,423
574,D,,20,B,unknown,11,D,,80,X,low,,Y,medium,166,Z,high,210,Z,,287
575,A,low,,A,high,,D,,36,X,high,229,Z,low,454,X,low,428,,low,253
576,A,unknown,,,high,,D,high,,X,medium,326,Z,high,382,X,high,213,X,,158
577,B,high,58,D,unknown,,,low,,X,,216,Y,low,479,Y,high,96,Y,high,391
578,,,,A,unknown,66,D,medium,76,Y,high,360,Y,medium,329,,medium,446,Y,medium,105
579,C,,53,B,,63,,unknown,,,high,108,,medium,90,Y,low,323,X,low,360
580,,,29,,high,37,D,medium,3,Y,low,72,X,low,17,Y,low,302,X,medium,484
581,B,high,,C,low,,B,medium,,Y,medium,109,Y,high,122,X,high,37,X,high,133
582,A,high,82,B,unknown,,,low,,X,low,461,Z,medium,219,,high,224,Z,low,343
583,A,,,,unknown,82,B,,,Y,high,,X,low,311,Z,low,229,Y,high,154
584,A,medium,25,,medium,89,A,low,50,Z,high,142,Z,high,447,Y,medium,131,Z,high,464
585,,unknown,71,,high,29,C,medium,46,X,medium,171,X,medium,70,X,medium,282,Z,low,449
586,C,,,A,,,A,high,37,,low,418,X,high,317,Z,low,122,,medium,156
587,B,,,,,32,A,,41,Z,high,179,Z,high,42,X,medium,235,Z,low,
588,B,medium,31,C,,3,,,1,Y,medium,446,Y,low,240,Z,high,400,X,medium,41
589,B,unknown,35,A,unknown,16,,medium,10,,low,494,Y,high,36,Z,low,367,Y,high,348
590,C,medium,,B,unknown,30,A,low,75,X,medium,325,,low,186,,high,139,Z,high,459
591,D,low,1,A,low,98,D,medium,36,Z,medium,171,Y,,303,X,high,,,low,72
592,,high,,D,unknown,20,D,,,Y,low,299,Y,medium,369,Y,medium,2,Z,medium,408
593,C,unknown,12,,,50,D,medium,39,,high,334,Z,medium,402,Z,low,172,Y,low,377
594,,low,,D,low,,B,medium,99,Y,high,54,Y,low,,Y,low,9,,low,235
595,C,medium,55,,,35,A,medium,,Z,low,416,X,low,129,X,low,64,Z,high,111
596,A,medium,,,high,91,,,18,,high,218,X,high,456,Z,medium,489,,,326
597,,low,34,B,unknown,9,C,high,58,,medium,422,Y,high,466,X,medium,427,Y,medium,297
598,A,high,77,,low,87,A,high,,Y,,305,Y,high,483,Z,low,279,Y,high,405
599,B,medium,,,,74,D,unknown,14,Z,high,430,,medium,395,Z,medium,387,X,high,282
600,,low,1,A,,,B,high,,Z,medium,40,X,high,388,Y,high,244,Y,low,24
601,,medium,,D,medium,76,,high,,Y,high,21,X,low,38,X,low,300,Y,low,101
