id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2
802,C.A. 31921,26.25,,S,,
803,113760,120,B96 B98,S,51,
804,2625,8.5167,,C,91,C
805,347089,6.975,,S,,C
806,347063,7.775,,S,,
807,112050,0,A36,S,,D
808,347087,7.775,,S,11,D
809,248723,13,,S,,A
810,113806,53.1,E8,S,99,D
811,3474,7.8875,,S,4,A
812,A/4 48871,24.15,,S,87,
813,28206,10.5,,S,68,
814,347082,31.275,,S,28,B
815,364499,8.05,,S,,
816,112058,0,B102,S,83,B
817,STON/O2. 3101290,7.925,,S,4,C
818,S.C./PARIS 2079,37.0042,,C,10,A
819,C 7075,6.45,,S,66,C
820,347088,27.9,,S,99,B
821,12749,93.5,B69,S,,C
822,315098,8.6625,,S,66,D
823,19972,0,,S,13,
824,392096,12.475,E121,S,65,
825,3101295,39.6875,,S,62,B
826,368323,6.95,,Q,9,
827,1601,56.4958,,S,68,B
828,S.C./PARIS 2079,37.0042,,C,89,A
829,367228,7.75,,Q,,C
830,113572,80,B28,,2,B
831,2659,14.4542,,C,,A
832,29106,18.75,,S,,A
833,2671,7.2292,,C,45,
834,347468,7.8542,,S,14,D
835,2223,8.3,,S,85,
836,PC 17756,83.1583,E49,C,77,A
837,315097,8.6625,,S,80,B
838,392092,8.05,,S,19,D
839,1601,56.4958,,S,1,C
840,11774,29.7,C47,C,91,A
841,SOTON/O2 3101287,7.925,,S,28,
842,S.O./P.P. 3,10.5,,S,65,B
843,113798,31,,C,90,D
844,2683,6.4375,,C,3,A
845,315090,8.6625,,S,0,D
846,C.A. 5547,7.55,,S,0,C
847,CA. 2343,69.55,,S,15,
848,349213,7.8958,,C,5,
849,248727,33,,S,81,
850,17453,89.1042,C92,C,60,D
851,347082,31.275,,S,,A
852,347060,7.775,,S,,B
853,2678,15.2458,,C,96,A
854,PC 17592,39.4,D28,S,23,A
855,244252,26,,S,,A
856,392091,9.35,,S,84,
857,36928,164.8667,,S,24,A
858,113055,26.55,E17,S,,
859,2666,19.2583,,C,66,A
860,2629,7.2292,,C,80,A
861,350026,14.1083,,S,96,D
862,28134,11.5,,S,92,A
863,17466,25.9292,D17,S,,
864,CA. 2343,69.55,,S,77,A
865,233866,13,,S,84,A
866,236852,13,,S,69,C
867,SC/PARIS 2149,13.8583,,C,81,D
868,PC 17590,50.4958,A24,S,,C
869,345777,9.5,,S,,C
870,347742,11.1333,,S,4,A
871,349248,7.8958,,S,45,D
872,11751,52.5542,D35,S,,A
873,695,5,B51 B53 B55,S,11,C
874,345765,9,,S,12,B
875,P/PP 3381,24,,C,69,D
876,2667,7.225,,C,50,B
877,7534,9.8458,,S,,
878,349212,7.8958,,S,74,
879,349217,7.8958,,S,54,C
880,11767,83.1583,C50,C,63,D
881,230433,26,,S,8,C
882,349257,7.8958,,S,85,
883,7552,10.5167,,S,,B
884,C.A./SOTON 34068,10.5,,S,,C
885,SOTON/OQ 392076,7.05,,S,81,B
886,382652,29.125,,Q,73,
887,211536,13,,S,5,B
888,112053,30,B42,S,19,A
889,W./C. 6607,23.45,,S,1,A
890,111369,30,C148,C,27,B
891,370376,7.75,,Q,,D
