id,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4
654,330919,7.8292,,Q,,A,low,25
655,365226,6.75,,Q,,A,high,1
656,S.O.C. 14879,73.5,,S,53,B,unknown,
657,349223,7.8958,,S,76,D,high,2
658,364849,15.5,,Q,63,C,high,79
659,29751,13,,S,,D,,51
660,35273,113.275,D48,C,28,,low,
661,PC 17611,133.65,,S,,,medium,81
662,2623,7.225,,C,73,A,,89
663,5727,25.5875,E58,S,3,A,low,12
664,349210,7.4958,,S,,C,low,
665,STON/O 2. 3101285,7.925,,S,,,,12
666,S.O.C. 14879,73.5,,S,69,D,unknown,68
667,234686,13,,S,50,D,high,56
668,312993,7.775,,S,86,C,high,8
669,A/5 3536,8.05,,S,91,B,,23
670,19996,52,C126,S,,A,low,53
671,29750,39,,S,,C,medium,
672,F.C. 12750,52,B71,S,61,C,,34
673,C.A. 24580,10.5,,S,,D,unknown,
674,244270,13,,S,9,C,,99
675,239856,0,,S,62,A,,76
676,349912,7.775,,S,,,medium,
677,342826,8.05,,S,58,,medium,
678,4138,9.8417,,S,,A,unknown,
679,CA 2144,46.9,,S,52,D,medium,51
680,PC 17755,512.3292,B51 B53 B55,C,93,A,unknown,44
681,330935,8.1375,,Q,72,,,83
682,PC 17572,76.7292,D49,C,13,D,,
683,6563,9.225,,S,95,,,
684,CA 2144,46.9,,S,95,A,medium,
685,29750,39,,S,16,D,,6
686,SC/Paris 2123,41.5792,,C,80,A,,69
687,3101295,39.6875,,S,,C,,65
688,349228,10.1708,,S,59,D,unknown,58
689,350036,7.7958,,S,44,C,low,5
690,24160,211.3375,B5,S,78,A,low,49
691,17474,57,B20,S,99,D,high,89
692,349256,13.4167,,C,79,A,medium,23
693,1601,56.4958,,S,,C,,69
694,2672,7.225,,C,94,,low,85
695,113800,26.55,,S,9,,,
696,248731,13.5,,S,25,,medium,51
697,363592,8.05,,S,72,A,medium,
698,35852,7.7333,,Q,59,D,high,69
699,17421,110.8833,C68,C,5,A,,
700,348121,7.65,F G63,S,9,,medium,
701,PC 17757,227.525,C62 C64,C,52,,low,
702,PC 17475,26.2875,E24,S,61,C,high,71
703,2691,14.4542,,C,16,C,low,24
704,36864,7.7417,,Q,17,C,medium,75
705,350025,7.8542,,S,,C,,54
706,250655,26,,S,56,D,low,93
707,223596,13.5,,S,,,medium,65
708,PC 17476,26.2875,E24,S,,D,,
709,113781,151.55,,S,47,D,unknown,97
710,2661,15.2458,,C,,D,unknown,99
711,PC 17482,49.5042,C90,C,,,low,74
712,113028,26.55,C124,S,,D,high,59
713,19996,52,C126,S,72,A,high,11
714,7545,9.4833,,S,76,D,medium,
715,250647,13,,S,,C,medium,47
716,348124,7.65,F G73,S,79,,,78
717,PC 17757,227.525,C45,C,51,C,medium,58
718,34218,10.5,E101,S,,B,low,43
719,36568,15.5,,Q,,,,
720,347062,7.775,,S,59,D,medium,
721,248727,33,,S,13,A,,
722,350048,7.0542,,S,93,B,low,
723,12233,13,,S,84,,low,
724,250643,13,,S,,,unknown,87
725,113806,53.1,E8,S,78,D,low,11
726,315094,8.6625,,S,11,A,high,40
727,31027,21,,S,,C,high,51
728,36866,7.7375,,Q,8,D,high,
729,236853,26,,S,48,D,unknown,16
730,STON/O2. 3101271,7.925,,S,65,A,,
731,24160,211.3375,B5,S,72,,,59
732,2699,18.7875,,C,41,,low,
733,239855,0,,S,,,,16
734,28425,13,,S,,B,high,42
735,233639,13,,S,20,,unknown,72
736,54636,16.1,,S,,,medium,73
737,W./C. 6608,34.375,,S,,B,,19
738,PC 17755,512.3292,B101,C,,,unknown,
739,349201,7.8958,,S,,,high,89
740,349218,7.8958,,S,89,A,unknown,22
741,16988,30,D45,S,81,A,,2
742,19877,78.85,C46,S,76,C,medium,95
743,PC 17608,262.375,B57 B59 B63 B66,C,,B,,52
744,376566,16.1,,S,27,,high,77
745,STON/O 2. 3101288,7.925,,S,79,D,low,32
746,WE/P 5735,71,B22,S,36,A,unknown,
747,C.A. 2673,20.25,,S,53,B,low,
748,250648,13,,S,31,C,medium,
749,113773,53.1,D30,S,31,D,,47
750,335097,7.75,,Q,,C,high,
751,29103,23,,S,,B,high,
752,392096,12.475,E121,S,14,,unknown,
753,345780,9.5,,S,,D,,91
754,349204,7.8958,,S,93,B,,
755,220845,65,,S,55,D,,
756,250649,14.5,,S,43,D,unknown,51
757,350042,7.7958,,S,73,,medium,
758,29108,11.5,,S,38,A,,82
759,363294,8.05,,S,,D,unknown,72
760,110152,86.5,B77,S,,A,,14
761,358585,14.5,,S,17,B,low,58
762,SOTON/O2 3101272,7.125,,S,55,,unknown,53
763,2663,7.2292,,C,,C,high,
764,113760,120,B96 B98,S,93,B,high,
765,347074,7.775,,S,36,C,unknown,
766,13502,77.9583,D11,S,78,,medium,
767,112379,39.6,,C,61,D,,51
768,364850,7.75,,Q,47,,high,
769,371110,24.15,,Q,,A,low,
770,8471,8.3625,,S,37,B,low,4
771,345781,9.5,,S,65,A,,35
772,350047,7.8542,,S,98,D,,
773,S.O./P.P. 3,10.5,E77,S,0,,high,
774,2674,7.225,,C,,B,medium,
775,29105,23,,S,,,low,
776,347078,7.75,,S,,,high,44
777,383121,7.75,F38,Q,42,B,unknown,75
778,364516,12.475,,S,11,,medium,33
779,36865,7.7375,,Q,,A,low,15
780,24160,211.3375,B3,S,85,B,,84
781,2687,7.2292,,C,87,B,,77
782,17474,57,B20,S,63,D,,
783,113501,30,D6,S,12,D,medium,
784,W./C. 6607,23.45,,S,,D,medium,77
785,SOTON/O.Q. 3101312,7.05,,S,,,low,74
786,374887,7.25,,S,58,,medium,
787,3101265,7.4958,,S,,B,unknown,
788,382652,29.125,,Q,68,B,medium,59
789,C.A. 2315,20.575,,S,,,high,
790,PC 17593,79.2,B82 B84,C,,D,low,77
791,12460,7.75,,Q,,A,low,46
792,239865,26,,S,45,B,high,90
793,CA. 2343,69.55,,S,,C,low,
794,PC 17600,30.6958,,C,,C,medium,
795,349203,7.8958,,S,43,B,medium,91
796,28213,13,,S,29,C,low,47
797,17465,25.9292,D17,S,96,,high,
798,349244,8.6833,,S,,A,unknown,
799,2685,7.2292,,C,31,,low,87
800,345773,24.15,,S,,C,unknown,75
801,250647,13,,S,1,,high,16
802,C.A. 31921,26.25,,S,,,,49
803,113760,120,B96 B98,S,51,,low,37
804,2625,8.5167,,C,91,C,unknown,64
805,347089,6.975,,S,,C,low,
806,347063,7.775,,S,,,,71
807,112050,0,A36,S,,D,high,74
808,347087,7.775,,S,11,D,medium,
809,248723,13,,S,,A,low,15
810,113806,53.1,E8,S,99,D,,62
811,3474,7.8875,,S,4,A,low,
812,A/4 48871,24.15,,S,87,,high,94
813,28206,10.5,,S,68,,unknown,77
814,347082,31.275,,S,28,B,medium,95
815,364499,8.05,,S,,,,53
816,112058,0,B102,S,83,B,low,93
817,STON/O2. 3101290,7.925,,S,4,C,,1
818,S.C./PARIS 2079,37.0042,,C,10,A,low,28
819,C 7075,6.45,,S,66,C,low,0
820,347088,27.9,,S,99,B,high,67
821,12749,93.5,B69,S,,C,,51
822,315098,8.6625,,S,66,D,,28
823,19972,0,,S,13,,,30
824,392096,12.475,E121,S,65,,,
825,3101295,39.6875,,S,62,B,high,18
826,368323,6.95,,Q,9,,,51
827,1601,56.4958,,S,68,B,unknown,61
828,S.C./PARIS 2079,37.0042,,C,89,A,,23
829,367228,7.75,,Q,,C,,22
830,113572,80,B28,,2,B,medium,
831,2659,14.4542,,C,,A,,
832,29106,18.75,,S,,A,high,25
833,2671,7.2292,,C,45,,unknown,37
834,347468,7.8542,,S,14,D,unknown,54
835,2223,8.3,,S,85,,medium,18
836,PC 17756,83.1583,E49,C,77,A,,56
837,315097,8.6625,,S,80,B,low,13
838,392092,8.05,,S,19,D,unknown,14
839,1601,56.4958,,S,1,C,low,23
840,11774,29.7,C47,C,91,A,,28
841,SOTON/O2 3101287,7.925,,S,28,,medium,2
842,S.O./P.P. 3,10.5,,S,65,B,unknown,96
843,113798,31,,C,90,D,,
844,2683,6.4375,,C,3,A,medium,
845,315090,8.6625,,S,0,D,,
846,C.A. 5547,7.55,,S,0,C,low,80
847,CA. 2343,69.55,,S,15,,,83
848,349213,7.8958,,C,5,,low,10
849,248727,33,,S,81,,,37
850,17453,89.1042,C92,C,60,D,medium,
851,347082,31.275,,S,,A,,57
852,347060,7.775,,S,,B,medium,0
853,2678,15.2458,,C,96,A,,
854,PC 17592,39.4,D28,S,23,A,low,
855,244252,26,,S,,A,,
856,392091,9.35,,S,84,,,38
857,36928,164.8667,,S,24,A,,
858,113055,26.55,E17,S,,,,30
859,2666,19.2583,,C,66,A,,29
860,2629,7.2292,,C,80,A,unknown,34
861,350026,14.1083,,S,96,D,high,30
862,28134,11.5,,S,92,A,,
863,17466,25.9292,D17,S,,,medium,4
864,CA. 2343,69.55,,S,77,A,high,27
865,233866,13,,S,84,A,,31
866,236852,13,,S,69,C,high,
867,SC/PARIS 2149,13.8583,,C,81,D,,87
868,PC 17590,50.4958,A24,S,,C,,67
869,345777,9.5,,S,,C,high,
870,347742,11.1333,,S,4,A,high,
871,349248,7.8958,,S,45,D,medium,
872,11751,52.5542,D35,S,,A,low,90
873,695,5,B51 B53 B55,S,11,C,low,45
874,345765,9,,S,12,B,,68
875,P/PP 3381,24,,C,69,D,medium,38
876,2667,7.225,,C,50,B,,49
877,7534,9.8458,,S,,,,48
878,349212,7.8958,,S,74,,,
879,349217,7.8958,,S,54,C,medium,
880,11767,83.1583,C50,C,63,D,high,73
881,230433,26,,S,8,C,,2
882,349257,7.8958,,S,85,,high,13
883,7552,10.5167,,S,,B,low,84
884,C.A./SOTON 34068,10.5,,S,,C,medium,56
885,SOTON/OQ 392076,7.05,,S,81,B,,
886,382652,29.125,,Q,73,,high,60
887,211536,13,,S,5,B,,
888,112053,30,B42,S,19,A,low,89
889,W./C. 6607,23.45,,S,1,A,,66
890,111369,30,C148,C,27,B,,
891,370376,7.75,,Q,,D,unknown,
