id,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol12,ExtraCol13,ExtraCol14,ExtraCol15,ExtraCol16,ExtraCol17
398,B,medium,53,C,,57,C,,,Y,low,406,X,,280,X
399,B,,,C,high,12,A,low,,X,,272,,high,20,Z
400,A,low,,,medium,,A,,36,Z,high,306,X,high,417,X
401,D,medium,20,,medium,79,A,high,87,Z,medium,344,Z,medium,214,X
402,,low,76,D,,,C,unknown,64,Z,medium,336,Y,low,109,Y
403,C,unknown,69,,,94,B,low,60,Y,medium,370,X,medium,227,Y
404,,,,C,,31,B,,,Y,low,15,Z,high,87,X
405,D,unknown,,D,unknown,94,C,low,50,X,low,214,Y,low,160,X
406,A,low,6,,,78,A,high,70,X,,419,X,medium,65,
407,,low,44,A,unknown,33,,unknown,,X,low,219,Y,medium,334,X
408,B,,,B,unknown,,,unknown,60,Y,medium,73,,,488,Z
409,,,11,D,medium,10,C,medium,17,Z,low,332,Z,medium,242,Y
410,B,medium,55,B,high,,,medium,67,Z,high,151,Y,medium,49,X
411,A,medium,,D,,20,C,,7,X,low,255,,high,37,
412,,,,,,26,,unknown,31,X,medium,258,X,high,416,Z
413,B,,,,high,41,A,,91,X,high,348,Z,medium,174,Y
414,A,low,8,B,medium,,C,low,,X,medium,464,Z,high,148,Z
415,,,67,C,high,80,A,unknown,90,Y,medium,346,Y,high,50,Z
416,A,low,33,,medium,69,B,,35,Z,,499,Y,medium,331,X
417,,low,,,high,15,,unknown,68,X,medium,9,Y,high,31,X
418,B,,19,C,medium,16,,low,70,Z,low,,X,medium,452,Z
419,,medium,97,,medium,,C,,,Y,medium,208,Z,medium,104,X
420,C,,25,D,,94,D,medium,,Y,medium,364,Z,low,34,Z
421,A,medium,68,D,,,C,high,96,Z,high,42,Z,high,,X
422,,medium,,B,,,B,medium,11,Z,medium,263,X,low,177,Z
423,D,medium,18,,low,14,A,medium,,,high,14,Z,high,348,Z
424,A,high,30,,low,23,C,medium,44,Y,low,332,,high,19,
425,B,,1,B,,,D,unknown,67,X,medium,108,Z,high,430,Z
426,A,low,,C,,20,B,,55,Z,medium,72,Z,low,154,
427,,medium,33,,low,61,,,,Z,high,39,Z,medium,378,Z
428,,low,49,A,unknown,92,,low,9,Z,medium,134,Z,high,467,Z
429,A,medium,15,B,,,C,high,51,Y,high,,X,medium,267,Y
430,A,,82,,high,60,C,high,83,X,low,492,X,medium,167,
431,B,medium,21,B,low,,A,high,,,high,40,X,medium,156,
432,C,low,,,unknown,,A,low,27,Y,high,489,Y,low,343,X
433,B,high,87,C,high,0,,unknown,86,Y,medium,293,Z,medium,2,Y
434,,low,71,,,11,B,unknown,35,X,low,161,,high,73,Y
435,,low,60,B,,,,unknown,56,Z,medium,471,Y,low,323,Y
436,D,,,A,medium,,B,unknown,,Y,high,120,Z,low,12,Y
437,A,unknown,,D,,32,,medium,52,X,medium,90,X,,144,Y
438,C,unknown,96,D,unknown,52,C,,,Y,low,114,,medium,,X
439,D,high,,D,,57,A,medium,,Z,medium,72,Y,low,125,Z
440,A,high,40,A,high,66,,,47,Y,high,242,X,medium,465,X
441,D,high,25,C,high,,,medium,,,low,70,Y,high,487,Y
442,,high,,,unknown,37,,high,65,Z,medium,111,Z,low,16,Z
443,B,high,97,D,medium,88,A,unknown,41,Y,medium,185,Z,low,87,Y
444,,unknown,69,,low,5,A,high,52,Y,high,,,low,453,Z
445,C,,3,C,,,C,unknown,,X,medium,429,Z,,16,Y
446,,low,46,A,high,95,,unknown,86,Z,medium,37,Y,high,243,X
447,,medium,,C,,17,A,low,12,Z,medium,315,X,,474,Z
448,C,unknown,,D,medium,99,,unknown,87,Y,medium,51,Z,low,294,X
449,D,medium,77,A,high,28,A,unknown,,X,medium,495,Y,low,153,Z
450,B,low,70,,,36,A,,,Y,low,138,Y,high,3,X
451,,unknown,6,,,,C,,2,Z,low,428,X,low,196,Z
452,B,high,55,A,unknown,94,A,,,X,high,388,,medium,270,X
453,D,,,,,,A,unknown,5,Y,medium,162,Z,medium,40,
454,D,medium,48,,high,16,D,,,Y,medium,161,Z,low,264,Y
455,,low,,B,,48,A,low,,Y,,158,X,medium,202,X
456,C,medium,,D,medium,15,C,low,76,Y,high,235,Z,low,162,X
457,D,medium,86,D,high,78,D,low,70,Z,high,221,Y,medium,486,
458,B,unknown,46,B,low,,D,,84,X,medium,328,X,low,446,Z
459,,,53,A,,49,D,unknown,0,Y,low,232,Y,high,347,Y
460,,low,62,,high,39,B,high,78,Z,high,,Y,high,295,X
461,A,,65,A,high,3,D,low,31,Z,low,233,Y,low,236,X
462,,unknown,63,D,medium,5,,,,Y,low,153,X,medium,35,X
463,A,medium,78,C,high,51,,medium,76,Z,,163,Y,medium,153,X
464,,medium,98,C,low,39,A,,68,X,medium,365,Z,low,5,Z
465,,high,82,A,high,12,C,,41,Y,medium,70,Z,high,183,Y
466,B,high,13,,unknown,13,D,medium,61,Z,low,143,Z,medium,236,Y
467,B,medium,,C,unknown,,,,46,Y,low,155,Y,low,305,X
468,B,unknown,,,unknown,,D,,62,Y,low,322,Z,medium,177,Y
469,B,high,50,B,,60,,medium,45,Y,medium,64,X,high,127,Y
470,B,low,52,,low,83,D,high,39,Y,low,,Z,medium,,X
471,C,,71,,high,6,C,,20,Z,medium,337,Y,high,75,Y
472,D,unknown,,B,low,,B,,38,Y,medium,463,Y,low,62,Y
473,C,medium,26,C,medium,,A,,,X,high,218,Y,high,348,Z
474,C,high,45,B,high,20,,unknown,87,X,high,491,,low,292,Y
475,D,,,,high,53,,,,Z,medium,303,X,medium,434,X
476,D,,31,C,high,,B,medium,18,Y,medium,387,Y,medium,369,
477,,unknown,2,,unknown,,C,low,50,X,low,121,Z,low,450,Y
478,C,low,97,,low,,,,,X,medium,457,Y,high,332,
479,A,high,,B,unknown,66,B,high,,X,medium,129,X,medium,420,Z
480,A,high,60,,,75,A,,32,X,low,68,Y,medium,84,Z
481,D,low,,A,medium,0,B,,4,Z,high,39,Z,medium,265,X
482,,,27,,medium,,A,,5,Y,low,327,Z,low,472,Y
483,D,,34,,high,50,A,low,,Y,low,314,X,medium,394,X
484,,medium,28,B,high,36,,high,72,X,high,99,Y,low,201,Z
485,D,,,,medium,,,unknown,86,Z,high,439,Z,high,463,X
486,C,low,15,B,low,,C,medium,49,Z,medium,138,X,high,156,Z
487,D,,,D,low,75,C,unknown,,Z,medium,304,X,high,11,X
488,A,,45,,medium,82,C,low,92,Y,high,261,X,low,398,Y
489,D,,53,B,,41,,,27,Y,low,296,Y,medium,206,X
490,A,,1,,high,93,A,unknown,15,X,medium,370,Y,medium,17,Z
491,B,,84,C,unknown,92,C,high,13,Z,,463,X,high,102,Y
492,A,low,67,,low,66,D,high,35,Z,medium,360,X,medium,35,Y
493,B,medium,7,B,medium,58,A,unknown,73,X,high,453,Y,high,,Y
494,,high,84,C,low,,,medium,,Y,medium,434,Z,low,423,X
495,B,unknown,3,C,,60,C,,,X,high,179,X,high,464,Y
496,,unknown,,A,,,D,,34,Y,medium,279,Y,medium,,Z
497,C,high,46,D,low,97,B,low,,X,high,99,Z,high,401,Y
498,C,low,,C,,19,D,high,68,Z,low,,,low,281,X
499,D,,95,A,high,66,A,medium,66,Z,low,483,Y,low,147,Z
500,,low,,C,unknown,73,,unknown,43,Z,low,443,X,medium,334,Y
501,B,low,,C,,,D,unknown,,X,high,371,Z,medium,476,X
502,D,high,57,D,medium,34,B,medium,,X,medium,424,Z,low,230,X
503,,,,,high,86,C,high,65,Z,low,397,Z,medium,14,X
504,,low,72,B,high,48,A,,81,X,low,114,Z,medium,421,X
505,B,low,88,A,high,38,C,medium,,Y,medium,131,Y,low,94,
506,A,high,,C,low,15,C,unknown,85,Z,low,265,Y,medium,91,X
507,,medium,,,,32,,medium,,Y,,,Z,high,308,X
508,,high,51,B,,97,A,,,X,high,368,,low,399,X
509,A,medium,,,unknown,,,high,95,Z,high,368,X,high,396,X
510,C,high,,C,unknown,,,unknown,56,Z,low,488,X,medium,433,X
511,A,,,B,high,,D,high,27,X,medium,394,Y,low,441,Y
512,C,,70,,high,,A,unknown,60,Y,medium,,X,high,64,X
513,,medium,51,B,,66,C,medium,62,Y,medium,170,Y,high,150,Z
514,,high,,,unknown,37,D,medium,,Y,medium,163,Y,high,360,Y
515,B,high,42,B,medium,84,C,medium,20,Z,low,316,,high,,X
516,,high,49,D,medium,42,B,low,,Z,low,171,Y,low,357,Y
517,,,,C,high,85,A,,54,X,medium,489,X,low,227,X
518,A,low,55,C,,74,B,medium,14,Z,low,144,Z,,225,Z
519,C,,79,,,77,A,unknown,77,Z,low,,Y,high,13,Y
520,C,high,2,C,high,92,A,unknown,,X,medium,408,X,low,304,Z
521,A,high,75,A,high,79,B,,93,X,high,183,Y,low,431,Y
522,C,,50,,medium,,,medium,67,Y,medium,22,X,high,,X
523,A,,,B,high,52,A,high,33,Z,low,166,Y,,168,X
524,A,high,47,C,,,,unknown,37,Z,high,179,Z,medium,338,Y
525,D,,47,C,medium,6,,low,69,Y,high,306,X,low,99,Z
526,D,,12,B,,59,,unknown,8,X,,355,Z,low,316,Y
527,B,high,,B,,,,unknown,71,X,low,274,Y,medium,204,Z
528,D,medium,70,C,unknown,,D,unknown,55,Z,high,203,Z,high,463,Y
529,D,high,,,high,10,C,low,22,Y,medium,251,Z,low,355,X
530,,,9,A,unknown,50,A,unknown,89,Y,low,72,Z,low,36,Y
531,A,unknown,21,B,,57,A,high,62,Z,low,90,X,medium,435,X
532,,,87,,unknown,10,C,high,16,X,low,305,Z,,362,Z
533,C,,,D,high,63,,low,65,X,medium,432,Y,,107,X
534,,low,50,,unknown,16,,medium,41,Z,medium,261,Z,medium,141,Y
535,,,,D,unknown,14,D,medium,76,X,,30,Z,high,86,Y
536,B,unknown,,C,unknown,40,D,unknown,49,Z,low,490,Y,medium,155,Y
537,A,,85,B,,,C,,99,Z,medium,162,,high,471,Y
538,D,,89,,high,91,C,,92,X,medium,374,,high,451,Z
539,,low,28,D,unknown,,D,,4,Y,high,,X,medium,275,Z
540,,unknown,58,A,medium,,A,low,,Z,high,493,Z,low,181,X
541,D,,,A,low,73,C,unknown,,Y,low,58,Y,medium,,Z
542,,,,B,unknown,,,unknown,,X,,93,X,medium,478,Z
543,,high,0,A,high,98,A,medium,14,X,medium,322,X,,99,
544,A,medium,97,D,,74,A,high,53,X,medium,380,Z,medium,378,
545,,high,35,D,high,,B,unknown,15,X,,,Z,medium,497,Z
546,,,,C,low,94,B,high,,X,medium,275,Z,low,427,X
547,B,low,61,,medium,10,D,high,45,X,low,79,,medium,359,Z
548,C,,78,A,medium,45,B,low,99,Z,medium,356,X,,449,Z
549,B,,,C,,,C,,87,Y,high,334,Y,high,108,X
550,D,unknown,,B,unknown,0,,,,X,low,233,X,high,,Z
551,D,low,89,B,high,45,D,high,,X,high,318,X,high,,Z
552,,unknown,93,B,low,68,C,unknown,,X,low,106,X,,6,
553,D,high,15,,medium,79,D,,66,X,high,405,Y,low,99,Z
554,C,,90,C,low,41,C,high,13,Z,medium,22,X,high,,X
555,B,unknown,90,A,unknown,86,A,,,X,medium,419,X,low,123,Z
556,C,low,,C,medium,67,C,,99,Y,low,419,X,low,316,Z
557,D,low,21,D,,4,B,low,,Y,high,343,Z,low,55,X
558,,unknown,,A,medium,27,B,high,1,X,medium,407,Y,medium,348,Y
559,,low,99,D,low,93,C,medium,,X,medium,456,Y,low,114,Y
560,,,,C,unknown,0,B,unknown,,X,medium,81,Y,medium,261,X
561,A,,,B,high,10,A,unknown,,X,medium,272,Y,low,58,Z
562,,unknown,19,C,medium,34,,unknown,63,Z,medium,322,Y,low,485,Y
563,C,,8,,,99,C,unknown,35,Z,,471,Z,medium,188,X
564,,high,25,D,high,,,medium,35,Y,low,368,Z,medium,302,Y
565,D,low,6,A,low,,,,,Z,low,297,X,medium,243,X
566,D,,19,A,,39,C,high,85,Z,high,278,,medium,297,X
567,,,7,C,,93,C,,49,Z,high,71,X,medium,227,
568,,low,76,B,low,21,D,medium,31,X,medium,158,X,low,36,Z
569,,high,58,A,high,57,B,high,,Z,medium,216,Y,medium,414,X
570,D,low,51,B,unknown,46,,,1,,low,440,Y,high,321,X
571,,medium,80,C,,,,unknown,48,Y,low,430,Z,low,126,Z
572,C,,41,,high,75,,low,55,Z,high,321,Z,low,42,Y
573,D,high,40,D,,83,,medium,67,Y,medium,52,,high,443,X
574,D,,20,B,unknown,11,D,,80,X,low,,Y,medium,166,Z
575,A,low,,A,high,,D,,36,X,high,229,Z,low,454,X
576,A,unknown,,,high,,D,high,,X,medium,326,Z,high,382,X
577,B,high,58,D,unknown,,,low,,X,,216,Y,low,479,Y
578,,,,A,unknown,66,D,medium,76,Y,high,360,Y,medium,329,
579,C,,53,B,,63,,unknown,,,high,108,,medium,90,Y
580,,,29,,high,37,D,medium,3,Y,low,72,X,low,17,Y
581,B,high,,C,low,,B,medium,,Y,medium,109,Y,high,122,X
582,A,high,82,B,unknown,,,low,,X,low,461,Z,medium,219,
583,A,,,,unknown,82,B,,,Y,high,,X,low,311,Z
584,A,medium,25,,medium,89,A,low,50,Z,high,142,Z,high,447,Y
585,,unknown,71,,high,29,C,medium,46,X,medium,171,X,medium,70,X
586,C,,,A,,,A,high,37,,low,418,X,high,317,Z
587,B,,,,,32,A,,41,Z,high,179,Z,high,42,X
588,B,medium,31,C,,3,,,1,Y,medium,446,Y,low,240,Z
589,B,unknown,35,A,unknown,16,,medium,10,,low,494,Y,high,36,Z
590,C,medium,,B,unknown,30,A,low,75,X,medium,325,,low,186,
591,D,low,1,A,low,98,D,medium,36,Z,medium,171,Y,,303,X
592,,high,,D,unknown,20,D,,,Y,low,299,Y,medium,369,Y
593,C,unknown,12,,,50,D,medium,39,,high,334,Z,medium,402,Z
594,,low,,D,low,,B,medium,99,Y,high,54,Y,low,,Y
595,C,medium,55,,,35,A,medium,,Z,low,416,X,low,129,X
596,A,medium,,,high,91,,,18,,high,218,X,high,456,Z
597,,low,34,B,unknown,9,C,high,58,,medium,422,Y,high,466,X
598,A,high,77,,low,87,A,high,,Y,,305,Y,high,483,Z
599,B,medium,,,,74,D,unknown,14,Z,high,430,,medium,395,Z
600,,low,1,A,,,B,high,,Z,medium,40,X,high,388,Y
601,,medium,,D,medium,76,,high,,Y,high,21,X,low,38,X
602,,unknown,2,,,42,A,high,73,X,high,55,X,high,,Z
603,,unknown,52,D,unknown,97,B,high,56,Z,high,437,Z,low,203,Z
604,A,high,87,A,unknown,3,,low,65,Y,medium,496,Y,medium,129,Y
605,A,medium,,D,medium,2,,medium,26,Y,,499,Z,medium,34,X
606,,unknown,,,,,C,,28,Z,high,166,Y,high,106,X
607,C,low,,B,high,93,D,low,63,Y,high,132,X,low,457,X
608,,high,78,A,low,6,C,unknown,35,Y,low,174,Y,medium,454,Y
609,D,,,,high,77,,,,X,medium,408,Z,low,371,Y
610,D,high,28,,unknown,93,C,,15,Z,medium,125,Y,low,50,Y
611,A,low,0,,,,,low,30,Y,medium,273,X,medium,343,Y
612,,high,44,B,low,86,,unknown,10,Z,medium,323,X,high,63,Y
613,B,high,61,,low,75,D,low,8,X,high,180,Z,low,341,X
614,A,unknown,,C,high,,C,,,Z,medium,236,X,,16,Y
615,,low,93,A,low,85,B,low,48,Y,high,332,Z,medium,142,Z
616,,,,,unknown,69,B,unknown,14,X,high,395,Z,high,61,Z
617,,unknown,78,B,low,1,,low,9,X,low,94,X,low,466,Z
618,B,,2,,low,,,unknown,87,X,medium,256,Y,low,284,Z
619,B,high,85,,medium,,A,high,51,X,medium,77,Y,high,461,X
620,A,low,75,A,unknown,,,low,71,Y,high,7,Z,low,10,X
621,B,high,,C,,,,,72,Z,medium,322,Z,,369,Y
622,A,,58,D,medium,,B,unknown,10,Z,medium,241,X,high,239,Y
623,D,,,D,high,29,,low,,Z,high,129,X,high,234,Z
624,,low,90,,,19,D,unknown,,Y,low,27,Z,low,436,Z
625,D,high,55,A,unknown,8,D,,44,Y,medium,472,Y,high,23,Z
626,,,,,low,63,,,86,X,,413,X,,472,X
627,D,medium,61,D,unknown,95,D,medium,,X,high,,Y,low,14,Z
628,C,,68,C,unknown,,D,,,Y,low,56,X,medium,181,Z
629,B,unknown,,C,,,D,medium,10,Z,high,7,X,low,69,Z
630,C,high,81,B,,,,unknown,61,X,low,108,Z,low,261,Y
631,B,,20,C,medium,17,B,,88,X,low,50,X,low,297,X
632,A,,89,A,unknown,21,,,57,X,high,229,Z,low,321,X
633,B,low,55,,unknown,28,D,unknown,80,X,medium,322,X,medium,399,Z
634,,high,32,,high,68,,medium,53,X,medium,97,X,high,375,Z
635,,high,,,,29,D,low,41,X,medium,198,Z,medium,474,
636,A,unknown,1,A,,82,,unknown,,X,high,269,X,low,224,Y
637,,unknown,74,A,high,36,C,,15,Y,low,158,Y,medium,87,Y
638,C,,37,,,10,A,,,Z,low,230,Y,high,77,X
639,,,84,D,unknown,9,B,,,X,medium,295,,high,137,Y
640,,medium,23,C,high,40,C,unknown,,X,high,476,Y,high,301,X
641,A,,92,,high,40,A,unknown,,Z,medium,155,,medium,27,Z
642,,high,94,B,low,,A,high,99,X,high,44,X,medium,477,Z
643,D,unknown,10,C,,47,C,,23,Z,high,434,X,low,494,X
644,C,,64,D,,16,A,medium,72,Y,high,288,X,medium,82,Z
645,,,93,B,,21,,high,87,Z,medium,236,Y,medium,390,Z
646,B,,32,C,high,56,B,unknown,83,X,medium,360,Y,low,,Y
647,A,unknown,,C,medium,33,,low,,,low,490,X,low,240,Y
648,A,high,,D,unknown,67,,,17,Y,low,63,X,high,367,X
649,A,low,47,D,,92,,high,46,X,,430,Z,low,287,Z
650,D,low,2,C,low,35,C,high,77,X,high,318,X,,161,X
651,C,unknown,84,C,,55,C,unknown,61,Z,high,292,Y,medium,281,Z
652,B,unknown,,D,medium,,B,,,X,medium,432,Z,low,67,Y
653,D,unknown,,,low,21,,low,21,Y,medium,152,Z,high,127,Z
654,A,low,25,,,51,D,low,65,Z,high,393,Z,high,486,Y
655,A,high,1,C,high,30,D,unknown,42,X,low,285,Y,high,92,Z
656,B,unknown,,C,,62,D,,,X,low,467,Y,low,299,Y
657,D,high,2,A,low,74,,high,93,Y,high,233,Z,,,Y
658,C,high,79,C,unknown,14,C,medium,0,X,medium,360,Z,low,232,Y
659,D,,51,,unknown,18,A,medium,23,Z,low,248,X,low,123,
660,,low,,,high,2,D,unknown,91,X,low,196,Z,,284,Y
661,,medium,81,C,low,1,A,,,X,,187,Z,high,278,
662,A,,89,,,,,,30,X,low,460,Z,low,308,Y
663,A,low,12,D,high,70,D,unknown,,X,medium,418,X,high,154,Y
664,C,low,,C,high,,,unknown,,X,high,112,Y,low,289,Y
665,,,12,B,,40,D,high,,Y,high,432,X,high,364,Y
666,D,unknown,68,D,unknown,,B,low,30,Y,high,291,X,medium,359,X
667,D,high,56,B,unknown,72,,high,53,Y,high,,Y,low,283,Z
668,C,high,8,B,high,80,A,high,,X,low,382,X,high,149,Y
669,B,,23,,,73,,high,,X,low,81,X,high,266,Z
670,A,low,53,D,high,,,low,79,X,low,436,X,high,268,Y
671,C,medium,,C,low,52,B,,62,X,high,227,,medium,475,Y
672,C,,34,,,52,A,unknown,,Z,medium,458,X,high,188,Y
673,D,unknown,,D,,64,A,medium,98,X,high,241,Z,high,,Z
674,C,,99,A,low,79,B,medium,,X,,42,Z,high,,X
675,A,,76,,high,,,low,89,Y,high,383,Z,medium,317,
676,,medium,,C,high,67,C,unknown,,X,medium,363,Z,low,213,X
677,,medium,,D,,83,A,low,92,Y,high,151,Y,medium,0,Z
678,A,unknown,,B,high,,,medium,78,Y,low,102,Y,medium,352,Y
679,D,medium,51,D,unknown,41,C,medium,21,,high,431,,low,368,Z
680,A,unknown,44,A,unknown,,B,,20,X,medium,389,Y,low,465,
681,,,83,D,medium,2,,,54,,low,148,Y,,251,X
682,D,,,A,,,D,unknown,50,Z,low,350,Y,,257,Y
683,,,,,,80,B,unknown,23,Y,,120,X,,104,X
684,A,medium,,,high,17,,high,26,X,low,90,Z,high,229,Y
685,D,,6,D,low,,B,low,89,Y,high,,,high,0,X
686,A,,69,D,,90,,unknown,,Y,low,416,Z,low,250,X
687,C,,65,,high,49,,medium,,Z,medium,459,X,low,,X
688,D,unknown,58,D,medium,48,B,,,Z,medium,230,Z,high,392,Y
689,C,low,5,B,high,42,A,medium,15,Y,medium,71,X,high,331,Z
690,A,low,49,C,low,37,,,,X,medium,271,X,medium,402,Y
691,D,high,89,A,medium,38,A,,,,high,340,,high,332,X
692,A,medium,23,A,high,55,C,,64,X,high,485,X,low,389,X
693,C,,69,A,high,,A,,,Z,high,56,X,medium,218,Z
694,,low,85,C,unknown,,A,,23,Y,,328,Z,medium,301,
695,,,,,unknown,86,D,medium,18,Y,high,256,X,low,319,Y
696,,medium,51,D,,11,A,unknown,,,,294,Z,high,286,Y
697,A,medium,,,low,30,B,,7,Y,high,46,X,medium,285,Y
698,D,high,69,C,,75,C,unknown,,Y,low,8,Y,low,390,Z
699,A,,,,low,54,B,medium,86,X,low,303,Y,low,119,Z
700,,medium,,B,,33,B,medium,30,Y,high,99,Z,,158,
701,,low,,A,low,31,,low,,X,high,306,Z,,259,Y
702,C,high,71,,,11,,,,X,low,13,Z,high,322,Z
703,C,low,24,C,low,,D,low,25,X,high,400,Z,low,257,Y
704,C,medium,75,,high,,C,medium,6,Y,low,166,X,medium,99,
705,C,,54,C,,41,D,unknown,,Z,low,,X,medium,411,Z
706,D,low,93,D,high,,C,high,2,X,high,172,Y,medium,272,X
707,,medium,65,C,high,27,,high,42,X,low,209,X,,216,Y
708,D,,,A,low,,,unknown,3,Y,low,265,Y,high,439,Y
709,D,unknown,97,B,,,C,unknown,,X,high,322,Y,high,218,
710,D,unknown,99,D,unknown,40,C,unknown,,X,medium,344,X,medium,80,Y
711,,low,74,A,high,25,D,,32,Y,medium,495,X,high,492,X
712,D,high,59,A,medium,63,,,,Y,high,89,Z,low,191,Y
713,A,high,11,D,unknown,54,B,,,X,low,435,Y,low,447,Y
714,D,medium,,,,57,A,,,X,high,300,Z,low,258,Y
715,C,medium,47,D,,,,high,,X,low,154,,low,121,Y
716,,,78,,low,72,,medium,36,Z,medium,458,Y,high,188,Z
717,C,medium,58,C,,,D,,,Y,low,353,Z,low,455,Z
718,B,low,43,C,,83,C,low,25,,low,92,X,,472,Z
719,,,,A,low,42,A,,,X,low,87,X,medium,68,X
720,D,medium,,,,40,C,medium,73,Z,medium,329,Z,high,493,Z
721,A,,,,,38,B,low,75,,high,364,Z,low,426,Z
722,B,low,,D,medium,42,,unknown,51,Z,low,22,X,high,323,Z
723,,low,,,low,66,B,medium,75,Z,medium,314,Y,medium,91,Z
724,,unknown,87,D,low,49,C,medium,59,Y,high,265,Y,low,293,Z
725,D,low,11,D,unknown,12,A,medium,,Z,high,,Z,low,212,Z
726,A,high,40,A,unknown,56,C,medium,35,Z,high,370,Y,high,62,Z
727,C,high,51,,,,D,unknown,51,Z,low,454,X,high,491,Y
728,D,high,,C,low,10,,high,,X,medium,17,Z,high,301,Y
729,D,unknown,16,C,,,A,low,76,X,medium,382,Z,medium,48,Y
730,A,,,D,,31,A,low,,Z,medium,166,Y,high,170,Z
731,,,59,,medium,,,,5,Z,low,276,Z,low,419,Y
732,,low,,,medium,17,D,,49,Y,low,438,X,low,221,
733,,,16,B,high,,D,,7,X,high,434,X,high,247,Z
734,B,high,42,D,,,,unknown,19,Y,low,112,Z,low,71,X
735,,unknown,72,D,,13,B,medium,37,Y,high,120,Y,medium,,Z
736,,medium,73,,unknown,,A,,0,Y,low,361,X,medium,488,Y
737,B,,19,C,unknown,31,B,low,22,Y,medium,,Z,low,476,Z
738,,unknown,,,medium,58,B,medium,54,,medium,306,X,high,47,X
739,,high,89,,,56,C,medium,37,Y,high,27,X,low,274,X
740,A,unknown,22,A,,,D,,89,Z,high,81,Y,high,340,Z
741,A,,2,C,medium,58,D,,9,X,low,374,Y,low,440,Z
742,C,medium,95,,unknown,56,,low,,Z,high,370,Z,,279,Y
743,B,,52,A,,8,A,high,59,Z,low,448,Y,low,434,Y
744,,high,77,,,,,medium,64,Y,high,266,X,medium,,Y
745,D,low,32,,,11,B,medium,67,Y,high,213,Z,low,7,Y
746,A,unknown,,A,,43,B,low,5,Y,low,56,Y,low,232,
747,B,low,,D,medium,36,C,low,79,Y,medium,390,,medium,132,Y
748,C,medium,,A,,,C,medium,33,Z,high,474,,high,377,Y
749,D,,47,C,unknown,,D,medium,65,,high,22,Y,high,168,X
750,C,high,,,unknown,,C,,,Y,medium,245,Y,high,203,Y
751,B,high,,B,low,41,,unknown,39,,low,177,X,high,267,Z
752,,unknown,,A,unknown,6,A,,70,Y,medium,372,Y,high,480,Z
753,D,,91,,,0,,medium,93,Y,high,381,Y,high,35,Y
754,B,,,A,,54,D,,87,Y,medium,108,Z,medium,276,Y
755,D,,,,medium,,D,high,,Y,low,476,Z,high,194,X
756,D,unknown,51,D,medium,54,B,medium,53,Y,low,68,Z,high,18,Y
757,,medium,,D,,72,,,52,Z,low,390,Y,medium,407,Y
758,A,,82,,unknown,75,A,,96,Z,medium,,Y,low,456,X
759,D,unknown,72,D,,87,A,medium,20,Z,,81,Y,low,86,X
760,A,,14,,,,C,,95,Y,medium,336,X,medium,379,Y
761,B,low,58,D,medium,88,C,low,64,Z,high,135,X,medium,350,Z
762,,unknown,53,,low,79,C,unknown,,Z,medium,137,Z,medium,352,Y
763,C,high,,,low,43,,,,X,medium,43,X,high,230,Z
764,B,high,,B,medium,50,B,medium,81,Z,medium,373,Z,,160,
765,C,unknown,,B,,61,A,high,,Z,medium,403,Z,medium,35,Z
766,,medium,,,,,,,,Y,high,252,Z,high,17,Z
767,D,,51,B,unknown,67,C,,,Z,low,387,X,high,88,Y
768,,high,,,unknown,58,B,medium,72,X,medium,174,Y,medium,263,Z
769,A,low,,A,high,52,C,unknown,91,Z,low,282,Z,medium,70,X
770,B,low,4,B,,,B,low,,Y,low,393,Y,low,343,X
771,A,,35,,unknown,68,C,unknown,,Z,low,215,Y,medium,309,Y
772,D,,,D,medium,93,B,high,4,Y,medium,308,Z,low,172,X
773,,high,,A,medium,97,B,low,63,Y,high,72,Z,medium,43,Z
774,B,medium,,C,low,82,A,low,,Y,high,253,X,medium,258,Z
775,,low,,D,high,29,C,high,96,Y,low,425,,low,411,X
776,,high,44,D,low,,D,,,Z,high,386,Y,high,196,Z
777,B,unknown,75,D,high,29,C,low,91,Z,low,150,Y,low,,X
778,,medium,33,A,,,,high,,X,low,272,Z,medium,143,X
779,A,low,15,B,low,,,unknown,0,Y,medium,309,X,medium,40,Z
780,B,,84,D,high,88,A,high,,X,high,469,X,,324,Z
781,B,,77,D,medium,68,D,high,63,X,medium,414,Z,medium,444,Z
782,D,,,C,medium,68,A,low,,Z,low,409,Y,low,441,Y
783,D,medium,,D,high,95,C,high,17,Z,medium,376,Z,low,479,Y
784,D,medium,77,C,,68,D,high,91,Z,low,179,X,high,53,X
785,,low,74,A,unknown,14,D,low,,Y,,188,Y,low,21,Z
786,,medium,,D,medium,,B,medium,41,Y,low,232,Y,medium,284,Z
787,B,unknown,,A,medium,35,D,,29,Z,medium,213,Z,low,475,Y
788,B,medium,59,B,unknown,63,,unknown,,X,low,478,X,medium,498,Z
789,,high,,A,low,63,A,low,,,high,437,X,medium,139,Y
790,D,low,77,C,,29,,high,11,,low,447,Y,medium,187,Z
791,A,low,46,A,unknown,,D,high,,Y,low,303,Y,high,332,Y
792,B,high,90,,medium,8,D,high,98,Y,high,95,Z,low,456,X
793,C,low,,D,low,29,D,high,23,X,high,71,Z,medium,87,Y
