id,ExtraCol19,ExtraCol20,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time,last_activity_ts,Headline_cnn,Description_cnn,Title_sc,Speaker (Party)(or nominated by)_sc,Speaker and title_sc,Statements_sc
159,,Z,high,78.0,Y,high,332.0,Y,medium,38.0,Z,high,235.0,X,high,339.0,Y,medium,258.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,19-04-2024,11:53:00,12:13:00,19-04-2024 12:04,Companies Pulling Russia,Help Russia,Senator,R,Senator John Neely Kennedy (LA),Chairman Ask Question
160,235.0,Z,high,27.0,,high,236.0,X,low,387.0,Y,medium,244.0,Z,medium,134.0,,medium,224.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,30-09-2024,20:07:00,22:43:00,30-09-2024 22:33,Companies Pulling Russia,Help Russia,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
161,341.0,,high,384.0,Y,low,399.0,Y,high,,Z,low,,,low,237.0,X,medium,219.0,COLDLINE,north_america,RARE_ACCESS,Europe West12 Sku_Id,15-03-2024,07:49:00,10:18:00,15-03-2024 10:15,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
162,327.0,X,high,304.0,Z,low,35.0,Z,medium,298.0,Y,low,,Y,,39.0,Y,high,366.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,09-08-2024,09:56:00,11:32:00,09-08-2024 11:30,Winter Olympics Don,Qualifying Winter Olympics,Senator,D,Senator Mazie Hirono (HI),Executive Privilege Limit
163,397.0,Y,,93.0,Z,medium,339.0,Y,low,59.0,Z,low,3.0,Z,medium,37.0,,medium,170.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,23-10-2024,08:51:00,12:02:00,23-10-2024 11:58,New Covid Lockdowns,Coronavirus Pandemic Late,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
164,371.0,X,low,,Z,medium,180.0,Y,low,42.0,X,low,440.0,X,high,264.0,X,medium,364.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,21-07-2024,09:47:00,11:30:00,21-07-2024 11:25,Cnnpolitics Polls Underestimating,Actor Bob Odenkirk,Senator,D,Senator Mazie Hirono (HI),Analyze Senator
165,17.0,X,medium,242.0,X,high,189.0,X,medium,334.0,X,low,103.0,X,medium,344.0,,medium,493.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,24-11-2024,19:54:00,21:44:00,24-11-2024 21:35,Assassination Question,2020 Presidential Election,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
166,309.0,Y,high,55.0,X,high,79.0,X,high,196.0,X,medium,355.0,Z,high,443.0,X,low,386.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,29-08-2024,17:57:00,21:54:00,29-08-2024 21:52,Assassination Question,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
167,487.0,,high,485.0,X,high,48.0,X,high,9.0,Z,low,355.0,Z,medium,241.0,Z,medium,464.0,NEARLINE,europe,OCCASIONAL_ACCESS,Europe West12 Sku_Id,20-01-2024,21:38:00,00:46:00,21-01-2024 00:44,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
168,279.0,X,medium,468.0,X,low,346.0,Y,low,340.0,Z,low,228.0,Z,medium,322.0,Z,medium,394.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,25-12-2024,06:50:00,10:42:00,25-12-2024 10:40,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
169,264.0,Z,,379.0,Z,medium,425.0,Z,medium,484.0,X,high,268.0,X,,430.0,Z,low,421.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,22-09-2024,14:18:00,14:46:00,22-09-2024 14:36,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Dick Durbin (IL),Senator Durbin White
170,303.0,X,low,404.0,Z,low,455.0,X,high,280.0,Y,medium,36.0,X,low,215.0,Y,high,19.0,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,10-03-2024,10:01:00,12:23:00,10-03-2024 12:15,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
171,279.0,Y,medium,273.0,X,medium,121.0,,medium,190.0,Y,high,450.0,Y,high,104.0,Z,high,176.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,18-10-2024,06:00:00,07:46:00,18-10-2024 07:36,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,R,Senator Thom Tillis (NC),Analyze Senator
172,200.0,Z,medium,401.0,Y,low,381.0,Z,low,421.0,Z,low,59.0,X,medium,412.0,X,low,136.0,COLDLINE,africa,RARE_ACCESS,Europe West12 Sku_Id,11-12-2024,09:18:00,13:17:00,11-12-2024 13:08,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Kamala Harris (CA),Analyze Senator
173,496.0,X,medium,264.0,X,high,55.0,Y,high,168.0,X,medium,329.0,Z,low,1.0,Z,low,431.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,18-10-2024,09:04:00,12:22:00,18-10-2024 12:12,Cnnpolitics Polls Underestimating,Actor Bob Odenkirk,Senator,D,Senator Dick Durbin (IL),Senator Durbin White
174,35.0,Y,low,83.0,X,medium,389.0,,,306.0,Y,,0.0,Z,medium,137.0,X,medium,114.0,NEARLINE,north_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,04-05-2024,10:07:00,12:53:00,04-05-2024 12:47,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
175,407.0,Z,low,83.0,Y,high,283.0,Y,medium,237.0,X,high,372.0,Z,medium,65.0,X,low,483.0,NEARLINE,europe,OCCASIONAL_ACCESS,Europe West12 Sku_Id,27-11-2024,12:43:00,13:53:00,27-11-2024 13:48,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Dick Durbin (IL),Executive Privilege Limit
176,79.0,Z,medium,427.0,X,low,430.0,Y,high,363.0,,medium,179.0,Z,high,321.0,X,low,349.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,10-10-2024,20:23:00,22:44:00,10-10-2024 22:43,Cnnpolitics Polls Underestimating,Hold Fastest Marathon,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
177,103.0,Z,medium,223.0,Z,high,33.0,Z,medium,258.0,Z,high,,X,medium,134.0,,medium,61.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,03-08-2024,06:57:00,08:32:00,03-08-2024 08:28,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
178,303.0,Y,high,364.0,Z,medium,388.0,Y,low,240.0,Z,high,11.0,,medium,172.0,X,high,,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,12-04-2024,12:33:00,14:02:00,12-04-2024 13:58,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Kamala Harris (CA),Analyze Senator
179,318.0,Z,low,72.0,Y,low,233.0,Z,high,210.0,Z,low,109.0,X,low,326.0,X,low,171.0,COLDLINE,oceania,RARE_ACCESS,Europe West12 Sku_Id,07-03-2024,12:58:00,13:39:00,07-03-2024 13:29,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
180,463.0,Y,medium,223.0,X,,284.0,Z,low,147.0,Z,low,217.0,X,medium,148.0,X,medium,148.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,31-03-2024,17:11:00,18:28:00,31-03-2024 18:25,Cnnpolitics Polls Underestimating,Actor Bob Odenkirk,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
181,147.0,Y,high,41.0,Y,low,269.0,X,low,243.0,Z,low,358.0,X,low,181.0,X,medium,497.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,22-02-2024,06:08:00,08:36:00,22-02-2024 08:35,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
182,12.0,Z,low,110.0,Z,low,357.0,X,medium,30.0,Y,high,298.0,Z,medium,249.0,Z,low,,NEARLINE,oceania,OCCASIONAL_ACCESS,Europe West12 Sku_Id,23-01-2024,14:37:00,17:13:00,23-01-2024 17:05,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Sheldon Whitehouse (RI),Chairman Ask Question
183,127.0,Z,low,,X,low,299.0,,,169.0,X,high,130.0,Z,high,59.0,X,,381.0,STANDARD,europe,FREQUENT_ACCESS,Europe West12 Sku_Id,15-08-2024,20:32:00,21:07:00,15-08-2024 20:58,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Executive Privilege Limit
184,272.0,Y,low,104.0,Z,high,207.0,Y,medium,38.0,Z,medium,297.0,Y,high,467.0,X,medium,155.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,05-09-2024,15:01:00,16:25:00,05-09-2024 16:21,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Patrick Leahy (VT),Judge Senator Leahy
185,178.0,Z,medium,303.0,X,high,217.0,Y,medium,161.0,,high,111.0,X,low,490.0,X,low,331.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,19-05-2024,15:50:00,18:25:00,19-05-2024 18:18,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
186,126.0,Y,high,2.0,X,medium,35.0,Y,high,175.0,,high,277.0,,medium,,Y,high,171.0,NEARLINE,north_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,13-05-2024,19:24:00,21:46:00,13-05-2024 21:43,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Patrick Leahy (VT),Judge Senator Leahy
187,457.0,X,medium,96.0,Y,high,362.0,Z,low,13.0,Z,low,270.0,Y,high,54.0,Z,low,301.0,ARCHIVE,south_america,ARCHIVE,Storage Johannesburg Original_Region,31-01-2024,15:17:00,16:34:00,31-01-2024 16:26,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
188,280.0,Y,medium,345.0,Y,low,352.0,Z,medium,148.0,Z,high,113.0,,,236.0,Y,medium,199.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,06-06-2024,09:24:00,12:43:00,06-06-2024 12:35,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Patrick Leahy (VT),Kavanaugh Dissents President
189,336.0,Z,high,74.0,X,low,283.0,Z,,335.0,Z,medium,100.0,Y,medium,177.0,X,low,304.0,NEARLINE,africa,OCCASIONAL_ACCESS,Europe West12 Sku_Id,29-06-2024,09:20:00,13:17:00,29-06-2024 13:14,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Mazie Hirono (HI),Chairman Ask Question
190,374.0,Y,medium,277.0,Z,low,360.0,X,low,484.0,Y,medium,259.0,X,medium,83.0,X,medium,372.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,28-12-2024,15:40:00,19:38:00,28-12-2024 19:30,Cnn Montana Nonprofit,2020 Presidential Election,Senator,D,Senator Patrick Leahy (VT),Judge Senator Leahy
191,204.0,Y,medium,433.0,Z,high,134.0,,,308.0,Z,low,293.0,Y,low,438.0,Z,medium,157.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,05-01-2024,15:25:00,18:17:00,05-01-2024 18:16,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
192,367.0,Z,high,390.0,Y,high,111.0,Z,high,355.0,X,high,489.0,Z,medium,207.0,Y,low,5.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,25-04-2024,16:05:00,18:16:00,25-04-2024 18:07,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Kavanaugh Dissents President
193,481.0,Z,low,61.0,Y,high,462.0,Z,high,334.0,X,medium,247.0,Y,low,326.0,Y,low,48.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,02-12-2024,08:46:00,11:34:00,02-12-2024 11:29,Cnnpolitics Polls Underestimating,Actor Bob Odenkirk,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
194,362.0,Y,high,73.0,X,high,,Y,low,472.0,Y,low,222.0,X,low,345.0,Z,high,453.0,NEARLINE,north_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,28-10-2024,13:43:00,14:05:00,28-10-2024 14:00,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Patrick Leahy (VT),Kavanaugh Dissents President
195,148.0,Z,low,352.0,Y,low,426.0,Y,high,470.0,X,medium,237.0,Y,low,159.0,Z,high,479.0,NEARLINE,europe,OCCASIONAL_ACCESS,Europe West12 Sku_Id,25-07-2024,19:29:00,23:00:00,25-07-2024 22:50,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
196,389.0,Y,medium,173.0,X,,26.0,Y,medium,57.0,Y,low,437.0,Y,high,174.0,X,low,,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,21-07-2024,13:44:00,15:07:00,21-07-2024 15:06,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Klobuchar Mr Chairman
197,,Y,low,,X,medium,274.0,Y,low,236.0,Y,low,153.0,Y,high,485.0,Z,,53.0,ARCHIVE,africa,ARCHIVE,Storage Johannesburg Original_Region,29-06-2024,21:35:00,23:23:00,29-06-2024 23:18,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Amy Klobuchar (MN),Executive Privilege Limit
198,36.0,Z,medium,238.0,Z,high,367.0,X,high,453.0,X,medium,190.0,Y,low,412.0,Z,high,293.0,COLDLINE,north_america,RARE_ACCESS,Europe West12 Sku_Id,15-02-2024,07:34:00,08:04:00,15-02-2024 07:54,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
199,222.0,X,medium,289.0,Y,high,18.0,Y,medium,440.0,Z,high,184.0,Y,low,250.0,Z,medium,216.0,COLDLINE,south_america,RARE_ACCESS,Europe West12 Sku_Id,31-05-2024,11:48:00,13:44:00,31-05-2024 13:43,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Amy Klobuchar (MN),Klobuchar Mr Chairman
200,,X,low,224.0,Z,medium,484.0,X,high,267.0,Y,low,311.0,X,medium,266.0,X,low,118.0,NEARLINE,europe,OCCASIONAL_ACCESS,Europe West12 Sku_Id,31-03-2024,11:16:00,14:16:00,31-03-2024 14:09,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
201,234.0,X,high,11.0,X,low,393.0,Z,low,221.0,Z,medium,349.0,Y,low,,Z,low,189.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,09-01-2024,20:28:00,21:38:00,09-01-2024 21:34,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,R,Senator John Cornyn (TX),Chairman Ask Question
202,130.0,Z,high,47.0,Y,high,,Z,low,29.0,X,low,240.0,X,medium,102.0,X,high,,ARCHIVE,south_america,ARCHIVE,Storage Johannesburg Original_Region,07-02-2024,15:09:00,15:48:00,07-02-2024 15:38,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
203,136.0,X,low,,X,high,253.0,X,high,238.0,Z,high,131.0,Y,medium,3.0,Y,low,498.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,18-02-2024,20:12:00,21:53:00,18-02-2024 21:49,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,R,Senator John Cornyn (TX),Analyze Senator
204,460.0,Z,medium,132.0,X,high,456.0,X,low,253.0,Z,high,344.0,Y,medium,402.0,X,high,436.0,ARCHIVE,north_america,ARCHIVE,Storage Johannesburg Original_Region,28-03-2024,11:05:00,11:31:00,28-03-2024 11:23,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
205,145.0,Z,high,408.0,,low,426.0,Y,medium,316.0,X,medium,137.0,Y,medium,470.0,Y,low,,ARCHIVE,asia,ARCHIVE,Storage Johannesburg Original_Region,21-11-2024,15:25:00,18:27:00,21-11-2024 18:18,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,R,Senator John Cornyn (TX),Analyze Senator
206,391.0,Z,high,485.0,,low,413.0,Z,medium,,Y,high,448.0,Y,medium,81.0,Z,high,250.0,NEARLINE,europe,OCCASIONAL_ACCESS,Europe West12 Sku_Id,16-11-2024,20:25:00,20:51:00,16-11-2024 20:49,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Dick Durbin (IL),Senator Durbin White
207,,Z,low,237.0,Y,high,491.0,X,,,,,312.0,Z,low,140.0,Y,low,264.0,NEARLINE,asia,OCCASIONAL_ACCESS,Europe West12 Sku_Id,30-08-2024,17:09:00,17:51:00,30-08-2024 17:43,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Richard Blumenthal (D-CT),Analyze Senator
208,53.0,Z,low,13.0,Z,high,372.0,Y,medium,484.0,X,medium,220.0,,high,176.0,Y,,146.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,23-10-2024,06:43:00,10:18:00,23-10-2024 10:14,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Dick Durbin (IL),Senator Durbin White
209,31.0,X,medium,35.0,Z,high,467.0,X,high,108.0,Z,low,116.0,Y,high,406.0,X,high,217.0,ARCHIVE,oceania,ARCHIVE,Storage Johannesburg Original_Region,30-06-2024,10:51:00,12:55:00,30-06-2024 12:45,Cnnpolitics Polls Underestimating,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
210,121.0,Z,medium,407.0,X,medium,476.0,Z,high,191.0,Z,high,378.0,Y,low,203.0,Z,high,190.0,COLDLINE,asia,RARE_ACCESS,Europe West12 Sku_Id,30-07-2024,06:58:00,08:18:00,30-07-2024 08:17,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,D,Senator Dick Durbin (IL),Executive Privilege Limit
211,420.0,X,,171.0,Y,high,9.0,Z,high,254.0,Z,low,304.0,Y,medium,21.0,Z,low,34.0,ARCHIVE,europe,ARCHIVE,Storage Johannesburg Original_Region,25-01-2024,16:13:00,18:51:00,25-01-2024 18:42,Cnnpolitics Polls Underestimating,2020 Presidential Election,Senator,R,Senator John Neely Kennedy (LA),Chairman Ask Question
212,227.0,Y,medium,440.0,Z,low,327.0,X,medium,146.0,Y,high,441.0,Y,low,292.0,X,medium,208.0,COLDLINE,europe,RARE_ACCESS,Europe West12 Sku_Id,08-04-2024,19:08:00,21:02:00,08-04-2024 20:56,New Covid Lockdowns,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
213,347.0,Z,medium,253.0,X,high,166.0,X,low,,Z,high,353.0,X,medium,73.0,X,low,,NEARLINE,north_america,OCCASIONAL_ACCESS,Europe West12 Sku_Id,30-04-2024,11:42:00,15:21:00,30-04-2024 15:17,Scammers Cnn Epik,Turned Movie Different,Senator,R,Senator John Neely Kennedy (LA),Chairman Ask Question
214,481.0,X,medium,439.0,Z,medium,247.0,X,low,305.0,Z,high,394.0,X,high,322.0,Y,low,152.0,COLDLINE,south_america,RARE_ACCESS,Europe West12 Sku_Id,27-08-2024,07:23:00,09:11:00,27-08-2024 09:09,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
215,24.0,X,medium,,Y,low,83.0,Z,medium,118.0,Z,medium,46.0,X,medium,428.0,Y,high,306.0,,,,,14-05-2024,17:22:00,19:10:00,14-05-2024 19:03,Scammers Cnn Epik,Point Tally Nba,Senator,R,Senator John Neely Kennedy (LA),Executive Privilege Limit
216,54.0,Z,high,429.0,X,high,337.0,Z,medium,439.0,Y,medium,12.0,X,high,33.0,X,high,356.0,,,,,24-08-2024,18:50:00,19:09:00,24-08-2024 19:06,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Executive Privilege Limit
217,460.0,,high,273.0,Z,medium,417.0,Y,low,396.0,Z,low,329.0,Z,medium,497.0,X,,23.0,,,,,13-11-2024,19:28:00,20:25:00,13-11-2024 20:24,Amid Inflation,Beating Forecasts Covid,Senator,R,Senator John Neely Kennedy (LA),Chairman Ask Question
218,283.0,X,high,218.0,Z,low,205.0,X,high,214.0,X,low,,X,low,331.0,X,high,171.0,,,,,08-08-2024,12:01:00,12:53:00,08-08-2024 12:47,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
219,308.0,X,low,264.0,X,high,349.0,Y,medium,231.0,Y,high,445.0,Z,high,25.0,Z,medium,15.0,,,,,31-08-2024,13:32:00,15:48:00,31-08-2024 15:44,Amid Inflation,Beating Forecasts Covid,Senator,R,Senator John Neely Kennedy (LA),Chairman Ask Question
220,170.0,X,medium,163.0,Z,,162.0,Z,high,474.0,X,low,441.0,Z,low,110.0,Y,medium,410.0,,,,,04-01-2024,06:55:00,10:34:00,04-01-2024 10:31,Amid Inflation,Help Russia,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
221,413.0,Y,low,301.0,Z,low,374.0,Z,medium,13.0,Y,high,292.0,X,medium,83.0,X,medium,463.0,,,,,24-03-2024,10:26:00,10:54:00,24-03-2024 10:48,Companies Pulling Russia,Help Russia,Senator,R,Senator John Neely Kennedy (LA),Analyze Senator
222,323.0,,high,385.0,Y,high,41.0,Y,medium,189.0,Z,high,364.0,,high,,X,high,231.0,,,,,18-04-2024,06:29:00,08:32:00,18-04-2024 08:31,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
223,128.0,Y,medium,405.0,Y,high,440.0,Z,low,30.0,X,low,210.0,Y,high,361.0,Z,low,472.0,,,,,18-03-2024,18:37:00,20:51:00,18-03-2024 20:46,Abortion Travel,Niger State Television,Senator,R,Senator John Neely Kennedy (LA),Chairman Ask Question
224,324.0,X,low,489.0,X,low,189.0,Z,low,69.0,,high,479.0,Y,low,186.0,Y,high,314.0,,,,,13-06-2024,16:16:00,20:09:00,13-06-2024 20:07,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
225,1.0,Z,high,,Y,medium,252.0,Z,medium,,X,low,17.0,Y,high,264.0,Y,,434.0,,,,,17-07-2024,08:11:00,10:06:00,17-07-2024 09:58,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Chris Coons (DE),Chairman Ask Question
226,120.0,Y,medium,384.0,Z,high,401.0,,medium,50.0,Z,low,146.0,Y,high,174.0,Y,high,473.0,,,,,24-09-2024,08:51:00,10:26:00,24-09-2024 10:25,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Analyze Senator
227,101.0,X,low,444.0,Z,low,14.0,X,high,478.0,Z,medium,348.0,Z,high,202.0,X,medium,293.0,,,,,01-05-2024,10:52:00,14:01:00,01-05-2024 13:58,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Chris Coons (DE),Chairman Ask Question
228,392.0,Y,low,8.0,Y,high,472.0,Y,medium,391.0,X,low,393.0,Y,,319.0,Z,medium,223.0,,,,,24-07-2024,20:26:00,21:23:00,24-07-2024 21:20,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
229,367.0,X,high,237.0,X,medium,307.0,Y,,320.0,X,low,121.0,X,,97.0,X,medium,370.0,,,,,21-08-2024,15:19:00,15:49:00,21-08-2024 15:40,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Chris Coons (DE),Chairman Ask Question
230,45.0,Y,low,350.0,Z,,487.0,Z,high,370.0,Z,medium,400.0,Y,low,379.0,Z,medium,85.0,,,,,11-05-2024,07:13:00,07:59:00,11-05-2024 07:56,Amid Inflation,2020 Presidential Election,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
231,453.0,Z,medium,228.0,Z,high,,Z,medium,92.0,Y,high,230.0,Z,medium,472.0,Y,low,148.0,,,,,18-08-2024,14:45:00,18:31:00,18-08-2024 18:26,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Chris Coons (DE),Executive Privilege Limit
232,,Y,high,50.0,X,medium,103.0,Z,high,58.0,Y,low,428.0,Z,low,487.0,X,high,274.0,,,,,22-10-2024,06:29:00,07:00:00,22-10-2024 06:54,Companies Pulling Russia,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Executive Privilege Limit
233,217.0,Z,low,327.0,Z,medium,291.0,Z,high,,X,,133.0,X,low,86.0,Y,medium,100.0,,,,,18-04-2024,12:05:00,12:56:00,18-04-2024 12:51,Amid Inflation,International Women,Senator,D,Senator Kamala Harris (CA),Chairman Ask Question
234,105.0,Z,low,203.0,,medium,285.0,Y,high,382.0,Z,medium,346.0,Y,high,205.0,X,low,248.0,,,,,17-06-2024,18:30:00,22:19:00,17-06-2024 22:09,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
235,210.0,Y,low,308.0,Z,medium,460.0,Z,low,152.0,X,low,103.0,Z,high,132.0,Z,high,427.0,,,,,05-09-2024,07:09:00,10:38:00,05-09-2024 10:37,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Kamala Harris (CA),Executive Privilege Limit
236,294.0,,high,0.0,Z,high,287.0,Y,medium,87.0,X,low,69.0,X,low,317.0,Y,medium,,,,,,07-07-2024,08:52:00,10:13:00,07-07-2024 10:04,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
237,315.0,Z,medium,5.0,Y,medium,203.0,Z,low,392.0,Y,medium,352.0,X,medium,162.0,Z,low,445.0,,,,,07-03-2024,21:48:00,01:42:00,08-03-2024 01:35,Amid Inflation,Beating Forecasts Covid,Senator,D,Senator Richard Blumenthal (D-CT),Senator Blumenthal Chair
238,173.0,Y,low,301.0,,medium,,,high,,Z,high,340.0,X,medium,197.0,X,medium,430.0,,,,,02-09-2024,20:24:00,00:24:00,03-09-2024 00:23,Amid Inflation,Beating Forecasts Covid,Chairman,R,Senator Chuck Grassley (IA),Chairman Grassley Appreciate
