id,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6
474,0,0,SC/AH Basle 541,13.7917,D,C,46,C,high,45,B,high
475,0,0,7553,9.8375,,S,,D,,,,high
476,0,0,110465,52,A14,S,78,D,,31,C,high
477,1,0,31027,21,,S,84,,unknown,2,,unknown
478,1,0,3460,7.0458,,S,1,C,low,97,,low
479,0,0,350060,7.5208,,S,,A,high,,B,unknown
480,0,1,3101298,12.2875,,S,,A,high,60,,
481,5,2,CA 2144,46.9,,S,,D,low,,A,medium
482,0,0,239854,0,,S,82,,,27,,medium
483,0,0,A/5 3594,8.05,,S,25,D,,34,,high
484,0,0,4134,9.5875,,S,79,,medium,28,B,high
485,1,0,11967,91.0792,B49,C,,D,,,,medium
486,3,1,4133,25.4667,,S,23,C,low,15,B,low
487,1,0,19943,90,C93,S,33,D,,,D,low
488,0,0,11771,29.7,B37,C,53,A,,45,,medium
489,0,0,A.5. 18509,8.05,,S,76,D,,53,B,
490,1,1,C.A. 37671,15.9,,S,,A,,1,,high
491,1,0,65304,19.9667,,S,93,B,,84,C,unknown
492,0,0,SOTON/OQ 3101317,7.25,,S,,A,low,67,,low
493,0,0,113787,30.5,C30,S,75,B,medium,7,B,medium
494,0,0,PC 17609,49.5042,,C,,,high,84,C,low
495,0,0,A/4 45380,8.05,,S,,B,unknown,3,C,
496,0,0,2627,14.4583,,C,41,,unknown,,A,
497,1,0,36947,78.2667,D20,C,,C,high,46,D,low
498,0,0,C.A. 6212,15.1,,S,37,C,low,,C,
499,1,2,113781,151.55,C22 C26,S,92,D,,95,A,high
500,0,0,350035,7.7958,,S,,,low,,C,unknown
501,0,0,315086,8.6625,,S,11,B,low,,C,
502,0,0,364846,7.75,,Q,65,D,high,57,D,medium
503,0,0,330909,7.6292,,Q,96,,,,,high
504,0,0,4135,9.5875,,S,86,,low,72,B,high
505,0,0,110152,86.5,B79,S,27,B,low,88,A,high
506,1,0,PC 17758,108.9,C65,C,,A,high,,C,low
507,0,2,26360,26,,S,,,medium,,,
508,0,0,111427,26.55,,S,,,high,51,B,
509,0,0,C 4001,22.525,,S,26,A,medium,,,unknown
510,0,0,1601,56.4958,,S,23,C,high,,C,unknown
511,0,0,382651,7.75,,Q,99,A,,,B,high
512,0,0,SOTON/OQ 3101316,8.05,,S,74,C,,70,,high
513,0,0,PC 17473,26.2875,E25,S,84,,medium,51,B,
514,1,0,PC 17603,59.4,,C,81,,high,,,unknown
515,0,0,349209,7.4958,,S,95,B,high,42,B,medium
516,0,0,36967,34.0208,D46,S,10,,high,49,D,medium
517,0,0,C.A. 34260,10.5,F33,S,,,,,C,high
518,0,0,371110,24.15,,Q,,A,low,55,C,
519,1,0,226875,26,,S,47,C,,79,,
520,0,0,349242,7.8958,,S,59,C,high,2,C,high
521,0,0,12749,93.5,B73,S,35,A,high,75,A,high
522,0,0,349252,7.8958,,S,,C,,50,,medium
523,0,0,2624,7.225,,C,19,A,,,B,high
524,0,1,111361,57.9792,B18,C,,A,high,47,C,
525,0,0,2700,7.2292,,C,,D,,47,C,medium
526,0,0,367232,7.75,,Q,,D,,12,B,
527,0,0,W./C. 14258,10.5,,S,,B,high,,B,
528,0,0,PC 17483,221.7792,C95,S,14,D,medium,70,C,unknown
529,0,0,3101296,7.925,,S,91,D,high,,,high
530,2,1,29104,11.5,,S,92,,,9,A,unknown
531,1,1,26360,26,,S,59,A,unknown,21,B,
532,0,0,2641,7.2292,,C,16,,,87,,unknown
533,1,1,2690,7.2292,,C,15,C,,,D,high
534,0,2,2668,22.3583,,C,,,low,50,,unknown
535,0,0,315084,8.6625,,S,57,,,,D,unknown
536,0,2,F.C.C. 13529,26.25,,S,15,B,unknown,,C,unknown
537,0,0,113050,26.55,B38,S,45,A,,85,B,
538,0,0,PC 17761,106.425,,C,11,D,,89,,high
539,0,0,364498,14.5,,S,,,low,28,D,unknown
540,0,2,13568,49.5,B39,C,2,,unknown,58,A,medium
541,0,2,WE/P 5735,71,B22,S,70,D,,,A,low
542,4,2,347082,31.275,,S,,,,,B,unknown
543,4,2,347082,31.275,,S,19,,high,0,A,high
544,1,0,2908,26,,S,17,A,medium,97,D,
545,1,0,PC 17761,106.425,C86,C,83,,high,35,D,high
546,0,0,693,26,,S,5,,,,C,low
547,1,0,2908,26,,S,42,B,low,61,,medium
548,0,0,SC/PARIS 2146,13.8625,,C,,C,,78,A,medium
549,1,1,363291,20.525,,S,51,B,,,C,
550,1,1,C.A. 33112,36.75,,S,68,D,unknown,,B,unknown
551,0,2,17421,110.8833,C70,C,80,D,low,89,B,high
552,0,0,244358,26,,S,,,unknown,93,B,low
553,0,0,330979,7.8292,,Q,82,D,high,15,,medium
554,0,0,2620,7.225,,C,,C,,90,C,low
555,0,0,347085,7.775,,S,,B,unknown,90,A,unknown
556,0,0,113807,26.55,,S,50,C,low,,C,medium
557,1,0,11755,39.6,A16,C,,D,low,21,D,
558,0,0,PC 17757,227.525,,C,,,unknown,,A,medium
559,1,1,110413,79.65,E67,S,79,,low,99,D,low
560,1,0,345572,17.4,,S,85,,,,C,unknown
561,0,0,372622,7.75,,Q,53,A,,,B,high
562,0,0,349251,7.8958,,S,4,,unknown,19,C,medium
563,0,0,218629,13.5,,S,49,C,,8,,
564,0,0,SOTON/OQ 392082,8.05,,S,18,,high,25,D,high
565,0,0,SOTON/O.Q. 392087,8.05,,S,88,D,low,6,A,low
566,2,0,A/4 48871,24.15,,S,23,D,,19,A,
567,0,0,349205,7.8958,,S,22,,,7,C,
568,0,4,349909,21.075,,S,24,,low,76,B,low
569,0,0,2686,7.2292,,C,64,,high,58,A,high
570,0,0,350417,7.8542,,S,,D,low,51,B,unknown
571,0,0,S.W./PP 752,10.5,,S,94,,medium,80,C,
572,2,0,11769,51.4792,C101,S,41,C,,41,,high
573,0,0,PC 17474,26.3875,E25,S,,D,high,40,D,
574,0,0,14312,7.75,,Q,4,D,,20,B,unknown
575,0,0,A/4. 20589,8.05,,S,0,A,low,,A,high
576,0,0,358585,14.5,,S,37,A,unknown,,,high
577,0,0,243880,13,,S,92,B,high,58,D,unknown
578,1,0,13507,55.9,E44,S,52,,,,A,unknown
579,1,0,2689,14.4583,,C,89,C,,53,B,
580,0,0,STON/O 2. 3101286,7.925,,S,10,,,29,,high
581,1,1,237789,30,,S,9,B,high,,C,low
582,1,1,17421,110.8833,C68,C,83,A,high,82,B,unknown
583,0,0,28403,26,,S,10,A,,,,unknown
584,0,0,13049,40.125,A10,C,5,A,medium,25,,medium
585,0,0,3411,8.7125,,C,40,,unknown,71,,high
586,0,2,110413,79.65,E68,S,92,C,,,A,
587,0,0,237565,15,,S,68,B,,,,
588,1,1,13567,79.2,B41,C,9,B,medium,31,C,
589,0,0,14973,8.05,,S,83,B,unknown,35,A,unknown
590,0,0,A./5. 3235,8.05,,S,84,C,medium,,B,unknown
591,0,0,STON/O 2. 3101273,7.125,,S,80,D,low,1,A,low
592,1,0,36947,78.2667,D20,C,90,,high,,D,unknown
593,0,0,A/5 3902,7.25,,S,23,C,unknown,12,,
594,0,2,364848,7.75,,Q,,,low,,D,low
595,1,0,SC/AH 29037,26,,S,,C,medium,55,,
596,1,1,345773,24.15,,S,80,A,medium,,,high
597,0,0,248727,33,,S,57,,low,34,B,unknown
598,0,0,LINE,0,,S,77,A,high,77,,low
599,0,0,2664,7.225,,C,,B,medium,,,
600,1,0,PC 17485,56.9292,A20,C,64,,low,1,A,
601,2,1,243847,27,,S,,,medium,,D,medium
602,0,0,349214,7.8958,,S,77,,unknown,2,,
603,0,0,113796,42.4,,S,73,,unknown,52,D,unknown
604,0,0,364511,8.05,,S,,A,high,87,A,unknown
605,0,0,111426,26.55,,C,82,A,medium,,D,medium
606,1,0,349910,15.55,,S,,,unknown,,,
607,0,0,349246,7.8958,,S,,C,low,,B,high
608,0,0,113804,30.5,,S,,,high,78,A,low
609,1,2,SC/Paris 2123,41.5792,,C,,D,,,,high
610,0,0,PC 17582,153.4625,C125,S,85,D,high,28,,unknown
611,1,5,347082,31.275,,S,83,A,low,0,,
612,0,0,SOTON/O.Q. 3101305,7.05,,S,,,high,44,B,low
613,1,0,367230,15.5,,Q,78,B,high,61,,low
614,0,0,370377,7.75,,Q,38,A,unknown,,C,high
615,0,0,364512,8.05,,S,68,,low,93,A,low
616,1,2,220845,65,,S,63,,,,,unknown
617,1,1,347080,14.4,,S,,,unknown,78,B,low
618,1,0,A/5. 3336,16.1,,S,26,B,,2,,low
619,2,1,230136,39,F4,S,6,B,high,85,,medium
620,0,0,31028,10.5,,S,13,A,low,75,A,unknown
621,1,0,2659,14.4542,,C,43,B,high,,C,
622,1,0,11753,52.5542,D19,S,47,A,,58,D,medium
623,1,1,2653,15.7417,,C,,D,,,D,high
624,0,0,350029,7.8542,,S,41,,low,90,,
625,0,0,54636,16.1,,S,60,D,high,55,A,unknown
626,0,0,36963,32.3208,D50,S,23,,,,,low
627,0,0,219533,12.35,,Q,33,D,medium,61,D,unknown
628,0,0,13502,77.9583,D9,S,36,C,,68,C,unknown
629,0,0,349224,7.8958,,S,50,B,unknown,,C,
630,0,0,334912,7.7333,,Q,36,C,high,81,B,
631,0,0,27042,30,A23,S,73,B,,20,C,medium
632,0,0,347743,7.0542,,S,32,A,,89,A,unknown
633,0,0,13214,30.5,B50,C,43,B,low,55,,unknown
634,0,0,112052,0,,S,37,,high,32,,high
635,3,2,347088,27.9,,S,,,high,,,
636,0,0,237668,13,,S,68,A,unknown,1,A,
637,0,0,STON/O 2. 3101292,7.925,,S,23,,unknown,74,A,high
638,1,1,C.A. 31921,26.25,,S,29,C,,37,,
639,0,5,3101295,39.6875,,S,79,,,84,D,unknown
640,1,0,376564,16.1,,S,94,,medium,23,C,high
641,0,0,350050,7.8542,,S,67,A,,92,,high
642,0,0,PC 17477,69.3,B35,C,91,,high,94,B,low
643,3,2,347088,27.9,,S,85,D,unknown,10,C,
644,0,0,1601,56.4958,,S,48,C,,64,D,
645,2,1,2666,19.2583,,C,,,,93,B,
646,1,0,PC 17572,76.7292,D33,C,32,B,,32,C,high
647,0,0,349231,7.8958,,S,,A,unknown,,C,medium
648,0,0,13213,35.5,A26,C,,A,high,,D,unknown
649,0,0,S.O./P.P. 751,7.55,,S,96,A,low,47,D,
650,0,0,CA. 2314,7.55,,S,84,D,low,2,C,low
651,0,0,349221,7.8958,,S,,C,unknown,84,C,
652,0,1,231919,23,,S,65,B,unknown,,D,medium
653,0,0,8475,8.4333,,S,20,D,unknown,,,low
654,0,0,330919,7.8292,,Q,,A,low,25,,
655,0,0,365226,6.75,,Q,,A,high,1,C,high
656,2,0,S.O.C. 14879,73.5,,S,53,B,unknown,,C,
657,0,0,349223,7.8958,,S,76,D,high,2,A,low
658,1,1,364849,15.5,,Q,63,C,high,79,C,unknown
659,0,0,29751,13,,S,,D,,51,,unknown
660,0,2,35273,113.275,D48,C,28,,low,,,high
661,2,0,PC 17611,133.65,,S,,,medium,81,C,low
662,0,0,2623,7.225,,C,73,A,,89,,
663,0,0,5727,25.5875,E58,S,3,A,low,12,D,high
664,0,0,349210,7.4958,,S,,C,low,,C,high
665,1,0,STON/O 2. 3101285,7.925,,S,,,,12,B,
666,2,0,S.O.C. 14879,73.5,,S,69,D,unknown,68,D,unknown
667,0,0,234686,13,,S,50,D,high,56,B,unknown
668,0,0,312993,7.775,,S,86,C,high,8,B,high
669,0,0,A/5 3536,8.05,,S,91,B,,23,,
670,1,0,19996,52,C126,S,,A,low,53,D,high
671,1,1,29750,39,,S,,C,medium,,C,low
672,1,0,F.C. 12750,52,B71,S,61,C,,34,,
673,0,0,C.A. 24580,10.5,,S,,D,unknown,,D,
674,0,0,244270,13,,S,9,C,,99,A,low
675,0,0,239856,0,,S,62,A,,76,,high
676,0,0,349912,7.775,,S,,,medium,,C,high
677,0,0,342826,8.05,,S,58,,medium,,D,
678,0,0,4138,9.8417,,S,,A,unknown,,B,high
679,1,6,CA 2144,46.9,,S,52,D,medium,51,D,unknown
680,0,1,PC 17755,512.3292,B51 B53 B55,C,93,A,unknown,44,A,unknown
681,0,0,330935,8.1375,,Q,72,,,83,D,medium
682,0,0,PC 17572,76.7292,D49,C,13,D,,,A,
683,0,0,6563,9.225,,S,95,,,,,
684,5,2,CA 2144,46.9,,S,95,A,medium,,,high
685,1,1,29750,39,,S,16,D,,6,D,low
686,1,2,SC/Paris 2123,41.5792,,C,80,A,,69,D,
687,4,1,3101295,39.6875,,S,,C,,65,,high
688,0,0,349228,10.1708,,S,59,D,unknown,58,D,medium
689,0,0,350036,7.7958,,S,44,C,low,5,B,high
690,0,1,24160,211.3375,B5,S,78,A,low,49,C,low
691,1,0,17474,57,B20,S,99,D,high,89,A,medium
692,0,1,349256,13.4167,,C,79,A,medium,23,A,high
693,0,0,1601,56.4958,,S,,C,,69,A,high
694,0,0,2672,7.225,,C,94,,low,85,C,unknown
695,0,0,113800,26.55,,S,9,,,,,unknown
696,0,0,248731,13.5,,S,25,,medium,51,D,
697,0,0,363592,8.05,,S,72,A,medium,,,low
698,0,0,35852,7.7333,,Q,59,D,high,69,C,
699,1,1,17421,110.8833,C68,C,5,A,,,,low
700,0,0,348121,7.65,F G63,S,9,,medium,,B,
701,1,0,PC 17757,227.525,C62 C64,C,52,,low,,A,low
702,0,0,PC 17475,26.2875,E24,S,61,C,high,71,,
703,0,1,2691,14.4542,,C,16,C,low,24,C,low
704,0,0,36864,7.7417,,Q,17,C,medium,75,,high
705,1,0,350025,7.8542,,S,,C,,54,C,
706,0,0,250655,26,,S,56,D,low,93,D,high
707,0,0,223596,13.5,,S,,,medium,65,C,high
708,0,0,PC 17476,26.2875,E24,S,,D,,,A,low
709,0,0,113781,151.55,,S,47,D,unknown,97,B,
710,1,1,2661,15.2458,,C,,D,unknown,99,D,unknown
711,0,0,PC 17482,49.5042,C90,C,,,low,74,A,high
712,0,0,113028,26.55,C124,S,,D,high,59,A,medium
713,1,0,19996,52,C126,S,72,A,high,11,D,unknown
714,0,0,7545,9.4833,,S,76,D,medium,,,
715,0,0,250647,13,,S,,C,medium,47,D,
716,0,0,348124,7.65,F G73,S,79,,,78,,low
717,0,0,PC 17757,227.525,C45,C,51,C,medium,58,C,
718,0,0,34218,10.5,E101,S,,B,low,43,C,
719,0,0,36568,15.5,,Q,,,,,A,low
720,0,0,347062,7.775,,S,59,D,medium,,,
721,0,1,248727,33,,S,13,A,,,,
722,1,0,350048,7.0542,,S,93,B,low,,D,medium
723,0,0,12233,13,,S,84,,low,,,low
724,0,0,250643,13,,S,,,unknown,87,D,low
725,1,0,113806,53.1,E8,S,78,D,low,11,D,unknown
726,0,0,315094,8.6625,,S,11,A,high,40,A,unknown
727,3,0,31027,21,,S,,C,high,51,,
728,0,0,36866,7.7375,,Q,8,D,high,,C,low
729,1,0,236853,26,,S,48,D,unknown,16,C,
730,1,0,STON/O2. 3101271,7.925,,S,65,A,,,D,
731,0,0,24160,211.3375,B5,S,72,,,59,,medium
732,0,0,2699,18.7875,,C,41,,low,,,medium
733,0,0,239855,0,,S,,,,16,B,high
734,0,0,28425,13,,S,,B,high,42,D,
735,0,0,233639,13,,S,20,,unknown,72,D,
736,0,0,54636,16.1,,S,,,medium,73,,unknown
737,1,3,W./C. 6608,34.375,,S,,B,,19,C,unknown
738,0,0,PC 17755,512.3292,B101,C,,,unknown,,,medium
739,0,0,349201,7.8958,,S,,,high,89,,
740,0,0,349218,7.8958,,S,89,A,unknown,22,A,
741,0,0,16988,30,D45,S,81,A,,2,C,medium
742,1,0,19877,78.85,C46,S,76,C,medium,95,,unknown
743,2,2,PC 17608,262.375,B57 B59 B63 B66,C,,B,,52,A,
744,1,0,376566,16.1,,S,27,,high,77,,
745,0,0,STON/O 2. 3101288,7.925,,S,79,D,low,32,,
746,1,1,WE/P 5735,71,B22,S,36,A,unknown,,A,
747,1,1,C.A. 2673,20.25,,S,53,B,low,,D,medium
748,0,0,250648,13,,S,31,C,medium,,A,
749,1,0,113773,53.1,D30,S,31,D,,47,C,unknown
750,0,0,335097,7.75,,Q,,C,high,,,unknown
751,1,1,29103,23,,S,,B,high,,B,low
752,0,1,392096,12.475,E121,S,14,,unknown,,A,unknown
753,0,0,345780,9.5,,S,,D,,91,,
754,0,0,349204,7.8958,,S,93,B,,,A,
755,1,2,220845,65,,S,55,D,,,,medium
756,1,1,250649,14.5,,S,43,D,unknown,51,D,medium
757,0,0,350042,7.7958,,S,73,,medium,,D,
758,0,0,29108,11.5,,S,38,A,,82,,unknown
759,0,0,363294,8.05,,S,,D,unknown,72,D,
760,0,0,110152,86.5,B77,S,,A,,14,,
761,0,0,358585,14.5,,S,17,B,low,58,D,medium
762,0,0,SOTON/O2 3101272,7.125,,S,55,,unknown,53,,low
763,0,0,2663,7.2292,,C,,C,high,,,low
764,1,2,113760,120,B96 B98,S,93,B,high,,B,medium
765,0,0,347074,7.775,,S,36,C,unknown,,B,
766,1,0,13502,77.9583,D11,S,78,,medium,,,
767,0,0,112379,39.6,,C,61,D,,51,B,unknown
768,0,0,364850,7.75,,Q,47,,high,,,unknown
769,1,0,371110,24.15,,Q,,A,low,,A,high
770,0,0,8471,8.3625,,S,37,B,low,4,B,
771,0,0,345781,9.5,,S,65,A,,35,,unknown
772,0,0,350047,7.8542,,S,98,D,,,D,medium
773,0,0,S.O./P.P. 3,10.5,E77,S,0,,high,,A,medium
774,0,0,2674,7.225,,C,,B,medium,,C,low
775,1,3,29105,23,,S,,,low,,D,high
776,0,0,347078,7.75,,S,,,high,44,D,low
777,0,0,383121,7.75,F38,Q,42,B,unknown,75,D,high
778,0,0,364516,12.475,,S,11,,medium,33,A,
779,0,0,36865,7.7375,,Q,,A,low,15,B,low
780,0,1,24160,211.3375,B3,S,85,B,,84,D,high
781,0,0,2687,7.2292,,C,87,B,,77,D,medium
782,1,0,17474,57,B20,S,63,D,,,C,medium
783,0,0,113501,30,D6,S,12,D,medium,,D,high
784,1,2,W./C. 6607,23.45,,S,,D,medium,77,C,
785,0,0,SOTON/O.Q. 3101312,7.05,,S,,,low,74,A,unknown
786,0,0,374887,7.25,,S,58,,medium,,D,medium
787,0,0,3101265,7.4958,,S,,B,unknown,,A,medium
788,4,1,382652,29.125,,Q,68,B,medium,59,B,unknown
789,1,2,C.A. 2315,20.575,,S,,,high,,A,low
790,0,0,PC 17593,79.2,B82 B84,C,,D,low,77,C,
791,0,0,12460,7.75,,Q,,A,low,46,A,unknown
792,0,0,239865,26,,S,45,B,high,90,,medium
793,8,2,CA. 2343,69.55,,S,,C,low,,D,low
794,0,0,PC 17600,30.6958,,C,,C,medium,,,medium
795,0,0,349203,7.8958,,S,43,B,medium,91,,unknown
796,0,0,28213,13,,S,29,C,low,47,D,unknown
797,0,0,17465,25.9292,D17,S,96,,high,,B,unknown
798,0,0,349244,8.6833,,S,,A,unknown,,C,
799,0,0,2685,7.2292,,C,31,,low,87,,
800,1,1,345773,24.15,,S,,C,unknown,75,A,medium
801,0,0,250647,13,,S,1,,high,16,A,
802,1,1,C.A. 31921,26.25,,S,,,,49,A,unknown
803,1,2,113760,120,B96 B98,S,51,,low,37,D,
804,0,1,2625,8.5167,,C,91,C,unknown,64,D,unknown
805,0,0,347089,6.975,,S,,C,low,,,
806,0,0,347063,7.775,,S,,,,71,,
807,0,0,112050,0,A36,S,,D,high,74,,unknown
808,0,0,347087,7.775,,S,11,D,medium,,D,low
809,0,0,248723,13,,S,,A,low,15,,
810,1,0,113806,53.1,E8,S,99,D,,62,,
811,0,0,3474,7.8875,,S,4,A,low,,,
812,0,0,A/4 48871,24.15,,S,87,,high,94,,low
813,0,0,28206,10.5,,S,68,,unknown,77,B,
814,4,2,347082,31.275,,S,28,B,medium,95,,unknown
815,0,0,364499,8.05,,S,,,,53,B,medium
816,0,0,112058,0,B102,S,83,B,low,93,,medium
817,0,0,STON/O2. 3101290,7.925,,S,4,C,,1,,medium
818,1,1,S.C./PARIS 2079,37.0042,,C,10,A,low,28,,
819,0,0,C 7075,6.45,,S,66,C,low,0,B,high
820,3,2,347088,27.9,,S,99,B,high,67,,high
821,1,1,12749,93.5,B69,S,,C,,51,A,
822,0,0,315098,8.6625,,S,66,D,,28,,medium
823,0,0,19972,0,,S,13,,,30,C,unknown
824,0,1,392096,12.475,E121,S,65,,,,,unknown
825,4,1,3101295,39.6875,,S,62,B,high,18,B,high
826,0,0,368323,6.95,,Q,9,,,51,A,
827,0,0,1601,56.4958,,S,68,B,unknown,61,,medium
828,0,2,S.C./PARIS 2079,37.0042,,C,89,A,,23,,high
829,0,0,367228,7.75,,Q,,C,,22,C,medium
830,0,0,113572,80,B28,,2,B,medium,,,
831,1,0,2659,14.4542,,C,,A,,,,
832,1,1,29106,18.75,,S,,A,high,25,D,low
833,0,0,2671,7.2292,,C,45,,unknown,37,,
834,0,0,347468,7.8542,,S,14,D,unknown,54,C,
835,0,0,2223,8.3,,S,85,,medium,18,B,low
836,1,1,PC 17756,83.1583,E49,C,77,A,,56,D,unknown
837,0,0,315097,8.6625,,S,80,B,low,13,,
838,0,0,392092,8.05,,S,19,D,unknown,14,B,unknown
839,0,0,1601,56.4958,,S,1,C,low,23,C,medium
840,0,0,11774,29.7,C47,C,91,A,,28,,unknown
841,0,0,SOTON/O2 3101287,7.925,,S,28,,medium,2,D,
842,0,0,S.O./P.P. 3,10.5,,S,65,B,unknown,96,B,
843,0,0,113798,31,,C,90,D,,,D,low
844,0,0,2683,6.4375,,C,3,A,medium,,,
845,0,0,315090,8.6625,,S,0,D,,,,medium
846,0,0,C.A. 5547,7.55,,S,0,C,low,80,B,
847,8,2,CA. 2343,69.55,,S,15,,,83,D,low
848,0,0,349213,7.8958,,C,5,,low,10,C,unknown
849,0,1,248727,33,,S,81,,,37,,high
850,1,0,17453,89.1042,C92,C,60,D,medium,,D,unknown
851,4,2,347082,31.275,,S,,A,,57,,high
852,0,0,347060,7.775,,S,,B,medium,0,D,low
853,1,1,2678,15.2458,,C,96,A,,,D,medium
854,0,1,PC 17592,39.4,D28,S,23,A,low,,,medium
855,1,0,244252,26,,S,,A,,,,low
856,0,1,392091,9.35,,S,84,,,38,,unknown
857,1,1,36928,164.8667,,S,24,A,,,B,unknown
858,0,0,113055,26.55,E17,S,,,,30,A,
859,0,3,2666,19.2583,,C,66,A,,29,B,high
860,0,0,2629,7.2292,,C,80,A,unknown,34,A,high
861,2,0,350026,14.1083,,S,96,D,high,30,C,high
862,1,0,28134,11.5,,S,92,A,,,C,low
863,0,0,17466,25.9292,D17,S,,,medium,4,C,high
864,8,2,CA. 2343,69.55,,S,77,A,high,27,C,unknown
865,0,0,233866,13,,S,84,A,,31,B,
866,0,0,236852,13,,S,69,C,high,,C,high
867,1,0,SC/PARIS 2149,13.8583,,C,81,D,,87,D,
868,0,0,PC 17590,50.4958,A24,S,,C,,67,A,high
869,0,0,345777,9.5,,S,,C,high,,B,
870,1,1,347742,11.1333,,S,4,A,high,,D,medium
871,0,0,349248,7.8958,,S,45,D,medium,,,
872,1,1,11751,52.5542,D35,S,,A,low,90,D,unknown
873,0,0,695,5,B51 B53 B55,S,11,C,low,45,,low
874,0,0,345765,9,,S,12,B,,68,B,medium
875,1,0,P/PP 3381,24,,C,69,D,medium,38,A,
876,0,0,2667,7.225,,C,50,B,,49,D,
877,0,0,7534,9.8458,,S,,,,48,,medium
878,0,0,349212,7.8958,,S,74,,,,A,high
879,0,0,349217,7.8958,,S,54,C,medium,,A,low
880,0,1,11767,83.1583,C50,C,63,D,high,73,C,medium
881,0,1,230433,26,,S,8,C,,2,D,unknown
882,0,0,349257,7.8958,,S,85,,high,13,D,high
883,0,0,7552,10.5167,,S,,B,low,84,D,unknown
884,0,0,C.A./SOTON 34068,10.5,,S,,C,medium,56,,low
885,0,0,SOTON/OQ 392076,7.05,,S,81,B,,,D,medium
886,0,5,382652,29.125,,Q,73,,high,60,D,unknown
887,0,0,211536,13,,S,5,B,,,,
888,0,0,112053,30,B42,S,19,A,low,89,B,
889,1,2,W./C. 6607,23.45,,S,1,A,,66,D,medium
890,0,0,111369,30,C148,C,27,B,,,D,unknown
891,0,0,370376,7.75,,Q,,D,unknown,,A,medium
