id,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9,ExtraCol10,ExtraCol11,ExtraCol21,ExtraCol22,ExtraCol23,ExtraCol24,ExtraCol25,ExtraCol26,ExtraCol27,ExtraCol28,ExtraCol29,ExtraCol30,ExtraCol31,ExtraCol32,ExtraCol33,ExtraCol34,ExtraCol35,ExtraCol36,ExtraCol37,storage_class,region,access_tier,other_details,event_date,login_time,logout_time
76,male,25,0,0,348123,7.65,F G73,S,47,,unknown,34,A,unknown,,A,,56,Y,low,55,X,medium,196,X,high,76,X,medium,231,X,low,189,Y,low,391,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""3041-B9C2-F02A"",""description"":""coldline storage netherlands dual-region"",""original_region"":""europe-west4""}",07-11-2024,17:28:00,18:59:00
77,male,,0,0,349208,7.8958,,S,,,low,26,,medium,,A,,16,X,medium,464,Y,high,464,Y,low,187,X,high,133,Y,medium,366,X,medium,184,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FD67-6779-FB1E"",""description"":""autoclass archive storage europe-west5"",""original_region"":""europe-west5""}",15-12-2024,21:42:00,01:31:00
78,male,,0,0,374746,8.05,,S,22,,low,33,,low,30,,,66,Z,low,396,Z,medium,,Y,low,79,X,low,435,,high,491,X,high,378,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""9729-6081-2B55"",""description"":""archive storage milan dual-region"",""original_region"":""europe-west8""}",07-11-2024,14:26:00,15:23:00
79,male,0.83,0,2,248738,29,,S,,A,,36,A,medium,89,C,high,96,Y,low,41,X,medium,110,,medium,395,Y,medium,151,Y,high,196,X,low,466,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""F1C6-D2BA-4A83"",""description"":""durable reduced availability storage columbus"",""original_region"":""us-east5""}",18-06-2024,18:02:00,19:21:00
80,female,30,0,0,364516,12.475,,S,66,C,,8,,,70,,low,4,X,medium,218,Y,,53,Y,low,391,Z,low,376,Y,,441,X,medium,454,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""F026-6944-846C"",""description"":""standard storage frankfurt/zurich dual-region"",""original_region"":""eur8""}",15-05-2024,08:42:00,09:47:00
81,male,22,0,0,345767,9,,S,94,C,unknown,,,,56,,medium,8,X,low,453,Z,low,320,Y,medium,96,Z,low,254,X,medium,8,Z,medium,259,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""89DB-C7FE-AF68"",""description"":""nearline storage turin dual-region"",""original_region"":""europe-west12""}",25-06-2024,15:05:00,19:05:00
82,male,29,0,0,345779,9.5,,S,43,D,low,44,,low,88,B,high,95,Y,low,341,X,high,229,X,medium,401,Y,medium,293,Y,low,338,X,high,234,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""2C07-1488-8F24"",""description"":""archive storage belgium/london dual-region"",""original_region"":""eur5""}",16-06-2024,11:27:00,12:17:00
83,female,,0,0,330932,7.7875,,Q,16,D,low,94,,low,9,C,unknown,,Y,medium,97,Z,high,66,Y,low,160,Z,medium,104,Z,low,83,Y,high,198,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""2D3D-C91F-7E7C"",""description"":""coldline storage asia multi-region"",""original_region"":""asia""}",04-05-2024,15:17:00,18:47:00
84,male,28,0,0,113059,47.1,,S,83,D,unknown,,A,medium,64,,unknown,91,,high,350,Y,medium,470,Z,high,364,Y,medium,124,Y,low,390,X,high,267,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""DC97-82D4-0359"",""description"":""autoclass standard storage belgium/london dual-region"",""original_region"":""eur5""}",20-04-2024,15:57:00,18:10:00
85,female,17,0,0,SO/C 14885,10.5,,S,62,C,unknown,66,B,medium,15,D,,70,X,medium,94,X,medium,275,Y,low,469,Z,low,326,Y,low,4,X,medium,468,STANDARD,europe,FREQUENT_ACCESS,"{""sku_id"":""FF88-BF44-9313"",""description"":""autoclass coldline storage paris dual-region"",""original_region"":""europe-west9""}",06-05-2024,13:21:00,13:37:00
86,female,33,3,0,3101278,15.85,,S,70,,low,,,low,23,A,medium,,Y,high,175,Z,low,124,Y,medium,414,Y,high,129,Y,medium,416,,low,437,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FEC5-B147-BD88"",""description"":""autoclass coldline storage mexico"",""original_region"":""northamerica-south1""}",23-10-2024,10:39:00,13:05:00
87,male,16,1,3,W./C. 6608,34.375,,S,9,B,medium,,B,medium,18,D,,,Y,low,97,Y,low,472,X,low,93,X,medium,334,Y,low,198,,high,303,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""F18D-89DB-7C30"",""description"":""nearline storage toronto"",""original_region"":""northamerica-northeast2""}",22-04-2024,18:01:00,21:35:00
88,male,,0,0,SOTON/OQ 392086,8.05,,S,31,A,,49,,,54,,,51,X,low,346,Z,high,349,Y,,90,Z,medium,495,X,low,118,Z,medium,141,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""FDFD-25D3-9C09"",""description"":""standard storage salt lake city dual-region"",""original_region"":""us-west3""}",29-06-2024,17:10:00,19:01:00
89,female,23,3,2,19950,263,C23 C25 C27,S,,B,,44,A,low,62,C,,36,Y,,465,Y,medium,64,Z,low,56,Z,medium,,,high,277,Y,high,188,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""D5C1-AAF1-5B8F"",""description"":""nearline storage northern virginia"",""original_region"":""us-east4""}",02-03-2024,21:52:00,01:13:00
90,male,24,0,0,343275,8.05,,S,,B,,65,,medium,75,A,medium,83,X,high,22,Z,high,413,Y,low,420,X,medium,462,X,high,494,X,high,122,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""3081-BF3D-2E14"",""description"":""coldline storage mexico"",""original_region"":""northamerica-south1""}",25-07-2024,06:59:00,09:00:00
91,male,29,0,0,343276,8.05,,S,43,A,,,B,,,C,unknown,4,Z,low,301,Z,low,29,Z,medium,273,X,,85,Z,high,80,X,high,93,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""E9D3-E7C5-94A2"",""description"":""autoclass coldline storage los angeles"",""original_region"":""us-west2""}",08-12-2024,20:32:00,21:05:00
92,male,20,0,0,347466,7.8542,,S,,A,low,31,B,,93,,medium,,Z,low,124,,,,Y,medium,77,Z,low,69,,medium,155,X,medium,4,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""5ACD-E7DB-7BFA"",""description"":""archive storage madrid"",""original_region"":""europe-southwest1""}",25-06-2024,10:08:00,14:02:00
93,male,46,1,0,W.E.P. 5734,61.175,E31,S,,C,medium,,D,,37,C,,55,X,low,375,Y,high,196,Z,low,293,,medium,417,X,medium,319,X,medium,386,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""A4F8-B0EC-4F8E"",""description"":""archive storage dallas"",""original_region"":""us-south1""}",28-05-2024,09:42:00,11:02:00
94,male,26,1,2,C.A. 2315,20.575,,S,38,B,high,18,,,,B,high,97,X,high,69,Z,medium,146,Y,low,264,Z,medium,102,Y,high,46,Y,high,369,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""3480-CB61-4864"",""description"":""nearline storage stockholm"",""original_region"":""europe-north2""}",02-04-2024,07:32:00,09:26:00
95,male,59,0,0,364500,7.25,,S,89,,high,,,high,3,C,,99,X,medium,183,X,low,26,Z,low,298,Z,low,323,Z,medium,477,Y,high,,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""9ADF-4F85-635A"",""description"":""autoclass nearline storage doha"",""original_region"":""me-central1""}",15-04-2024,08:58:00,12:51:00
96,male,,0,0,374910,8.05,,S,28,B,,,,,12,C,medium,59,Z,medium,102,Y,,465,Y,medium,317,X,high,53,Z,low,261,Z,low,343,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""48FC-D3ED-FA72"",""description"":""nearline storage montreal"",""original_region"":""northamerica-northeast1""}",25-12-2024,10:59:00,12:28:00
97,male,71,0,0,PC 17754,34.6542,A5,C,23,D,unknown,95,A,unknown,,B,high,42,Z,low,436,Y,,279,Y,high,82,Z,medium,43,X,high,495,X,medium,82,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""361C-27C1-D7CE"",""description"":""nearline storage zurich"",""original_region"":""europe-west6""}",21-02-2024,19:33:00,21:07:00
98,male,23,0,1,PC 17759,63.3583,D10 D12,C,68,C,unknown,,,,41,D,unknown,27,X,high,41,X,low,303,Y,low,193,X,low,100,X,medium,207,Z,medium,138,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""37C4-203D-1024"",""description"":""coldline storage us multi-region"",""original_region"":""us""}",20-07-2024,15:15:00,15:59:00
99,female,34,0,1,231919,23,,S,,A,,39,C,,,C,unknown,99,Y,low,290,Z,low,,Y,low,360,X,low,,,medium,416,X,low,129,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""37D3-343A-3DF1"",""description"":""nearline storage frankfurt/zurich dual-region"",""original_region"":""eur8""}",19-06-2024,20:45:00,00:07:00
100,male,34,1,0,244367,26,,S,13,A,,,B,unknown,12,,unknown,,X,low,60,Z,low,254,,high,454,Y,low,145,Y,low,165,Z,medium,64,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""B318-1FE2-6BFD"",""description"":""coldline storage los angeles dual-region"",""original_region"":""us-west2""}",20-12-2024,14:37:00,17:26:00
101,female,28,0,0,349245,7.8958,,S,83,C,high,80,B,,26,,high,12,Z,high,299,Z,high,144,X,high,,,medium,111,Z,medium,221,Z,high,364,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""BEA8-18F6-120A"",""description"":""nearline storage berlin"",""original_region"":""europe-west10""}",10-06-2024,18:38:00,19:02:00
102,male,,0,0,349215,7.8958,,S,,C,,48,B,low,98,D,,50,X,high,383,Y,medium,389,Z,,285,X,,418,Z,medium,173,X,low,21,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""3A5D-58D0-6BE4"",""description"":""nearline storage doha"",""original_region"":""me-central1""}",23-03-2024,10:11:00,13:12:00
103,male,21,0,1,35281,77.2875,D26,S,80,B,medium,96,,unknown,2,B,high,39,X,medium,376,Y,low,265,Z,low,474,X,medium,87,X,high,273,X,medium,202,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""E209-9471-B5A2"",""description"":""coldline storage oregon"",""original_region"":""us-west1""}",23-06-2024,19:59:00,20:33:00
104,male,33,0,0,7540,8.6542,,S,0,C,low,,B,,42,C,,49,Z,high,16,Y,high,,Z,high,300,X,medium,47,X,medium,111,X,medium,243,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""3C81-A91C-A94F"",""description"":""nearline storage london"",""original_region"":""europe-west2""}",25-11-2024,21:23:00,00:40:00
105,male,37,2,0,3101276,7.925,,S,79,,medium,70,,,19,A,unknown,,,medium,386,Z,high,422,Y,medium,113,Z,low,55,Y,medium,,Z,high,288,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""3DF8-830A-D07C"",""description"":""coldline storage stockholm"",""original_region"":""europe-north2""}",31-03-2024,11:46:00,13:20:00
106,male,28,0,0,349207,7.8958,,S,,,,75,C,high,53,B,unknown,26,Y,medium,148,Z,high,406,Z,low,291,Y,low,441,,high,419,X,low,96,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""3E75-94D0-A39A"",""description"":""nearline storage iowa/south carolina dual-region"",""original_region"":""nam4""}",28-04-2024,13:52:00,14:44:00
107,female,21,0,0,343120,7.65,,S,,A,unknown,,A,unknown,97,C,unknown,,Z,medium,340,X,low,123,X,,8,X,high,237,Y,low,77,,medium,,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""D85F-8CE9-F6EF"",""description"":""coldline storage south carolina"",""original_region"":""us-east1""}",28-08-2024,17:55:00,20:13:00
108,male,,0,0,312991,7.775,,S,66,B,unknown,,,low,22,D,high,,X,,481,Y,low,324,,medium,244,X,low,,,high,396,X,,396,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""FD55-A8ED-B1A6"",""description"":""nearline storage mumbai"",""original_region"":""asia-south1""}",30-04-2024,13:39:00,16:47:00
109,male,38,0,0,349249,7.8958,,S,,,,58,C,low,37,C,,32,X,high,59,X,high,460,Z,high,283,Z,medium,403,Z,low,427,X,medium,187,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""4D09-6DB4-A3D7"",""description"":""coldline storage warsaw dual-region"",""original_region"":""europe-central2""}",02-01-2024,10:32:00,11:55:00
110,female,,1,0,371110,24.15,,Q,,D,low,,,unknown,44,,medium,0,Y,medium,181,Z,high,399,Z,high,28,Z,medium,140,Y,low,17,Z,high,475,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""403B-273A-D4AE"",""description"":""nearline storage hong kong"",""original_region"":""asia-east2""}",18-09-2024,06:54:00,08:56:00
111,male,47,0,0,110465,52,C110,S,,D,low,11,,high,79,B,,67,Y,low,433,Y,high,99,Y,medium,101,Z,low,395,Z,medium,337,,high,214,STANDARD,asia,FREQUENT_ACCESS,"{""sku_id"":""EBB8-4CFD-EA34"",""description"":""standard storage tel aviv"",""original_region"":""me-west1""}",27-08-2024,08:43:00,11:48:00
112,female,14.5,1,0,2665,14.4542,,C,78,,medium,13,A,low,,C,unknown,85,,medium,70,Y,medium,427,Y,medium,494,Y,high,228,Z,low,242,Y,medium,388,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""8E89-0AC8-66C0"",""description"":""coldline storage singapore"",""original_region"":""asia-southeast1""}",02-10-2024,15:13:00,15:40:00
113,male,22,0,0,324669,8.05,,S,55,A,,,C,unknown,,,unknown,,Z,medium,,X,medium,28,Z,high,314,Z,medium,,Y,low,318,Y,medium,57,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""DCA1-44F3-A410"",""description"":""nearline storage singapore dual-region"",""original_region"":""asia-southeast1""}",12-11-2024,18:21:00,19:00:00
114,female,20,1,0,4136,9.825,,S,45,,unknown,65,B,,48,A,medium,16,Z,medium,274,X,low,308,Z,low,,Y,medium,264,Z,medium,147,Z,high,425,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""6E82-022D-E319"",""description"":""nearline storage frankfurt dual-region"",""original_region"":""europe-west3""}",20-12-2024,15:51:00,19:06:00
115,female,17,0,0,2627,14.4583,,C,,A,,28,C,medium,,A,,76,X,medium,498,Z,low,255,Z,medium,114,Y,low,,Z,high,110,Z,medium,239,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""BD90-D1A2-6BFD"",""description"":""coldline storage dallas"",""original_region"":""us-south1""}",16-01-2024,21:50:00,00:03:00
116,male,21,0,0,STON/O 2. 3101294,7.925,,S,,,,73,A,medium,0,C,,14,Z,medium,147,Z,low,18,Y,low,62,Y,high,102,X,low,143,Z,low,495,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""7446-C63C-1119"",""description"":""nearline storage warsaw"",""original_region"":""europe-central2""}",15-12-2024,08:09:00,10:48:00
117,male,70.5,0,0,370369,7.75,,Q,3,,,69,,high,80,D,low,62,X,high,,Y,medium,363,Z,high,214,Y,low,29,X,low,76,Y,high,350,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""4B5C-6444-A206"",""description"":""archive storage asia multi-region"",""original_region"":""asia""}",04-10-2024,15:24:00,19:11:00
118,male,29,1,0,11668,21,,S,13,,medium,,,low,24,,,70,Y,high,397,Z,medium,148,Y,medium,272,Y,low,365,X,high,202,Z,high,370,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""4C20-3C91-DA5D"",""description"":""coldline storage belgium/london dual-region"",""original_region"":""eur5""}",06-12-2024,16:15:00,17:19:00
119,male,24,0,1,PC 17558,247.5208,B58 B60,C,24,A,,91,B,medium,,D,,15,Y,high,59,,medium,426,Y,high,89,Y,high,476,Y,high,436,,medium,74,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""4CF0-069A-15D9"",""description"":""nearline storage europe multi-region"",""original_region"":""europe""}",09-05-2024,18:51:00,20:48:00
120,female,2,4,2,347082,31.275,,S,11,,high,88,,,97,,medium,11,Y,,163,Y,medium,439,Z,,400,Y,medium,289,Z,medium,389,Y,low,283,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""DB57-CF96-4A4C"",""description"":""nearline storage los angeles dual-region"",""original_region"":""us-west2""}",21-08-2024,06:39:00,07:46:00
121,male,21,2,0,S.O.C. 14879,73.5,,S,43,C,low,,C,low,63,C,unknown,7,X,low,158,X,medium,295,Y,high,214,Z,high,58,,medium,89,Z,low,369,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""4E33-234A-ABE4"",""description"":""archive storage tokyo"",""original_region"":""asia-northeast1""}",20-12-2024,13:34:00,16:16:00
122,male,,0,0,A4. 54510,8.05,,S,,,medium,76,,unknown,,D,,70,Y,low,200,Y,high,313,X,,27,Z,low,56,Y,high,279,Z,low,,STANDARD,africa,FREQUENT_ACCESS,"{""sku_id"":""CF16-78C4-2B5A"",""description"":""autoclass archive storage johannesburg"",""original_region"":""africa-south1""}",26-05-2024,16:23:00,18:24:00
123,male,32.5,1,0,237736,30.0708,,C,65,D,high,,,low,60,,high,61,X,high,286,X,medium,26,Z,medium,68,Y,high,272,Z,low,36,X,high,188,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""7500-8C3C-84DC"",""description"":""nearline storage iowa dual-region"",""original_region"":""us-central1""}",13-12-2024,13:00:00,14:21:00
124,female,32.5,0,0,27267,13,E101,S,47,D,medium,40,A,unknown,21,,low,11,Z,high,110,X,high,445,Y,high,430,Y,high,447,X,high,29,Y,low,281,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""9D00-E37F-E3D4"",""description"":""nearline storage las vegas dual-region"",""original_region"":""us-west4""}",21-02-2024,16:46:00,18:48:00
125,male,54,0,1,35281,77.2875,D26,S,85,C,,,D,low,69,C,unknown,50,X,low,195,Y,high,340,X,medium,168,Z,medium,,Y,medium,,Z,low,86,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""5467-3F51-D0D1"",""description"":""nearline storage osaka/tokyo dual-region"",""original_region"":""asia1""}",11-04-2024,09:27:00,13:08:00
126,male,12,1,0,2651,11.2417,,C,56,,,60,A,medium,61,C,,79,Y,low,458,X,medium,192,Y,high,186,Y,low,151,Y,medium,151,X,high,,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""ADA4-7896-0A0A"",""description"":""coldline storage salt lake city"",""original_region"":""us-west3""}",21-05-2024,09:41:00,13:20:00
127,male,,0,0,370372,7.75,,Q,7,B,unknown,41,C,low,,,,23,X,high,414,Z,high,42,X,low,99,X,,310,Z,medium,352,,medium,237,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""D056-E841-A979"",""description"":""coldline storage paris"",""original_region"":""europe-west9""}",16-12-2024,15:14:00,17:49:00
128,male,24,0,0,C 17369,7.1417,,S,76,D,low,99,,,7,B,,60,X,low,478,X,low,252,Z,high,403,Z,low,78,Z,,77,Y,medium,16,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""86E7-6DF6-0AE1"",""description"":""archive storage salt lake city"",""original_region"":""us-west3""}",25-04-2024,16:20:00,19:01:00
129,female,,1,1,2668,22.3583,F E69,C,57,,low,17,D,high,64,D,high,29,Y,low,341,Z,medium,450,Z,low,408,Z,high,239,Y,high,59,X,low,458,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""5A75-E003-2CBF"",""description"":""archive storage europe multi-region"",""original_region"":""europe""}",25-08-2024,18:54:00,22:17:00
130,male,45,0,0,347061,6.975,,S,63,,high,9,,low,,,unknown,,Z,high,291,X,low,431,X,high,121,Y,low,,Y,high,357,Z,low,321,STANDARD,north_america,FREQUENT_ACCESS,"{""sku_id"":""EC30-92F5-3843"",""description"":""standard storage phoenix"",""original_region"":""us-west8""}",11-08-2024,17:57:00,21:12:00
131,male,33,0,0,349241,7.8958,,C,56,A,medium,2,A,high,77,A,,,Y,low,106,Z,low,49,Z,medium,364,Z,low,314,Z,,103,Y,low,91,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""5C49-0E06-BAF4"",""description"":""archive storage iowa/south carolina dual-region"",""original_region"":""nam4""}",16-03-2024,08:05:00,09:02:00
132,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,55,A,high,81,D,,12,B,,35,Z,low,79,Y,low,381,Z,low,226,X,low,51,Y,low,29,Z,medium,448,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""5E51-E5C9-7A7D"",""description"":""nearline storage jakarta"",""original_region"":""asia-southeast2""}",23-07-2024,12:56:00,14:49:00
133,female,47,1,0,A/5. 3337,14.5,,S,9,,low,40,C,medium,53,,high,49,Z,high,,Z,low,40,Z,high,83,Z,low,,X,low,394,Y,high,345,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""B9DB-1163-E3BD"",""description"":""archive storage singapore"",""original_region"":""asia-southeast1""}",19-07-2024,11:09:00,14:26:00
134,female,29,1,0,228414,26,,S,55,,,43,,low,81,B,unknown,20,Y,low,202,Y,medium,188,,low,397,X,high,29,Y,high,352,Y,high,346,NEARLINE,north_america,OCCASIONAL_ACCESS,"{""sku_id"":""E5F7-218B-F872"",""description"":""nearline storage oregon dual-region"",""original_region"":""us-west1""}",10-02-2024,10:43:00,13:47:00
135,male,25,0,0,C.A. 29178,13,,S,79,B,unknown,64,C,high,89,,medium,39,Z,high,393,,high,223,X,medium,41,Z,medium,200,Y,low,464,,low,466,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""62E5-3AA6-3149"",""description"":""archive storage jakarta"",""original_region"":""asia-southeast2""}",11-04-2024,14:03:00,15:51:00
136,male,23,0,0,SC/PARIS 2133,15.0458,,C,30,D,,,A,,93,,,62,Y,medium,4,X,,11,Z,high,437,Y,low,118,Y,medium,,,high,202,ARCHIVE,europe,ARCHIVE,"{""sku_id"":""C6A0-DADE-4F0E"",""description"":""archive storage paris dual-region"",""original_region"":""europe-west9""}",24-06-2024,06:51:00,09:39:00
137,female,19,0,2,11752,26.2833,D47,S,,A,medium,57,C,low,,,,38,Y,medium,445,Y,,68,X,,,,medium,489,Z,medium,238,Y,high,177,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""64F6-F598-D260"",""description"":""coldline storage phoenix"",""original_region"":""us-west8""}",07-09-2024,08:18:00,11:21:00
138,male,37,1,0,113803,53.1,C123,S,3,C,,5,,,,B,low,,Z,high,85,Y,low,440,Y,medium,161,Z,high,159,Y,high,335,Y,low,,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""ADB6-51A3-28B0"",""description"":""nearline storage paris dual-region"",""original_region"":""europe-west9""}",02-11-2024,08:57:00,11:32:00
139,male,16,0,0,7534,9.2167,,S,34,B,high,,B,medium,57,C,,,Y,,197,Z,medium,314,Z,medium,113,X,medium,17,X,medium,396,Z,medium,444,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""6B5F-CF08-C03D"",""description"":""coldline storage osaka"",""original_region"":""asia-northeast2""}",22-08-2024,15:12:00,17:51:00
140,male,24,0,0,PC 17593,79.2,B86,C,43,A,low,,,low,46,D,,13,Z,low,178,X,medium,,Y,high,117,Z,high,216,,high,314,Z,medium,406,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""6CCC-4CDD-383C"",""description"":""coldline storage europe multi-region"",""original_region"":""europe""}",28-08-2024,13:23:00,13:54:00
141,female,,0,2,2678,15.2458,,C,,D,,45,B,unknown,23,,medium,,X,low,462,X,low,285,X,,240,X,low,368,Y,medium,159,Z,low,393,ARCHIVE,asia,ARCHIVE,"{""sku_id"":""6D22-D2AA-4F85"",""description"":""archive storage hong kong"",""original_region"":""asia-east2""}",28-02-2024,14:02:00,15:18:00
142,female,22,0,0,347081,7.75,,S,21,A,,16,,high,,C,low,46,Y,medium,360,X,low,,Z,low,375,Z,medium,342,X,high,444,X,high,382,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""6E87-6282-15AF"",""description"":""coldline storage iowa/south carolina dual-region"",""original_region"":""nam4""}",23-01-2024,10:32:00,14:22:00
143,female,24,1,0,STON/O2. 3101279,15.85,,S,,,unknown,,,unknown,14,A,,60,Y,high,17,X,medium,9,Y,low,199,Z,high,488,Z,low,351,X,high,17,COLDLINE,europe,RARE_ACCESS,"{""sku_id"":""6FC6-63C5-6832"",""description"":""coldline storage frankfurt/zurich dual-region"",""original_region"":""eur8""}",03-12-2024,06:58:00,10:52:00
144,male,19,0,0,365222,6.75,,Q,,,,33,D,medium,,A,unknown,73,X,low,426,Z,high,273,,low,257,X,high,182,X,high,438,X,medium,245,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""6FF2-2736-1E63"",""description"":""coldline storage day0 (alabama)"",""original_region"":""us-east7""}",31-01-2024,17:31:00,20:24:00
145,male,18,0,0,231945,11.5,,S,99,D,medium,27,,,,,low,,Z,medium,338,X,medium,385,Y,high,485,Z,low,261,Y,,278,Y,low,177,ARCHIVE,north_america,ARCHIVE,"{""sku_id"":""9792-0238-A65E"",""description"":""archive storage oregon dual-region"",""original_region"":""us-west1""}",27-12-2024,14:17:00,16:14:00
146,male,19,1,1,C.A. 33112,36.75,,S,85,A,unknown,29,A,,,A,,97,X,medium,34,Z,medium,102,Y,high,248,Z,medium,279,Z,high,224,X,medium,180,COLDLINE,north_america,RARE_ACCESS,"{""sku_id"":""EAC3-75EC-684F"",""description"":""coldline storage las vegas dual-region"",""original_region"":""us-west4""}",02-03-2024,14:18:00,15:00:00
147,male,27,0,0,350043,7.7958,,S,3,,,72,A,low,10,,low,42,X,low,390,X,high,245,Z,medium,396,Y,high,12,X,medium,421,Z,medium,427,NEARLINE,south_america,OCCASIONAL_ACCESS,"{""sku_id"":""7250-679F-299A"",""description"":""nearline storage santiago"",""original_region"":""southamerica-west1""}",21-06-2024,06:04:00,07:25:00
148,female,9,2,2,W./C. 6608,34.375,,S,23,C,,10,B,medium,26,B,,88,X,,16,Z,medium,206,X,high,192,Y,low,2,Y,low,305,Z,high,198,COLDLINE,asia,RARE_ACCESS,"{""sku_id"":""E70A-97D8-6230"",""description"":""coldline storage delhi"",""original_region"":""asia-south2""}",29-10-2024,21:03:00,23:33:00
149,male,36.5,0,2,230080,26,F2,S,,D,unknown,30,D,unknown,,D,high,41,Z,low,212,,high,435,Y,high,39,X,medium,397,X,,387,X,,418,NEARLINE,europe,OCCASIONAL_ACCESS,"{""sku_id"":""72AC-DCBB-8799"",""description"":""nearline storage finland/netherlands dual-region"",""original_region"":""eur4""}",15-05-2024,13:41:00,17:11:00
150,male,42,0,0,244310,13,,S,,A,low,46,B,medium,,,low,40,X,low,81,X,high,81,X,high,127,Z,medium,192,Y,high,444,Z,high,453,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""72E1-0FCE-FA4F"",""description"":""nearline storage dammam"",""original_region"":""me-central2""}",27-12-2024,09:12:00,10:51:00
151,male,51,0,0,S.O.P. 1166,12.525,,S,85,D,,54,,unknown,44,B,high,60,X,medium,5,Y,low,52,X,low,79,Z,low,344,X,low,142,Y,high,,NEARLINE,asia,OCCASIONAL_ACCESS,"{""sku_id"":""C8B6-F995-22B7"",""description"":""nearline storage delhi"",""original_region"":""asia-south2""}",28-01-2024,16:25:00,19:29:00
