id,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7,ExtraCol8,ExtraCol9
359,female,,0,0,330931,7.8792,,Q,,B,medium,6,D,,45,D,
360,female,,0,0,330980,7.8792,,Q,,C,unknown,94,D,,44,,low
361,male,40,1,4,347088,27.9,,S,84,A,medium,,D,,93,B,high
362,male,29,1,0,SC/PARIS 2167,27.7208,,C,,A,medium,,,,20,B,unknown
363,female,45,0,1,2691,14.4542,,C,22,D,high,8,A,medium,32,D,high
364,male,35,0,0,SOTON/O.Q. 3101310,7.05,,S,89,D,unknown,41,,medium,,,medium
365,male,,1,0,370365,15.5,,Q,,,medium,72,A,high,15,A,high
366,male,30,0,0,C 7076,7.25,,S,,B,unknown,99,,,,A,unknown
367,female,60,1,0,110813,75.25,D37,C,46,A,medium,,,medium,84,C,low
368,female,,0,0,2626,7.2292,,C,31,,high,60,D,medium,,A,high
369,female,,0,0,14313,7.75,,Q,,B,unknown,83,C,high,70,,low
370,female,24,0,0,PC 17477,69.3,B35,C,77,,,90,B,high,59,A,
371,male,25,1,0,11765,55.4417,E50,C,33,C,low,27,B,low,,D,unknown
372,male,18,1,0,3101267,6.4958,,S,66,A,high,,D,,30,D,medium
373,male,19,0,0,323951,8.05,,S,41,D,,51,D,high,99,,
374,male,22,0,0,PC 17760,135.6333,,C,,C,medium,93,C,high,,,medium
375,female,3,3,1,349909,21.075,,S,,,unknown,11,D,,71,B,low
376,female,,1,0,PC 17604,82.1708,,C,9,,,9,B,high,,,
377,female,22,0,0,C 7077,7.25,,S,,C,high,,B,high,,C,
378,male,27,0,2,113503,211.5,C82,C,74,,high,67,D,medium,,,low
379,male,20,0,0,2648,4.0125,,C,37,A,low,17,B,high,84,C,low
380,male,19,0,0,347069,7.775,,S,,,medium,89,D,medium,63,A,unknown
381,female,42,0,0,PC 17757,227.525,,C,0,B,high,10,B,medium,28,B,
382,female,1,0,2,2653,15.7417,,C,,D,low,,B,low,96,,unknown
383,male,32,0,0,STON/O 2. 3101293,7.925,,S,94,B,medium,,A,medium,70,,high
384,female,35,1,0,113789,52,,S,,,,,C,low,42,,
385,male,,0,0,349227,7.8958,,S,3,A,unknown,,B,,13,,medium
386,male,18,0,0,S.O.C. 14879,73.5,,S,12,B,low,84,B,medium,97,B,
387,male,1,5,2,CA 2144,46.9,,S,6,B,unknown,10,C,high,,C,unknown
388,female,36,0,0,27849,13,,S,83,A,medium,,A,unknown,,,low
389,male,,0,0,367655,7.7292,,Q,89,B,high,61,,low,83,,
390,female,17,0,0,SC 1748,12,,C,15,,high,2,D,unknown,60,D,high
391,male,36,1,2,113760,120,B96 B98,S,74,A,,74,C,medium,,,unknown
392,male,21,0,0,350034,7.7958,,S,17,,unknown,,C,,23,A,unknown
393,male,28,2,0,3101277,7.925,,S,36,C,low,75,,,7,A,low
394,female,23,1,0,35273,113.275,D36,C,59,D,low,,C,unknown,,,
395,female,24,0,2,PP 9549,16.7,G6,S,,C,unknown,19,B,low,,C,
396,male,22,0,0,350052,7.7958,,S,87,A,high,,,,,,low
397,female,31,0,0,350407,7.8542,,S,4,,unknown,6,A,,16,A,
398,male,46,0,0,28403,26,,S,19,B,medium,53,C,,57,C,
399,male,23,0,0,244278,10.5,,S,,B,,,C,high,12,A,low
400,female,28,0,0,240929,12.65,,S,31,A,low,,,medium,,A,
401,male,39,0,0,STON/O 2. 3101289,7.925,,S,99,D,medium,20,,medium,79,A,high
402,male,26,0,0,341826,8.05,,S,77,,low,76,D,,,C,unknown
403,female,21,1,0,4137,9.825,,S,,C,unknown,69,,,94,B,low
404,male,28,1,0,STON/O2. 3101279,15.85,,S,97,,,,C,,31,B,
405,female,20,0,0,315096,8.6625,,S,,D,unknown,,D,unknown,94,C,low
406,male,34,1,0,28664,21,,S,,A,low,6,,,78,A,high
407,male,51,0,0,347064,7.75,,S,43,,low,44,A,unknown,33,,unknown
408,male,3,1,1,29106,18.75,,S,14,B,,,B,unknown,,,unknown
409,male,21,0,0,312992,7.775,,S,,,,11,D,medium,10,C,medium
410,female,,3,1,4133,25.4667,,S,1,B,medium,55,B,high,,,medium
411,male,,0,0,349222,7.8958,,S,17,A,medium,,D,,20,C,
412,male,,0,0,394140,6.8583,,Q,22,,,,,,26,,unknown
413,female,33,1,0,19928,90,C78,Q,27,B,,,,high,41,A,
414,male,,0,0,239853,0,,S,13,A,low,8,B,medium,,C,low
415,male,44,0,0,STON/O 2. 3101269,7.925,,S,1,,,67,C,high,80,A,unknown
416,female,,0,0,343095,8.05,,S,67,A,low,33,,medium,69,B,
417,female,34,1,1,28220,32.5,,S,96,,low,,,high,15,,unknown
418,female,18,0,2,250652,13,,S,12,B,,19,C,medium,16,,low
419,male,30,0,0,28228,13,,S,,,medium,97,,medium,,C,
420,female,10,0,2,345773,24.15,,S,50,C,,25,D,,94,D,medium
421,male,,0,0,349254,7.8958,,C,92,A,medium,68,D,,,C,high
422,male,21,0,0,A/5. 13032,7.7333,,Q,69,,medium,,B,,,B,medium
423,male,29,0,0,315082,7.875,,S,,D,medium,18,,low,14,A,medium
424,female,28,1,1,347080,14.4,,S,,A,high,30,,low,23,C,medium
425,male,18,1,1,370129,20.2125,,S,41,B,,1,B,,,D,unknown
426,male,,0,0,A/4. 34244,7.25,,S,,A,low,,C,,20,B,
427,female,28,1,0,2003,26,,S,86,,medium,33,,low,61,,
428,female,19,0,0,250655,26,,S,80,,low,49,A,unknown,92,,low
429,male,,0,0,364851,7.75,,Q,2,A,medium,15,B,,,C,high
430,male,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,71,A,,82,,high,60,C,high
431,male,28,0,0,110564,26.55,C52,S,8,B,medium,21,B,low,,A,high
432,female,,1,0,376564,16.1,,S,73,C,low,,,unknown,,A,low
433,female,42,1,0,SC/AH 3085,26,,S,82,B,high,87,C,high,0,,unknown
434,male,17,0,0,STON/O 2. 3101274,7.125,,S,13,,low,71,,,11,B,unknown
435,male,50,1,0,13507,55.9,E44,S,43,,low,60,B,,,,unknown
436,female,14,1,2,113760,120,B96 B98,S,12,D,,,A,medium,,B,unknown
437,female,21,2,2,W./C. 6608,34.375,,S,56,A,unknown,,D,,32,,medium
438,female,24,2,3,29106,18.75,,S,92,C,unknown,96,D,unknown,52,C,
439,male,64,1,4,19950,263,C23 C25 C27,S,,D,high,,D,,57,A,medium
440,male,31,0,0,C.A. 18723,10.5,,S,39,A,high,40,A,high,66,,
441,female,45,1,1,F.C.C. 13529,26.25,,S,97,D,high,25,C,high,,,medium
442,male,20,0,0,345769,9.5,,S,,,high,,,unknown,37,,high
443,male,25,1,0,347076,7.775,,S,,B,high,97,D,medium,88,A,unknown
444,female,28,0,0,230434,13,,S,48,,unknown,69,,low,5,A,high
445,male,,0,0,65306,8.1125,,S,50,C,,3,C,,,C,unknown
446,male,4,0,2,33638,81.8583,A34,S,66,,low,46,A,high,95,,unknown
447,female,13,0,1,250644,19.5,,S,,,medium,,C,,17,A,low
448,male,34,0,0,113794,26.55,,S,,C,unknown,,D,medium,99,,unknown
449,female,5,2,1,2666,19.2583,,C,52,D,medium,77,A,high,28,A,unknown
450,male,52,0,0,113786,30.5,C104,S,28,B,low,70,,,36,A,
451,male,36,1,2,C.A. 34651,27.75,,S,,,unknown,6,,,,C,
452,male,,1,0,65303,19.9667,,S,,B,high,55,A,unknown,94,A,
453,male,30,0,0,113051,27.75,C111,C,,D,,,,,,A,unknown
454,male,49,1,0,17453,89.1042,C92,C,2,D,medium,48,,high,16,D,
455,male,,0,0,A/5 2817,8.05,,S,59,,low,,B,,48,A,low
456,male,29,0,0,349240,7.8958,,C,,C,medium,,D,medium,15,C,low
457,male,65,0,0,13509,26.55,E38,S,,D,medium,86,D,high,78,D,low
458,female,,1,0,17464,51.8625,D21,S,63,B,unknown,46,B,low,,D,
459,female,50,0,0,F.C.C. 13531,10.5,,S,84,,,53,A,,49,D,unknown
460,male,,0,0,371060,7.75,,Q,10,,low,62,,high,39,B,high
461,male,48,0,0,19952,26.55,E12,S,72,A,,65,A,high,3,D,low
462,male,34,0,0,364506,8.05,,S,,,unknown,63,D,medium,5,,
463,male,47,0,0,111320,38.5,E63,S,,A,medium,78,C,high,51,,medium
464,male,48,0,0,234360,13,,S,,,medium,98,C,low,39,A,
465,male,,0,0,A/S 2816,8.05,,S,0,,high,82,A,high,12,C,
466,male,38,0,0,SOTON/O.Q. 3101306,7.05,,S,96,B,high,13,,unknown,13,D,medium
467,male,,0,0,239853,0,,S,16,B,medium,,C,unknown,,,
468,male,56,0,0,113792,26.55,,S,59,B,unknown,,,unknown,,D,
469,male,,0,0,36209,7.725,,Q,18,B,high,50,B,,60,,medium
470,female,0.75,2,1,2666,19.2583,,C,93,B,low,52,,low,83,D,high
471,male,,0,0,323592,7.25,,S,,C,,71,,high,6,C,
472,male,38,0,0,315089,8.6625,,S,,D,unknown,,B,low,,B,
473,female,33,1,2,C.A. 34651,27.75,,S,43,C,medium,26,C,medium,,A,
474,female,23,0,0,SC/AH Basle 541,13.7917,D,C,46,C,high,45,B,high,20,,unknown
475,female,22,0,0,7553,9.8375,,S,,D,,,,high,53,,
476,male,,0,0,110465,52,A14,S,78,D,,31,C,high,,B,medium
477,male,34,1,0,31027,21,,S,84,,unknown,2,,unknown,,C,low
478,male,29,1,0,3460,7.0458,,S,1,C,low,97,,low,,,
479,male,22,0,0,350060,7.5208,,S,,A,high,,B,unknown,66,B,high
480,female,2,0,1,3101298,12.2875,,S,,A,high,60,,,75,A,
481,male,9,5,2,CA 2144,46.9,,S,,D,low,,A,medium,0,B,
482,male,,0,0,239854,0,,S,82,,,27,,medium,,A,
483,male,50,0,0,A/5 3594,8.05,,S,25,D,,34,,high,50,A,low
484,female,63,0,0,4134,9.5875,,S,79,,medium,28,B,high,36,,high
485,male,25,1,0,11967,91.0792,B49,C,,D,,,,medium,,,unknown
486,female,,3,1,4133,25.4667,,S,23,C,low,15,B,low,,C,medium
487,female,35,1,0,19943,90,C93,S,33,D,,,D,low,75,C,unknown
488,male,58,0,0,11771,29.7,B37,C,53,A,,45,,medium,82,C,low
489,male,30,0,0,A.5. 18509,8.05,,S,76,D,,53,B,,41,,
490,male,9,1,1,C.A. 37671,15.9,,S,,A,,1,,high,93,A,unknown
491,male,,1,0,65304,19.9667,,S,93,B,,84,C,unknown,92,C,high
492,male,21,0,0,SOTON/OQ 3101317,7.25,,S,,A,low,67,,low,66,D,high
493,male,55,0,0,113787,30.5,C30,S,75,B,medium,7,B,medium,58,A,unknown
494,male,71,0,0,PC 17609,49.5042,,C,,,high,84,C,low,,,medium
495,male,21,0,0,A/4 45380,8.05,,S,,B,unknown,3,C,,60,C,
496,male,,0,0,2627,14.4583,,C,41,,unknown,,A,,,D,
497,female,54,1,0,36947,78.2667,D20,C,,C,high,46,D,low,97,B,low
498,male,,0,0,C.A. 6212,15.1,,S,37,C,low,,C,,19,D,high
499,female,25,1,2,113781,151.55,C22 C26,S,92,D,,95,A,high,66,A,medium
500,male,24,0,0,350035,7.7958,,S,,,low,,C,unknown,73,,unknown
501,male,17,0,0,315086,8.6625,,S,11,B,low,,C,,,D,unknown
502,female,21,0,0,364846,7.75,,Q,65,D,high,57,D,medium,34,B,medium
503,female,,0,0,330909,7.6292,,Q,96,,,,,high,86,C,high
504,female,37,0,0,4135,9.5875,,S,86,,low,72,B,high,48,A,
505,female,16,0,0,110152,86.5,B79,S,27,B,low,88,A,high,38,C,medium
506,male,18,1,0,PC 17758,108.9,C65,C,,A,high,,C,low,15,C,unknown
507,female,33,0,2,26360,26,,S,,,medium,,,,32,,medium
508,male,,0,0,111427,26.55,,S,,,high,51,B,,97,A,
509,male,28,0,0,C 4001,22.525,,S,26,A,medium,,,unknown,,,high
510,male,26,0,0,1601,56.4958,,S,23,C,high,,C,unknown,,,unknown
511,male,29,0,0,382651,7.75,,Q,99,A,,,B,high,,D,high
512,male,,0,0,SOTON/OQ 3101316,8.05,,S,74,C,,70,,high,,A,unknown
513,male,36,0,0,PC 17473,26.2875,E25,S,84,,medium,51,B,,66,C,medium
514,female,54,1,0,PC 17603,59.4,,C,81,,high,,,unknown,37,D,medium
515,male,24,0,0,349209,7.4958,,S,95,B,high,42,B,medium,84,C,medium
516,male,47,0,0,36967,34.0208,D46,S,10,,high,49,D,medium,42,B,low
517,female,34,0,0,C.A. 34260,10.5,F33,S,,,,,C,high,85,A,
518,male,,0,0,371110,24.15,,Q,,A,low,55,C,,74,B,medium
519,female,36,1,0,226875,26,,S,47,C,,79,,,77,A,unknown
520,male,32,0,0,349242,7.8958,,S,59,C,high,2,C,high,92,A,unknown
521,female,30,0,0,12749,93.5,B73,S,35,A,high,75,A,high,79,B,
522,male,22,0,0,349252,7.8958,,S,,C,,50,,medium,,,medium
523,male,,0,0,2624,7.225,,C,19,A,,,B,high,52,A,high
524,female,44,0,1,111361,57.9792,B18,C,,A,high,47,C,,,,unknown
525,male,,0,0,2700,7.2292,,C,,D,,47,C,medium,6,,low
526,male,40.5,0,0,367232,7.75,,Q,,D,,12,B,,59,,unknown
527,female,50,0,0,W./C. 14258,10.5,,S,,B,high,,B,,,,unknown
528,male,,0,0,PC 17483,221.7792,C95,S,14,D,medium,70,C,unknown,,D,unknown
529,male,39,0,0,3101296,7.925,,S,91,D,high,,,high,10,C,low
530,male,23,2,1,29104,11.5,,S,92,,,9,A,unknown,50,A,unknown
531,female,2,1,1,26360,26,,S,59,A,unknown,21,B,,57,A,high
532,male,,0,0,2641,7.2292,,C,16,,,87,,unknown,10,C,high
533,male,17,1,1,2690,7.2292,,C,15,C,,,D,high,63,,low
534,female,,0,2,2668,22.3583,,C,,,low,50,,unknown,16,,medium
535,female,30,0,0,315084,8.6625,,S,57,,,,D,unknown,14,D,medium
536,female,7,0,2,F.C.C. 13529,26.25,,S,15,B,unknown,,C,unknown,40,D,unknown
537,male,45,0,0,113050,26.55,B38,S,45,A,,85,B,,,C,
538,female,30,0,0,PC 17761,106.425,,C,11,D,,89,,high,91,C,
539,male,,0,0,364498,14.5,,S,,,low,28,D,unknown,,D,
540,female,22,0,2,13568,49.5,B39,C,2,,unknown,58,A,medium,,A,low
541,female,36,0,2,WE/P 5735,71,B22,S,70,D,,,A,low,73,C,unknown
542,female,9,4,2,347082,31.275,,S,,,,,B,unknown,,,unknown
543,female,11,4,2,347082,31.275,,S,19,,high,0,A,high,98,A,medium
544,male,32,1,0,2908,26,,S,17,A,medium,97,D,,74,A,high
545,male,50,1,0,PC 17761,106.425,C86,C,83,,high,35,D,high,,B,unknown
546,male,64,0,0,693,26,,S,5,,,,C,low,94,B,high
547,female,19,1,0,2908,26,,S,42,B,low,61,,medium,10,D,high
548,male,,0,0,SC/PARIS 2146,13.8625,,C,,C,,78,A,medium,45,B,low
549,male,33,1,1,363291,20.525,,S,51,B,,,C,,,C,
550,male,8,1,1,C.A. 33112,36.75,,S,68,D,unknown,,B,unknown,0,,
551,male,17,0,2,17421,110.8833,C70,C,80,D,low,89,B,high,45,D,high
552,male,27,0,0,244358,26,,S,,,unknown,93,B,low,68,C,unknown
553,male,,0,0,330979,7.8292,,Q,82,D,high,15,,medium,79,D,
554,male,22,0,0,2620,7.225,,C,,C,,90,C,low,41,C,high
555,female,22,0,0,347085,7.775,,S,,B,unknown,90,A,unknown,86,A,
556,male,62,0,0,113807,26.55,,S,50,C,low,,C,medium,67,C,
557,female,48,1,0,11755,39.6,A16,C,,D,low,21,D,,4,B,low
558,male,,0,0,PC 17757,227.525,,C,,,unknown,,A,medium,27,B,high
559,female,39,1,1,110413,79.65,E67,S,79,,low,99,D,low,93,C,medium
560,female,36,1,0,345572,17.4,,S,85,,,,C,unknown,0,B,unknown
561,male,,0,0,372622,7.75,,Q,53,A,,,B,high,10,A,unknown
562,male,40,0,0,349251,7.8958,,S,4,,unknown,19,C,medium,34,,unknown
563,male,28,0,0,218629,13.5,,S,49,C,,8,,,99,C,unknown
564,male,,0,0,SOTON/OQ 392082,8.05,,S,18,,high,25,D,high,,,medium
565,female,,0,0,SOTON/O.Q. 392087,8.05,,S,88,D,low,6,A,low,,,
566,male,24,2,0,A/4 48871,24.15,,S,23,D,,19,A,,39,C,high
567,male,19,0,0,349205,7.8958,,S,22,,,7,C,,93,C,
568,female,29,0,4,349909,21.075,,S,24,,low,76,B,low,21,D,medium
569,male,,0,0,2686,7.2292,,C,64,,high,58,A,high,57,B,high
570,male,32,0,0,350417,7.8542,,S,,D,low,51,B,unknown,46,,
571,male,62,0,0,S.W./PP 752,10.5,,S,94,,medium,80,C,,,,unknown
572,female,53,2,0,11769,51.4792,C101,S,41,C,,41,,high,75,,low
573,male,36,0,0,PC 17474,26.3875,E25,S,,D,high,40,D,,83,,medium
574,female,,0,0,14312,7.75,,Q,4,D,,20,B,unknown,11,D,
575,male,16,0,0,A/4. 20589,8.05,,S,0,A,low,,A,high,,D,
576,male,19,0,0,358585,14.5,,S,37,A,unknown,,,high,,D,high
577,female,34,0,0,243880,13,,S,92,B,high,58,D,unknown,,,low
578,female,39,1,0,13507,55.9,E44,S,52,,,,A,unknown,66,D,medium
579,female,,1,0,2689,14.4583,,C,89,C,,53,B,,63,,unknown
580,male,32,0,0,STON/O 2. 3101286,7.925,,S,10,,,29,,high,37,D,medium
581,female,25,1,1,237789,30,,S,9,B,high,,C,low,,B,medium
582,female,39,1,1,17421,110.8833,C68,C,83,A,high,82,B,unknown,,,low
583,male,54,0,0,28403,26,,S,10,A,,,,unknown,82,B,
584,male,36,0,0,13049,40.125,A10,C,5,A,medium,25,,medium,89,A,low
585,male,,0,0,3411,8.7125,,C,40,,unknown,71,,high,29,C,medium
586,female,18,0,2,110413,79.65,E68,S,92,C,,,A,,,A,high
587,male,47,0,0,237565,15,,S,68,B,,,,,32,A,
588,male,60,1,1,13567,79.2,B41,C,9,B,medium,31,C,,3,,
589,male,22,0,0,14973,8.05,,S,83,B,unknown,35,A,unknown,16,,medium
590,male,,0,0,A./5. 3235,8.05,,S,84,C,medium,,B,unknown,30,A,low
591,male,35,0,0,STON/O 2. 3101273,7.125,,S,80,D,low,1,A,low,98,D,medium
592,female,52,1,0,36947,78.2667,D20,C,90,,high,,D,unknown,20,D,
593,male,47,0,0,A/5 3902,7.25,,S,23,C,unknown,12,,,50,D,medium
594,female,,0,2,364848,7.75,,Q,,,low,,D,low,,B,medium
595,male,37,1,0,SC/AH 29037,26,,S,,C,medium,55,,,35,A,medium
596,male,36,1,1,345773,24.15,,S,80,A,medium,,,high,91,,
597,female,,0,0,248727,33,,S,57,,low,34,B,unknown,9,C,high
598,male,49,0,0,LINE,0,,S,77,A,high,77,,low,87,A,high
599,male,,0,0,2664,7.225,,C,,B,medium,,,,74,D,unknown
600,male,49,1,0,PC 17485,56.9292,A20,C,64,,low,1,A,,,B,high
601,female,24,2,1,243847,27,,S,,,medium,,D,medium,76,,high
602,male,,0,0,349214,7.8958,,S,77,,unknown,2,,,42,A,high
603,male,,0,0,113796,42.4,,S,73,,unknown,52,D,unknown,97,B,high
604,male,44,0,0,364511,8.05,,S,,A,high,87,A,unknown,3,,low
605,male,35,0,0,111426,26.55,,C,82,A,medium,,D,medium,2,,medium
606,male,36,1,0,349910,15.55,,S,,,unknown,,,,,C,
607,male,30,0,0,349246,7.8958,,S,,C,low,,B,high,93,D,low
608,male,27,0,0,113804,30.5,,S,,,high,78,A,low,6,C,unknown
609,female,22,1,2,SC/Paris 2123,41.5792,,C,,D,,,,high,77,,
610,female,40,0,0,PC 17582,153.4625,C125,S,85,D,high,28,,unknown,93,C,
611,female,39,1,5,347082,31.275,,S,83,A,low,0,,,,,low
612,male,,0,0,SOTON/O.Q. 3101305,7.05,,S,,,high,44,B,low,86,,unknown
613,female,,1,0,367230,15.5,,Q,78,B,high,61,,low,75,D,low
614,male,,0,0,370377,7.75,,Q,38,A,unknown,,C,high,,C,
615,male,35,0,0,364512,8.05,,S,68,,low,93,A,low,85,B,low
616,female,24,1,2,220845,65,,S,63,,,,,unknown,69,B,unknown
617,male,34,1,1,347080,14.4,,S,,,unknown,78,B,low,1,,low
618,female,26,1,0,A/5. 3336,16.1,,S,26,B,,2,,low,,,unknown
619,female,4,2,1,230136,39,F4,S,6,B,high,85,,medium,,A,high
620,male,26,0,0,31028,10.5,,S,13,A,low,75,A,unknown,,,low
621,male,27,1,0,2659,14.4542,,C,43,B,high,,C,,,,
622,male,42,1,0,11753,52.5542,D19,S,47,A,,58,D,medium,,B,unknown
623,male,20,1,1,2653,15.7417,,C,,D,,,D,high,29,,low
624,male,21,0,0,350029,7.8542,,S,41,,low,90,,,19,D,unknown
625,male,21,0,0,54636,16.1,,S,60,D,high,55,A,unknown,8,D,
626,male,61,0,0,36963,32.3208,D50,S,23,,,,,low,63,,
627,male,57,0,0,219533,12.35,,Q,33,D,medium,61,D,unknown,95,D,medium
628,female,21,0,0,13502,77.9583,D9,S,36,C,,68,C,unknown,,D,
629,male,26,0,0,349224,7.8958,,S,50,B,unknown,,C,,,D,medium
630,male,,0,0,334912,7.7333,,Q,36,C,high,81,B,,,,unknown
631,male,80,0,0,27042,30,A23,S,73,B,,20,C,medium,17,B,
632,male,51,0,0,347743,7.0542,,S,32,A,,89,A,unknown,21,,
633,male,32,0,0,13214,30.5,B50,C,43,B,low,55,,unknown,28,D,unknown
634,male,,0,0,112052,0,,S,37,,high,32,,high,68,,medium
635,female,9,3,2,347088,27.9,,S,,,high,,,,29,D,low
636,female,28,0,0,237668,13,,S,68,A,unknown,1,A,,82,,unknown
637,male,32,0,0,STON/O 2. 3101292,7.925,,S,23,,unknown,74,A,high,36,C,
638,male,31,1,1,C.A. 31921,26.25,,S,29,C,,37,,,10,A,
639,female,41,0,5,3101295,39.6875,,S,79,,,84,D,unknown,9,B,
640,male,,1,0,376564,16.1,,S,94,,medium,23,C,high,40,C,unknown
641,male,20,0,0,350050,7.8542,,S,67,A,,92,,high,40,A,unknown
642,female,24,0,0,PC 17477,69.3,B35,C,91,,high,94,B,low,,A,high
643,female,2,3,2,347088,27.9,,S,85,D,unknown,10,C,,47,C,
644,male,,0,0,1601,56.4958,,S,48,C,,64,D,,16,A,medium
645,female,0.75,2,1,2666,19.2583,,C,,,,93,B,,21,,high
646,male,48,1,0,PC 17572,76.7292,D33,C,32,B,,32,C,high,56,B,unknown
647,male,19,0,0,349231,7.8958,,S,,A,unknown,,C,medium,33,,low
648,male,56,0,0,13213,35.5,A26,C,,A,high,,D,unknown,67,,
649,male,,0,0,S.O./P.P. 751,7.55,,S,96,A,low,47,D,,92,,high
650,female,23,0,0,CA. 2314,7.55,,S,84,D,low,2,C,low,35,C,high
651,male,,0,0,349221,7.8958,,S,,C,unknown,84,C,,55,C,unknown
652,female,18,0,1,231919,23,,S,65,B,unknown,,D,medium,,B,
653,male,21,0,0,8475,8.4333,,S,20,D,unknown,,,low,21,,low
654,female,,0,0,330919,7.8292,,Q,,A,low,25,,,51,D,low
655,female,18,0,0,365226,6.75,,Q,,A,high,1,C,high,30,D,unknown
656,male,24,2,0,S.O.C. 14879,73.5,,S,53,B,unknown,,C,,62,D,
657,male,,0,0,349223,7.8958,,S,76,D,high,2,A,low,74,,high
658,female,32,1,1,364849,15.5,,Q,63,C,high,79,C,unknown,14,C,medium
659,male,23,0,0,29751,13,,S,,D,,51,,unknown,18,A,medium
660,male,58,0,2,35273,113.275,D48,C,28,,low,,,high,2,D,unknown
661,male,50,2,0,PC 17611,133.65,,S,,,medium,81,C,low,1,A,
662,male,40,0,0,2623,7.225,,C,73,A,,89,,,,,
663,male,47,0,0,5727,25.5875,E58,S,3,A,low,12,D,high,70,D,unknown
664,male,36,0,0,349210,7.4958,,S,,C,low,,C,high,,,unknown
665,male,20,1,0,STON/O 2. 3101285,7.925,,S,,,,12,B,,40,D,high
666,male,32,2,0,S.O.C. 14879,73.5,,S,69,D,unknown,68,D,unknown,,B,low
667,male,25,0,0,234686,13,,S,50,D,high,56,B,unknown,72,,high
668,male,,0,0,312993,7.775,,S,86,C,high,8,B,high,80,A,high
669,male,43,0,0,A/5 3536,8.05,,S,91,B,,23,,,73,,high
670,female,,1,0,19996,52,C126,S,,A,low,53,D,high,,,low
671,female,40,1,1,29750,39,,S,,C,medium,,C,low,52,B,
672,male,31,1,0,F.C. 12750,52,B71,S,61,C,,34,,,52,A,unknown
673,male,70,0,0,C.A. 24580,10.5,,S,,D,unknown,,D,,64,A,medium
674,male,31,0,0,244270,13,,S,9,C,,99,A,low,79,B,medium
675,male,,0,0,239856,0,,S,62,A,,76,,high,,,low
676,male,18,0,0,349912,7.775,,S,,,medium,,C,high,67,C,unknown
677,male,24.5,0,0,342826,8.05,,S,58,,medium,,D,,83,A,low
678,female,18,0,0,4138,9.8417,,S,,A,unknown,,B,high,,,medium
679,female,43,1,6,CA 2144,46.9,,S,52,D,medium,51,D,unknown,41,C,medium
680,male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,93,A,unknown,44,A,unknown,,B,
681,female,,0,0,330935,8.1375,,Q,72,,,83,D,medium,2,,
682,male,27,0,0,PC 17572,76.7292,D49,C,13,D,,,A,,,D,unknown
683,male,20,0,0,6563,9.225,,S,95,,,,,,80,B,unknown
684,male,14,5,2,CA 2144,46.9,,S,95,A,medium,,,high,17,,high
685,male,60,1,1,29750,39,,S,16,D,,6,D,low,,B,low
686,male,25,1,2,SC/Paris 2123,41.5792,,C,80,A,,69,D,,90,,unknown
687,male,14,4,1,3101295,39.6875,,S,,C,,65,,high,49,,medium
688,male,19,0,0,349228,10.1708,,S,59,D,unknown,58,D,medium,48,B,
689,male,18,0,0,350036,7.7958,,S,44,C,low,5,B,high,42,A,medium
690,female,15,0,1,24160,211.3375,B5,S,78,A,low,49,C,low,37,,
691,male,31,1,0,17474,57,B20,S,99,D,high,89,A,medium,38,A,
692,female,4,0,1,349256,13.4167,,C,79,A,medium,23,A,high,55,C,
693,male,,0,0,1601,56.4958,,S,,C,,69,A,high,,A,
694,male,25,0,0,2672,7.225,,C,94,,low,85,C,unknown,,A,
695,male,60,0,0,113800,26.55,,S,9,,,,,unknown,86,D,medium
696,male,52,0,0,248731,13.5,,S,25,,medium,51,D,,11,A,unknown
697,male,44,0,0,363592,8.05,,S,72,A,medium,,,low,30,B,
698,female,,0,0,35852,7.7333,,Q,59,D,high,69,C,,75,C,unknown
699,male,49,1,1,17421,110.8833,C68,C,5,A,,,,low,54,B,medium
700,male,42,0,0,348121,7.65,F G63,S,9,,medium,,B,,33,B,medium
701,female,18,1,0,PC 17757,227.525,C62 C64,C,52,,low,,A,low,31,,low
702,male,35,0,0,PC 17475,26.2875,E24,S,61,C,high,71,,,11,,
703,female,18,0,1,2691,14.4542,,C,16,C,low,24,C,low,,D,low
704,male,25,0,0,36864,7.7417,,Q,17,C,medium,75,,high,,C,medium
705,male,26,1,0,350025,7.8542,,S,,C,,54,C,,41,D,unknown
706,male,39,0,0,250655,26,,S,56,D,low,93,D,high,,C,high
707,female,45,0,0,223596,13.5,,S,,,medium,65,C,high,27,,high
708,male,42,0,0,PC 17476,26.2875,E24,S,,D,,,A,low,,,unknown
709,female,22,0,0,113781,151.55,,S,47,D,unknown,97,B,,,C,unknown
710,male,,1,1,2661,15.2458,,C,,D,unknown,99,D,unknown,40,C,unknown
711,female,24,0,0,PC 17482,49.5042,C90,C,,,low,74,A,high,25,D,
712,male,,0,0,113028,26.55,C124,S,,D,high,59,A,medium,63,,
713,male,48,1,0,19996,52,C126,S,72,A,high,11,D,unknown,54,B,
714,male,29,0,0,7545,9.4833,,S,76,D,medium,,,,57,A,
715,male,52,0,0,250647,13,,S,,C,medium,47,D,,,,high
