id,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,ExtraCol1,ExtraCol2,ExtraCol3,ExtraCol4,ExtraCol5,ExtraCol6,ExtraCol7
423,29,0,0,315082,7.875,,S,,D,medium,18,,low,14
424,28,1,1,347080,14.4,,S,,A,high,30,,low,23
425,18,1,1,370129,20.2125,,S,41,B,,1,B,,
426,,0,0,A/4. 34244,7.25,,S,,A,low,,C,,20
427,28,1,0,2003,26,,S,86,,medium,33,,low,61
428,19,0,0,250655,26,,S,80,,low,49,A,unknown,92
429,,0,0,364851,7.75,,Q,2,A,medium,15,B,,
430,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,71,A,,82,,high,60
431,28,0,0,110564,26.55,C52,S,8,B,medium,21,B,low,
432,,1,0,376564,16.1,,S,73,C,low,,,unknown,
433,42,1,0,SC/AH 3085,26,,S,82,B,high,87,C,high,0
434,17,0,0,STON/O 2. 3101274,7.125,,S,13,,low,71,,,11
435,50,1,0,13507,55.9,E44,S,43,,low,60,B,,
436,14,1,2,113760,120,B96 B98,S,12,D,,,A,medium,
437,21,2,2,W./C. 6608,34.375,,S,56,A,unknown,,D,,32
438,24,2,3,29106,18.75,,S,92,C,unknown,96,D,unknown,52
439,64,1,4,19950,263,C23 C25 C27,S,,D,high,,D,,57
440,31,0,0,C.A. 18723,10.5,,S,39,A,high,40,A,high,66
441,45,1,1,F.C.C. 13529,26.25,,S,97,D,high,25,C,high,
442,20,0,0,345769,9.5,,S,,,high,,,unknown,37
443,25,1,0,347076,7.775,,S,,B,high,97,D,medium,88
444,28,0,0,230434,13,,S,48,,unknown,69,,low,5
445,,0,0,65306,8.1125,,S,50,C,,3,C,,
446,4,0,2,33638,81.8583,A34,S,66,,low,46,A,high,95
447,13,0,1,250644,19.5,,S,,,medium,,C,,17
448,34,0,0,113794,26.55,,S,,C,unknown,,D,medium,99
449,5,2,1,2666,19.2583,,C,52,D,medium,77,A,high,28
450,52,0,0,113786,30.5,C104,S,28,B,low,70,,,36
451,36,1,2,C.A. 34651,27.75,,S,,,unknown,6,,,
452,,1,0,65303,19.9667,,S,,B,high,55,A,unknown,94
453,30,0,0,113051,27.75,C111,C,,D,,,,,
454,49,1,0,17453,89.1042,C92,C,2,D,medium,48,,high,16
455,,0,0,A/5 2817,8.05,,S,59,,low,,B,,48
456,29,0,0,349240,7.8958,,C,,C,medium,,D,medium,15
457,65,0,0,13509,26.55,E38,S,,D,medium,86,D,high,78
458,,1,0,17464,51.8625,D21,S,63,B,unknown,46,B,low,
459,50,0,0,F.C.C. 13531,10.5,,S,84,,,53,A,,49
460,,0,0,371060,7.75,,Q,10,,low,62,,high,39
461,48,0,0,19952,26.55,E12,S,72,A,,65,A,high,3
462,34,0,0,364506,8.05,,S,,,unknown,63,D,medium,5
463,47,0,0,111320,38.5,E63,S,,A,medium,78,C,high,51
464,48,0,0,234360,13,,S,,,medium,98,C,low,39
465,,0,0,A/S 2816,8.05,,S,0,,high,82,A,high,12
466,38,0,0,SOTON/O.Q. 3101306,7.05,,S,96,B,high,13,,unknown,13
467,,0,0,239853,0,,S,16,B,medium,,C,unknown,
468,56,0,0,113792,26.55,,S,59,B,unknown,,,unknown,
469,,0,0,36209,7.725,,Q,18,B,high,50,B,,60
470,0.75,2,1,2666,19.2583,,C,93,B,low,52,,low,83
471,,0,0,323592,7.25,,S,,C,,71,,high,6
472,38,0,0,315089,8.6625,,S,,D,unknown,,B,low,
473,33,1,2,C.A. 34651,27.75,,S,43,C,medium,26,C,medium,
474,23,0,0,SC/AH Basle 541,13.7917,D,C,46,C,high,45,B,high,20
475,22,0,0,7553,9.8375,,S,,D,,,,high,53
476,,0,0,110465,52,A14,S,78,D,,31,C,high,
477,34,1,0,31027,21,,S,84,,unknown,2,,unknown,
478,29,1,0,3460,7.0458,,S,1,C,low,97,,low,
479,22,0,0,350060,7.5208,,S,,A,high,,B,unknown,66
480,2,0,1,3101298,12.2875,,S,,A,high,60,,,75
481,9,5,2,CA 2144,46.9,,S,,D,low,,A,medium,0
482,,0,0,239854,0,,S,82,,,27,,medium,
483,50,0,0,A/5 3594,8.05,,S,25,D,,34,,high,50
484,63,0,0,4134,9.5875,,S,79,,medium,28,B,high,36
485,25,1,0,11967,91.0792,B49,C,,D,,,,medium,
486,,3,1,4133,25.4667,,S,23,C,low,15,B,low,
487,35,1,0,19943,90,C93,S,33,D,,,D,low,75
488,58,0,0,11771,29.7,B37,C,53,A,,45,,medium,82
489,30,0,0,A.5. 18509,8.05,,S,76,D,,53,B,,41
490,9,1,1,C.A. 37671,15.9,,S,,A,,1,,high,93
491,,1,0,65304,19.9667,,S,93,B,,84,C,unknown,92
492,21,0,0,SOTON/OQ 3101317,7.25,,S,,A,low,67,,low,66
493,55,0,0,113787,30.5,C30,S,75,B,medium,7,B,medium,58
494,71,0,0,PC 17609,49.5042,,C,,,high,84,C,low,
495,21,0,0,A/4 45380,8.05,,S,,B,unknown,3,C,,60
496,,0,0,2627,14.4583,,C,41,,unknown,,A,,
497,54,1,0,36947,78.2667,D20,C,,C,high,46,D,low,97
498,,0,0,C.A. 6212,15.1,,S,37,C,low,,C,,19
499,25,1,2,113781,151.55,C22 C26,S,92,D,,95,A,high,66
500,24,0,0,350035,7.7958,,S,,,low,,C,unknown,73
501,17,0,0,315086,8.6625,,S,11,B,low,,C,,
502,21,0,0,364846,7.75,,Q,65,D,high,57,D,medium,34
503,,0,0,330909,7.6292,,Q,96,,,,,high,86
504,37,0,0,4135,9.5875,,S,86,,low,72,B,high,48
505,16,0,0,110152,86.5,B79,S,27,B,low,88,A,high,38
506,18,1,0,PC 17758,108.9,C65,C,,A,high,,C,low,15
507,33,0,2,26360,26,,S,,,medium,,,,32
508,,0,0,111427,26.55,,S,,,high,51,B,,97
509,28,0,0,C 4001,22.525,,S,26,A,medium,,,unknown,
510,26,0,0,1601,56.4958,,S,23,C,high,,C,unknown,
511,29,0,0,382651,7.75,,Q,99,A,,,B,high,
512,,0,0,SOTON/OQ 3101316,8.05,,S,74,C,,70,,high,
513,36,0,0,PC 17473,26.2875,E25,S,84,,medium,51,B,,66
514,54,1,0,PC 17603,59.4,,C,81,,high,,,unknown,37
515,24,0,0,349209,7.4958,,S,95,B,high,42,B,medium,84
516,47,0,0,36967,34.0208,D46,S,10,,high,49,D,medium,42
517,34,0,0,C.A. 34260,10.5,F33,S,,,,,C,high,85
518,,0,0,371110,24.15,,Q,,A,low,55,C,,74
519,36,1,0,226875,26,,S,47,C,,79,,,77
520,32,0,0,349242,7.8958,,S,59,C,high,2,C,high,92
521,30,0,0,12749,93.5,B73,S,35,A,high,75,A,high,79
522,22,0,0,349252,7.8958,,S,,C,,50,,medium,
523,,0,0,2624,7.225,,C,19,A,,,B,high,52
524,44,0,1,111361,57.9792,B18,C,,A,high,47,C,,
525,,0,0,2700,7.2292,,C,,D,,47,C,medium,6
526,40.5,0,0,367232,7.75,,Q,,D,,12,B,,59
527,50,0,0,W./C. 14258,10.5,,S,,B,high,,B,,
528,,0,0,PC 17483,221.7792,C95,S,14,D,medium,70,C,unknown,
529,39,0,0,3101296,7.925,,S,91,D,high,,,high,10
530,23,2,1,29104,11.5,,S,92,,,9,A,unknown,50
531,2,1,1,26360,26,,S,59,A,unknown,21,B,,57
532,,0,0,2641,7.2292,,C,16,,,87,,unknown,10
533,17,1,1,2690,7.2292,,C,15,C,,,D,high,63
534,,0,2,2668,22.3583,,C,,,low,50,,unknown,16
535,30,0,0,315084,8.6625,,S,57,,,,D,unknown,14
536,7,0,2,F.C.C. 13529,26.25,,S,15,B,unknown,,C,unknown,40
537,45,0,0,113050,26.55,B38,S,45,A,,85,B,,
538,30,0,0,PC 17761,106.425,,C,11,D,,89,,high,91
539,,0,0,364498,14.5,,S,,,low,28,D,unknown,
540,22,0,2,13568,49.5,B39,C,2,,unknown,58,A,medium,
541,36,0,2,WE/P 5735,71,B22,S,70,D,,,A,low,73
542,9,4,2,347082,31.275,,S,,,,,B,unknown,
543,11,4,2,347082,31.275,,S,19,,high,0,A,high,98
544,32,1,0,2908,26,,S,17,A,medium,97,D,,74
545,50,1,0,PC 17761,106.425,C86,C,83,,high,35,D,high,
546,64,0,0,693,26,,S,5,,,,C,low,94
547,19,1,0,2908,26,,S,42,B,low,61,,medium,10
548,,0,0,SC/PARIS 2146,13.8625,,C,,C,,78,A,medium,45
549,33,1,1,363291,20.525,,S,51,B,,,C,,
550,8,1,1,C.A. 33112,36.75,,S,68,D,unknown,,B,unknown,0
551,17,0,2,17421,110.8833,C70,C,80,D,low,89,B,high,45
552,27,0,0,244358,26,,S,,,unknown,93,B,low,68
553,,0,0,330979,7.8292,,Q,82,D,high,15,,medium,79
554,22,0,0,2620,7.225,,C,,C,,90,C,low,41
555,22,0,0,347085,7.775,,S,,B,unknown,90,A,unknown,86
556,62,0,0,113807,26.55,,S,50,C,low,,C,medium,67
557,48,1,0,11755,39.6,A16,C,,D,low,21,D,,4
558,,0,0,PC 17757,227.525,,C,,,unknown,,A,medium,27
559,39,1,1,110413,79.65,E67,S,79,,low,99,D,low,93
560,36,1,0,345572,17.4,,S,85,,,,C,unknown,0
561,,0,0,372622,7.75,,Q,53,A,,,B,high,10
562,40,0,0,349251,7.8958,,S,4,,unknown,19,C,medium,34
563,28,0,0,218629,13.5,,S,49,C,,8,,,99
564,,0,0,SOTON/OQ 392082,8.05,,S,18,,high,25,D,high,
565,,0,0,SOTON/O.Q. 392087,8.05,,S,88,D,low,6,A,low,
566,24,2,0,A/4 48871,24.15,,S,23,D,,19,A,,39
567,19,0,0,349205,7.8958,,S,22,,,7,C,,93
568,29,0,4,349909,21.075,,S,24,,low,76,B,low,21
569,,0,0,2686,7.2292,,C,64,,high,58,A,high,57
570,32,0,0,350417,7.8542,,S,,D,low,51,B,unknown,46
571,62,0,0,S.W./PP 752,10.5,,S,94,,medium,80,C,,
572,53,2,0,11769,51.4792,C101,S,41,C,,41,,high,75
573,36,0,0,PC 17474,26.3875,E25,S,,D,high,40,D,,83
574,,0,0,14312,7.75,,Q,4,D,,20,B,unknown,11
575,16,0,0,A/4. 20589,8.05,,S,0,A,low,,A,high,
576,19,0,0,358585,14.5,,S,37,A,unknown,,,high,
577,34,0,0,243880,13,,S,92,B,high,58,D,unknown,
578,39,1,0,13507,55.9,E44,S,52,,,,A,unknown,66
579,,1,0,2689,14.4583,,C,89,C,,53,B,,63
580,32,0,0,STON/O 2. 3101286,7.925,,S,10,,,29,,high,37
581,25,1,1,237789,30,,S,9,B,high,,C,low,
582,39,1,1,17421,110.8833,C68,C,83,A,high,82,B,unknown,
583,54,0,0,28403,26,,S,10,A,,,,unknown,82
584,36,0,0,13049,40.125,A10,C,5,A,medium,25,,medium,89
585,,0,0,3411,8.7125,,C,40,,unknown,71,,high,29
586,18,0,2,110413,79.65,E68,S,92,C,,,A,,
587,47,0,0,237565,15,,S,68,B,,,,,32
588,60,1,1,13567,79.2,B41,C,9,B,medium,31,C,,3
589,22,0,0,14973,8.05,,S,83,B,unknown,35,A,unknown,16
590,,0,0,A./5. 3235,8.05,,S,84,C,medium,,B,unknown,30
591,35,0,0,STON/O 2. 3101273,7.125,,S,80,D,low,1,A,low,98
592,52,1,0,36947,78.2667,D20,C,90,,high,,D,unknown,20
593,47,0,0,A/5 3902,7.25,,S,23,C,unknown,12,,,50
594,,0,2,364848,7.75,,Q,,,low,,D,low,
595,37,1,0,SC/AH 29037,26,,S,,C,medium,55,,,35
596,36,1,1,345773,24.15,,S,80,A,medium,,,high,91
597,,0,0,248727,33,,S,57,,low,34,B,unknown,9
598,49,0,0,LINE,0,,S,77,A,high,77,,low,87
599,,0,0,2664,7.225,,C,,B,medium,,,,74
600,49,1,0,PC 17485,56.9292,A20,C,64,,low,1,A,,
601,24,2,1,243847,27,,S,,,medium,,D,medium,76
602,,0,0,349214,7.8958,,S,77,,unknown,2,,,42
603,,0,0,113796,42.4,,S,73,,unknown,52,D,unknown,97
604,44,0,0,364511,8.05,,S,,A,high,87,A,unknown,3
605,35,0,0,111426,26.55,,C,82,A,medium,,D,medium,2
606,36,1,0,349910,15.55,,S,,,unknown,,,,
607,30,0,0,349246,7.8958,,S,,C,low,,B,high,93
608,27,0,0,113804,30.5,,S,,,high,78,A,low,6
609,22,1,2,SC/Paris 2123,41.5792,,C,,D,,,,high,77
610,40,0,0,PC 17582,153.4625,C125,S,85,D,high,28,,unknown,93
611,39,1,5,347082,31.275,,S,83,A,low,0,,,
612,,0,0,SOTON/O.Q. 3101305,7.05,,S,,,high,44,B,low,86
613,,1,0,367230,15.5,,Q,78,B,high,61,,low,75
614,,0,0,370377,7.75,,Q,38,A,unknown,,C,high,
615,35,0,0,364512,8.05,,S,68,,low,93,A,low,85
616,24,1,2,220845,65,,S,63,,,,,unknown,69
617,34,1,1,347080,14.4,,S,,,unknown,78,B,low,1
618,26,1,0,A/5. 3336,16.1,,S,26,B,,2,,low,
619,4,2,1,230136,39,F4,S,6,B,high,85,,medium,
620,26,0,0,31028,10.5,,S,13,A,low,75,A,unknown,
621,27,1,0,2659,14.4542,,C,43,B,high,,C,,
622,42,1,0,11753,52.5542,D19,S,47,A,,58,D,medium,
623,20,1,1,2653,15.7417,,C,,D,,,D,high,29
624,21,0,0,350029,7.8542,,S,41,,low,90,,,19
625,21,0,0,54636,16.1,,S,60,D,high,55,A,unknown,8
626,61,0,0,36963,32.3208,D50,S,23,,,,,low,63
627,57,0,0,219533,12.35,,Q,33,D,medium,61,D,unknown,95
628,21,0,0,13502,77.9583,D9,S,36,C,,68,C,unknown,
629,26,0,0,349224,7.8958,,S,50,B,unknown,,C,,
630,,0,0,334912,7.7333,,Q,36,C,high,81,B,,
631,80,0,0,27042,30,A23,S,73,B,,20,C,medium,17
632,51,0,0,347743,7.0542,,S,32,A,,89,A,unknown,21
633,32,0,0,13214,30.5,B50,C,43,B,low,55,,unknown,28
634,,0,0,112052,0,,S,37,,high,32,,high,68
635,9,3,2,347088,27.9,,S,,,high,,,,29
636,28,0,0,237668,13,,S,68,A,unknown,1,A,,82
637,32,0,0,STON/O 2. 3101292,7.925,,S,23,,unknown,74,A,high,36
638,31,1,1,C.A. 31921,26.25,,S,29,C,,37,,,10
639,41,0,5,3101295,39.6875,,S,79,,,84,D,unknown,9
640,,1,0,376564,16.1,,S,94,,medium,23,C,high,40
641,20,0,0,350050,7.8542,,S,67,A,,92,,high,40
642,24,0,0,PC 17477,69.3,B35,C,91,,high,94,B,low,
643,2,3,2,347088,27.9,,S,85,D,unknown,10,C,,47
644,,0,0,1601,56.4958,,S,48,C,,64,D,,16
645,0.75,2,1,2666,19.2583,,C,,,,93,B,,21
646,48,1,0,PC 17572,76.7292,D33,C,32,B,,32,C,high,56
647,19,0,0,349231,7.8958,,S,,A,unknown,,C,medium,33
648,56,0,0,13213,35.5,A26,C,,A,high,,D,unknown,67
649,,0,0,S.O./P.P. 751,7.55,,S,96,A,low,47,D,,92
650,23,0,0,CA. 2314,7.55,,S,84,D,low,2,C,low,35
651,,0,0,349221,7.8958,,S,,C,unknown,84,C,,55
652,18,0,1,231919,23,,S,65,B,unknown,,D,medium,
653,21,0,0,8475,8.4333,,S,20,D,unknown,,,low,21
654,,0,0,330919,7.8292,,Q,,A,low,25,,,51
655,18,0,0,365226,6.75,,Q,,A,high,1,C,high,30
656,24,2,0,S.O.C. 14879,73.5,,S,53,B,unknown,,C,,62
657,,0,0,349223,7.8958,,S,76,D,high,2,A,low,74
658,32,1,1,364849,15.5,,Q,63,C,high,79,C,unknown,14
659,23,0,0,29751,13,,S,,D,,51,,unknown,18
660,58,0,2,35273,113.275,D48,C,28,,low,,,high,2
661,50,2,0,PC 17611,133.65,,S,,,medium,81,C,low,1
662,40,0,0,2623,7.225,,C,73,A,,89,,,
663,47,0,0,5727,25.5875,E58,S,3,A,low,12,D,high,70
664,36,0,0,349210,7.4958,,S,,C,low,,C,high,
665,20,1,0,STON/O 2. 3101285,7.925,,S,,,,12,B,,40
666,32,2,0,S.O.C. 14879,73.5,,S,69,D,unknown,68,D,unknown,
667,25,0,0,234686,13,,S,50,D,high,56,B,unknown,72
668,,0,0,312993,7.775,,S,86,C,high,8,B,high,80
669,43,0,0,A/5 3536,8.05,,S,91,B,,23,,,73
670,,1,0,19996,52,C126,S,,A,low,53,D,high,
671,40,1,1,29750,39,,S,,C,medium,,C,low,52
672,31,1,0,F.C. 12750,52,B71,S,61,C,,34,,,52
673,70,0,0,C.A. 24580,10.5,,S,,D,unknown,,D,,64
674,31,0,0,244270,13,,S,9,C,,99,A,low,79
675,,0,0,239856,0,,S,62,A,,76,,high,
676,18,0,0,349912,7.775,,S,,,medium,,C,high,67
677,24.5,0,0,342826,8.05,,S,58,,medium,,D,,83
678,18,0,0,4138,9.8417,,S,,A,unknown,,B,high,
679,43,1,6,CA 2144,46.9,,S,52,D,medium,51,D,unknown,41
680,36,0,1,PC 17755,512.3292,B51 B53 B55,C,93,A,unknown,44,A,unknown,
681,,0,0,330935,8.1375,,Q,72,,,83,D,medium,2
682,27,0,0,PC 17572,76.7292,D49,C,13,D,,,A,,
683,20,0,0,6563,9.225,,S,95,,,,,,80
684,14,5,2,CA 2144,46.9,,S,95,A,medium,,,high,17
685,60,1,1,29750,39,,S,16,D,,6,D,low,
686,25,1,2,SC/Paris 2123,41.5792,,C,80,A,,69,D,,90
687,14,4,1,3101295,39.6875,,S,,C,,65,,high,49
688,19,0,0,349228,10.1708,,S,59,D,unknown,58,D,medium,48
689,18,0,0,350036,7.7958,,S,44,C,low,5,B,high,42
690,15,0,1,24160,211.3375,B5,S,78,A,low,49,C,low,37
691,31,1,0,17474,57,B20,S,99,D,high,89,A,medium,38
692,4,0,1,349256,13.4167,,C,79,A,medium,23,A,high,55
693,,0,0,1601,56.4958,,S,,C,,69,A,high,
694,25,0,0,2672,7.225,,C,94,,low,85,C,unknown,
695,60,0,0,113800,26.55,,S,9,,,,,unknown,86
696,52,0,0,248731,13.5,,S,25,,medium,51,D,,11
697,44,0,0,363592,8.05,,S,72,A,medium,,,low,30
698,,0,0,35852,7.7333,,Q,59,D,high,69,C,,75
699,49,1,1,17421,110.8833,C68,C,5,A,,,,low,54
700,42,0,0,348121,7.65,F G63,S,9,,medium,,B,,33
701,18,1,0,PC 17757,227.525,C62 C64,C,52,,low,,A,low,31
702,35,0,0,PC 17475,26.2875,E24,S,61,C,high,71,,,11
703,18,0,1,2691,14.4542,,C,16,C,low,24,C,low,
704,25,0,0,36864,7.7417,,Q,17,C,medium,75,,high,
705,26,1,0,350025,7.8542,,S,,C,,54,C,,41
706,39,0,0,250655,26,,S,56,D,low,93,D,high,
707,45,0,0,223596,13.5,,S,,,medium,65,C,high,27
708,42,0,0,PC 17476,26.2875,E24,S,,D,,,A,low,
709,22,0,0,113781,151.55,,S,47,D,unknown,97,B,,
710,,1,1,2661,15.2458,,C,,D,unknown,99,D,unknown,40
711,24,0,0,PC 17482,49.5042,C90,C,,,low,74,A,high,25
712,,0,0,113028,26.55,C124,S,,D,high,59,A,medium,63
713,48,1,0,19996,52,C126,S,72,A,high,11,D,unknown,54
714,29,0,0,7545,9.4833,,S,76,D,medium,,,,57
715,52,0,0,250647,13,,S,,C,medium,47,D,,
716,19,0,0,348124,7.65,F G73,S,79,,,78,,low,72
717,38,0,0,PC 17757,227.525,C45,C,51,C,medium,58,C,,
718,27,0,0,34218,10.5,E101,S,,B,low,43,C,,83
719,,0,0,36568,15.5,,Q,,,,,A,low,42
720,33,0,0,347062,7.775,,S,59,D,medium,,,,40
721,6,0,1,248727,33,,S,13,A,,,,,38
722,17,1,0,350048,7.0542,,S,93,B,low,,D,medium,42
723,34,0,0,12233,13,,S,84,,low,,,low,66
724,50,0,0,250643,13,,S,,,unknown,87,D,low,49
725,27,1,0,113806,53.1,E8,S,78,D,low,11,D,unknown,12
726,20,0,0,315094,8.6625,,S,11,A,high,40,A,unknown,56
727,30,3,0,31027,21,,S,,C,high,51,,,
728,,0,0,36866,7.7375,,Q,8,D,high,,C,low,10
729,25,1,0,236853,26,,S,48,D,unknown,16,C,,
730,25,1,0,STON/O2. 3101271,7.925,,S,65,A,,,D,,31
731,29,0,0,24160,211.3375,B5,S,72,,,59,,medium,
732,11,0,0,2699,18.7875,,C,41,,low,,,medium,17
733,,0,0,239855,0,,S,,,,16,B,high,
734,23,0,0,28425,13,,S,,B,high,42,D,,
735,23,0,0,233639,13,,S,20,,unknown,72,D,,13
736,28.5,0,0,54636,16.1,,S,,,medium,73,,unknown,
737,48,1,3,W./C. 6608,34.375,,S,,B,,19,C,unknown,31
738,35,0,0,PC 17755,512.3292,B101,C,,,unknown,,,medium,58
739,,0,0,349201,7.8958,,S,,,high,89,,,56
740,,0,0,349218,7.8958,,S,89,A,unknown,22,A,,
741,,0,0,16988,30,D45,S,81,A,,2,C,medium,58
742,36,1,0,19877,78.85,C46,S,76,C,medium,95,,unknown,56
743,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C,,B,,52,A,,8
744,24,1,0,376566,16.1,,S,27,,high,77,,,
745,31,0,0,STON/O 2. 3101288,7.925,,S,79,D,low,32,,,11
746,70,1,1,WE/P 5735,71,B22,S,36,A,unknown,,A,,43
747,16,1,1,C.A. 2673,20.25,,S,53,B,low,,D,medium,36
748,30,0,0,250648,13,,S,31,C,medium,,A,,
749,19,1,0,113773,53.1,D30,S,31,D,,47,C,unknown,
750,31,0,0,335097,7.75,,Q,,C,high,,,unknown,
751,4,1,1,29103,23,,S,,B,high,,B,low,41
752,6,0,1,392096,12.475,E121,S,14,,unknown,,A,unknown,6
753,33,0,0,345780,9.5,,S,,D,,91,,,0
754,23,0,0,349204,7.8958,,S,93,B,,,A,,54
755,48,1,2,220845,65,,S,55,D,,,,medium,
756,0.67,1,1,250649,14.5,,S,43,D,unknown,51,D,medium,54
757,28,0,0,350042,7.7958,,S,73,,medium,,D,,72
758,18,0,0,29108,11.5,,S,38,A,,82,,unknown,75
759,34,0,0,363294,8.05,,S,,D,unknown,72,D,,87
760,33,0,0,110152,86.5,B77,S,,A,,14,,,
761,,0,0,358585,14.5,,S,17,B,low,58,D,medium,88
762,41,0,0,SOTON/O2 3101272,7.125,,S,55,,unknown,53,,low,79
763,20,0,0,2663,7.2292,,C,,C,high,,,low,43
764,36,1,2,113760,120,B96 B98,S,93,B,high,,B,medium,50
765,16,0,0,347074,7.775,,S,36,C,unknown,,B,,61
766,51,1,0,13502,77.9583,D11,S,78,,medium,,,,
767,,0,0,112379,39.6,,C,61,D,,51,B,unknown,67
768,30.5,0,0,364850,7.75,,Q,47,,high,,,unknown,58
769,,1,0,371110,24.15,,Q,,A,low,,A,high,52
770,32,0,0,8471,8.3625,,S,37,B,low,4,B,,
771,24,0,0,345781,9.5,,S,65,A,,35,,unknown,68
772,48,0,0,350047,7.8542,,S,98,D,,,D,medium,93
773,57,0,0,S.O./P.P. 3,10.5,E77,S,0,,high,,A,medium,97
774,,0,0,2674,7.225,,C,,B,medium,,C,low,82
775,54,1,3,29105,23,,S,,,low,,D,high,29
776,18,0,0,347078,7.75,,S,,,high,44,D,low,
777,,0,0,383121,7.75,F38,Q,42,B,unknown,75,D,high,29
778,5,0,0,364516,12.475,,S,11,,medium,33,A,,
779,,0,0,36865,7.7375,,Q,,A,low,15,B,low,
780,43,0,1,24160,211.3375,B3,S,85,B,,84,D,high,88
781,13,0,0,2687,7.2292,,C,87,B,,77,D,medium,68
782,17,1,0,17474,57,B20,S,63,D,,,C,medium,68
783,29,0,0,113501,30,D6,S,12,D,medium,,D,high,95
784,,1,2,W./C. 6607,23.45,,S,,D,medium,77,C,,68
785,25,0,0,SOTON/O.Q. 3101312,7.05,,S,,,low,74,A,unknown,14
786,25,0,0,374887,7.25,,S,58,,medium,,D,medium,
787,18,0,0,3101265,7.4958,,S,,B,unknown,,A,medium,35
788,8,4,1,382652,29.125,,Q,68,B,medium,59,B,unknown,63
789,1,1,2,C.A. 2315,20.575,,S,,,high,,A,low,63
790,46,0,0,PC 17593,79.2,B82 B84,C,,D,low,77,C,,29
791,,0,0,12460,7.75,,Q,,A,low,46,A,unknown,
792,16,0,0,239865,26,,S,45,B,high,90,,medium,8
793,,8,2,CA. 2343,69.55,,S,,C,low,,D,low,29
794,,0,0,PC 17600,30.6958,,C,,C,medium,,,medium,82
795,25,0,0,349203,7.8958,,S,43,B,medium,91,,unknown,65
796,39,0,0,28213,13,,S,29,C,low,47,D,unknown,94
797,49,0,0,17465,25.9292,D17,S,96,,high,,B,unknown,
798,31,0,0,349244,8.6833,,S,,A,unknown,,C,,85
799,30,0,0,2685,7.2292,,C,31,,low,87,,,17
800,30,1,1,345773,24.15,,S,,C,unknown,75,A,medium,
801,34,0,0,250647,13,,S,1,,high,16,A,,5
802,31,1,1,C.A. 31921,26.25,,S,,,,49,A,unknown,9
803,11,1,2,113760,120,B96 B98,S,51,,low,37,D,,23
804,0.42,0,1,2625,8.5167,,C,91,C,unknown,64,D,unknown,28
805,27,0,0,347089,6.975,,S,,C,low,,,,1
806,31,0,0,347063,7.775,,S,,,,71,,,
807,39,0,0,112050,0,A36,S,,D,high,74,,unknown,52
808,18,0,0,347087,7.775,,S,11,D,medium,,D,low,65
809,39,0,0,248723,13,,S,,A,low,15,,,65
810,33,1,0,113806,53.1,E8,S,99,D,,62,,,96
811,26,0,0,3474,7.8875,,S,4,A,low,,,,
812,39,0,0,A/4 48871,24.15,,S,87,,high,94,,low,34
813,35,0,0,28206,10.5,,S,68,,unknown,77,B,,
814,6,4,2,347082,31.275,,S,28,B,medium,95,,unknown,55
815,30.5,0,0,364499,8.05,,S,,,,53,B,medium,52
816,,0,0,112058,0,B102,S,83,B,low,93,,medium,79
817,23,0,0,STON/O2. 3101290,7.925,,S,4,C,,1,,medium,56
818,31,1,1,S.C./PARIS 2079,37.0042,,C,10,A,low,28,,,23
819,43,0,0,C 7075,6.45,,S,66,C,low,0,B,high,
820,10,3,2,347088,27.9,,S,99,B,high,67,,high,96
821,52,1,1,12749,93.5,B69,S,,C,,51,A,,
822,27,0,0,315098,8.6625,,S,66,D,,28,,medium,59
823,38,0,0,19972,0,,S,13,,,30,C,unknown,17
824,27,0,1,392096,12.475,E121,S,65,,,,,unknown,0
825,2,4,1,3101295,39.6875,,S,62,B,high,18,B,high,
826,,0,0,368323,6.95,,Q,9,,,51,A,,2
827,,0,0,1601,56.4958,,S,68,B,unknown,61,,medium,45
828,1,0,2,S.C./PARIS 2079,37.0042,,C,89,A,,23,,high,88
829,,0,0,367228,7.75,,Q,,C,,22,C,medium,
830,62,0,0,113572,80,B28,,2,B,medium,,,,
831,15,1,0,2659,14.4542,,C,,A,,,,,85
832,0.83,1,1,29106,18.75,,S,,A,high,25,D,low,
833,,0,0,2671,7.2292,,C,45,,unknown,37,,,65
834,23,0,0,347468,7.8542,,S,14,D,unknown,54,C,,78
835,18,0,0,2223,8.3,,S,85,,medium,18,B,low,
836,39,1,1,PC 17756,83.1583,E49,C,77,A,,56,D,unknown,42
837,21,0,0,315097,8.6625,,S,80,B,low,13,,,39
838,,0,0,392092,8.05,,S,19,D,unknown,14,B,unknown,
839,32,0,0,1601,56.4958,,S,1,C,low,23,C,medium,40
840,,0,0,11774,29.7,C47,C,91,A,,28,,unknown,
841,20,0,0,SOTON/O2 3101287,7.925,,S,28,,medium,2,D,,18
842,16,0,0,S.O./P.P. 3,10.5,,S,65,B,unknown,96,B,,17
843,30,0,0,113798,31,,C,90,D,,,D,low,71
844,34.5,0,0,2683,6.4375,,C,3,A,medium,,,,76
845,17,0,0,315090,8.6625,,S,0,D,,,,medium,67
846,42,0,0,C.A. 5547,7.55,,S,0,C,low,80,B,,
847,,8,2,CA. 2343,69.55,,S,15,,,83,D,low,0
